"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"91cac22670632fc506f33a4fb8d47983","2015","2014-12-16T00:56:59+00:00","1418691419","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","9.565","9.353","0.000","9.565","","","","","","","","0.000","0.000","0.000","0.000","0.145","0.145","","","","","","","Air Force Reserve","Air Force","0.145","","7.387","","0.145","",
"4ab759ab1f324877015e5e7d77f7dace","2015","2014-12-16T00:57:04+00:00","1418691424","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","7.67","2.397","0.000","7.67","","","","23","10","","23","0.000","0.000","0.000","0.000","5.025","5.025","","","","","16","16","Air Force Active","","1.972","8","6.157","23","4.125","17",
"4ab759ab1f324877015e5e7d77f7dace","2015","2014-12-16T00:57:04+00:00","1418691424","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","7.67","2.397","0.000","7.67","","","","23","10","","23","0.000","0.000","0.000","0.000","2.645","2.645","","","","","7","7","Air National Guard","","0.21","1","6.157","23","2.032","6",
"4ab759ab1f324877015e5e7d77f7dace","2015","2014-12-16T00:57:04+00:00","1418691424","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","7.67","2.397","0.000","7.67","","","","23","10","","23","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","Air Force Reserve","Air Force","0.215","1","6.157","23","0.000","",
"0184b4e5401924aa7e74aafc0d45e47a","2015","2014-12-16T00:56:56+00:00","1418691416","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","2.708","14.494","0.000","2.708","","","","","","","","0.000","0.000","0.000","0.000","1.715","1.715","","","","","","","Air Force Active","","13.5","","14.412","","13.418","",
"0184b4e5401924aa7e74aafc0d45e47a","2015","2014-12-16T00:56:56+00:00","1418691416","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","procurement-base","2015","0.000","0.000","0.000","2.708","14.494","0.000","2.708","","","","","","","","0.000","0.000","0.000","0.000","0.993","0.993","","","","","","","Air National Guard","Air Force","0.994","","14.412","","0.994","",
"cd127ea376091fd164cab91936918195","2015","2014-12-16T00:58:23+00:00","1418691503","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","7.11","9.848","9.128","7.25","16.536","14.42","7.25","","","","","","","","7.044","14.219","9.783","9.061","6.434","6.434","","","","","","","Navy Active","","16.536","","20.354","","18.639","",
"cd127ea376091fd164cab91936918195","2015","2014-12-16T00:58:23+00:00","1418691503","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","7.11","9.848","9.128","7.25","16.536","14.42","7.25","","","","","","","","0.066","0.201","0.065","0.067","0.816","0.816","","","","","","","Navy Reserve","Navy","","","20.354","","1.715","",
"8ed8888d01593a98bcdf23e427662a58","2015","2014-12-16T00:58:23+00:00","1418691503","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","17.892","17.539","18.285","21.909","33.712","17.587","21.909","","","","","","","","15.354","15.145","15.051","15.692","18.544","18.544","","","","","","","Navy Active","","28.893","","38.446","","33.69","",
"8ed8888d01593a98bcdf23e427662a58","2015","2014-12-16T00:58:23+00:00","1418691503","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-base","2015","17.892","17.539","18.285","21.909","33.712","17.587","21.909","","","","","","","","2.538","2.442","2.488","2.593","3.365","3.365","","","","","","","Navy Reserve","Navy","4.819","","38.446","","4.756","",
