"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYearFour.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Name.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.BudgetYearOneBase.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneBase.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.PriorYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.CurrentYear.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOne.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Cost.PriorYearsDelta.record.partial.fields","value.BudgetYearOneOCO.TotalCost.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.TotalCost.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.TotalCost.SecondaryDistribution.record.partial.fields","value.BudgetYearOneOCO.Quantity.Cost.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.Quantity.PriorYearsDelta.record.partial.fields","value.BudgetYearFour.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Cost.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFour.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearThree.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearFive.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields","value.BudgetYearTwo.Quantity.ModsOutYearDelta.Component.ComponentList.SecondaryDistribution.record.partial.fields",
"f77cfae16e5c6bdcc24aa2ac1e4dec5f","2016","2015-02-03T15:52:51+00:00","1422978771","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","37.136","32.575","37.859","29.255","26.742","57.948","38.186","29.255","","","","","","","","","36.725","32.173","37.44","","","","Navy Active","Navy","26.184","26.554","54.885","31.395","26.184","","","","","","","","","","","","","","","","","","","",
"f77cfae16e5c6bdcc24aa2ac1e4dec5f","2016","2015-02-03T15:52:51+00:00","1422978771","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","37.136","32.575","37.859","29.255","26.742","57.948","38.186","29.255","","","","","","","","","0.411","0.402","0.419","","","","Navy Reserve","Navy","3.071","0.188","3.063","6.791","3.071","","","","","","","","","","","","","","","","","","","",
"737434e0f3977d109ff220d88c543d64","2016","2015-02-03T15:52:49+00:00","1422978769","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","13.912","14.891","14.194","9.136","13.59","3.325","11.86","9.136","","","","","","","","","10.909","12.086","11.527","","","","Navy Active","Navy","7.469","11.041","1.972","8.408","7.469","","","","","","","","","","","","","","","","","","","",
"737434e0f3977d109ff220d88c543d64","2016","2015-02-03T15:52:49+00:00","1422978769","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Navy_PB_2016.xml","procurement-base","2016","13.912","14.891","14.194","9.136","13.59","3.325","11.86","9.136","","","","","","","","","3.003","2.805","2.667","","","","Navy Reserve","Navy","1.667","2.549","1.353","3.452","1.667","","","","","","","","","","","","","","","","","","","",
"3563325e55b007baa97ddf0931988ce5","2016","2015-02-03T15:53:12+00:00","1422978792","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","98.014","114.965","32.277","148.987","147.006","90.803","176.448","148.987","","","","","","","","","84.154","108.096","32.277","","","","Air Force Active","Air Force","134.875","131.766","86.481","161.169","134.875","","","","","","","","","","","","","","","","","","","",
"3563325e55b007baa97ddf0931988ce5","2016","2015-02-03T15:53:12+00:00","1422978792","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","98.014","114.965","32.277","148.987","147.006","90.803","176.448","148.987","","","","","","","","","13.86","6.869","0","","","","Air Force Reserve","Air Force","14.112","15.24","4.322","15.279","14.112","","","","","","","","","","","","","","","","","","","",
"4a321c87aed2c4a6a2a23b9e6c2aec55","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","121.841","93.376","134.033","29.713","78.422","8.788","25.919","29.713","","","","","","","","","121.841","93.376","134.033","","","","Air Force Active","Air Force","29.713","78.422","8.788","25.919","29.713","","","","","","","","","","","","","","","","","","","",
"4a321c87aed2c4a6a2a23b9e6c2aec55","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","121.841","93.376","134.033","29.713","78.422","8.788","25.919","29.713","","","","","","","","","","","","","","","Air National Guard","Air Force","","","0","","","","","","","","","","","","","","","","","","","","","",
"4a321c87aed2c4a6a2a23b9e6c2aec55","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","121.841","93.376","134.033","29.713","78.422","8.788","25.919","29.713","","","","","","","","","","","","","","","Air Force Reserve","Air Force","","","0","","","","","","","","","","","","","","","","","","","","","",
"b7c76ea6a258b9e0a6ccdb458eef9635","2016","2015-02-03T15:53:18+00:00","1422978798","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","procurement-base","2016","64.723","68.91","62.198","49.043","64.367","29.556","63.568","49.043","","","","","","","","","35.663","39.875","34.664","","","","Air Force Active","Air Force","26.13","33.514","29.171","32.969","26.13","","","","","","","","","","","","","","","","","","","",
