"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearOneOCO.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.ProgramElementNote.record","value.ProgramElementMissionDescription.record","value.ProjectNumber.Project.ProjectList.record","value.ProjectTitle.Project.ProjectList.record","value.PriorYear.ProjectFunding.Project.ProjectList.record","value.CurrentYear.ProjectFunding.Project.ProjectList.record","value.BudgetYearOne.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneBase.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneOCO.ProjectFunding.Project.ProjectList.record","value.BudgetYearTwo.ProjectFunding.Project.ProjectList.record","value.BudgetYearThree.ProjectFunding.Project.ProjectList.record","value.BudgetYearFour.ProjectFunding.Project.ProjectList.record","value.BudgetYearFive.ProjectFunding.Project.ProjectList.record","value.CostToComplete.ProjectFunding.Project.ProjectList.record","value.TotalCost.ProjectFunding.Project.ProjectList.record","value.Name.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Name.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.ContractMethod.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.ContractType.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.PerformingActivity.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.PerformingActivityLocation.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TotalPreviousYears.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOne.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOneBase.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.BudgetYearOneOCO.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.CostToComplete.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TotalCost.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.TargetValue.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.PriorYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.Amount.CurrentYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.FundingVehicle.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.PriorYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.CurrentYear.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record","value.AwardDate.BudgetYearOneBase.Cost.CostCategoryItem.CostCategoryItemList.CostCategoryGroup.CostCategoryGroupList.R3Exhibit.Project.ProjectList.record",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Other","C","FFP","Various","Various","0.000","1.274","0.796","0.478","0","2.070","0","","0.796","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Base: Various Projects-Protect the Force in Counter Insurgency","C","FFP","Various","Various","11.841","","","","0","11.841","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Small Combat Outpost (COP)/Patrol Base (PB) Sustainment","C","FFP","Various","Various","0.000","1.037","0.648","0.389","0","1.685","0","","0.648","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Base: Various Projects-Enhance Intelligence Surveillance Recon","C","FFP","Various","Various","9.009","","","","0","9.009","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Small Combat Outpost (COP)/Patrol Base (PB) Force Protection","C","FFP","Various","Various","0.000","1.392","0.870","0.522","0","2.262","0","","0.870","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Dismounted Blue Force Tracking and Mission Command","C","FFP","Various","Various","0.000","0.355","0.222","0.133","0","0.577","0","","0.222","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Base: Various Projects-Logistics/Medical in Counterinsurgency Ops","C","FFP","Various","Various","1.639","","","","0","1.639","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Base: Various Projects-Timeliness of Analysis and Information Dissemination","C","FFP","Various","Various","6.961","","","","0","6.961","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","Congressional Add-Squad Mission Support System (SMSS)","C","FFP","Various","Various","1.600","","","","0","1.600","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","SSTR/Economic Assumptions/FFRDC and SBIR","C","FFP","Various","Various","1.090","","","","0","1.090","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Product Development","OCO: Rapid Equipping Force","C","FFP","Various","Various","19.190","","","","0","19.190","0","","","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Test and Evaluation","ATEC (REF Integrated Priority List 1-10)","C","FFP","Various","Various","7.779","","","","Continuing","Continuing","Continuing","2.065","1.500","","","","",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","C08","Rapid Equipping Force","12.360","6.500","10.620","6.120","4.500","5.764","5.870","5.869","4.609","Continuing","Continuing","Test and Evaluation","ATEC (REF Integrated Priority List 1-7)","C","FFP","Various","Various","0.000","2.620","1.120","1.500","0","2.620","0","","","","","","",
