"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0dab4f2fae3ad9e068fcc0ac96347b8585ffea7a","1.094","0.024","0.017","0.033","0.033","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-c6210efa6e84dfaa0bfb0a6e5468f14f1a0655ed","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-ea0a4f04bbfcbb7d63658d310008e0ebed23f90f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-acc646a01ebb98db091cfbd51c621dc0a5814cc2","","0.004","0.004","0.001","0.001","","","","","","","","","Quality Assurance","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-2cca1709ace8369f769f6374e8493a395bf49362","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-ea0a4f04bbfcbb7d63658d310008e0ebed23f90f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-0d1fff7b6aa037f75d502614e6a9d56ca3765c61","","0.176","","","","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-1f555a73d1f30bca02b3e1ba8dcbb1e4ef96bb2e","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-9dc4de8a83e45c7df28ee4c24a4feb68058a760d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-644e759ddb7a2f44ed6fae8537220e06cbc0c1a7","3.065","","0.011","","","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-420a894f90670e9855cd3b1ef840197f4d5256b4","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-2-1822febb695e26ed4c34744d62bdb7a4bcb15b09"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-4aca0966c51f683800e4f7b3d86ac51cc3c65b58","","","0.004","","","","","","","","","","","Quality Assurance","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-6c4e21c87213ea7733d289b094180669d164b60d","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-2-1822febb695e26ed4c34744d62bdb7a4bcb15b09"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-433ecd880c9f9114511f33ec3992e5aebcda7230","","","","0.313","0.313","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-35220778f43ac5d7deff9be4a7a2f657aa23a624","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-3-d7d747bbd31ad13a5dcbf81d0c045102b7527109"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-dfe447573cc6a3529f81f99f56c8772fe162bc50","","","","0.339","0.339","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-fa1d16778cb89767ae31f7403ba192a1b6188464","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-4-a424e4d22ecb54a727fab43d0a0c436c117192ba"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-a16ce9eca68cce7fd34cdb871ed2a0c955b6149a","","","","0.03","0.03","","","","","","","","","Acceptance Testing","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-424e874bacef3da7d716e1f40398d0e6f7e67058","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-5-00e84e992ac50b738154389a35181622270acf79"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-006f491244f553553762f651e6176bdd5d44aeec","","","","0.058","0.058","","","","","","","","","Production Engineering","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-74fac7bdce87ece57e6b691a5125ca1469ad6785","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-5-00e84e992ac50b738154389a35181622270acf79"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0768f43221782b7e463bf0c1de2bf2208b7a674b-0-73628f8748f789eeaa944f306297caba7d36dcdb","340.418","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-a692be751637ec1819851884a7388e5b22c9fa09"
