"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2e1e6074e7f761005c59957a9b1c323d09359d95-0-19fb9eba0ba4dbc1ec1db056908e5d5c228f4a2f","463.61","52.697","38.936","90.755","90.755","0","","","","","","","","","2e1e6074e7f761005c59957a9b1c323d09359d95-0-787e33dc0cbaffb377a6a5191a521a508a832924","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-1-ef1348de574fa2a6c7238d4b22063d3f13c50a94"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-e362aa7105fa4f424d55393b3f386bc7670d5b51","","","0.1","0.101","0.101","","","","","","","","","Acceptance Testing","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-b53b171465e5fd75590fa9b26bc47bee21858e13","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-4cc21bce34cd660eb793e4a70905ed0dbb5fa9b2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-cd129834c2ffa45e26a0ca3c525cf561a9902f29","","0.273","0.308","0.326","0.326","","","","","","","","","Production Engineering","2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-ce141f4d1ab8d301f6df58346db958ea08f5cbde","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-4cc21bce34cd660eb793e4a70905ed0dbb5fa9b2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-2-e35e915acfca0c02db92b2ad10fa54534ab87376","","0.001","0.002","0.002","0.002","","","","","","","","","Quality Assurance","2f127e0d9de7d0013eb998a6d2d5116b762a797d-2-4dd035a769168bbb6a6abd488b3538fa0a736427","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-4cc21bce34cd660eb793e4a70905ed0dbb5fa9b2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-1b12a5a5db0b340d894b9b8a1d209205c5e3be2b","","","","0.009","0.009","","","","","","","","","Production Engineering","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-1d3f7c3d29faad0d1e24c37797167ec4160bb5f6","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-62eb47069b5f4340f3984fdaf09ed53248519793"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-96e9a011432d75064f96db56a1923911c1a304f6","","","","0.003","0.003","","","","","","","","","Quality Assurance","2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-1fae40325c87e255d805c13ad0b54e4eea4d946d","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-62eb47069b5f4340f3984fdaf09ed53248519793"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-dc9326c67f5d1e28119f9b37ddd9a4f5f4459015","0.002","0.008","0.011","0.007","0.007","","","","","","","","","Production Engineering","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-85a559ec14e1a288cdeef08471d66c1c07ca6462","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-2-1b1300fb98f698e199d189d274388b76f6fa1bb6"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-25338dc73c159ec4896e7ccf3aa8ceceaf356ff0","0.089","0.01","0.007","0.002","0.002","","","","","","","","","Production Engineering","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-a109e894b8e9aa1d72e76cc5e97976a24ed90169","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-3-f16ee42cb88770680441fa3524343db3d290a210"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-89a49a6c59db02a50ade94761c630a7b309c4e4c","1.926","0.334","0.565","0.761","0.761","","","","","","","","","Production Engineering","2f127e0d9de7d0013eb998a6d2d5116b762a797d-0-a4e039c543870586c77244137859272030e80ca3","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-4-fbdec7e0b5af3d2e699c5a81cbd7aabcde4d235c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-f5d169af388cc553c0faea06b79073c1c9dbf67c","0.009","0.003","0.003","0.003","0.003","","","","","","","","","Quality Assurance","2f127e0d9de7d0013eb998a6d2d5116b762a797d-1-9dd9761ea0a31f4a8dc8e1550cf6f2a58a1722cc","2f127e0d9de7d0013eb998a6d2d5116b762a797d","root.record.ItemExhibitList.P5Item","2f127e0d9de7d0013eb998a6d2d5116b762a797d-4-fbdec7e0b5af3d2e699c5a81cbd7aabcde4d235c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-2ff6956eefedc4d4cee93a766d7bfd26b34e619d-0-777ca10fb693543c001deda3df588c73fc7267f0","7.98","2.328","1.355","1.865","1.865","","","","","","","","","","2ff6956eefedc4d4cee93a766d7bfd26b34e619d-0-44975c955b102ec3f2329d2ce64e6a74c35a13da","2ff6956eefedc4d4cee93a766d7bfd26b34e619d","root.record.ItemExhibitList.P5Item","2ff6956eefedc4d4cee93a766d7bfd26b34e619d-0-9a6e85923b3ac0c2648eb4016c896f47b08ee072"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-30ec5fe45a8baaeea3cc4637c298e8d8ab727025-0-ec5507d586125fbaabc983c268e6bcc9db6dd6ef","4.101","15.077","17.801","17.497","17.497","","","","17.175","16.987","17.276","17.603","true","","30ec5fe45a8baaeea3cc4637c298e8d8ab727025-0-41a9464a19e385cc0f8ec4a6c88c7037a8ac686b","30ec5fe45a8baaeea3cc4637c298e8d8ab727025","root.record.ItemExhibitList.P5Item","30ec5fe45a8baaeea3cc4637c298e8d8ab727025-0-2252a292bc41a7c82b8e418cf3b94d6cf87b3411"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-320457bc975225f15dfe564519aeb6c8c788e19d-0-f6903e466a07602e64f0aeb06755b58430acfb1c","","","","0.13","0.13","","","","","","","","","GCSS-MC/LCM Increment 1 Non-Recurring Engineering","320457bc975225f15dfe564519aeb6c8c788e19d-0-47261929538852642acb54cbe8d1eb50ed27b7aa","320457bc975225f15dfe564519aeb6c8c788e19d","root.record.ItemExhibitList.P5Item","320457bc975225f15dfe564519aeb6c8c788e19d-0-d346a25284eeea6498e63abb4e400b8d721775ce"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-ee4fe6bcad57565cd0874228cf4718b68e7112d2","","12.295","0.25","0.617","0.617","","","","","","","","","Data","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-c57a20efe9f38cab69c246204c717ad279deb05b","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-33e3f2e817329c1be562eb49bf8b43a50b44e6a2-1-b4f1c79393e5121980a1e46e9cf9d7034a4f1277","","23.624","33.316","33.231","33.231","","","","","","","","","Program Management","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-1-aba27a8a53096b6ec8c2d16e6d44bb36f5f68a6b","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-33e3f2e817329c1be562eb49bf8b43a50b44e6a2-2-bcbd00ee049577215264ef948c1df853e446466d","","11.736","23.794","17.08","17.08","","","","","","","","","System Technical Support (STS)","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-2-f887645400266c512bc6edd14234e61b4ec2c13c","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-33e3f2e817329c1be562eb49bf8b43a50b44e6a2-3-a442dd454c5941f954c2fe5b28a297a942cc1272","","3.34","3.852","45.536","45.536","","","","","","","","","System Test and Evaluation","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-3-7b69124bd179d5bf30673b83c23ccd5c3e4da920","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-33e3f2e817329c1be562eb49bf8b43a50b44e6a2-4-96c191cb753d601a68f93f9dcf73ae49cfa5fce3","","","6.047","16.53","16.53","","","","","","","","","Training","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-4-77ed3ca5f83cfda219934426fbba4703eb77fd7f","33e3f2e817329c1be562eb49bf8b43a50b44e6a2","root.record.ItemExhibitList.P5Item","33e3f2e817329c1be562eb49bf8b43a50b44e6a2-0-b0dbcd8ad027cee1e0a95bea0e3c8a6adbbaeda3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-34016b661d774e05fd8e219ad23c6c45050602ae-0-efecf78e667803106875b2d82baeedfafd596249","12.999","0.514","","0.252","0.252","","","","","","","","","Support","34016b661d774e05fd8e219ad23c6c45050602ae-0-52502ff6bdcce5e70b7cfb7e4827dbabf67afbdd","34016b661d774e05fd8e219ad23c6c45050602ae","root.record.ItemExhibitList.P5Item","34016b661d774e05fd8e219ad23c6c45050602ae-0-344775cd4b0d69e903798019881d852c759605c7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-342904c54a30defa393c143206ecf6fbb23bf1f6-0-fd5f25922b1a6a0f7b5db35a2ec5468a42863c31","2.09","0.42","0.557","1.004","1.004","","","","","","","","","1V555 Production Support","342904c54a30defa393c143206ecf6fbb23bf1f6-0-04b49ec4282b3d8fcc1c2b808dd7974f7fa82e5d","342904c54a30defa393c143206ecf6fbb23bf1f6","root.record.ItemExhibitList.P5Item","342904c54a30defa393c143206ecf6fbb23bf1f6-0-a453a89588bbbe5d1e5c51d0f884a949a166da9e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-098a308e755ec98bcc3b0bbaf9eafefeafeca3d9","","","34.014","14.521","14.521","","339.503","631.578","57.591","65.516","70.523","49.91","","Support End Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-f78dc46bf67b21d4453af402d727caf4ee83d052","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-356f361facf4de38ddc5a30fa41a25ba299cc06d-0-fac4b28ccd0edb383f914fd865e5ae558ac10d0a","424.544","52.02","104.571","87.255","87.255","","273.909","1118.955","39.827","55.887","44.082","36.86","","","356f361facf4de38ddc5a30fa41a25ba299cc06d-0-342555fccaea566d3c06afd2c4c61e83fcb295ff","356f361facf4de38ddc5a30fa41a25ba299cc06d","root.record.ItemExhibitList.P5Item","356f361facf4de38ddc5a30fa41a25ba299cc06d-0-9a22a770d9dbdd065d50db791d48418a25ff0dc4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-07323385105d8ca34658da5695b12bb307f3ded9","","","8.126","","","","","","","","","","","","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-0-12c5547780891fe4c3ea5e884f00beddb4d1dd5c","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5","root.record.ItemExhibitList.P5Item","35f73a0a9aa652b388b84ef9f5b3d27fe65a1ba5-1-9af452066998e80d1b74b369e1cec6b7f8a94ed7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-f2d947969992a6cbdbfa7cd45f3d85bfacb5a7df","3.15","1.729","1.799","1.883","1.883","","","","","","","","","Program Management","39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-19fa09e951411807b25b9b5cdad8ea9c4f5e13f9","39b6f410e84da4a1182f2dbc436f9aa24684eee9","root.record.ItemExhibitList.P5Item","39b6f410e84da4a1182f2dbc436f9aa24684eee9-0-0d97d8b92c143de7debaadc0bca77358c59dd54d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3c64060a2dfc4b67b5787ba782361eff0a1515a5-0-c890163e6250f3e6d5ca259584af6aa2a62e0c8a","0","0","0","0.383","0.383","0","","","","","","","","(AS900) - Consulting Services","3c64060a2dfc4b67b5787ba782361eff0a1515a5-0-0faaec047516bd06651a8edbb4ffbea8b5385555","3c64060a2dfc4b67b5787ba782361eff0a1515a5","root.record.ItemExhibitList.P5Item","3c64060a2dfc4b67b5787ba782361eff0a1515a5-0-4698623bd2b7867ce865fa12001a51e9488d1aa2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-17df0e17f2d704033cdfbc4478debaf2653a7ae3","","","0.215","","","","","","","","","","","Acceptance Testing","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-77d66acb488f932087e39ab3516e3285a2fd59e5","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-a903e0bc44f002b4ec138e66939e00d2b1d00d03"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-f1ddbcb232b030b8958090803f61d1f7e9bc1ca6","","0.919","1.312","","","","","","","","","","","Production Engineering","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-b1134caa188d14b3e827820fc834e070027cdaca","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-a903e0bc44f002b4ec138e66939e00d2b1d00d03"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-8b1c9b9d5ee33cb525e022ac874083e6cb949f70","","0.133","0.11","0.165","0.203","0.038","","","","","","","","Acceptance Testing","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-8b90bb9e506356cd277632f7b190d85c6228eba6","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-657befc375efb83379b8e224b28807e9aad177e0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-cc0136661776adc440f8b4cb0727e9e3481d387a","","-0.74","","","","","","","","","","","","Government Furnished Materials","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-3e544cab6febf8d2335a5427370099f87a00ce04","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-657befc375efb83379b8e224b28807e9aad177e0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-ca09acfa259c2b8c4fb74d6763d03676aaf63aa6","","0.085","","","","","","","","","","","","Product Improvement","3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-8ce56ebfb2bc7fed653688d7724406246c546bb2","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-657befc375efb83379b8e224b28807e9aad177e0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-3-8c1fb63d427f92c20ff6a5f09304cacc7d75c760","","0.578","0.574","1.259","1.259","","","","","","","","","Production Engineering","3de3100441d989989b20b5e97c6df5bf8b33fbb6-3-55e3aa125685e73b133bd85136d1041e509dab24","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-657befc375efb83379b8e224b28807e9aad177e0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-4-6e00a3bd55241e2c5cd18b96253e5d870ac34fc9","","2.312","","","","","","","","","","","","Study & Analysis","3de3100441d989989b20b5e97c6df5bf8b33fbb6-4-5cb4c07b2adb9cf48c3c757dc99de583cae05f7b","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-657befc375efb83379b8e224b28807e9aad177e0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-5999698bc36aca474ecded7d6ce1ddec5e1c7f4a","","0.243","0.27","0.442","0.442","","","","","","","","","Acceptance Testing","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-32374eda59ff2ba6c88eba0f7a1d89d18b740e2d","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-09062950254e3880d42bfa59601153a07717cc9a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-f972fe0fbfba63be8e85e244149a2a1bd38c70fb","","0.78","1","1.5","1.5","","","","","","","","","Production Engineering","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-c6f3e5e99d9781d64648d520069691d2ced1c15d","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-09062950254e3880d42bfa59601153a07717cc9a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-367f5264933f720ab998aaa6916a18f2908083cf","","0.205","0.164","","","","","","","","","","","Acceptance Testing","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-055ec6f5f28bfdfc73804ebda5cbdb69e63a6c60","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-3-a6eb6a2026a551d366322f2759ccabd1c88093fa"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-45b65c923fff5e57682d59d25f8314973ec035cd","","1.693","0.861","","","","","","","","","","","Production Engineering","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-3c1ff0c3275de066b39642dd6b247dd426d6bc37","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-3-a6eb6a2026a551d366322f2759ccabd1c88093fa"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-ddd171d45c150fdc0679f4e72a48766d9c72057d","","0.141","0.089","0.089","0.089","","","","","","","","","Acceptance Testing","3de3100441d989989b20b5e97c6df5bf8b33fbb6-0-629ffd5e4ee782a8918a2b1240f3b8b20808025e","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-4-3faefd0fb2d234e00445081a6b14acecf8ad65d8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-f379a7f196a9ce4214d1a6a7653002690c1dab0b","","0.401","","","","","","","","","","","","Product Improvement","3de3100441d989989b20b5e97c6df5bf8b33fbb6-1-0bf879fc7a931759cf1dca1fd8400c159b92349f","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-4-3faefd0fb2d234e00445081a6b14acecf8ad65d8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-1e117bf15e1d0340fd0002b2a84524c24fa7162f","","1.111","0.607","0.626","0.626","","","","","","","","","Production Engineering","3de3100441d989989b20b5e97c6df5bf8b33fbb6-2-bc82bfaf47ec73ec652bd4f0fe00d5e10eda6e67","3de3100441d989989b20b5e97c6df5bf8b33fbb6","root.record.ItemExhibitList.P5Item","3de3100441d989989b20b5e97c6df5bf8b33fbb6-4-3faefd0fb2d234e00445081a6b14acecf8ad65d8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-c2669b1bcc703d97fc317d0f73901585e9f8b4b9","12.538","0.275","0","0.206","0.206","0","","","","","","","","(1R555) Production Support","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-544124024b965792772a0ab142edcbdd5869358b","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-4052fb864c64d909e3ccfa24f15fc9711fff840f-0-f97dce5df862ce489b099fb09a1abaabc862760a","0.323","0.3","0","0","0","0","","","","","","","","(NR776) Non-FMP Pre Installation Design","4052fb864c64d909e3ccfa24f15fc9711fff840f-0-da14ebba809fb089e519d73e889b878f96787b45","4052fb864c64d909e3ccfa24f15fc9711fff840f","root.record.ItemExhibitList.P5Item","4052fb864c64d909e3ccfa24f15fc9711fff840f-0-93dcf9fb5a62cc4439670be850027855758b40fe"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-0-8424be6b5026775c0b0dda5b5a5daf99e39baf2b","0.071","0.287","0.293","0.299","0.299","","","","","","","","","Operational/Site Activation","42d190620d15d0c0b4dcd22eb9710643108888bc-0-5d85b0242d7427b3163cf2fbe1169577f1b63ca1","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-1-ce384494c40dc36cf626ade3386968d91cff0ade","0.359","1.486","1.515","1.544","1.544","","","","","","","","","Program Management","42d190620d15d0c0b4dcd22eb9710643108888bc-1-1706944b1654912c1bb46315fa6d7b2639661c7a","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-2-a3c92dba106b79f2bd389e5248baff25b4640f81","0.445","1.313","1.617","4.954","4.954","","","","","","","","","Training","42d190620d15d0c0b4dcd22eb9710643108888bc-2-737bfb8aed8e1c6db1600a973a150ae1d8691006","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-0-439877bba9ede02867f7283bfdbd9cf89d732b67"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-0-35b807c2abe87659195cca12bb5d5bac31b0ad56","","5.592","7.491","13.4","13.4","","","","","","","","","Program Management","42d190620d15d0c0b4dcd22eb9710643108888bc-0-d0490a0df081ec200511cf76daba6d66b8deba13","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-1-850154c555bafab75f6d1222e37e07d2c03706bb","","2.346","2.565","3.625","3.625","","","","","","","","","System Engineering","42d190620d15d0c0b4dcd22eb9710643108888bc-1-395e8b73c41d66032c4a9ff2fde8a7b021010a9d","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-1-69bbe641a75b51d04f25b48cbb2575f0f2881f6e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-0-4592f13c007327c5735851a4f5578fd36cbadd55","","","","3.014","3.014","","","","","","","","","System Engineering","42d190620d15d0c0b4dcd22eb9710643108888bc-0-8dd2def31e750560b575cf61503cb91bb374238d","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-2-c19e7045fd935c7f8cf00934e254afb697250b8d"
