"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"General Atomics Poway","","CA","1.50","18.00","4.00","9","1","19","20","9","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-44c86a3978b11f27802226259182cca5d3013fe5","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-c77a6c048d799e63a90a35c5188569a1ffad45ca","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-2-4643c1f19921313b4131ee9a0bfbf3bd7797f618"
"General Atomics Poway","","CA","1.50","24.00","1.50","5","1","19","20","5","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-41a9b1a7c86fde12a78eb3842e7be3ebda04be6d","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-d82042865d94ea97fee9e00c256fd3098167abf8","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-3-b42f9851c525be261020c9a95db90c48969a4db3"
"General Atomics Poway","","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-058a0e7f5e94287c0a87e4a94ad2fae94c696ade","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-bb4fb5b94ce68c535ae334fa908dcb0f913bca70","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-4-85456767d08bf879dd0cf0e1fd1d0e99109f7b0a"
"General Atomics Poway","","CA","4.00","72.00","60.00","9","7","15","22","3","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-cfa9ef9ae4c4d015ee82ec2cdc47937ee02760f2","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-1d71634dd977a2fd96ca6900aea3c4cde2cf65de","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-5-690161e95d1dbed3c00422dcdca0a992ffc0e979"
"L-3 Comm Salt Lake City","","UT/CA","6.00","24.00","6.00","1","9","19","28","9","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-9ca8a3e6c76d4c0f830aeb6b5dca9b1e40716561","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-5db851f62dd6bd32e2007695d6eb34a1683d8bca","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-6-273244c04925f8a2d276dd258e456dd00f471fc0"
"General Atomics Poway","","CA","24.00","60.00","48.00","9","0","0","0","12","8","23","31","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-920a4940a6b1531f26c0933eeedb66a38d719a0b","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-640dce5d265f5661a098542eee67b724d3bade80","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-f9550d523cefed97ddad7723e973ae4680b07dd0"
"General Atomics Poway","","CA","1.50","18.00","4.00","9","1","19","20","9","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-8171ebc665950490289bd6ae7f27c6c652acdb7d","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-d1d59c5f2a780c6576d3be7dce5958261a6f9ab3","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-2-9711f0731f285a5c345564a543d3e98db7a15f5a"
"General Atomics Poway","","CA","1.50","24.00","1.50","5","1","19","20","5","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-15a36daab4306641bae4023c3358db7cc7081296","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-4bb174dc843360cec275d02a37fdc78f357d4901","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-3-d8451192d3ebf14bd35e8d3ab18b89a23cf6ef0e"
"General Atomics Poway","","CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-c84496363cb9ff146b8b0ac497ce86da0aa1fd89","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-71c5d28f70b8d438f3f808ba15af4fd526bf73c1","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-4-5e0db27e0b10c57a1274c66671c6fcb734fa2b88"
"General Atomics Poway","","CA","4.00","72.00","60.00","9","7","15","22","3","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-d909aea76aba57e6697886a4cd1088253fa8a1bc","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9f8c2afa7f5b4cf0674f88e0004385d401c77ff0","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-5-cb951848e9edba05f410606ae23dfc38dd78d8dd"
"L-3 Comm Salt Lake City","","UT/CA","6.00","24.00","6.00","1","9","19","28","9","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-4defb8d9bc51e64a4f98afa72c5e8163d74f37d6","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-6d07e47cc2d7e459a060e0c1ef05852f70cca9f2","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-6-c9699c47a15a0667b6bbc42d32a7fd328cb4dc8b"
"Raytheon Missile System","","Tucson, AZ","300","800","600","0","9","25","34","0","5","19","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-5093223eaf50347a0ffd961c0f6342d6b174b5c3","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-3e5a150608e3fce48014e5c767f083563c37c7c8","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-4a531b11c3d8a059dd5b8e7512aa2f323ae0cdf9"
"SSC LANT","","Charleston, SC","1.00","10.00","5.00","0","7","4","11","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-0fc4a69016a473174cb2ca4029f6a2f5b92a0f9d","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-5b9bc9a68446ad811c7fc2314335627e2641eb8f","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-1-16543a55954508fe9ed1d2066cda5dd4afb8184c"
"Argon ST","","Arlington, VA","1.00","9.00","7.00","0","8","18","26","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-495f1b159a89dd6eb1833712f71e02a71ea306d0","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-6d1c0f0b2d3e06ec8ad617bcbd2514abc228bfe1","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-230f9e61fe87c37268b9c7e7cfd14831a596a7c7"
"SSC LANT","","Charleston, SC","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-7f25e9b476695565fe795e3f966775965088aa60-0-8310690185200f151334af8090454984ec4cd733","7f25e9b476695565fe795e3f966775965088aa60-0-c48d5fc28bd8488ae9da059433d7f97fb35a8ce6","7f25e9b476695565fe795e3f966775965088aa60","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","7f25e9b476695565fe795e3f966775965088aa60-0-f971f8ed274e2b151c6c6eddcb9c4a06f523c8fc"
"TBD","","TBD","1","240","60","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-5e4b53d60e7db56b4058dda3d399c829dbb65709","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-e86a4035d4a6d8017a702b81d23e97a66c463394","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","9b4371a87fb2afe822ed8a764e5589d513dffdb6-1-ff6c030bba9728bd5e0bdad5f7b8eac2210bcb22"
"Air Methods Corp","","Denver, Colorado","10","15","12","0","0","10","10","0","0","4","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-7f149f1487f2c3d71225dbc26ceeab3222880a46","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-997be35a3a230d4064a5cb6a6eb5a2ca07730210","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-236a892c3e20ee34214bc7718eedcd08ce1befaa"
"ARDEC","Production times are estimates based on market research.","Picatanny Arsenal, NJ","0","100","100","2","2","10","12","2","2","10","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4ec5b12c597375239a1c40180004debce5ed40-0-7d61521c273a09ad92a7f9fbbde2747fb9c35a60","fa4ec5b12c597375239a1c40180004debce5ed40-0-df927164c3a509f3458b12d58311bc5e5b647e71","fa4ec5b12c597375239a1c40180004debce5ed40","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","fa4ec5b12c597375239a1c40180004debce5ed40-0-23b6f726483462a54525539a3473b85d6ae9fde2"
"TBD","","TBD","12","833","600","0","10","6","16","0","10","6","16","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-06c993bed2cc6507cde8301ef937581e0973c880-0-74d9eecb0c3f252323380c1c3cc1b3a169d952ec","06c993bed2cc6507cde8301ef937581e0973c880-0-b50688ea3f6e5e610d39fc067fa21ee641aacf44","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","06c993bed2cc6507cde8301ef937581e0973c880-1-c13dd1697da083b1daaf41bac832e95cb1cffb08"
"TBD","","TBD","12","833","600","0","10","6","16","0","10","6","16","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-06c993bed2cc6507cde8301ef937581e0973c880-0-96d4bf315dcc975736191d47b806343893b8c103","06c993bed2cc6507cde8301ef937581e0973c880-0-a097f964bc9a4714284ccac9dcda6f3b288ef498","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","06c993bed2cc6507cde8301ef937581e0973c880-2-784c568171221ac3043cbfb357037552c4d308da"
"Raytheon Missile System","","Tucson, AZ","300","800","600","0","5","0","5","0","0","19","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-15862559356584d1584bc933805dd0dca8065d25-0-4bd0ef48c1dbdee786909b32edd776e729b69b72","15862559356584d1584bc933805dd0dca8065d25-0-57957c53447ed3edb9e3fd9d3c5f1bac10287ec7","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","15862559356584d1584bc933805dd0dca8065d25-1-158700eab73e9ad6140c47fd080d11d6b7ffcea7"
"Raytheon Missile Systems","","Tucson AZ","300","800","600","0","0","5","5","0","0","19","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-15862559356584d1584bc933805dd0dca8065d25-0-1ade0a085f52cd9f0f09ddc587aa872c4fb9d577","15862559356584d1584bc933805dd0dca8065d25-0-9f3f1f1649ff6caa8ad97f15d14619067a6dc5b0","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement","15862559356584d1584bc933805dd0dca8065d25-1-281ff679f706dc9087389387de3db6c213a2a4be"
