"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","","0","0","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-78a5bfbfee281b48f822cfc43fedd913286ba46b","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-d6d8d1b8b28a4a379347b762451291129c4ae0a4"
"Air Force Reserve","","","0","0","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-2-867275ac1377aa5269d940581fe199873e3680cb","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-d6d8d1b8b28a4a379347b762451291129c4ae0a4"
"Army Active","237.023","430.939","480.166","480.166","529.924","500.838","501.025","543.353","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-f47d620cc345571c0e0e0b05a6c54a8753b57626","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-cab3a17f56d40bf4301c2bfb249b2fdf7f5fea8d"
"Army Active","11.018","6.042","7.109","7.109","2.553","2.651","1.91","7.134","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-0-931ccc7d6b5a5e5ab78ad6d571e7e4edc709c018","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup","18f4e4c047fe0159362d16465046570fea849f9a-0-e51b044f1cafd6f188d912a72bdfb64f349e45cf"
"Army National Guard","7.148","4.028","4.804","4.804","1","1.322","1.291","6.156","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-1-61f989af0778f8cbe3e964adc1328241130a5093","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup","18f4e4c047fe0159362d16465046570fea849f9a-0-e51b044f1cafd6f188d912a72bdfb64f349e45cf"
"Air Force Active","42.606","25.846","31.394","31.394","28.181","25.743","23.726","27.352","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-0b70f48a04693b25a8a6a62a0a51c2de73031180","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-022d4161a6fc4abdc3abe9b56c102b9edc05312b"
"Air National Guard","13.276","14.558","17.613","17.613","19.578","19.544","22.94","20.204","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-9eb57095c35fa32feec5c9499cac94e44ff4ec8f","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-022d4161a6fc4abdc3abe9b56c102b9edc05312b"
"Air Force Reserve","5.463","6.687","8.163","8.163","9.555","8.579","7.831","7.994","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-2-e9aa5fd2041a6b35994f4bd0afffef90be4f74ac","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-022d4161a6fc4abdc3abe9b56c102b9edc05312b"
"Air Force Active","","","4.015","4.015","2.851","3.032","2.982","2.411","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-e24aa59fdfe0c3161ca6a35ed33b20cc3fd64b91","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-cdf509cba5bb2847c936fcd828b5fe26f6f0ea70"
"Air National Guard","","","0.634","0.634","2.306","2.281","2.362","1.977","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-2467733be22a0a0eebf5ea9efb61215036a49c6f","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P3AModificationItemGroup","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-cdf509cba5bb2847c936fcd828b5fe26f6f0ea70"
