"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","2.968","2.461","3.465","9.415","5.855","2.481","3.196","5.481","5.95","","","","","","","","","","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6-0-2df1d10d225d08ef185bf6c49db37f9a48f721d7","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6","root.record.ItemExhibitList.P3AModificationItemGroup","55a73f5347cd1a4d0be4a4aff6f0dc847703d6b6-0-7a10d88b7a703990c4960ee658471d365548a299"
"Air Force Active","0.05","","19.814","19.814","26.476","38.87","25.102","8.271","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-8a6f37c7edf4db58ee62ed20e8ee6e55c608faad","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P3AModificationItemGroup","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-c10c6a6dd1db9b4ae21e78c67580e64616e9d035"
"Air National Guard","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-9eb0f9985a37412044da15979cf068b7e186e26d","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P3AModificationItemGroup","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-c10c6a6dd1db9b4ae21e78c67580e64616e9d035"
"Air Force Reserve","0","","","","0","","10.782","7.374","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-2-a3748effad10323f229bdba089b343f55c23783c","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P3AModificationItemGroup","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-c10c6a6dd1db9b4ae21e78c67580e64616e9d035"
"Army Active","5.611","6.171","32.407","32.407","19.016","7.266","1.397","1.324","","","","","","","","","","","5da127033d31ad71dd21b9d1f174374388944d3b-0-716fc2b2a21db42c5c2bbc2b35b750a5cb09988a","5da127033d31ad71dd21b9d1f174374388944d3b","root.record.ItemExhibitList.P3AModificationItemGroup","5da127033d31ad71dd21b9d1f174374388944d3b-0-d0ddc78946be692284600f78e62b2ae1de636fcb"
"Army National Guard","","","1.199","1.199","44.107","24.168","","","","","","","","","","","","","5da127033d31ad71dd21b9d1f174374388944d3b-1-c2e057302afbc5c44832c55fb3477c964b2d0949","5da127033d31ad71dd21b9d1f174374388944d3b","root.record.ItemExhibitList.P3AModificationItemGroup","5da127033d31ad71dd21b9d1f174374388944d3b-0-d0ddc78946be692284600f78e62b2ae1de636fcb"
"Air Force Active","11.77","0","9.621","9.621","0","0","0","0","0","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-c95a55a8a3906b63c7d7913d5083e636a9850b37","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup","6285ef83e6275905a019f8f2cac679326cd16eb9-0-08cde1a78bb67f9c1e82df0d1de51b9608be678e"
"Air National Guard","","0","","","","","","","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-1-58dbe41341266ddb926c17966c0e551b2d5c3351","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup","6285ef83e6275905a019f8f2cac679326cd16eb9-0-08cde1a78bb67f9c1e82df0d1de51b9608be678e"
"Air Force Active","","","30.636","30.636","32.036","24.093","3.039","0.175","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-60ac3f9efae163680b82bfc31c90dd724ae95ab4","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup","6285ef83e6275905a019f8f2cac679326cd16eb9-1-11b97ab929c10a1072c161616d5535f224cd2e24"
"Air Force Active","","7.689","21.867","21.867","21.023","0.052","0.053","","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-c7f62249500191a2fc322690adf5d8bfb5784117","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup","6285ef83e6275905a019f8f2cac679326cd16eb9-2-0ff3e75425a212b927d485f282028b7fef3a31bc"
"Army Active","7.903","6.3","12.118","12.118","7.738","6.765","5.258","","","","","","","","","","","","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3-0-3d5686acdfed278bd6e28d55a4b50f0dda321805","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3","root.record.ItemExhibitList.P3AModificationItemGroup","65ff92dbdc8ead8f1748c3236cae4c6af7dba2b3-0-c03f614a50a64d8ecf4361f4bfb6aa71ae9cb764"
"Air Force Active","2.203","3.131","9.578","9.578","9.067","7.864","8.001","8.148","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-7061259c19c57a91595c36571f94fe20a92f0aa9","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup","67030172280356a644417b388163caafa063f633-0-d3675c7b464944438d518751f7f8b0932ff9cb9c"
"Air Force Active","0","","8.263","8.263","8.44","8.599","9.683","20.045","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-ef33ffe96789ce951418fed7e8c371d400b047df","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup","67030172280356a644417b388163caafa063f633-1-c5574cf02d7c5996711470fa1723d1592c342f38"
"Air Force Active","","","4.214","4.214","6.647","6.547","3.771","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-ec760c7130966db3958877dbfb1618a8cbfb499f","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup","67030172280356a644417b388163caafa063f633-2-93ab2f17fd3b32ecd62454bf992b6c0272103d07"
"Air Force Active","","","4.066","4.066","6.799","2.691","0","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-0214b7f7e2ab9594830a26451f4c1d040e37fa3a","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup","67030172280356a644417b388163caafa063f633-3-36d678474708ce9fb0a23d3864e25742e1ef78ed"
"Air Force Active","","19.19","18.592","18.592","9.332","4.009","","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-d74de5229dcd5c575ecc315c0e6bce0d78f3c439","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup","67030172280356a644417b388163caafa063f633-4-a222b3bf38b3ea1048b71e443651637ea3bf1ced"
"Air Force Active","","","0","14.301","0","0","","","14.301","","","","","","","","","","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-5c34cbd5798c195511c583ddb44fbcb32bbc1f68","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff","root.record.ItemExhibitList.P3AModificationItemGroup","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-7b5b09d9313bc73fd90a7abcc4eceec81b1a6b6c"
"Air Force Active","4.943","","","24.718","0","","","","24.718","","","","","","","","","","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-d8b51e9d62b2f49e457e47e5dd2abbf85ca60623","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff","root.record.ItemExhibitList.P3AModificationItemGroup","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-1-98bac2ee091605b5b9a2488ca2f960a1307731c5"
"Air Force Active","7.837","84.335","0","70","0","0","","","70","","","","","","","","","","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-1eb6025d986a9015512d6e5ea351fcf35e11c063","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff","root.record.ItemExhibitList.P3AModificationItemGroup","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-2-c2a4148ad08abe323f975682bfa5944b442fc96a"
"Air Force Active","0.099","","","26.782","0","0","","","26.782","","","","","","","","","","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-0026eb0d6ec7cf3485f4285832a207aaee4b6828","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff","root.record.ItemExhibitList.P3AModificationItemGroup","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-3-c84acf804ec2282d6d0e8b92202b5bc9953a4839"
"Air Force Active","4","7.9","10.9","10.9","","","","","","","","","","","","","","","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc-0-f14bc3fa061cabe543a900b8ace4f3719c041455","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc","root.record.ItemExhibitList.P3AModificationItemGroup","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc-0-0a19178c9d9e0e3977fed1470fbac18d6ca436e5"
"Army Active","","20.119","150.043","150.043","62.668","16.217","","","","","","","","","","","","","728fa344cd5e998c79ddb5c1f296962f357bfa6b-0-9093ee1e5343a09c4dfb9ef45c0a47df7b9f1497","728fa344cd5e998c79ddb5c1f296962f357bfa6b","root.record.ItemExhibitList.P3AModificationItemGroup","728fa344cd5e998c79ddb5c1f296962f357bfa6b-0-0574dc0c4bf1788b2f3352ba165c7fec75df55b7"
"Army Active","","48.302","6.793","6.793","18.223","19.636","22.023","","","","","","","","","","","","75d9349b2b905d25bddcbe0b6dde56d6481e68f9-0-f33ee33967bd23d6b59a2c66dc91d7a9b6ebea8e","75d9349b2b905d25bddcbe0b6dde56d6481e68f9","root.record.ItemExhibitList.P3AModificationItemGroup","75d9349b2b905d25bddcbe0b6dde56d6481e68f9-0-994989f0d3de00a93201e2f3afaeb2d951e70258"
"Army Active","2.045","","","","","","","","","","","","","","","","","","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11-0-afa24e4478d45f985b4e48fbc1ac72ed574e78dc","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11","root.record.ItemExhibitList.P3AModificationItemGroup","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11-0-5df18dbe8dbcfac32b0b7705f94c702204deeb2e"
"Army National Guard","24.714","","","","","","","","","","","","","","","","","","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11-1-d6891e8b4ec13ce839f894433688dd50fa7535fa","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11","root.record.ItemExhibitList.P3AModificationItemGroup","7eacf7c3cd34d8e1bd13a7c63d84be769fbf2e11-0-5df18dbe8dbcfac32b0b7705f94c702204deeb2e"
"Army Active","5.546","1.19","1.179","1.179","1.179","1.179","1.181","","","","","","","","","","","","811eed1fc54c438d5a1e580c2a75a99fd4c519fe-0-3a6e254b169d21d9b3c6ab1a23a33c518f51a5db","811eed1fc54c438d5a1e580c2a75a99fd4c519fe","root.record.ItemExhibitList.P3AModificationItemGroup","811eed1fc54c438d5a1e580c2a75a99fd4c519fe-0-c10a56ae18554e6e8dfd4498deb5fcc2669581c2"
"Army Active","","5.902","0.383","0.383","","","","","","","","","","","","","","","8747d2d678e1de229c96753abbd4e190160539ba-0-60b546e5690700af5233b94958c9aceb098d9b9c","8747d2d678e1de229c96753abbd4e190160539ba","root.record.ItemExhibitList.P3AModificationItemGroup","8747d2d678e1de229c96753abbd4e190160539ba-0-870a74c531dc6e55f3e6510ca086fc140eaace48"
"Army National Guard","19.676","13.16","","","","","","","","","","","","","","","","","8747d2d678e1de229c96753abbd4e190160539ba-1-97e8be530f52b82bb4e7906911e0c7f628b9bcbc","8747d2d678e1de229c96753abbd4e190160539ba","root.record.ItemExhibitList.P3AModificationItemGroup","8747d2d678e1de229c96753abbd4e190160539ba-0-870a74c531dc6e55f3e6510ca086fc140eaace48"
"Army Reserve","","0.514","","","","","","","","","","","","","","","","","8747d2d678e1de229c96753abbd4e190160539ba-2-69234fbf0ef3d297cde54c6d36c9a384f858723e","8747d2d678e1de229c96753abbd4e190160539ba","root.record.ItemExhibitList.P3AModificationItemGroup","8747d2d678e1de229c96753abbd4e190160539ba-0-870a74c531dc6e55f3e6510ca086fc140eaace48"
"Army Active","63.687","45.597","33.984","33.984","51.986","47.095","42.892","40.022","","","","","","","","","","","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-0-fe049b7429c7510b7624f8a45c770aba49c25901","8af35aa18a6b7f2c0b421eee4e17695f22092ff0","root.record.ItemExhibitList.P3AModificationItemGroup","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-0-37f05ec276d61039cadb7888541642f52a86a3ca"
"Army National Guard","46.318","33.162","31.979","31.979","37.808","34.251","31.194","29.106","","","","","","","","","","","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-1-06dc39911a61526a1b04e33d03f759631d5731c3","8af35aa18a6b7f2c0b421eee4e17695f22092ff0","root.record.ItemExhibitList.P3AModificationItemGroup","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-0-37f05ec276d61039cadb7888541642f52a86a3ca"
"Army Reserve","5.79","4.145","3.997","3.997","4.722","4.282","3.899","3.638","","","","","","","","","","","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-2-0803bc2c582a5a54df80fd631159df353ab00486","8af35aa18a6b7f2c0b421eee4e17695f22092ff0","root.record.ItemExhibitList.P3AModificationItemGroup","8af35aa18a6b7f2c0b421eee4e17695f22092ff0-0-37f05ec276d61039cadb7888541642f52a86a3ca"
"Army Active","8.38","35.97","34.704","34.704","36.771","37.312","28.307","27.604","","","","","","","","","","","8bd696b62855183fbb0c63e845cee12f1c98fdfc-0-142a43737f69774f5a6a77ad6e77d28029d4647f","8bd696b62855183fbb0c63e845cee12f1c98fdfc","root.record.ItemExhibitList.P3AModificationItemGroup","8bd696b62855183fbb0c63e845cee12f1c98fdfc-0-fc38605ff211602dc1d90602f18bb40a0a7676fd"
"Army National Guard","2","","","","","","18.391","19.364","","","","","","","","","","","8bd696b62855183fbb0c63e845cee12f1c98fdfc-1-b4ccae93acee1367804fce7b452595534c46cb4f","8bd696b62855183fbb0c63e845cee12f1c98fdfc","root.record.ItemExhibitList.P3AModificationItemGroup","8bd696b62855183fbb0c63e845cee12f1c98fdfc-0-fc38605ff211602dc1d90602f18bb40a0a7676fd"
"Army Active","91.255","89.694","61.169","62.944","79.16","70.463","3.404","","1.775","","","","","","","","","","91374dce78ad564a78e26c5b4ded15b0737074da-0-a07cc6f10542b897894f0288bac3bf7720267988","91374dce78ad564a78e26c5b4ded15b0737074da","root.record.ItemExhibitList.P3AModificationItemGroup","91374dce78ad564a78e26c5b4ded15b0737074da-0-53ef8291aaa3979673b0714259b15ef976b847e5"
"Army National Guard","34.125","","10","10","10","4","2","","","","","","","","","","","","91374dce78ad564a78e26c5b4ded15b0737074da-1-18be758ae57643cec90fb07f80a15e1a36febd8b","91374dce78ad564a78e26c5b4ded15b0737074da","root.record.ItemExhibitList.P3AModificationItemGroup","91374dce78ad564a78e26c5b4ded15b0737074da-0-53ef8291aaa3979673b0714259b15ef976b847e5"
"Air Force Active","0.67","0.665","6.079","6.079","1.215","0.05","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-0-a7c534e4e440a5b842f18199e4b26dce057b87be","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-0-f5dc61110ec2ea3aa9d9f7b38713ebcafa873bb2"
"Air National Guard","","0.07","1.409","1.409","0.314","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-1-376ef066d9912444506520a6b0079ac9c704a2b7","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-0-f5dc61110ec2ea3aa9d9f7b38713ebcafa873bb2"
"Air Force Reserve","","0.173","1.132","1.132","0.163","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-2-6b7b2556d37ab507b0b566884151791fee786a99","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-0-f5dc61110ec2ea3aa9d9f7b38713ebcafa873bb2"
"Air Force Active","2.381","0","7.924","7.924","3.501","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-0-6f1d5b4dfe4949f6f1539c955a173ee8bd4f3e8a","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-1-52e39b4ec7f38b0c830cd1f6ebf6a959ca40cf44"
"Air National Guard","","","1.19","1.19","","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-1-7ed79149b3474695dd2f1f7f9f3682337d6d807f","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-1-52e39b4ec7f38b0c830cd1f6ebf6a959ca40cf44"
"Air Force Reserve","","","1.05","1.05","","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-2-d26895ba79b004b25ab383439464db3f3dd3b52e","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-1-52e39b4ec7f38b0c830cd1f6ebf6a959ca40cf44"
"Air Force Active","44.282","5.037","41.754","41.754","5.368","0.41","0.41","0.41","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-0-4041c80e30bd29d2bbe34d4ad8570d3a4c8a5e27","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-2-18ddfff0ec55ef9a6ce61781a5d42cfc55e06796"
"Air National Guard","","","12","12","18","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-1-070bc554b1086afc63ae65e4bbf6242ff6b4ab1f","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-2-18ddfff0ec55ef9a6ce61781a5d42cfc55e06796"
"Air Force Active","","","11.7","11.7","9.13","7.83","5.105","1.835","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-0-75a1f81ad2f37c6151530f4aa3253f0e1ea792ce","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-3-bb59f3fe319aff5e8701c75e108d977ffb90354e"
"Air National Guard","","","","","2.22","2.22","2.16","0.395","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-1-adfb360e15f2c5697eb5c2dfdc244f055025ef58","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-3-bb59f3fe319aff5e8701c75e108d977ffb90354e"
"Air Force Reserve","","","","","1.95","1.95","2.135","0.37","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-2-4d21195bd189ece513ee0a4037ae209f7e81b9db","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup","93d26bf0eee9cd63df2611427ac947cf884264d0-3-bb59f3fe319aff5e8701c75e108d977ffb90354e"
"Army Active","27.625","34.727","36.745","36.745","37.46","33.773","","","","","","","","","","","","","964919862abf24e078ef29768a0f40616908095b-0-dfa539bd0adfe2a91c4ea8e6d160ac0413178e29","964919862abf24e078ef29768a0f40616908095b","root.record.ItemExhibitList.P3AModificationItemGroup","964919862abf24e078ef29768a0f40616908095b-0-3bbac0f9de512145127a10d17b05a5873158826e"
"Army National Guard","17.786","23.152","26.393","26.393","26.77","24.276","","","","","","","","","","","","","964919862abf24e078ef29768a0f40616908095b-1-ac35a144979ece730d65aeafd0be8114aead9f07","964919862abf24e078ef29768a0f40616908095b","root.record.ItemExhibitList.P3AModificationItemGroup","964919862abf24e078ef29768a0f40616908095b-0-3bbac0f9de512145127a10d17b05a5873158826e"
"Army Active","10.969","29.817","32.65","32.65","21.731","21.997","23.435","30.787","","","","","","","","","","","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-455e1a9f7d2a774c2d344592fb55d44320afe68d","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"Army National Guard","33.336","13.468","7.521","7.521","6.648","10.723","18.859","17.839","","","","","","","","","","","96e9013bf0cd887728561605fef05e1c28ff4e4e-1-4f6c98280fec8d574cdb75affd061de8ab2417ac","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"Army Active","5.286","3.906","4.417","4.417","","5.434","","","","","","","2","1","4","4","5","","9909b53956078412c08915728fac0f2c9743ed20-0-af7f00d318df3fe5ccbda72690f40baf511e3641","9909b53956078412c08915728fac0f2c9743ed20","root.record.ItemExhibitList.P3AModificationItemGroup","9909b53956078412c08915728fac0f2c9743ed20-0-f970f9f59c08133b71499f29b212f97ace93990d"
"Air Force Active","121.922","68.909","120.416","120.416","117.183","37.14","89.889","63.439","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-0-0057ccb5ae24648d281312fd0d80b00f763b8d58","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-0-cd784db2f56eca7691227ccd62de795b94678422"
"Air National Guard","8.858","8.535","5.419","5.419","12.54","4.873","6.032","5.59","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-1-f5e2231d0519243ce5612b17b547451b33822a8e","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-0-cd784db2f56eca7691227ccd62de795b94678422"
"Air Force Active","9.483","14.221","11.78","11.78","10.72","9.741","17.3","15.361","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-0-7d3aebe75db24e7ace8af8556c51e5b77033a403","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-1-ca43476f7a89c51e4fa163cda24b7d3c5833477c"
"Air National Guard","1.233","1.679","2.72","2.72","2.48","2.261","4","3.496","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-1-4c06c8d619545f1ffbe89ab0371769d90933f692","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-1-ca43476f7a89c51e4fa163cda24b7d3c5833477c"
"Air Force Active","24.543","13.332","13.275","13.275","8.195","5.358","3.992","","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-0-3652de1ba4011d623ec7bc5e98cde7e593b7191a","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-2-001d892c696af96eeb37cc156e51b39d2b6c47a9"
"Air National Guard","","","1.323","1.323","5.972","","1.23","0","","","","","","","","","","","9cebbcd525fbe6ef4996a6be49b44384c42fe350-1-84550a2b9f991e0bfba8fafc41cc114cc95adce2","9cebbcd525fbe6ef4996a6be49b44384c42fe350","root.record.ItemExhibitList.P3AModificationItemGroup","9cebbcd525fbe6ef4996a6be49b44384c42fe350-2-001d892c696af96eeb37cc156e51b39d2b6c47a9"
"Army Active","51.921","16.893","10.807","10.807","5.9","5.903","5.901","","","","","","","","","","","","a036e513e31e4e351eb06a239c54cbe1238f70a8-0-ac4009714a48ee5e20d23896cce97393393c4b7a","a036e513e31e4e351eb06a239c54cbe1238f70a8","root.record.ItemExhibitList.P3AModificationItemGroup","a036e513e31e4e351eb06a239c54cbe1238f70a8-0-e66a3581ec0279d5d7e51cb133c1047761289f10"
"Army National Guard","24.594","","","","","","","","","","","","","","","","","","a036e513e31e4e351eb06a239c54cbe1238f70a8-1-785e9dd4d797f1160dd60820eca767ead2d0c765","a036e513e31e4e351eb06a239c54cbe1238f70a8","root.record.ItemExhibitList.P3AModificationItemGroup","a036e513e31e4e351eb06a239c54cbe1238f70a8-0-e66a3581ec0279d5d7e51cb133c1047761289f10"
"Army Active","","","21.804","26.224","21.434","21.84","18.556","","4.42","","","","","","","","","","a1028304a3dd45919116308ca31c697740782025-0-0e8d5fd54a2aa663785d7cdbff50ce4ef4b0b2e3","a1028304a3dd45919116308ca31c697740782025","root.record.ItemExhibitList.P3AModificationItemGroup","a1028304a3dd45919116308ca31c697740782025-0-cc6573c93fe79728c948fd3570f493d6f9e4ef9f"
"Army Active","181.869","116.153","137.883","137.883","238.141","144.892","133.029","91.698","","","","","","","","","","","a57dbd164ed4b94b6334c44459bcb135a2f4b636-0-8a1d27665203a43e8eb49c6ac640a4711359228a","a57dbd164ed4b94b6334c44459bcb135a2f4b636","root.record.ItemExhibitList.P3AModificationItemGroup","a57dbd164ed4b94b6334c44459bcb135a2f4b636-0-80031605e73d5bd3b135a89d9fc7092dbcd6ffd1"
"Air Force Active","5.786","8.825","10.788","10.788","13.79","11.215","11.708","12.829","","","","","","","","","","","a7ae29628ff661e640db473c3475cf810d898371-0-040424c9a24dea865aa50b6eb84cce8a8338f763","a7ae29628ff661e640db473c3475cf810d898371","root.record.ItemExhibitList.P3AModificationItemGroup","a7ae29628ff661e640db473c3475cf810d898371-0-5d0e542cae6967947e649214076a1289a711ce20"
"Army Active","32.092","90.33","102.943","102.943","188.968","122.257","89.884","25.394","","","","","","","","","","","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8-0-5d0dec4b4aeb906984a8b13c06e080feb2ffbcf8","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8","root.record.ItemExhibitList.P3AModificationItemGroup","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8-0-b438f32521d5e3904b2c5db05ad4df076e6e626c"
"Army Active","183.838","241.883","197.107","197.107","318.94","304.064","201.403","168.76","","","","","","","","","","","ab50805d2d023addef7d205b5e8a023b6d5538b7-0-edb33a043ed6f66e425099484092629075f288e3","ab50805d2d023addef7d205b5e8a023b6d5538b7","root.record.ItemExhibitList.P3AModificationItemGroup","ab50805d2d023addef7d205b5e8a023b6d5538b7-0-00ca930801558ff7b651ee442f9c727e7f1fa0fa"
"Air Force Active","","1.2","4.244","4.244","6.714","","","","","","","","","","","","","","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-56ad7161e1a32d3daa9c50871e0578c86144b1b1","aeb5019273f703e37819eda3d0329f9c6e0b6a22","root.record.ItemExhibitList.P3AModificationItemGroup","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-a870098324d37cc72e2b7a0ada40cb522efd8150"
