"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","QuantityPerAssembly_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"CFE Airframe","See End Item P-5A/NA","See End Item P-5A","18","18","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-0-b0f9cb0e1506d45d3b94859ae8f1b3ee64cc42e1","6","147.041","36.73","0","802.182","323.033","35.205","33.984","62.173","164.016","","1","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-0-4ff92b252a26d180f40e108336285b10fd8201fe","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Auxiliary Power Unit","See End Item P-5A/NA","See End Item P-5A","6","6","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-1-211a6a280e7885a85dc1eadd8d1e8787ff1824dd","3","2.57","3.82","0","40.802","17.012","4.133","5.021","3.764","4.482","","1","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-1-ee41ff43a33fe9b7a0060b180c6f27e7cb05497c","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Engines","See End Item P-5A/NA","See End Item P-5A","14","14","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-2-3231a79e416a841023bf5046669525794b29457f","3","41.86","62.213","0","649.549","278.946","63.301","76.901","57.654","68.674","","2","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-2-04ead37135638266928fc449c1bd8d3bfc2cdf39","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"EGI","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-3-763be12280460fedf254dce9879e8166fd28d17e","3","6.38","9.482","0","103.868","44.809","10.259","12.463","9.344","11.131","","2","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-3-46c804f6cb6353e492a321dded29dd1042df8606","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Heads Up Display AVS-7","See End Item P-5A/NA","See End Item P-5A","9","9","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-4-b6a0541488593ea5ecb23b8694b08e41d7f22a83","3","1.93","2.868","0","31.722","13.86","3.103","3.769","2.826","3.366","","1","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-4-ac178a7edeb64feaeacccba7cfc3109d2df79e82","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Hover Infrared Suppressor","See End Item P-5A/NA","See End Item P-5A","14","14","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-5-d7208c6841b5d2077fdadf541dfbb19a3165fac4","3","","","0","25.361","25.361","","","","","","","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-5-6b05b4aaa67e80d92d01c039a55fbff0c2137e93","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Miscellaneous","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-6-8c64a8be33a4f03b60c2adad5036b0c067883319","3","","","1402.838","1418.489","15.651","","","","","","","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-6-63f6ed0c4f34ebf107a1d18179c86258793049fd","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d","root","b4449fc2a1b2857ca0dbc1aa8f4b97361ca7417d-e4f12f9d04d3c801ef3b16a96ad6dbf4ce039c40"
"Apache Block III - Reman","See End Item P-5A/NA","See End Item P-5A","12","12","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fb4ccd478ddfa35ae3650b55eaf9439a6260afb3-0-1523234fb44e3ff1f72e7cc56b9b48d8645b3bf4","12","192.764","107.707","943.506","2261.075","229.49","150.931","157.338","159.993","158.814","160.532","","fb4ccd478ddfa35ae3650b55eaf9439a6260afb3-0-27527434332900d6da74d3b2d7e0da01c80e4fbd","fb4ccd478ddfa35ae3650b55eaf9439a6260afb3","root","fb4ccd478ddfa35ae3650b55eaf9439a6260afb3-a8c90f650cdbe4aaa8e1d7d77080bd0d33ce9e08"
"Avionics","See End Item P-5A/NA","See End Item P-5A","15","15","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fcec6112c88d0f18a04896b69667bcc45d3bfb50-0-b16f347d21b25c79ca656d97c1c6c3b247442349","16","48.382","33.338","0","266.233","59.882","39.35","40.944","40.854","3.483","","","fcec6112c88d0f18a04896b69667bcc45d3bfb50-0-45d3432a6b99284847fda92b900f61212214f216","fcec6112c88d0f18a04896b69667bcc45d3bfb50","root","fcec6112c88d0f18a04896b69667bcc45d3bfb50-b3b0952511bc148e3be02e0c122b8c0ffd7a03bf"
"Airframe","See End Item P-5A/NA","See End Item P-5A","13","13","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-fcec6112c88d0f18a04896b69667bcc45d3bfb50-1-a360aa9b8a6249c6be7a6d66fc1b3bea3138bd2f","14","72.574","50.008","0","399.284","89.755","59.026","61.417","61.28","5.224","","","fcec6112c88d0f18a04896b69667bcc45d3bfb50-1-639e662847c79d8d90bc5481f820be55a7252db0","fcec6112c88d0f18a04896b69667bcc45d3bfb50","root","fcec6112c88d0f18a04896b69667bcc45d3bfb50-b3b0952511bc148e3be02e0c122b8c0ffd7a03bf"
