"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","QuantityPerAssembly_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Advance Funding","","","","","","0","57.788","0","0","258.332","200.544","0","0","0","0","0","","36dd7c47051ca01f0d0576d928daeadf29a51b02-0-84d1fdea79bad76420cb31137fd4633997da03b5","36dd7c47051ca01f0d0576d928daeadf29a51b02","root","36dd7c47051ca01f0d0576d928daeadf29a51b02-21d46eed016989048e47beb88bf8944ebef67a06"
"Apache Block III - Reman","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-3f982f61065cd1490923e9444f0f81f17d6de7ba-0-0fd62351c0ceaa00208e8cdb0c92be3a3d056984","12","160.237","192.764","","","69.253","107.707","","","","","","3f982f61065cd1490923e9444f0f81f17d6de7ba-0-3ffa4e569fbd91f2add1efbe8d34bc16b2f7d5cc","3f982f61065cd1490923e9444f0f81f17d6de7ba","root","3f982f61065cd1490923e9444f0f81f17d6de7ba-86dc983e8bd47583c14ae3c9611bad3749148308"
"Avionics","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-ad8671529aaa352c15418ae9251c31eca786a0a6-0-8ee763a6dce8b057f443f56f4d9472f522ddc823","16","26.543","48.382","","","33.339","33.338","","","","","","ad8671529aaa352c15418ae9251c31eca786a0a6-0-ccf391d251f4068a4ee39ca5752b8c6ea5ba351f","ad8671529aaa352c15418ae9251c31eca786a0a6","root","ad8671529aaa352c15418ae9251c31eca786a0a6-52af090e2fc23e0ea9f75318e87eba05ee01af00"
"Airframe","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-ad8671529aaa352c15418ae9251c31eca786a0a6-1-4aff935aac44f17f428263b977d1756325d644c3","14","39.815","72.574","","","49.94","50.008","","","","","","ad8671529aaa352c15418ae9251c31eca786a0a6-1-cb2d6fe16eedb6b15e193a48bcc44c1d6ded1efd","ad8671529aaa352c15418ae9251c31eca786a0a6","root","ad8671529aaa352c15418ae9251c31eca786a0a6-52af090e2fc23e0ea9f75318e87eba05ee01af00"
"CFE Airframe","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-0-26ad8c5f91b2b0be12ab2f0417b965dd501ae20b","6","52.18","147.041","","","2820.52","36.73","","","","","1","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-0-cbe57f0824bab09816519e831f476ef6bb85cee4","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Auxiliary Power Unit","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-1-902827dc7eed178b5b73e0d34ad127d035b7a57e","3","2.328","2.57","","","14.619","3.82","","","","","1","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-1-ef78bba347bc791e5143ec3fdfc52b3a09563231","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Engines","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-2-8ecca03c2a32d324bca4eb75f8e8f9f01814a5f5","3","37.926","41.86","","","234","62.213","","","","","2","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-2-8091d5b8a4de6f97fbfc51c684ac4a1e4a32b982","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"EGI","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-3-9daf59a14c55844db889c649abb667bd2a5fda83","3","5.78","6.38","","","38.866","9.482","","","","","2","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-3-6b7d3a210ec51837579f6e82f01be6105f1c7f35","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Heads Up Display AVS-7","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-4-264e3d419dd80230c1c3bba1b41fbee6d5b85413","3","1.748","1.93","","","12.064","2.868","","","","","1","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-4-b2dc2053dfcc38307497135c801d9fb0630c284f","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Hover Infrared Suppressor","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-5-c7b6a8b320d0bc46f9b01b07d51d679e52239843","3","","","","","28.2","","","","","","","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-5-9d8b269392c3c7973be6ee82abbb7a6abd5aa03e","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Miscellaneous","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-af598d1d35233fb46a03a86fbd43f34c89e6e7ee-6-a9f9aefe1db912302801010c25c84e778068df2c","3","","","","","1.914","","","","","","","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-6-1dedb7b94a9c28d4a74042c4522e714168f511de","af598d1d35233fb46a03a86fbd43f34c89e6e7ee","root","af598d1d35233fb46a03a86fbd43f34c89e6e7ee-d132439708e5738dbf7669d9ef498ec596c42914"
"Warhead","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-0-b70854fcaa2ec8b2a748d67fd570b0ae812fdddb","19","","7.687","","","","7.698","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-0-13b4b57dbeb5ba6569a40af1e6026a757d44c091","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Launch Motor","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-1-4720cfd389eac9d04ad23bf92909593d52a02d51","14","","1.547","","","","1.537","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-1-e4f08603a504f55e8baa672824234cd8fbea2773","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Flight Motor","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-2-c8c97ced2e145c728d38494a3535a04bc5224538","12","","0.291","","","","0.289","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-2-4e7944dc7ba9b5fdb33aa9849c70a1e157936416","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"2B Sensor","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-3-149d0add15a5b7ca7b1b1015aa62efef73c2e8d5","18","","4.623","","","","4.705","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-3-9d207df40da1322370aed69ff67640c9f668eb06","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Gyro","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-4-e384da8eb99189155dd29b157a34ec3620aacdde","13","","2.645","","","","2.628","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-4-e78ae7c90cbc63325eb855da09c7427f17435b80","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Flight Motor Case Kit","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-5-4cc87dd30962f2864720804d686946ffc1113a50","10","","0.601","","","","0.597","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-5-bcbf93f377e5a855a3f8ee4ffdd23c5c51937c77","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Control Surface Actuators","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-6-114a1913b737f1192c401e3986e035e1fdf685c5","13","","1.565","","","","1.555","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-6-74234e7b3de5e868e9e038d9320af2a09a7acb77","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"Beacon Shutter Actuator","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b93989c6336f6fbb452a80d1ddd668f34b70ef5d-7-3af8fcc83c02ea097f73be2da0d51525e3a33176","11","","0.927","","","","0.922","","","","","1","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-7-2976fbeaf9288079b4a80f699cb671f716271d26","b93989c6336f6fbb452a80d1ddd668f34b70ef5d","root","b93989c6336f6fbb452a80d1ddd668f34b70ef5d-567329f3c907a1eee1650be9d49c7dfd0f985270"
"GEO 3 Long Lead","","","","","","0","0","0","0","269.419","269.419","0","0","0","0","0","","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-0-b2e526c1050355260a4029bb21a1e9fe43095219","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e","root","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-99903f3a3b9af58cdfd9bb82c77fb4ac19eea5a7"
"GEO 4 Long Lead","","","","","","0","0","0","0","277.999","277.999","0","0","0","0","0","","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-1-a2bac21ea0f0cf2f661e6661338db07945355e48","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e","root","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-99903f3a3b9af58cdfd9bb82c77fb4ac19eea5a7"
"GEO 5 & 6 Long Lead","","","","","","0","243.506","243.5","0","487.006","0.000","0","0","0","0","0","","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-2-138506e34b6a359f2713e45797cfe4a094f57180","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e","root","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-99903f3a3b9af58cdfd9bb82c77fb4ac19eea5a7"
"HEO 3 Long Lead","","","","","","0","0","0","0","124.555","124.555","0","0","0","0","0","","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-3-adddef68e081abfd324ecdb487b183d08c8194a9","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e","root","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-99903f3a3b9af58cdfd9bb82c77fb4ac19eea5a7"
"HEO 4 Long Lead","","","","","","0","0","0","0","53.596","53.596","0","0","0","0","0","","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-4-e09f7b674f3dc4c6ebc14f1cde847557f5e444c7","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e","root","bc49aae9deeef8956b6c97c5a94d8e24bbbbed5e-99903f3a3b9af58cdfd9bb82c77fb4ac19eea5a7"
"Apache Block III New Build","See End Item P-5A/NA","See End Item P-5A","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-be1fef78cb2e54f0bb4d15ed240223791e0dde9f-0-913e583d91f06ff4d58e40563e90ee5f42b29325","12","","104.263","","","","146.121","","","","","","be1fef78cb2e54f0bb4d15ed240223791e0dde9f-0-81bb9ec1ea6e6bbc9f5d7ea190711172aef9689f","be1fef78cb2e54f0bb4d15ed240223791e0dde9f","root","be1fef78cb2e54f0bb4d15ed240223791e0dde9f-bc105a11a7f1085a8562939d8db911fad2aded73"
"Long Lead Parts","","","","","","0","0.000","81.811","0","678.27","80","82.616","74.167","117.855","119.993","121.828","","e1365ba8bd9acbd692762b03dd6eb86e760db1f1-0-a7e9d7ad007d85faa0977f71c51db443a0b321e1","e1365ba8bd9acbd692762b03dd6eb86e760db1f1","root","e1365ba8bd9acbd692762b03dd6eb86e760db1f1-76b9625a2000819e82b3402eef5e171098016f12"
