"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.2.1) Installation Kit NRE - Organic","","","","","","","","","","","","","","3.297","2.116","","15.696","1.091","1.091","1.809","3.136","1.328","1.477","1.442","","","","","","","","","","","","","","","","","","","","","","","","","","","e600bf10a1fd37e945decba89e3144e8bb7fdbd2-0-9a0384a19dd370dc22bd049694538b2367b5f23a","e600bf10a1fd37e945decba89e3144e8bb7fdbd2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","e600bf10a1fd37e945decba89e3144e8bb7fdbd2-0-b3509126293859e9826bca6ab004f5cc97f5a080"
"1.2.1) Installation Kits N/R - Organic","","8","","","8","","","","","","","","","1.637","","0.597","2.607","0.219","0.219","0.154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fabf5c528acd61175c09abe2e3dd2fad70c0e455-0-45d38496bc50f7e1480c2425fdb98518bf643b19","fabf5c528acd61175c09abe2e3dd2fad70c0e455","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fabf5c528acd61175c09abe2e3dd2fad70c0e455-0-63a3933c4dcc0eb589361aa0069264d41ae962ea"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","0.203","0.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fabf5c528acd61175c09abe2e3dd2fad70c0e455-0-08711910b2a457445a1bf189ef30426dfd135250","fabf5c528acd61175c09abe2e3dd2fad70c0e455","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fabf5c528acd61175c09abe2e3dd2fad70c0e455-0-43c1079020312a14c1190d5d2fb14e808291e168"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","7","66.413","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","66.413","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-41c511b32b3d6e0dd04f09c94b5ef5bd55ac08ba","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"KITS NONRECUR Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","28.75","1","28.75","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-dc4c40d7cc452595a86c32142e9d2a3d3582197c","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"KITS NONRECUR Group A (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-14da6898f5cee0cb1d4fcdaaca29f93a816945f6","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-cf8eb2789fadcf8bf0d93cd47f0fce702e3b3f4b"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","2","0.235","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.235","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-07a81a6d564b27d5179f426d140306749b3a7a01","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"KITS NONRECUR Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","2","0.235","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.235","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-be46198d6b4a1c5fbfb1aa78b7f4a3c0f2b0adfd","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"KITS NONRECUR Group A (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","1","0.118","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","0.118","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-91a2d44a77eda44cbb9dd1d34128921965fd5485","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-92df3255dd1c97aa737108691ff67d3e408e191b"
"KITS NONRECUR Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","1","0","0.000","0","1","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-136b45f1c43a1181097b5ec61c4d6630d5c19b4a","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ba8c0849a61b3e16c50266ed23eec590644d7686"
"KITS NONRECUR Group A (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","1","0","0.000","0","1","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-fd075baae2b61acf74e61c001cd031fc2c40ffb2","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ba8c0849a61b3e16c50266ed23eec590644d7686"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.5","0","0.000","0","0.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-7b2cf8b0120499d1d16d7156f78be5a0d2f685d1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"KITS NONRECUR Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.5","0","0.000","0","0.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-b31d0c342d4f01ec3be8da64a61f5c460d5d9639","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"KITS NONRECUR Group A (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.5","0","0.000","0","0.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-3ba52f82bc880fa6e6eb006e3a7bd000b880b40d","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.033","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.033","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-d147ba3dfd8c34028330e67b1cd01457de32b4d4","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-7e93db0aed9ff2c732abcb1ff0204c736edd6dd3"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.275","0","0.5","0","0.000","0","0.5","0","0.6","0","0.6","0","0.75","0","0.75","0","0.000","0","3.475","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-f8538747dfbcf7fb4c13d54df3ad9441abc35b18","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-48be65e366f6f52b3f922072c9a2e0414a623aea"
"KITS NONRECUR Group A (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.275","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.275","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-de660648b8c7d6fc8abe3a6935c2cc320d7a2329","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-48be65e366f6f52b3f922072c9a2e0414a623aea"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.065","","2.4","","","","","","","","","","","","","","","","","","","","22.465","512a33a66d6e5a66307605e7f9bd42e6b0bf505d-0-bea24d77a8fd207528211b6b0423778c8aefed0a","512a33a66d6e5a66307605e7f9bd42e6b0bf505d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","512a33a66d6e5a66307605e7f9bd42e6b0bf505d-0-2f7a715a635694d93041441a7a78efec0cca5a6e"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","0.88","","","","0.48","","0.48","","","","","","","","","","","","3.96","512a33a66d6e5a66307605e7f9bd42e6b0bf505d-0-1429ff73664c9412cd8ca783b71ac8aa3e16e796","512a33a66d6e5a66307605e7f9bd42e6b0bf505d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","512a33a66d6e5a66307605e7f9bd42e6b0bf505d-0-e2232d3061e072b732582374d2d4f34c9f4fd645"
"1.2.1)  Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.303","","","","","","","","","","","","","","","","","","","","","","4.303","6d5f5432803e5f298229df5e70f8dd33eae83390-0-c77f28c108b1b90713d153241f147de9ab0342f2","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-8c93c88dd215ec0a08252c4c11b25db00af1aa68"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.043","","","","","","","","","","","","","","","","","","","","","","7.043","6d5f5432803e5f298229df5e70f8dd33eae83390-0-f5f11af9b0bf68f50eda003277b6ce3182f95f07","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-6102d2e74f7b57939293b31ea6cb6e5e13abd6e8"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","1","9.208","","","","","","","","","","","","","","","","","","","","","1","9.208","6d5f5432803e5f298229df5e70f8dd33eae83390-0-7b8e377c6216b10485a1f4fd02dfd9d43fcf3249","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-0af6bfa65bc453cc72234f9a115a7b8ff92acc0d"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.258","","","","","","","","","","","","","","","","","","","","","","1.258","6d5f5432803e5f298229df5e70f8dd33eae83390-0-31069162f2baebc230077d2b8fa8e8b25d6f3e13","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-719c1f7294c71d6007a30c532da5d06c6a5c59e7"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.034","","3.682","","","","11.421","","","","11.421","","2.958","","0.399","","","","","","","","42.494","6d5f5432803e5f298229df5e70f8dd33eae83390-0-06138a1886e2f8fdf00ba083b3590580159a4cdc","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-9d75037a9ce27fa500a0a4e13a5b9fef738ebf19"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.303","","0.03","","","","","","","","","","","","0.025","","","","","","","","0.358","6d5f5432803e5f298229df5e70f8dd33eae83390-0-79844fcb4b3688ad29326f39285d3ae92fe682b4","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-17267eabf9d5755befa03c3672fcd4657a80a12f"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.672","","1.681","","1.7","","","","","","","","","","","","","","","","","","6.053","6d5f5432803e5f298229df5e70f8dd33eae83390-0-361870701804a8b7ca1940b2901094927afc0285","6d5f5432803e5f298229df5e70f8dd33eae83390","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d5f5432803e5f298229df5e70f8dd33eae83390-0-e889ff95b60e6bb5d334f75dfc56aab8b6052b6c"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.786","","","","","","","","","","","","","","","","","","","","","","7.786","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-f5881b0f0b27907a7d67959ec2cd811f3109ceb8","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-d3c71b58aa2b8bfbfc57fc3fa3384210c3bee81e"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.104","","","","","","","","","","","","","","","","","","","","","","0.104","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-e9374aefdb7b3d5f2b535102b63eaade8cb98d47","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-bd803c708a6832aea6e2ec35dc99a10e4ac411b7"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.344","","","","","","","","","","","","","","","","","","","","","","3.344","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-3af1d96f9d1e5c4b1807a8a9e9113eb1892fc918","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-1ca0205eb58ec9cc84d39f8f53fd2a3e0555f0b9"
"1.2.1) Installation Kits N/R - Organic","Increase in installation kits non-recurring 1.2.1) is due to emergent safety, obsolescence and aging aircraft requirements (Fatigue Tracking Program, Bullet Fairing Replacement, Advanced Memory Unit (AMU) relocation, Environmental Control System Cold Air Unit, Dual Temp Switch and Canopy Latch.     ","","","","","","","","","","","","","","","","","","","","","","","","","","","7.844","","0.3","","4.269","","4.888","","","","4.888","","4.081","","0.372","","0.376","","0.38","","0.833","","23.343","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-dcbc5ecaa510f12deb5b1c1b457bc90787edd469","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-95c1f8f1b800aadb17fe31ad1c7636687972b628"
"1.2.2) Installation Kits N/R (OCO) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.532","","","","","","","","","","","","","","","","","","","","","","4.532","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-1-a20582ce14a92d87946b2286d62c1f1ce13e4db9","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-95c1f8f1b800aadb17fe31ad1c7636687972b628"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.157","","","","","","","","","","","","","","","","","","","","","","16.157","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-4a56ecca6bbc9da404f64ef069bca89ea7945212","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6e51b29f258bfd7b4c20b9555d7558a0fd60e8ac-0-3a069f041312cfcb24f71af54e2e4a7ccddddb0e"
"1.2.1) Installation Kits N/R - Organic","$4.5M in Prior Year realigned from OSIP 11-84 to OSIP 10-99 for H-10 SCS.","","","","","","","","","","","","","","","","","","","","","","","","","","","62.625","","0.1","","","","","","","","","","4.505","","3.869","","","","","","","","71.099","7171863969f4cb6f6533b3f618d30471e078886b-0-4200b6350886d3c42e9150006e3a7991a511cb7b","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-a84859f3edb0327603e543535e5c8984407c96c2"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.603","","1.4","","","","","","","","","","","","","","","","","","","","2.003","7171863969f4cb6f6533b3f618d30471e078886b-0-e9fac37e84669dd742964adbe2ded5c8b5f63c0c","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-42b2c550d869ec1aa283a6be31f13be1c4507e3d"
"1.2.1) Installation Kits N/R - Organic","SLEP Non-Recurring Engineering (NRE) efforts with Boeing ($30M) were delayed from FY12 to FY13, resulting in decreased NRE costs in FY12 and increased costs in FY13.  Funding increases in FY14 due to ramp up of SLEP efforts.","","","","","","","","","","","","","","","","","","","","","","","","","","","58.136","","18.551","","36.419","","38.97","","","","38.97","","39.672","","40.386","","16.181","","14.21","","29.228","","291.753","7171863969f4cb6f6533b3f618d30471e078886b-0-7514d6b0b92001fabe90814d1c3ed17c39f66cbc","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-9a5d2c8ba8ae733be004440a0c4cfeb91db901e4"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.71","","","","","","","","","","","","","","","","","","","","","","17.71","7171863969f4cb6f6533b3f618d30471e078886b-0-29304606efe6157628b5b0e44278a99fac8e79d9","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-eacbd93d0883252d01e38590d332e74e2fefc9b9"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.526","","0.299","","0.431","","","","","","","","","","","","","","","","","","19.256","7171863969f4cb6f6533b3f618d30471e078886b-0-7bcf9b14354eb53540b11b936c207db7a558452b","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-07bc1fddce9ad5575da89f55b5885a91d8a5abd9"
"1.2.1)   Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.986","","17.986","","","","","","","","","","","","","","","","","","","","23.972","7171863969f4cb6f6533b3f618d30471e078886b-0-e94c17692b28c29ba0bf367e10154769480e8e38","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-4bced0df8bd8c97b56b2b9cca7b390bd479f9c34"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","","","","","","","","","","","","","","","","","","","","","","0.003","7171863969f4cb6f6533b3f618d30471e078886b-0-b6421c65cb50de313db4ce861815d1c69c88203e","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-a55fbe8e6b86f253e0b1397e9bf93ba04146b2f8"
"1.2.1)   Installation Kits N/R - Organic","Installation Kit N/R increase in FY13 is due to significantly increased number of ECPs being managed (procured and installed).","","","","","","","","","","","","","","","","","","","","","","","","","","","27.515","","10.679","","12.73","","12.959","","","","12.959","","13.192","","13.43","","13.672","","13.918","","","","118.095","7171863969f4cb6f6533b3f618d30471e078886b-0-5ad0003d34418ec5036fd9d0ecc6a4f7f07f90ba","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-74ec28aca219d46505440f2145a5a4cb9d0a3978"
"1.2.1)   Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.681","","","","20.65","","","","","","","","","","","","","","2.667","","","","33.998","7171863969f4cb6f6533b3f618d30471e078886b-0-0a6f7a4c27eba59e38f549b1f74611a655b32e76","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-1d908035874d202a256f3ded798f85736677bac6"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91","","0.514","","","","","","","","","","","","","","","","","","","","1.424","7171863969f4cb6f6533b3f618d30471e078886b-0-1dbbe63a7b5e9e89b955780941b88b6d2d26dc46","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-cdc10c64fe17f6e1f961b0de791c8439e7d90e03"
"1.2.1)   Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.295","","","","","","","","","","","","","","","","","","","","","","2.295","7171863969f4cb6f6533b3f618d30471e078886b-0-0b444a244b70a13ade4815e9840127a2c37225db","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-99fee57922b94e151522ae723012856306e745b6"
"1.2.1)   Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.605","","","","","","","","","","","","","","","","","","","","","","1.605","7171863969f4cb6f6533b3f618d30471e078886b-0-e258040d57ec0fa0c5f6dfab38a618040b6cc3e0","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-a318701e5e9ae9953792ccd283aa11f46ec1ba6a"
"1.2.1)   Installation Kits N/R - Organic","Installation Kits N/R funding increase in FY15 reflects engineering efforts beginning for DMD replacement kits.","","","","","","","","","","","","","","","","","","","","","","","","","","","11.121","","1.816","","2.637","","1.692","","","","1.692","","6.23","","1.441","","4.473","","","","","","29.41","7171863969f4cb6f6533b3f618d30471e078886b-0-7ef203deb378661badc19ee40e94ce3787f602c1","7171863969f4cb6f6533b3f618d30471e078886b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7171863969f4cb6f6533b3f618d30471e078886b-0-d9b0690427bc1e0851fd2c98cbdb79611dba39e5"
