"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"B-1B","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-385ffd6a5709bf03bf7a530f490ce749cb21b9c3","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup","c4a26dbea460703e501bcb1ec7285c5759fda16a-1-c8b3eaf560c52fd2b102f763cc5edef46d721347"
"B-1B","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-94741773d2149be7fd2f36c9bb02904d8d385711","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup","c4a26dbea460703e501bcb1ec7285c5759fda16a-2-5a3b0d6065cf28ae261a6a5e04c3fe713525ec55"
"B-1B","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-beb37a34ee899b43a026229191c2ab98b4b215c9","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup","c4a26dbea460703e501bcb1ec7285c5759fda16a-3-9fd21c2287a6f4205487024a7d97abf76e8f3b4d"
"F-22","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-74559a488abbf27c81dd43b1de03a8e6b1641e68","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-a33153ff659255f88c1dd1ebec61f06d014d8a9f"
"F-22","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-dc91632cbd547b1bbbad2740234b5d41863a9f90","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-049ed38bd91d10957758e24e6f72a68a5be22662"
"F-22","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-ddd160c6e3504ea82307e5329967a119f0a453eb","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup","d134a540fa3fd220d7cf3d1675eccc495774b4a6-2-367d7ebad20bfcbba37dc82a347dbd44ff5a2796"
"F-22","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-ec2305a12f75afefb008e4cc16b502ae5bcaea03","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup","d134a540fa3fd220d7cf3d1675eccc495774b4a6-3-93033ccf58727f30b6762039eddd233676529da0"
"F-22","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6f6207b6da1b40bd8f46b77b3ce60e42aaea3150","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup","d134a540fa3fd220d7cf3d1675eccc495774b4a6-4-56d5dfc15a5261a990aa1be329170d2825e527b4"
"E-3","de7802a7819932447bc9166789f212bae2c6fde8-0-f869166cb00835e8304ab39d7893f70f5fdd7a91","de7802a7819932447bc9166789f212bae2c6fde8","root.record.ItemExhibitList.P3AModificationItemGroup","de7802a7819932447bc9166789f212bae2c6fde8-0-a6655f79aa9c8d7c6e42135dd07110e15244f9e5"
"C-5B/C","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-5e26133f8649c81e2cc20cff5e68e94984a5557b","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-1e69f835931626260c68da127a4877765fe8ed5a"
