"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0506313M","a0e33fbd47ef9e8dd9dac829753c5d03f7585f3b-1-88e7283862dde705d21a2686d30f301807f6acce","a0e33fbd47ef9e8dd9dac829753c5d03f7585f3b","root","a0e33fbd47ef9e8dd9dac829753c5d03f7585f3b-0bcc3db2655bf341e01235d52ff9a618ce590d33"
"0210602A","a24ca574f477a463a56e52d76b1acc0bce8f9b92-0-17f0ef9ffeddb1de2d48ad9d1dffd4c0875066ca","a24ca574f477a463a56e52d76b1acc0bce8f9b92","root","a24ca574f477a463a56e52d76b1acc0bce8f9b92-d2c929a1c37fe78f9914c7e6db4c8386393f60fe"
"0305913F","a24fbd69ef80af2b8df69fe4fdaaf7d0780b82ef-0-aa1952d75974e0b2b23b930740d63020d9f16456","a24fbd69ef80af2b8df69fe4fdaaf7d0780b82ef","root","a24fbd69ef80af2b8df69fe4fdaaf7d0780b82ef-1b53fb10530c97f5beaed32a1a77945766abf62e"
"1160431BB","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd-0-1cae1bfd6785ce1afaf1266ac050983729a8ab68","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd","root","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd-576861c6f9e4821e02be67ddaa1d06427c19618e"
"1160481BB","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd-1-c0d9e3887b76e4ab8d71e01ad5bfed69de3a6f40","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd","root","a2960fc1bf5e20c2f9d8f813908b65805c5cebfd-576861c6f9e4821e02be67ddaa1d06427c19618e"
"0206623M","a2faa660a095c7fe6312a3b4cfc6f83d6ea88f95-0-d5ae8662647c2885da24e7fec5ae483d7d098513","a2faa660a095c7fe6312a3b4cfc6f83d6ea88f95","root","a2faa660a095c7fe6312a3b4cfc6f83d6ea88f95-64b3320b9f9ecd43362f2bd43af5a66dc0b1fdc0"
"0603801A","a332680476510b54ea7252c06d91e099f219938a-0-2131a101bef4876182b861b876007734853945a3","a332680476510b54ea7252c06d91e099f219938a","root","a332680476510b54ea7252c06d91e099f219938a-3b0471de5ea61b03408d5c062ed080d507195635"
"0605830A","a332680476510b54ea7252c06d91e099f219938a-1-7f08684f4b259aedcb7f03db2d70a78a5981d5e2","a332680476510b54ea7252c06d91e099f219938a","root","a332680476510b54ea7252c06d91e099f219938a-3b0471de5ea61b03408d5c062ed080d507195635"
"0305220F","a384c921a3658d23e1478565f6db78daff1bb44f-0-07c7d9de24a494efe3f838d176de8fd83d94d149","a384c921a3658d23e1478565f6db78daff1bb44f","root","a384c921a3658d23e1478565f6db78daff1bb44f-21401a5e0cb3ca7a019f8c1af89268f0f8172ae2"
"1160431BB","a39af9c83998049e6cd24a698e78f92d73afdcdf-0-d60277869d716cd425be0bf9c051d91cb97fb757","a39af9c83998049e6cd24a698e78f92d73afdcdf","root","a39af9c83998049e6cd24a698e78f92d73afdcdf-5c4395f72f40f2e3b4997b83bf8f321a959af5e0"
"0207422F","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-e3f48bb986a38d3b06393661b06e4d7345ff238f","a3deae4cb61de9545dddd9eca9022b9c3044b180","root","a3deae4cb61de9545dddd9eca9022b9c3044b180-45b96a3383461b04df72bfd8d1537218e55cd2c0"
"0207444F","a3deae4cb61de9545dddd9eca9022b9c3044b180-1-5964ee4b018598da32b63bd48692dba36950444c","a3deae4cb61de9545dddd9eca9022b9c3044b180","root","a3deae4cb61de9545dddd9eca9022b9c3044b180-45b96a3383461b04df72bfd8d1537218e55cd2c0"
"0503133F","a3deae4cb61de9545dddd9eca9022b9c3044b180-2-979490a5d3dc0f0d4bcfe1c3a2ce1155f6d4d616","a3deae4cb61de9545dddd9eca9022b9c3044b180","root","a3deae4cb61de9545dddd9eca9022b9c3044b180-45b96a3383461b04df72bfd8d1537218e55cd2c0"
"1160405BB","a490278eec860d0f49c3cb0a0a3f2adc815974c2-0-98e95df8913408024590a5279a357e2d756bbdb1","a490278eec860d0f49c3cb0a0a3f2adc815974c2","root","a490278eec860d0f49c3cb0a0a3f2adc815974c2-23a4edfbd3e5751567349d3c2a4032d6e657aa93"
"0604853F","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-feedb9ba47b71e7a4aacccd8cecf8b4b026d0af3","a4b42ea41376af149fde0a56a4fda0978d60b49b","root","a4b42ea41376af149fde0a56a4fda0978d60b49b-db38cd885618fe8f526bb187857ce575a066293e"
"0305164F","a56f4e9e86f0ce925515127922758f70fe583f8b-0-b06796e6c6d7076f9bbcff9d27ed0887dc18e5b0","a56f4e9e86f0ce925515127922758f70fe583f8b","root","a56f4e9e86f0ce925515127922758f70fe583f8b-6501c7275a3e87fa31190d5d96cc25ecb0061c98"
"0203801A","a666df2aa7d92125bf0b3fb0f306f9bae4a1482a-0-07ee09bf7f567c73fc0291dc07a4737288dfe72b","a666df2aa7d92125bf0b3fb0f306f9bae4a1482a","root","a666df2aa7d92125bf0b3fb0f306f9bae4a1482a-68040875bb6deb4aee38233642f8bffb26efee78"
"0303032A","a6f55d68247915e60c15965e00bda045780b1816-0-9fee6681dd04ac40c53c3fc51378e8b25cfed08f","a6f55d68247915e60c15965e00bda045780b1816","root","a6f55d68247915e60c15965e00bda045780b1816-08d24f49bd6dc9423fd218b4c70a611c88126e6c"
"0708012F","a769a68f3706f9189dd195f8bb70908c6beefae9-0-411c7bbb2037406a0bd88e9f49edaf5f2d071d83","a769a68f3706f9189dd195f8bb70908c6beefae9","root","a769a68f3706f9189dd195f8bb70908c6beefae9-4535e87229801dde523550f0ee14e1cce1e49b71"
"0708610F","a769a68f3706f9189dd195f8bb70908c6beefae9-1-d213dc1cf44ba577410989e379747fd3fec3e7be","a769a68f3706f9189dd195f8bb70908c6beefae9","root","a769a68f3706f9189dd195f8bb70908c6beefae9-4535e87229801dde523550f0ee14e1cce1e49b71"
"0305111F","a7ae29628ff661e640db473c3475cf810d898371-0-b2844753c65220710b022cd4698ac4802548a53d","a7ae29628ff661e640db473c3475cf810d898371","root","a7ae29628ff661e640db473c3475cf810d898371-11cbf1a592f5ba20b1aa99197db96e377face2ab"
"0401130F","a8e7d9628e792637f5e95daa05c4496e6954ca90-0-44bcc5eb5f257d3b4b404657e3141c9b6d38f3f3","a8e7d9628e792637f5e95daa05c4496e6954ca90","root","a8e7d9628e792637f5e95daa05c4496e6954ca90-54b48206c6f7522542179ba06a44d4261e64cf8c"
"0607137A","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8-0-5f3329247f4d555bc104238c5256f795090d3100","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8","root","aa12c6bfc3c6b58c2d4ba7d07ef021160f806de8-fb66c0b09e9c0a9255941b12a59151824ac9e7eb"
"1160482BB","aa34a5f6d8dd53939b52b4c904843f2bdb6dbc39-0-bba9e8bbe77d717b956a8363c438d74a0645257d","aa34a5f6d8dd53939b52b4c904843f2bdb6dbc39","root","aa34a5f6d8dd53939b52b4c904843f2bdb6dbc39-3b041ec755896fb8733e3576eb9c16f22bab538b"
"0101316F","aa449b613f5476c10686c3d71af2e817f2bd33fb-0-c48bddb4f6b8c05863bd9a56179a95fc91eaafbe","aa449b613f5476c10686c3d71af2e817f2bd33fb","root","aa449b613f5476c10686c3d71af2e817f2bd33fb-28dfebbf2bc0617dc711d5e3194232c91d6e82c5"
"0302015F","aa449b613f5476c10686c3d71af2e817f2bd33fb-1-59df17d8bff2cf816139f07300fc5dbde5fd4b84","aa449b613f5476c10686c3d71af2e817f2bd33fb","root","aa449b613f5476c10686c3d71af2e817f2bd33fb-28dfebbf2bc0617dc711d5e3194232c91d6e82c5"
"0204202N","aaba2f9a239c1a1d9ebe8a0984882fe559059370-0-f9ae98f87884e60cb3200fca1a8ca37c778643f8","aaba2f9a239c1a1d9ebe8a0984882fe559059370","root","aaba2f9a239c1a1d9ebe8a0984882fe559059370-512627d757924b664a1db19a0f6eecea493f5519"
"0607865A","ab50805d2d023addef7d205b5e8a023b6d5538b7-0-7fa819eda111ec7ffe2045a8430f497961a32691","ab50805d2d023addef7d205b5e8a023b6d5538b7","root","ab50805d2d023addef7d205b5e8a023b6d5538b7-7917aef4cf5bf171fba949bd10a7ef1c9b1cc34a"
