"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","3384","162","3546","","","","","","","1.113","1.841","2.954","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-9da77a8f7dcda3a027a2a60047b66fffd1c9dab2","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-d019a67bac9488a4076c570e69e4b9a1f001641f"
"Army National Guard","","","1011","","1011","","","","","","","0.349","","0.349","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-a4ce52fcf8bb29d2fc924f093052be152be638c1","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-d019a67bac9488a4076c570e69e4b9a1f001641f"
"Army Reserve","","","756","","756","","","","","","","0.261","","0.261","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-8c059173e908b8daa890c7be776df5863eb35537","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-d019a67bac9488a4076c570e69e4b9a1f001641f"
"Army Active","","","9021","","9021","","","","","14.505","4.959","2.459","","2.459","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-c54711d5525bfd334007804542395e0ae48b3cf4","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-b154f900d87c9d08d6656334c7110a5c3ad573f4"
"Army Active","96","164","261","","261","","","","","10.7","40.11","45.391","","45.391","","","","","0be141ddc121c32f513089cf90f372805ac633d3-0-ef6261939e198157b90c7a006f6881fb872faa91","0be141ddc121c32f513089cf90f372805ac633d3","root.record.ItemExhibitList.P5Item","0be141ddc121c32f513089cf90f372805ac633d3-0-93c6b34e278804c8dafbf22009f3131eb0667831"
"Army National Guard","12","59","48","","48","","","","","2.706","5.1","2.88","","2.88","","","","","0be141ddc121c32f513089cf90f372805ac633d3-1-d24fbc1c48c70213ebe6c7b4a9c9edfdf0e99b3a","0be141ddc121c32f513089cf90f372805ac633d3","root.record.ItemExhibitList.P5Item","0be141ddc121c32f513089cf90f372805ac633d3-0-93c6b34e278804c8dafbf22009f3131eb0667831"
"Army Active","","","","","","","","","","65.252","62.319","58.614","","58.614","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-ff6d67994206af7e7b44cf25a25e2148b4296e9d","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-5597143a17684c49632d3c16d55851df854f2d6a"
"Army Active","190","289","160","","160","","","","","13.092","10.715","6.362","7.233","13.595","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-2419add03ff867627907e84fd967d7ca6056944a","11760a31d4fd15ef84829c35a72f599b1f685f4e","root.record.ItemExhibitList.P5Item","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-5d6cb651814d138b58e8f1b46d319ef529568e0a"
"Army National Guard","135","53","150","","150","","","","","0.554","0.249","0.707","","0.707","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-1-50bcf219f80f93605cf42f55f6df540df5058831","11760a31d4fd15ef84829c35a72f599b1f685f4e","root.record.ItemExhibitList.P5Item","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-5d6cb651814d138b58e8f1b46d319ef529568e0a"
"Army Reserve","160","95","127","","127","","","","","0.656","0.438","0.589","","0.589","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-2-19ac1a07d94d3892188c6d16e4d8322055c4b5f6","11760a31d4fd15ef84829c35a72f599b1f685f4e","root.record.ItemExhibitList.P5Item","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-5d6cb651814d138b58e8f1b46d319ef529568e0a"
"Army Active","","","","","","","","","","17.631","17.894","","","","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-9e672fafc9984aa7f95253d4bbdbeba7d7005a3e","12c4d9b7a502864db4355d490524eca3f7dbbd27","root.record.ItemExhibitList.P5Item","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-fde38af3812a1fba7c86c43574f380264fc9637a"
"Army National Guard","","","","","","","","","","","","14.297","","14.297","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-1-69bc4119695c20dcf11ddc8d41f439bcbf731507","12c4d9b7a502864db4355d490524eca3f7dbbd27","root.record.ItemExhibitList.P5Item","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-fde38af3812a1fba7c86c43574f380264fc9637a"
"Army Reserve","","","","","","","","","","","","9.531","","9.531","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-2-6ac862c2956cc8bfec68e57ab646bfd6a8ea47bd","12c4d9b7a502864db4355d490524eca3f7dbbd27","root.record.ItemExhibitList.P5Item","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-fde38af3812a1fba7c86c43574f380264fc9637a"
"Army Active","182","","","","","","","","","0.682","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-0-834425a92cbc5f2c35f171e83f52c75b0cb6fd59","173985485f7c6c76710355ff44e0680c1ea97cf0","root.record.ItemExhibitList.P5Item","173985485f7c6c76710355ff44e0680c1ea97cf0-0-3728ff39bef87ca6b9b418fca864900ed25a3e5b"
"Army National Guard","573","","","","","","","","","2.146","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-1-21f8f41f88197f8271752cf718007f310aadac79","173985485f7c6c76710355ff44e0680c1ea97cf0","root.record.ItemExhibitList.P5Item","173985485f7c6c76710355ff44e0680c1ea97cf0-0-3728ff39bef87ca6b9b418fca864900ed25a3e5b"
"Army Reserve","406","","","","","","","","","1.52","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-2-7b9bf3100b0df007e9ae6938f20dd61fb6155fed","173985485f7c6c76710355ff44e0680c1ea97cf0","root.record.ItemExhibitList.P5Item","173985485f7c6c76710355ff44e0680c1ea97cf0-0-3728ff39bef87ca6b9b418fca864900ed25a3e5b"
"Army Active","","","4","","4","","","","","","","3.927","","3.927","","","","","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-feb08e6cfd3ae6984103944dbd5f4091f99ca682","1778b846fe2398bcb89813ebc1b09ab7bbe2302b","root.record.ItemExhibitList.P5Item","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-44aee3af264b97a2c99b2d0bb74d74bc50af7c45"
"Army Active","","","","","","","","","","0.969","1.403","","","","","","","","1818754580ed19d402b532fe8b3558222e40146c-0-dfdccd049bf7faa5b2ea7d001efa4830b528e675","1818754580ed19d402b532fe8b3558222e40146c","root.record.ItemExhibitList.P5Item","1818754580ed19d402b532fe8b3558222e40146c-0-cce2416414313ca1f96ce29a92ecfb7195ac84e9"
