"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","","","124.41","98.723","130.316","","130.316","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-6b85740c66ea832f8510e73f276912f8fc12e979","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item","43d3554eb744da6b704f76d75f1225b38f0de759-1-0cc9233686d83eddbad8ede53ed4f9df9779c5db"
"Army Active","","","","","","","","","","","1.298","1.557","","1.557","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-08846519e53d23d15a40ff98ee7295b0f79cebfd","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item","43d3554eb744da6b704f76d75f1225b38f0de759-2-1d51d73780af49b829ae07881c6a872e1923f246"
"Army Active","","","","","","","","","","8.355","2.975","2.921","16.01","18.931","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-fb3654ad82c804bd8b0cd87f9e1eec1065fbce1f","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item","43d3554eb744da6b704f76d75f1225b38f0de759-3-2e5e113a4d3f94c6aa96d6bcf761ee38e74023d0"
"Army Active","19","17","","","","","","","","238.081","286.973","55.388","","55.388","","","","","45593f49d3ecd674955a0998b3c3c187c988deca-0-e3fff243daa374e3cbd43c16838f0416d5a087b4","45593f49d3ecd674955a0998b3c3c187c988deca","root.record.ItemExhibitList.P5Item","45593f49d3ecd674955a0998b3c3c187c988deca-0-d8e42723252d5015396006d924fd80038447b254"
"Army Active","768","1866","1068","698","1766","","","","","126.707","250.617","171.638","75.991","247.629","","","","","472b349e6a288746ab56bd66aa445fa2d7a2d374-0-4597ced73a3d5ccb877e1ba56561c6d12c70cd5c","472b349e6a288746ab56bd66aa445fa2d7a2d374","root.record.ItemExhibitList.P5Item","472b349e6a288746ab56bd66aa445fa2d7a2d374-0-48fc947fc46a6ee822edb35b788fc438e8e131cd"
"Army Active","","4","1377","","1377","","","","","","0.248","1.021","","1.021","","","","","47f328e9cce16fb925b101123777535410db4570-0-7d4d8dacd575e73728d37f00ab9505bf4e72b788","47f328e9cce16fb925b101123777535410db4570","root.record.ItemExhibitList.P5Item","47f328e9cce16fb925b101123777535410db4570-0-ccc87b6cf546b05ba6c8411235c9850c0222d00a"
"Army National Guard","","","2682","","2682","","","","","","","1.449","","1.449","","","","","47f328e9cce16fb925b101123777535410db4570-1-68120c99c379bf792d6d37104f72fca2ae5b72d9","47f328e9cce16fb925b101123777535410db4570","root.record.ItemExhibitList.P5Item","47f328e9cce16fb925b101123777535410db4570-0-ccc87b6cf546b05ba6c8411235c9850c0222d00a"
"Army Reserve","","","832","","832","","","","","","","0.496","","0.496","","","","","47f328e9cce16fb925b101123777535410db4570-2-2ddeb3ec588fbe77c3ceab06b7ad2b4004815e6e","47f328e9cce16fb925b101123777535410db4570","root.record.ItemExhibitList.P5Item","47f328e9cce16fb925b101123777535410db4570-0-ccc87b6cf546b05ba6c8411235c9850c0222d00a"
"Army Active","","","","","","","","","","7","8.224","0.733","","0.733","","","","","4926fab476db4940a94e499f663921450de316e7-0-29582f046cdbad2108360704403e41af789047e4","4926fab476db4940a94e499f663921450de316e7","root.record.ItemExhibitList.P5Item","4926fab476db4940a94e499f663921450de316e7-0-f6c9fb7440f9f937372895b9f3ffcc9f66a5487f"
"Army Active","103","161","149","","149","","","","","24.838","47.842","35.156","","35.156","","","","","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-1bb1f8c167fe262f1487d43b53ecf0dbf4e9228e","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-df75f110e1dfeafa412e27b46a01e149433c03a0"
"Army National Guard","26","","7","","7","","","","","6.405","","3","","3","","","","","4aacb774f539d7c2a7c46490db5ec9db85e64589-1-73bab7790ae007e5f55d94b3cc9a7a5e5c44ff96","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-df75f110e1dfeafa412e27b46a01e149433c03a0"
"Army Reserve","26","47","20","","20","","","","","6.406","10.84","1.194","","1.194","","","","","4aacb774f539d7c2a7c46490db5ec9db85e64589-2-8159520ca10ab80fa544ce2fe6630d14d92b78e7","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-df75f110e1dfeafa412e27b46a01e149433c03a0"
"Army Active","","","","","","","","","","","2.96","","","","","","","","4abe92f368e940041c3a3e16855696ab676ec640-0-8c90946a003a88ffb19156699b311f069ad3b6ca","4abe92f368e940041c3a3e16855696ab676ec640","root.record.ItemExhibitList.P5Item","4abe92f368e940041c3a3e16855696ab676ec640-0-8e6a7dadc6fc0f4442dfc215ad4854674bb78380"
"Army Active","","89","63","","63","","","","","","9.199","10.796","","10.796","","","","","4ba741f8c3701ee3467d43698a47f5db014ff514-0-d0004197c92cfbf56e72102f90bbe0c3a230c773","4ba741f8c3701ee3467d43698a47f5db014ff514","root.record.ItemExhibitList.P5Item","4ba741f8c3701ee3467d43698a47f5db014ff514-0-00b5e36e966df2680214d54ec00f34412b7b9ed5"
"Army Active","","","","","","","","","","6.193","5.291","0.607","","0.607","","","","","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-a1085ee7aed2f84a1873dc3cca259d9deaff1ac6","4d3a942f5cf6e63a895642656b1be42c5fca999c","root.record.ItemExhibitList.P5Item","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-2a70b7b8134fe1aa1033e786d6f8eaf2aed83b56"
"Army Active","","","","","","","","","","4.908","4.323","1.148","","1.148","","","","","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-be3ca969a661ecf96a8678a59865a57bec12f1dc","4d3a942f5cf6e63a895642656b1be42c5fca999c","root.record.ItemExhibitList.P5Item","4d3a942f5cf6e63a895642656b1be42c5fca999c-1-9b2f515959be25d78f482a361d9474cad4be8458"
"Air Force Active","0","0","0","","0","0","0","0","0","2.177","2.205","2.673","0","2.673","2.721","2.769","2.818","2.869","4db4ed055d4807906324121a0154d02a679d9bae-0-138967622e4a785704248607999e0f691aff4c60","4db4ed055d4807906324121a0154d02a679d9bae","root.record.ItemExhibitList.P5Item","4db4ed055d4807906324121a0154d02a679d9bae-0-1f8e7fa22ae7ae0072a8a587f0d8d07396d195ef"
"Army Active","1984","2071","2633","","2633","","","","","54.554","46.326","70.124","","70.124","","","","","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-9f4a06dfdef09ebfefc2fb47212bbcb0b942864c","4f2357d78bb32e088a51b52d66f52cba84dfa327","root.record.ItemExhibitList.P5Item","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-41994dc0fc50c919d6d2216db0a05b825c0c0d63"
"Army National Guard","1401","2403","2532","","2532","","","","","38.522","53.459","35.74","","35.74","","","","","4f2357d78bb32e088a51b52d66f52cba84dfa327-1-04e216e921946bf689aff1e2b2a44ba65ffe3ce5","4f2357d78bb32e088a51b52d66f52cba84dfa327","root.record.ItemExhibitList.P5Item","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-41994dc0fc50c919d6d2216db0a05b825c0c0d63"
"Army Reserve","363","1163","1447","","1447","","","","","9.98","25.872","45.454","","45.454","","","","","4f2357d78bb32e088a51b52d66f52cba84dfa327-2-4874b881cf7934121c64cf1a1447486eb81938e2","4f2357d78bb32e088a51b52d66f52cba84dfa327","root.record.ItemExhibitList.P5Item","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-41994dc0fc50c919d6d2216db0a05b825c0c0d63"
"Army Active","","","","","","","","","","14.225","14.934","3.546","","3.546","","","","","502637844224dcfc674ba80b04ec1885d4e6e267-0-4fa535907cbce1223c2ebd43bb94d879511c8d5c","502637844224dcfc674ba80b04ec1885d4e6e267","root.record.ItemExhibitList.P5Item","502637844224dcfc674ba80b04ec1885d4e6e267-0-2e52ee0c8cefe21d2324caf7b7e7b3c612616df9"
"Army National Guard","","","","","","","","","","6.391","10.665","21.655","","21.655","","","","","502637844224dcfc674ba80b04ec1885d4e6e267-1-f009e8f438d908c4505ec6d2c2b00eff699aea72","502637844224dcfc674ba80b04ec1885d4e6e267","root.record.ItemExhibitList.P5Item","502637844224dcfc674ba80b04ec1885d4e6e267-0-2e52ee0c8cefe21d2324caf7b7e7b3c612616df9"
"Army Reserve","","","","","","","","","","","5.661","15.292","","15.292","","","","","502637844224dcfc674ba80b04ec1885d4e6e267-2-5758d69e34816a7f7b46d0b13d7ca6ff6bee0027","502637844224dcfc674ba80b04ec1885d4e6e267","root.record.ItemExhibitList.P5Item","502637844224dcfc674ba80b04ec1885d4e6e267-0-2e52ee0c8cefe21d2324caf7b7e7b3c612616df9"
"Army Active","30","","15","","15","","","","","5.939","3.265","4.505","","4.505","","","","","51b5b1dd670c47645739b2b59d76dbeee40f91b8-0-cb9b2727b9135d801abe0640fa0e96ec80046ab7","51b5b1dd670c47645739b2b59d76dbeee40f91b8","root.record.ItemExhibitList.P5Item","51b5b1dd670c47645739b2b59d76dbeee40f91b8-0-f04023cb26f4e3cdafbed2fb867894f80cb23514"
"Army National Guard","5","","15","","15","","","","","2.188","3.264","4.645","","4.645","","","","","51b5b1dd670c47645739b2b59d76dbeee40f91b8-1-1aee211e5cf9891a23276dcde4fd0847bc758d26","51b5b1dd670c47645739b2b59d76dbeee40f91b8","root.record.ItemExhibitList.P5Item","51b5b1dd670c47645739b2b59d76dbeee40f91b8-0-f04023cb26f4e3cdafbed2fb867894f80cb23514"
"Army Reserve","4","","2","","2","","","","","2.038","3.264","2.393","","2.393","","","","","51b5b1dd670c47645739b2b59d76dbeee40f91b8-2-99400535cd75fd7f5abcd64815c700c8d65e0015","51b5b1dd670c47645739b2b59d76dbeee40f91b8","root.record.ItemExhibitList.P5Item","51b5b1dd670c47645739b2b59d76dbeee40f91b8-0-f04023cb26f4e3cdafbed2fb867894f80cb23514"
"Army Active","","","","","","","","","","","7.438","","","","","","","","5492b772dbdd59866d94d6adebdd0a3ae8856593-0-c22497b42beff0a1adb39cae1b0a72a9e322b0bb","5492b772dbdd59866d94d6adebdd0a3ae8856593","root.record.ItemExhibitList.P5Item","5492b772dbdd59866d94d6adebdd0a3ae8856593-0-57a6cc021af2012059a024a2128519bf6ead4505"
"Army Active","207","862","739","68","807","","","","","3.988","10.022","9.949","0.894","10.843","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-0-853c60baa9038d96bf13c3a961223662de47d59f","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root.record.ItemExhibitList.P5Item","56c98ab6ff3984410b7a57f67ef6607041bb71fb-0-7a6b6ee2ec06aa8827a1e3da7b8fcdd14279735a"
"Army National Guard","126","545","471","","471","","","","","2.407","6.329","6.258","","6.258","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-1-4002db73d02f395ce72641d254e7d1128fb3003f","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root.record.ItemExhibitList.P5Item","56c98ab6ff3984410b7a57f67ef6607041bb71fb-0-7a6b6ee2ec06aa8827a1e3da7b8fcdd14279735a"
"Army Reserve","52","217","186","","186","","","","","0.993","2.525","2.5","","2.5","","","","","56c98ab6ff3984410b7a57f67ef6607041bb71fb-2-95803f6b1508e31edea440c36d7ed9cd3951638c","56c98ab6ff3984410b7a57f67ef6607041bb71fb","root.record.ItemExhibitList.P5Item","56c98ab6ff3984410b7a57f67ef6607041bb71fb-0-7a6b6ee2ec06aa8827a1e3da7b8fcdd14279735a"
"Army Active","","4","9","","9","","","","","","56.68","122.2","","122.2","","","","","575d808fa0efd73be5b3a22029aa97f89ba474c5-0-3e033d4f10cc772cb19961ef9fc4516ffba8fa8e","575d808fa0efd73be5b3a22029aa97f89ba474c5","root.record.ItemExhibitList.P5Item","575d808fa0efd73be5b3a22029aa97f89ba474c5-0-6948e9973ee69d344c9daa3437632595d18dd0d3"
"Army National Guard","9","9","14","","14","","","","","154.52","141.699","192.309","","192.309","","","","","575d808fa0efd73be5b3a22029aa97f89ba474c5-1-06c923106bc5cfbed4cacc67de013292ede57fa1","575d808fa0efd73be5b3a22029aa97f89ba474c5","root.record.ItemExhibitList.P5Item","575d808fa0efd73be5b3a22029aa97f89ba474c5-0-6948e9973ee69d344c9daa3437632595d18dd0d3"
"Army Active","10","89","75","","75","","","","","10.847","50.722","31.9","","31.9","","","","","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-0-0ebd391b01dc63a6f94efe1ff9b4194074546eee","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad","root.record.ItemExhibitList.P5Item","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-0-bc4bd9c8f389c1ca9b361b67eeefc34d727feda5"
"Army National Guard","","","2","","2","","","","","","","4.68","","4.68","","","","","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-1-d9b4a8af279365d1bdc88e125fb38287b97deac5","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad","root.record.ItemExhibitList.P5Item","5a7523f5b3baa5d78ff95f4220dacf5bc1e054ad-0-bc4bd9c8f389c1ca9b361b67eeefc34d727feda5"
"Army Active","","","","","","","","","","264.331","200.437","109.567","8.284","117.851","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-0-9f88e8f411fedcc3f024195d19806f609ebc0f87","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-0-eafbefa66c294429a3fc7dc56d7b6ae1a6fb7ece"
"Army Active","569","259","169","3","172","","","","","361.709","108.774","144.759","1.288","146.047","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-0-712ffa69ce427b26e418f52baa97c1a391fe04e9","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-1-28dedc38355bb7bdb44c1ce3b0fc8b5c68299720"
"Army National Guard","","588","169","","169","","","","","","307.689","145.886","","145.886","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-1-e8b3e63e0e9d4fd8c069e1e21d9286df27885940","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-1-28dedc38355bb7bdb44c1ce3b0fc8b5c68299720"
"Army Active","266","201","153","","153","","","","","16.36","43.056","18.106","","18.106","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-0-87acc7929f2ba9eb4f29eacf681f26d0494976c4","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-2-cb1b8aceb7e449e3b72bf12eb90a41618b2f326f"
"Army National Guard","208","156","119","","119","","","","","12.935","31.98","5.8","","5.8","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-1-eb94bff1525ec180db45c06d073f6c7f4da3a7e6","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-2-cb1b8aceb7e449e3b72bf12eb90a41618b2f326f"
"Army Reserve","145","15","11","","11","","","","","8.752","3.18","3.48","","3.48","","","","","5a9b8a0ede1562252deaeac1ff985541700606f7-2-7e86133518b22e23d4c70b54e34fdaac764da067","5a9b8a0ede1562252deaeac1ff985541700606f7","root.record.ItemExhibitList.P5Item","5a9b8a0ede1562252deaeac1ff985541700606f7-2-cb1b8aceb7e449e3b72bf12eb90a41618b2f326f"
"Army Active","12","14","","","","","","","","55.896","53.65","","","","","","","","5ab496d463afb221a7a454df37d6852f98a89a65-0-a46e45e0f2066a0c968c4f95ecb694c42815cab1","5ab496d463afb221a7a454df37d6852f98a89a65","root.record.ItemExhibitList.P5Item","5ab496d463afb221a7a454df37d6852f98a89a65-0-67b684554b05e44204b1b225f01ad0413880541e"
"Army Active","35","32","50","","50","","","","","0.924","2.608","4.185","","4.185","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-0-063184c4bb98ec1ea42d2a2c60c15819814985f9","5c8fdfa921ad592270af516cc203734e06f542d8","root.record.ItemExhibitList.P5Item","5c8fdfa921ad592270af516cc203734e06f542d8-0-24d535c54fc5efe6902828c8680e484210780017"
"Army National Guard","155","88","95","","95","","","","","9.189","7.562","8","","8","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-1-d021d4d0150e0eeed120eaeb1c1b8a26aa183397","5c8fdfa921ad592270af516cc203734e06f542d8","root.record.ItemExhibitList.P5Item","5c8fdfa921ad592270af516cc203734e06f542d8-0-24d535c54fc5efe6902828c8680e484210780017"
"Army Reserve","","70","46","","46","","","","","","6.048","4","","4","","","","","5c8fdfa921ad592270af516cc203734e06f542d8-2-f1fc691891b14b05a4425b285c19a5016d7c3a4b","5c8fdfa921ad592270af516cc203734e06f542d8","root.record.ItemExhibitList.P5Item","5c8fdfa921ad592270af516cc203734e06f542d8-0-24d535c54fc5efe6902828c8680e484210780017"
"Army Active","522","1","","20","20","","","","","16.072","0.595","","0.3","0.3","","","","","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7-0-19dcd733b838d77b5a6ea2f5cf3bc1bdefdac9df","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7","root.record.ItemExhibitList.P5Item","5d5fbbdfb008f747f82f1133f4d89b9fb03290e7-0-6cbad05cd08002db4f6af642acdcaff196918d90"
"Army Active","","205","91","","91","","","","","4.692","22.762","25.017","","25.017","","","","","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-0-ab8b7faac0f5e2893af6249aab1c31c169eef9cf","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7","root.record.ItemExhibitList.P5Item","5fdb6bd0fba5a55600d25047eb2263a24d46e8a7-0-60b701bf924a10470524c72e5e98f2fb87fee84a"
"Army Active","5","2","7","","7","","","","","25.394","6.268","8.289","","8.289","","","","","61503134bf84e62a397969b2b3639356a7b8046d-0-3f79fcea338bdcbf982041db2e209dd0ef0ed82a","61503134bf84e62a397969b2b3639356a7b8046d","root.record.ItemExhibitList.P5Item","61503134bf84e62a397969b2b3639356a7b8046d-0-6b3a3299ce5314971cb8b0dc8c8d479d9a8c0c02"
"Army Active","50","82","25","","25","","","","","835.705","1303.574","661.403","","661.403","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-e9ed71520504b4fb7efdc72c039f79a571dfae49","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Army National Guard","31","25","11","","11","","","","","524.8","398.25","267.85","","267.85","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-89d259446470211e9aa530a3d3ac4b17a4c14b2a","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Army Reserve","6","","","","","","","","","108.21","","","","","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-6a22a5ed308d9fd4b1c5128205c731b2e8df2345","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Army Active","","5","3","","3","","","","","","4.894","55.844","","55.844","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-0-0fdbe449df574897d4df4a33a23635a1426dbc1b","6415e152b2f0daa859cd34a686099c5785ff8b5b","root.record.ItemExhibitList.P5Item","6415e152b2f0daa859cd34a686099c5785ff8b5b-0-5abafca4c6da7d361544267cb85799229ee2b916"
"Army National Guard","4","8","3","","3","","","","","4.938","8.652","4.721","","4.721","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-1-aa3c68f9b766e548a5d52fd3c57aed5b07b2e9f3","6415e152b2f0daa859cd34a686099c5785ff8b5b","root.record.ItemExhibitList.P5Item","6415e152b2f0daa859cd34a686099c5785ff8b5b-0-5abafca4c6da7d361544267cb85799229ee2b916"
"Army Reserve","","5","3","","3","","","","","","3.204","4.72","","4.72","","","","","6415e152b2f0daa859cd34a686099c5785ff8b5b-2-4deeff298a7a24852cb7de1e05b51428c3149d9e","6415e152b2f0daa859cd34a686099c5785ff8b5b","root.record.ItemExhibitList.P5Item","6415e152b2f0daa859cd34a686099c5785ff8b5b-0-5abafca4c6da7d361544267cb85799229ee2b916"
"Army Active","","","","","","","","","","435.11","177.345","71.68","","71.68","","","","","6517a383e6c41eb888d2b569db466f4e42f21116-0-7934803270b854ba2fc057a0145154307dfc0306","6517a383e6c41eb888d2b569db466f4e42f21116","root.record.ItemExhibitList.P5Item","6517a383e6c41eb888d2b569db466f4e42f21116-0-353ece2e1694468afeb42741c5e5927fff0b189d"
"Army Active","11","5","14","","14","","","","","5.882","3.854","5.36","","5.36","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-4d5f8309907e41cc25e35214fcd414a59b31c4d9","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-0-0495b9e7fc225a8f6ec9837bee25bf7ed984c5ae"
"Army National Guard","7","8","16","","16","","","","","3.927","4.392","6.084","","6.084","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-0d8780a62b199f1f6fc6a38fbda9337e3f08554a","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-0-0495b9e7fc225a8f6ec9837bee25bf7ed984c5ae"
"Army Reserve","2","2","6","","6","","","","","1.122","1.096","1.808","","1.808","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-59ec6d0d607faf5883382483aa7d4e7bdf8143b8","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-0-0495b9e7fc225a8f6ec9837bee25bf7ed984c5ae"
"Army Active","1","10","4","","4","","","","","4.656","2.771","1.58","","1.58","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-a2260c9fce0b4e592c7746c82a623ddaf9b2f895","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-1-a5d2edb875237a724cf273713f96ea7a1166f0fa"
"Army National Guard","","9","7","","7","","","","","","2.433","2.418","","2.418","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-cf6f807a52f66c28029371a1d004bfe3661db590","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-1-a5d2edb875237a724cf273713f96ea7a1166f0fa"
"Army Reserve","","1","2","","2","","","","","","0.338","0.562","","0.562","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-a54da66c84a836cf58a550d9bae8479675deefdf","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-1-a5d2edb875237a724cf273713f96ea7a1166f0fa"
"Army Active","11","10","14","","14","","","","","2.6","4.362","6.359","","6.359","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-09ad7e0d6195eee066a4b4f52199f96cd4d02396","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-2-98cdf0165e3c2336602ac2b5fa216b71259a0bd3"
"Army National Guard","13","12","14","","14","","","","","8.219","5.193","6.921","","6.921","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-f1350bef0426798789d21c82b81b7d050d2ae36f","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-2-98cdf0165e3c2336602ac2b5fa216b71259a0bd3"
"Army Reserve","1","3","4","","4","","","","","1.37","0.831","1.828","","1.828","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-1d40712787cdca092c838ccbe89351c00b9a0357","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-2-98cdf0165e3c2336602ac2b5fa216b71259a0bd3"
"Army Active","","","2","11","13","","","","","","","0.38","1.609","1.989","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-e23a4ccc0df17da730a6a84ad2a385930a6359b5","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-3-5bcf20ec4170b94b3310af7c3936bb6ba2cf71ea"
"Army National Guard","","","4","","4","","","","","","","0.69","","0.69","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-09f00891fdee5ee3636350bfc7446e4f07b8c545","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-3-5bcf20ec4170b94b3310af7c3936bb6ba2cf71ea"
"Army Reserve","","","3","","3","","","","","","","0.405","","0.405","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-ad1719a1c9bb9cad52b894971a332a755c6aec63","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-3-5bcf20ec4170b94b3310af7c3936bb6ba2cf71ea"
"Army Active","","","2","","2","","","","","","","0.625","","0.625","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-0-591cf0508f8bfe6d3a43b30732bb1aa8c8e4098e","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-4-9db2bff8b890624d0bf8d1865559691f7f3062f3"
"Army National Guard","","","3","","3","","","","","","","0.564","","0.564","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-1-88a5f87dbf196a97be64a8eba0fb4e4dc0775c37","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-4-9db2bff8b890624d0bf8d1865559691f7f3062f3"
"Army Reserve","","","1","","1","","","","","","","0.11","","0.11","","","","","65223a100d6b2741d10b457f41f3b28f4221a759-2-444d6324d802b8767c0191fd0f4509739750ec25","65223a100d6b2741d10b457f41f3b28f4221a759","root.record.ItemExhibitList.P5Item","65223a100d6b2741d10b457f41f3b28f4221a759-4-9db2bff8b890624d0bf8d1865559691f7f3062f3"
