"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","","","39.683","388.385","74.348","","74.348","93.924","458.523","549.852","614.553","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-60f46ba6614d19b6d54e6c00c54eaf830dd168d0","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root","08f0b8c55ab416b3f81c3308a3808c481d43dc37-5ea7c168426ba219d258ac7a6cbebd6259a301f0"
"Air Force Active","","","","","","","","","","70.076","41.93","21.555","","21.555","83.28","58.679","50.959","52","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-be5bf3ca50b76060ecc336c2482b5b4b60effe82","0989a56b20ac2bbaec61f72a12dd4289276b0790","root","0989a56b20ac2bbaec61f72a12dd4289276b0790-7137d152d0bb9a55ce8c628c7c12c89e62656622"
"Air National Guard","","","","","","","","","","14.722","0.732","","","","9.235","4.847","1.486","1.412","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-dcf065a54bdc594ee3225f3309626d06127a925d","0989a56b20ac2bbaec61f72a12dd4289276b0790","root","0989a56b20ac2bbaec61f72a12dd4289276b0790-7137d152d0bb9a55ce8c628c7c12c89e62656622"
"Air Force Reserve","","","","","","","","","","1.596","1.035","","","","1.032","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-465920d01a927877b6adb73e3342e41ebbde0dd1","0989a56b20ac2bbaec61f72a12dd4289276b0790","root","0989a56b20ac2bbaec61f72a12dd4289276b0790-7137d152d0bb9a55ce8c628c7c12c89e62656622"
"Army Active","","","","","","","","","","6.046","6.284","","","","","","","","","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-2d3c9b06075ef4790f63ff70ac48883284fc9725","0b019e9859b658925f8cc253738f656dc7f9a9ee","root","0b019e9859b658925f8cc253738f656dc7f9a9ee-eeba667bb3521ce932e9ea2b6e40704420f8fadf"
"Army National Guard","","","","","","","","","","12.446","13.867","","","","","","","","","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-1-6846e0177fbcdec98feabed7a83962812c284bcc","0b019e9859b658925f8cc253738f656dc7f9a9ee","root","0b019e9859b658925f8cc253738f656dc7f9a9ee-eeba667bb3521ce932e9ea2b6e40704420f8fadf"
"Army Reserve","","","","","","","","","","3.607","5.869","","","","","","","","","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-2-56edf6971ed93597a6875b3d0d34b58a7dfed902","0b019e9859b658925f8cc253738f656dc7f9a9ee","root","0b019e9859b658925f8cc253738f656dc7f9a9ee-eeba667bb3521ce932e9ea2b6e40704420f8fadf"
"Army Active","","","12405","162","12567","","","","","17.468","26.302","3.572","1.841","5.413","14.918","39.652","46.28","74.829","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-bf5758ce6eb897339c6ea01317325a5b7d251f7a","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-f08d418ab227d0c6d1b4d1247379764661ba16fb"
"Army National Guard","","","1022","","1022","","","","","","","9.781","","9.781","","","","","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-f4bbaf5c1a1d6f085b09b8387cc7c4273a812694","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-f08d418ab227d0c6d1b4d1247379764661ba16fb"
"Army Reserve","","","761","","761","","","","","","","4.569","","4.569","","","","","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-c946b45a65ae1b4085a7d7402247eb63059073a7","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-f08d418ab227d0c6d1b4d1247379764661ba16fb"
