"ItemList_Item","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_Quantity","CategorySubtotal_UnitCost","Name_val","Name_@footnote","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0502a95cbc880020dfd0dc07037d52e7c330bcfa-2-e25257d487c4cf6c93f1c1458822f7ced7062ad0","","","","","","","","","","","","","","","","3) LAV SURVIVABILITY UPGRADES","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-2-e72a6d7c3802618fcb69110d958a8b091929e3cc","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root.record.ItemExhibitList.P40AItemGroup","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-ae0179459b4686fb94c2b942a4ec8ec6c2d6cb35"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0502a95cbc880020dfd0dc07037d52e7c330bcfa-3-b67d1f792e51e520ac32a5fac90f30ca8dabc374","","","","","","","","","","","","","","","","4) LAV-25 Vehicles","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-3-3b35ccb2790f14cb76fc89a6796474070c8e7034","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root.record.ItemExhibitList.P40AItemGroup","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-ae0179459b4686fb94c2b942a4ec8ec6c2d6cb35"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0502a95cbc880020dfd0dc07037d52e7c330bcfa-4-3b0f3f7864bcb2e6b38222c87aabe8a95a7cc92f","","","","","","","","","","","","","","","","5) LAV ANTI-TANK MODERNIZATION","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-4-4bcc9ff102d71dc1f465f998cbd754d09cfa4ce1","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root.record.ItemExhibitList.P40AItemGroup","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-ae0179459b4686fb94c2b942a4ec8ec6c2d6cb35"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0502a95cbc880020dfd0dc07037d52e7c330bcfa-5-5af3f06a9f3adf33a6f4524b8f9b0b92bc74f7ea","","","","","","","","","","","","","","","","6) LAV MODIFICATION","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-5-543d80a2b7adfc204df12e0244f95e2a367769fa","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root.record.ItemExhibitList.P40AItemGroup","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-ae0179459b4686fb94c2b942a4ec8ec6c2d6cb35"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0502a95cbc880020dfd0dc07037d52e7c330bcfa-6-b2809b3f5e63d508cffe783c224ebb3450ef4af8","","","","","","","","","","","","","","","","7) Other Prior Year","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-6-0471219a69bfade30d7e60601c12b25995840987","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root.record.ItemExhibitList.P40AItemGroup","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-ae0179459b4686fb94c2b942a4ec8ec6c2d6cb35"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-05279ce5e460efcf5e074b5581f15e2ec247e23e-0-ceb21a4a20b272a1d121bf5712f36354804f76e4","","","","","","","","","","","","","","","","1) Naval Mission Planning Systems","Quantities only reflect JMPS-M laptop procurement.  Quantities adjusted to meet Fleet demand.","","05279ce5e460efcf5e074b5581f15e2ec247e23e-0-66c4bffe7e72ef80d3c838f02f8bd855d59e6310","05279ce5e460efcf5e074b5581f15e2ec247e23e","root.record.ItemExhibitList.P40AItemGroup","05279ce5e460efcf5e074b5581f15e2ec247e23e-0-ab91a187fd87e3a171a9971706037194e02e77d0"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-062d050554c23861e484a0920e3ab5d3e11d2049-0-891bd004f9a65c1669a57650c2ee92e45b7d5258","","","","","","","","","","","","","","","","1) 1U030 Automatic Identification Systems (AIS)","","","062d050554c23861e484a0920e3ab5d3e11d2049-0-957f82fb7e3164846e901fd6b86c8dd7f5955810","062d050554c23861e484a0920e3ab5d3e11d2049","root.record.ItemExhibitList.P40AItemGroup","062d050554c23861e484a0920e3ab5d3e11d2049-0-14dc3228beb732a032e2c589e9d2c8280cb04597"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0646856035e11c5e887b778c154bb55dfab44b02-0-d207818b29cf66375cb5266aa6087b50649ac9ae","","","","","","","","","","","","","","","","1) Unit Operations Center","","","0646856035e11c5e887b778c154bb55dfab44b02-0-922bdfbac3768895cdd73a22c6d04e187d9f5991","0646856035e11c5e887b778c154bb55dfab44b02","root.record.ItemExhibitList.P40AItemGroup","0646856035e11c5e887b778c154bb55dfab44b02-0-45e4521920cf3d5bd6a1f1048d96330b5c1b9e3d"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-0-55864c1fe9976bd4ab8fd75dbb27594cee7e776a","","","","","","","","","","","","","","","","1) 6C001 - WEAPON SYSTEM AND TEST EQUIPMENT","","","06778f5a95e147c9964920dd444850713d95a1b3-0-4d9a65103c01bdd881d47e54a73d50e97e57e746","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-06778f5a95e147c9964920dd444850713d95a1b3-1-724a0726b9a73fe9936a26c50a5e94f4631bad04","","","","","","","","","","","","","","","","2) 6C002 - TRAINING/TEST & EVALUATION RANGE EQUIPMENT","","","06778f5a95e147c9964920dd444850713d95a1b3-1-e744c70dfdb846d6ff1dd8fd1ccba5a84d9af7f4","06778f5a95e147c9964920dd444850713d95a1b3","root.record.ItemExhibitList.P40AItemGroup","06778f5a95e147c9964920dd444850713d95a1b3-0-a7461f641e46775ae16e1df694308410e1061088"
