"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1","Ships Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-b9563eba579da848e975683c735d4d5c9c0653bf","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-ef15c3c6c225f0b72f825d3ffbd59e2842c03c61","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3e9bd6d2ee9de1d7eef55d4c37261a724257c06b"
"2","Communications & Electronics Equip","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-c2c53a4db52c42755795178567d62b02dbc69bbf","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-1-8f7333df5ac0c93d86cb5b333467fbcdb79671b9","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3e9bd6d2ee9de1d7eef55d4c37261a724257c06b"
"3","Aviation Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-f423b3721c74088c402e2f9e2d6375cfe23f0133","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-2-6823ef881d38f56c332c4219540cbf2814200246","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3e9bd6d2ee9de1d7eef55d4c37261a724257c06b"
"4","Ordnance Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-2375b3927aa9f9167fa2b096650316100be5e46b","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3-96a0f9f81a831c315f24edeaf1f6205605f37047","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3e9bd6d2ee9de1d7eef55d4c37261a724257c06b"
"8","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-1a86694444a7c2cd11b1d4bfb2c2924536b810a6-4-949fd03f05f2ad8ce38f93eb2c2840faf3822d94","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-4-b0c400d68d7c284c1d5d5493484cab4232960955","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-3e9bd6d2ee9de1d7eef55d4c37261a724257c06b"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-81674861911f26048d44159c18e66de20a859029-0-be56e0d62bc1346649d14608ded4ffd8404ec62a","81674861911f26048d44159c18e66de20a859029-0-37ffbc89a76935a29ea08be33ad5f1e0d79fae7e","81674861911f26048d44159c18e66de20a859029","root","81674861911f26048d44159c18e66de20a859029-cee4d91ca8721edcacc51848ddb45f4970156121"
"4","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-fccaf764137a38b237a13aaba544b926030cdb83-0-3eec581ecf6d46819e11161dcf9838c728388bce","fccaf764137a38b237a13aaba544b926030cdb83-0-1f9b7593afa5b590477d0497fe1f97ad7087eeec","fccaf764137a38b237a13aaba544b926030cdb83","root","fccaf764137a38b237a13aaba544b926030cdb83-278da38aa73f422421f30f6b7434a816c2ced12f"
"1","Ships Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-0-781c422bf620b2575a4a7918527ac2b232edc0b4","896eddfc2b1fae0032514767adac84c71d12acbc-0-8b754164c6c047837511ffec6b1cf51353f6454e","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"2","Communications & Electronics Equip","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-1-3f73dbdfec8a8a54e4a8c5467f6a98007e18fab0","896eddfc2b1fae0032514767adac84c71d12acbc-1-f40a3d931e92e6f0526e5e05429a270e28f9a6a2","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"3","Aviation Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-2-e5fe890eee235b06d5ebaf9ab1f6123e4ef95bb4","896eddfc2b1fae0032514767adac84c71d12acbc-2-0cb7942c15b6ef638da3adf183bc39169b18188b","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"4","Ordnance Support Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-3-e2c9358c60fbe2cb9635468e8cdcd6c85530cf83","896eddfc2b1fae0032514767adac84c71d12acbc-3-50076e6fc62efbb77f32f8e8f7faa996065a289f","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"7","Personnel & Command Support Equip","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-4-b5c8efb32adb8f17f4c5dde7620ec7103d84c7f1","896eddfc2b1fae0032514767adac84c71d12acbc-4-9b9a9252920f62dbe39771f7e8f5e73cd3f602d5","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"8","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-896eddfc2b1fae0032514767adac84c71d12acbc-5-103db56ee9a9e37b368e71c7f3820f1ebba597fd","896eddfc2b1fae0032514767adac84c71d12acbc-5-005f3fcdb3c0cc8c992c365e8c640409922aff27","896eddfc2b1fae0032514767adac84c71d12acbc","root","896eddfc2b1fae0032514767adac84c71d12acbc-8d805cc2c1c3c2a567b284e24b74ef131da43adf"
"7","Aircraft Support Equip & Facilities","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-e091f34155515aabe9d2e219e6da93d22355ff6a","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-0-91cadc89651d65474721328b96365f5225a6a4de","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7","root","91f3f1df81d6aabc273c6fe9a5ea7506a928a3b7-cfe387a77f030aef1f51ea21e18eb89eebc4d655"
"4","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-97c1b1353895505b39e0182008f3db6beae4965a-0-95282a7639a999af1c21e8269ac2e6ed3977cfa9","97c1b1353895505b39e0182008f3db6beae4965a-0-ba7f8053d00c22cd70028c4c15785b589c2e18ae","97c1b1353895505b39e0182008f3db6beae4965a","root","97c1b1353895505b39e0182008f3db6beae4965a-00fb9aff36ac3188cf0f9e9ef92f0f59d1154358"
"2","Other Missiles","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-a1692faaa82283b99941030d46558eebd913a20c-0-b6cb9815f6aab10aff88757b76f9149015633e12","a1692faaa82283b99941030d46558eebd913a20c-0-17456db4d7699404cb9507894e9e301e71626af4","a1692faaa82283b99941030d46558eebd913a20c","root","a1692faaa82283b99941030d46558eebd913a20c-65b4eb6a13fb13bc0b62e57f0fac85e364424e3d"
"3","Torpedoes and Related Equipment","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-a1692faaa82283b99941030d46558eebd913a20c-1-803ad3d7c2f6481e77a1051e083450f40dd43893","a1692faaa82283b99941030d46558eebd913a20c-1-57ffa830793720c7cc7eb02b0a5a500eae51610c","a1692faaa82283b99941030d46558eebd913a20c","root","a1692faaa82283b99941030d46558eebd913a20c-65b4eb6a13fb13bc0b62e57f0fac85e364424e3d"
"4","Other Weapons","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity.EndItemList-a1692faaa82283b99941030d46558eebd913a20c-2-43b021375dc6a3771e2b0d0c1e0c06d12500fc75","a1692faaa82283b99941030d46558eebd913a20c-2-6956b22b42b8c922c5ec536dd02703421cdb1409","a1692faaa82283b99941030d46558eebd913a20c","root","a1692faaa82283b99941030d46558eebd913a20c-65b4eb6a13fb13bc0b62e57f0fac85e364424e3d"
