"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"ECP 992 PRGB Atmospheric Protection Kits:INSTALL KITS Group A (Active)","","","","12","12","12","12","51","12","3","","","","","","0.269","0.269","0.269","0.269","1.143","0.269","0.067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-482ba5f6733efae3b869d18525ada035d4ee4d1c","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-24-6b9ae6473afeed60191ce04221eb8ac7a9a960d8"
"ECP901R2 Beefy Cables Retrofit Kits:INSTALL KITS Group A (Active)","","15","11","","","","","26","","","","","","0.078","0.06","","","","","0.138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-a6496ad0bbcf58de580db52e02958ee6af77d843","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-25-388fed462eb04f19d84f7f0d093e4f1867121562"
"ECP901R2 Satcom Egg Beater Antenna Kits:INSTALL KITS Group A (Active)","","15","11","","","","","26","","","","","","0.331","0.25","","","","","0.581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-d2e76120995974e90de731a3359dd5e15ccfd53a","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-26-ad09fc6bbed270c99198f7645508c223d6feba05"
"Formsprag Clutch Impr:INSTALL KITS Group A (Active)","","","","","","","10","51","10","10","10","11","","","","","","","0.91","4.641","0.91","0.91","0.91","1.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-d6101fecd14c0fcdd393c789261a5f8bf85cf777","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-27-5c2562d8b8432f9bf16e0362f0f6c5b1e9dfad43"
"Fwd Looking Infrared Systems Electronics Unit (FLIR SEU):INSTALL KITS Group A (Active)","","15","","15","10","10","11","51","","","","","","0.702","","0.557","0.379","0.379","0.421","2.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-df7052445ccb0374567d991a04c5c3f177a281e0","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-28-502a13fcdcc5bd3aa1b7b17602d9b97af9f5424f"
"GAU-21 Gun:INSTALL KITS Group A (Active)","","100","","","","","","100","","","","","","2.007","","","","","","2.007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-747c12fb563388097b9d9bc1843045cbdde1fa4b","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-29-11de3b21c8d838a33a667e95cd5c5d6bf5408be6"
"Improved Inlet Solution:INSTALL KITS Group A (Active)","","","","","","","6","51","10","11","11","13","","","","","","","10.5","89.25","17.5","19.25","19.25","22.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-b294eaeb753b0111e21d9998bf281ea96c1b7a4e","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-30-3c53975e63d1b7acf5398a24d6c273bdc110d167"
"Intel Broadcast Receiver Upgrade:INSTALL KITS Group A (Active)","","","","","","","","51","","","","51","","","","","","","","5.1","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-10eb4a2bdfe320e80e2c28316a3f81798a16222a","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-31-63cb089f91069a53c1f7343c381795f4de9b86dd"
"Life Limited Airframe Components Impr:INSTALL KITS Group A (Active)","","","","2","3","3","3","51","3","4","5","31","","","","0.036","0.054","0.054","0.054","0.918","0.054","0.072","0.09","0.558","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-c8e3a3740abf2da34d787d2745c9b4b4ff1c9d61","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-32-00648d2b0fb32a8562f9af01e742e112c321352e"
"MCOI CAPRE kits:INSTALL KITS Group A (Active)","","","5","","11","11","11","51","11","13","","","","","0.055","","0.122","0.122","0.122","0.565","0.122","0.144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-f6c9a61c195d2feff70ae277390923f5b7efd6f5","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-33-a64e49a928d4b4a0c886017817af37e6f6c44963"
"Middle Auxilary Fuel Tanks:INSTALL KITS Group A (Active)","","","15","","","","","15","","","","","","","3.109","","","","","3.109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-9c7a18eba2c9ebd3831529fbeb657433d5378a02","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-34-a1e04d72bd2b9a1e128a017eed212a43b4658590"
"Prop Rotor Hub Spring & Drive Link Impr:INSTALL KITS Group A (Active)","","","","","12","12","12","51","12","12","3","","","","","","0.82","0.82","0.82","3.485","0.82","0.82","0.205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","adb2b3f3703bf00ad87444e6ac928198461bd808-0-d91bde38729d850613a639b5a4b58afc0424fc8f","adb2b3f3703bf00ad87444e6ac928198461bd808","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adb2b3f3703bf00ad87444e6ac928198461bd808-35-5b143a1e52a817f662d7a57e80543c9a9eab07ba"
"1.1.1) Canopy Fracturing Initiation System (CFIS) - Ballistic - Organic","Unit price difference due to quantity price breaks achieved in FY 2015.","","63","46","71","71","115","295","","","","","","","0.036","0.186","0.1","0.1","0.1","0.422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b-0-9bf95f9567b9f657bb50856024a48b998d7b8a61","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b-0-29e648ab7bfc7ad829e6cf2797ea0b743306b649"
"1.1.2) Archived ECPs - Organic","","","","","","","","","","","","","","16.255","","","","","","16.255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b-1-39b178e2c2cf5fb12457ee0651449e2026731411","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ae223e8d6e7dbfc159f6a9cb1419a762ef31342b-0-29e648ab7bfc7ad829e6cf2797ea0b743306b649"
"PME DMS Installation Kit:INSTALL KITS Group A (Guard)","","11","","3","","","","14","","","","","","15.103","","12.6","","","","27.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-00fa487752191ad336ae5ad5ed5f997559e8b635","aeb5019273f703e37819eda3d0329f9c6e0b6a22","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","aeb5019273f703e37819eda3d0329f9c6e0b6a22-0-97e23bf5c0db547bd6f4eaed9b82104961545982"
"Inc 3.2B Kits:INSTALL KITS Group A (Active)","","","","35","36","36","72","143","","","","","","","","0.5","0.5","0.5","0.9","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-9aefdb2fed4edce0d4f9409bd9d6c778d41568ab","b2c26ce1e78ba44a52067554392835ac6c994ee5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-3137cfd089b8d77542ba5a3fbef2a51f9ec70229"
"1.1.1) Archived AKits/Recurring - Organic","","2539","","","","","","2539","","","","","","20.679","","","","","","20.679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-520b5bd162b7d2b0a72b4f60d137f8a36c608184","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-ba2f209fa11b880f82da06d3392562837f3af2b2"
"1.1.2) F/A-18 A-Kit - NonOrganic","During FY 2017-FY 2019 A-kits are being procured for F/A-18C 2-dispenser, F/A-18D 2-dispenser, and F/A-18D 4-dispenser configurations.  The A-kit components and unit costs will vary, depending on which type, model, series (TMS) will receive the modification.  Commander, Naval Air Forces (CNAL/CNAP) is continuing extension of flight hours and service life on the F/A-18s, possibly to FY 2031, to fill strike fighter shortfall, requiring (49) additional aircraft modifications.  FY 2019 funded (25) F/A-18 A Kits, leaving a Cost To Complete quantity of (24) for the planned aircraft modifications to accommodate F/A-18 aircraft with extended service life.","141","26","34","25","25","25","300","25","","","24","","5.937","1.761","1.766","1.213","1.213","1.148","14.471","1.35","","","1.296","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-1-f8a75106286a82fa0c322ff64064d7de7661f16e","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-ba2f209fa11b880f82da06d3392562837f3af2b2"
"1.1.1) RR-2055 Special Receiver (SRA) - Organic","","15","","","","","","15","","","","","","0.246","","","","","","0.246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-1e4388ed918933f7c2191e76f7eabfe17e7264f0","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-775ffb06ebb68662829309e52fc9a49fbca1902a"
"1.1.2) RR-2055 Special Receiver ECP- TBD - Organic","","","","7","8","8","","15","","","","","","","","0.27","0.27","0.27","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-1-6f59ecd2e9211d69970263780c4bc6eafa1bd498","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-775ffb06ebb68662829309e52fc9a49fbca1902a"
"1.1.3) CP-1293 PCU-1 - Organic","","","","","","","","","","","","","","0.117","","","","","","0.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-2-88c20c71a2a8d54e9e887153600785f516b4b383","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-775ffb06ebb68662829309e52fc9a49fbca1902a"
"1.1.1) Inactive OSIP - Organic","","","","","","","","","","","","","","736.954","","","","","","736.954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-6f9a49dd923edff4bd21e4ad1ce8cb3d3c8bfb35","b37be5b695fd169b0710afc8fca0fd310b7e8e02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b37be5b695fd169b0710afc8fca0fd310b7e8e02-0-4f97f023362a87e23eb58e01fb133248557cbe04"
"1.1.1) Modernization and Safety - NonOrganic","Modernization and Safety consist of various A and B Kits valued at under $150K .  The Modernization and Safety install also include funding for the retrofit of firmware and software developed with RDT&E funding.","","","","30","30","29","101","24","9","9","","","","","","0.515","0.515","0.112","0.737","0.09","0.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-f9b50e6bbae76d4d14b3254332ce10cd220042f1","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.2) Increment 2 ECP 2 A Kit - NonOrganic","","","21","16","","","","37","","","","","","","3.15","2.041","","","","5.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-1-b5a5e1bde23d4e42d291d5f757afb167599ca89a","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.3) Increment 2 ECP 2 (Weapons Provision) - NonOrganic","","","","19","19","19","15","53","","","","","","","","0.4","0.4","0.4","0.321","1.121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-2-407b5b2b5d851ed7210e2223c5b3b5dc53599dbe","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.4) SSL/ SRL - NonOrganic","","","","","5","5","5","54","5","11","1","27","","","","","1.24","1.24","1.262","14.106","1.285","2.871","0.266","7.182","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-3-9ee3fa4a9d4ebb61d0cf1478e0e1e816f3477c4c","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.5) SNS - Organic","Installs will be done at the O-Level","","","","45","45","10","60","5","","","","","","","","0.9","0.9","0.204","1.208","0.104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-4-6d954e071625097e044648e524190db7f9483651","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.6) Airframe MOD - NonOrganic","","","","","6","6","6","30","8","5","5","","","","","","0.12","0.12","0.105","0.603","0.166","0.105","0.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-5-1ca1c825e2790d66a30c2b52a98b897d5f514388","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-b64c483b9311a55a7fcf134009851e05373a32a2"
"1.1.1) Airborne Anti-Submarine Warefare Intelligence Equipment - Organic","","","4","4","4","4","4","32","4","4","4","4","","","0.2","0.2","0.4","0.4","0.4","2.8","0.4","0.4","0.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-fc34e4c678a88f8899dad4f9c1f675d634d80c45","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-acc93fed7be95c67708279a9bdffe3f79d4ac095"
"1.1.1) Increment 3 Block 1 - NonOrganic","","","","","","","54","162","54","54","","","","","","","","","0.287","0.861","0.287","0.287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-63bb4585323b4b47ac2757a32a677e97360bc934","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-8a56b69fe3682702ce4ad7134841eef24cba65f6"
"1.1.2) Increment 3 Block 2 - NonOrganic","","","","","","","","109","9","8","8","84","","","","","","","","414.822","31.497","28.473","28.949","325.903","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-1-6b2228cae6129be7231af9c04ecd958101edf2e8","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-8a56b69fe3682702ce4ad7134841eef24cba65f6"
"1.1.1) Aircraft Systems Upgrade A Kits - NonOrganic","","","","","","","","17","5","5","7","","","","","","","","","4.46","1.285","1.308","1.867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-081bb1ba69e5778dbeb8da4cd3c92d6bbee50595","b3e58050078e2d2f589a9fbf81d20aebe6dff15f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b3e58050078e2d2f589a9fbf81d20aebe6dff15f-0-6e64b4b1e3390ed0230f214f0983263c0c9fcf68"
"1.1.1) SH-60 Series Archived ECPs - Organic","","","","","","","","","","","","","","28.686","","","","","","28.686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-152b9d7d0d17e587e72a344eb0457854a0c68611","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-4a3e79fa18ba04140d40b83b5911d6e421076cc1"
"1.1.2) T700 Engine - Organic","","34","37","46","50","50","50","1389","50","50","50","1022","","0.301","1.11","1.2","1.33","1.33","1.356","43.521","1.383","1.411","1.439","33.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-1-fe3a8ef5ef53f7560fdf60b98b6d12644d26f3cd","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-4a3e79fa18ba04140d40b83b5911d6e421076cc1"
"1.1.3) Aircrew Survivability Kits - Organic","","","","2","2","2","2","452","2","2","4","438","","","","0.321","0.327","0.327","0.334","94.492","0.34","0.347","0.708","92.115","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-2-7646d1724b0af514a316c4cf0983c85cb0573b60","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-4a3e79fa18ba04140d40b83b5911d6e421076cc1"
"1.1.4) Airframe Safety Kits - Organic","","","","4","4","4","4","452","4","4","8","424","","","","0.608","0.62","0.62","0.632","88.395","0.645","0.658","1.342","83.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-3-9a63a4a8e75136b9639dd92cb11ed1081035d513","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-4a3e79fa18ba04140d40b83b5911d6e421076cc1"
"1.1.1) Archived ECPs - Organic","","","","","","","","","","","","","","13.897","","","","","","13.897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-bfa8ebefcd0f4c7b92d5f451a576322cb82b8deb","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-f2b11c78535ff36d7d23b498b2fa687ba1e710a0"
"1.1.2) Night Vision Device (NVD) Kits - NonOrganic","","134","","","","","","134","","","","","","5.648","","","","","","5.648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-1-54a2e05a00b0279e433bdffc761140878b358121","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-f2b11c78535ff36d7d23b498b2fa687ba1e710a0"
"1.1.3) Airborne Mine Countermeasures (AMCM) - NonOrganic","","125","66","27","","","","218","","","","","","0.163","0.131","0.128","","","","0.422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-2-7db4943c39dca262d5dca82fb8d2aee7edf4016d","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-f2b11c78535ff36d7d23b498b2fa687ba1e710a0"
"1.1.1) ARCHIVED ECPs - Organic","","","","","","","","","","","","","","56.814","0.141","","","","","56.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-c437f05771f68fbf5245e493c455ad38b4ab3058","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.2) ACOUSTICS TECH INSERT KITS - NonOrganic","","47","","","","","","47","","","","","","5.297","","","","","","5.297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-1-ccb97cda353f45c4d86195d5ba2ab715e7b33386","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.3) VOR INSTRUMENT LANDING SYSTEM (ILS) - NonOrganic","","","","","70","70","70","280","70","70","","","","","","","2","2","2.079","8.363","2.121","2.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-2-1950ef22c802257f885a0ebfd47adb2134e8a5ac","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.4) CDL HAWKLINK KITS - Organic","","60","17","","","","","77","","","","","","36.004","6.502","","","","","42.506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-3-6dcb9234615e8b4001f5be08c4dad0c07604da46","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
"1.1.5) ARPDD KIT - Organic","","35","26","16","16","16","","93","","","","","","0.332","0.105","0.211","0.215","0.215","","0.863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-4-c50a9cbea0a712102f4ac381d23a56102caabf6c","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bab0b11a590ad131f70a9890ab4a8a4ef4c65bbb-0-d2274a0efa48a13a7bc3b9a571751ee545eb6e4f"
