"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Hardware","","2890","81","6786","304","304","1610","15695","289","","","3735","","32.42","3.785","10.367","2.589","2.589","20.311","501.329","2.3","","","429.557","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-d7d42a8eda1fae8ccdf757bf2927734b204c1df3","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-ee27e4288f972a38b5e5b77284cce0355f6a9b36"
"Hardware","","664","","","","","","664","","","","","","19.012","","","","","","19.012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-441f59b53ab4430a07de2909966078ac79fcaac4","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-2-6b4cc00b68f03d5d8db108eae1928f678d138f05"
"Hardware","","233","","","","","","3968","","","","3735","","10.526","","","","","","105.477","","","","94.951","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-888a8c86ea298e2ca75275d076193b333912c7a0","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-3-40b2ddcb57974f219b09e2c79da67d409d7428c3"
"Fielding","","0","","","","","","0","","","","0","","0.166","","","","","","1.663","","","","1.497","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-bf2ee763ae78f61a7f3ee35255555e34a6740303","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-3-40b2ddcb57974f219b09e2c79da67d409d7428c3"
"Hardware","","2336","","","","","","2336","","","","","","24.918","","","","","","24.918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-2e0a52adb34b597b0f822816c3ea3602df25a77e","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-4-1004b82a63018bdb6622743918ce0a1d7896349a"
"Labor (Contractor)","","0","0","0","0","0","0","0","0","0","0","0","","9.111","4.611","6.649","8.09","8.09","8.265","115.833","2.699","2.799","2.855","70.754","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-9a256ac6b09eb9fd26abe5040cd7e08e44eff616","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-5-0bf06a31e5bc7e355e22ccca006564d5bbfd776f"
"Labor (Contractor)","","0","0","0","0","0","0","0","0","0","0","0","","9.248","5.28","5.38","5.483","5.483","5.587","195.625","5.693","5.801","5.94","147.213","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-293baa18f6179776094d5a47aee99a33677b42c3","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-6-814523973a35818c5104c0d7dcd160f557b4cf6c"
"Hardware","","","","","15","15","9","31","","2","1","4","","","","","15.986","15.986","22.741","69.115","","7.622","3.177","19.589","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-8b1c111b7a2d79959cf9288c63b62e2b4f86f4ab","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-7-1d0708b7b1ed8ac393b506ba36af04c7ca2e1729"
"Life Cycle Management Plan","","0","0","0","0","0","0","0","0","0","0","0","","10.589","4.547","20.379","2.528","2.528","6.388","213.997","2.204","0.882","3.759","162.721","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-1-91a1df1dc6490f9ad6d2e9931c3e2ad4ae5d4f3d","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-7-1d0708b7b1ed8ac393b506ba36af04c7ca2e1729"
"Hardware","","","","","","","","1130","244","284","232","370","","","","","","","","1531.484","362.193","424.127","360.227","384.937","","","","","","","","","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-5cfcc042e905dc94a60170394ff5319f09d4a47b","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-8-ae797844a8d9c7ad47284007c67671fc0c5d5547"
