"Name_val","Location_val","HistoryPlanningList_HistoryPlanning","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-fbc292dac8d4df716a85dbd7c7d1720a759d8b1e","0","0","0","0","0","0","0","0","0.00","0.00","0.00","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-a761407efa19e3a300c7b7f69137741cb96a328b","8ff2813a3ca68065725a44e3a75236bc9ff4c81b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-b5f136a1a90dffc42bcefb686b321a31a0e7a85f"
"MULTIPLE","MULTIPLE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-ff42f0a19cb20528e4461c89db678160fabcecd1","0","0","0","0","0","0","0","0","0.00","0.00","0.00","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-ba7350cfa9553a2dd93eb6466839ba8954fb828b","8ff2813a3ca68065725a44e3a75236bc9ff4c81b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-1-07743a8e5cc0b338b3e974f41c324704c4d7cf1f"
"FN MANUFACRTURING","COLUMBIA, SC","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-51eab750c51ac7bcfadb785f69c5d0615b2d6e74","0","0","0","0","0","0","0","0","0.00","0.00","0.00","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-e2f8a9294aa9a1e6e27297d8713883280f1683b6","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-c67721dd8c7601819f2914eeb2cab6e0458ab67f"
"FN MANUFACTURING","COLUMBIA, SC","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-f9fb5cb1de49c9a0081c44a8c16fa436cb0ce8e9","0","0","0","0","0","0","0","0","0.00","0.00","0.00","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-fe29598b13dc45ce76353f2c6b72f40ce6da77b8","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-c67721dd8c7601819f2914eeb2cab6e0458ab67f"
"NAVSURFWARCENDIV","Crane, Indiana","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a3deae4cb61de9545dddd9eca9022b9c3044b180-0-eed4d2b279c3018a8b98f059f32a2e72cc80f3cd","0","0","0","0","0","0","0","0","0.00","0.00","0.00","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-a5e5345a01904271a118342b5b50e0369358c489","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a3deae4cb61de9545dddd9eca9022b9c3044b180-3-d31ba7e957e5ef877575c83c5ed29539c7b42d5b"
"Various","AFLCMC Hanscom AFB","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a3deae4cb61de9545dddd9eca9022b9c3044b180-0-71433a373feee27f28e4f9f64fe791f72fdfc519","0","0","0","0","0","0","0","0","0.00","0.00","0.00","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-5a9a58dc4375cfa5aaa9cc1aa996d525cd03f85a","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a3deae4cb61de9545dddd9eca9022b9c3044b180-4-c2a2677fa0540c9d0679c8c74ba6c09f0dcd0ad7"
"Multiple","Multiple","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a3deae4cb61de9545dddd9eca9022b9c3044b180-0-be76e9d964de03652221aeb71bcf2f958b9829d7","0","0","0","0","0","0","0","0","0.00","0.00","0.00","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-f9beb49c7193f85b4adc14a22d300db77c159935","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-baaa17bdfdd08ccf3d4f3b1300e33410fb66d49c"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-ee9a8b06e93640ed75c7d81df589dad80b3fa437","","","","","","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-12552f1fdd6e42c2295b6f47936a6e082b05bdae"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-cb6e8b1ed5c3bd98818a52cdcb6b2b845ebfcbc9","","","","","","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-5ea5b94171304944227edfeac2c937e41cdc75d1","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-ddd66c82b83ca5dff516c4e6609c618a0e1c6963"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-9d72525ba3ac6efacbe8e40f697de7eebe148d4b","","","","","","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-253a772ce4f35c23c67bb42c5aedb76f6166906a","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a5edadf4ab398a2c2a1a0ced1745001e190121c4-1-29434b8cae542a5bae935e9c46985b32978f1f2f"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-14b9bf7537b663a340db5af7b27b06045cf46938","","","","","","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-51774e225ee3b52c247e94708d5774f0e8a68c58","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","a5edadf4ab398a2c2a1a0ced1745001e190121c4-2-4b929a1037a65af34e72b11a2074d87f4eb27177"
"BAE Systems","Nashua, NH","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b3425ab0c161d5385f752d597907c174c6f3f2a3-0-f4dd69b918fe62ac9f1ed72b70d8830eb8bc4140","6","6","6","12","6","6","6","12","24","1000","600","b3425ab0c161d5385f752d597907c174c6f3f2a3-0-bf89065a464a31f02cb11c477542b62159f7ece5","b3425ab0c161d5385f752d597907c174c6f3f2a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","b3425ab0c161d5385f752d597907c174c6f3f2a3-4-b805a3b9940346f6009a508867a6908549658942"
"GSM ETI","Various","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-1a9bf304d88dd249583f9e79530180116f9ec357-0-4538341b9bd1342e8ccf935431cb66495fb62107","","","","","","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-f88af5a8810cbd5cb0d517bf1a82daedb8be471d","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","1a9bf304d88dd249583f9e79530180116f9ec357-5-70a8a67e10af760280a59400ac8ea3fc40245d7e"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-1a9bf304d88dd249583f9e79530180116f9ec357-0-14631811cc2927dae55ec06b727fe3c7e5f92fd1","","","","","","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","1a9bf304d88dd249583f9e79530180116f9ec357-0-8f14474736552ff5bb229520dfe07b5520244688"
"Raytheon","FL","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-1a9bf304d88dd249583f9e79530180116f9ec357-0-aa414df1b16af4b02a23505ef1bcd5785e348be3","","","","","","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-9bea12cd8a1e33dd11c03598d8ba2507dca6ae27","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement","1a9bf304d88dd249583f9e79530180116f9ec357-0-85b557da9fc6c0fa052b3801e664ff021dfba715"
