"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","6000","12.984","","","6000","12.984","","","","","6000","38.368","24500","58.924","49500","64.467","30.466","74500","","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-0-2658c07b8e69ab2924acece9ad08a19f882b15a6","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745","root","9cfa56dc8c1364f699ddcc1dcc648c75c7db3745-136f549b177ac938434a20d7819e4c2b9a9a1d62"
"Army Active","","","","","","","","9.383","","","","","","","","","","","","9ddcfc255bef057e9c3d67edd684cbf6ea816ee1-0-636bbe0d7a79088411764317b9a3585059636861","9ddcfc255bef057e9c3d67edd684cbf6ea816ee1","root","9ddcfc255bef057e9c3d67edd684cbf6ea816ee1-f26a6ce683dd8a17b300134183be2c869592fd7c"
"Army Active","","","","","","","","0.008","","","","","","","","","","","","9dfa5e3b31f5de6eea834f4138e5e6e5eda61f8f-0-c58b07b389c858aefc8dcaacf97d1dfcb7875051","9dfa5e3b31f5de6eea834f4138e5e6e5eda61f8f","root","9dfa5e3b31f5de6eea834f4138e5e6e5eda61f8f-b98dc72209944b0c6e774408a06897a57817ee60"
"Army Active","","13.872","","","","13.872","","74.665","","42.78","","43.395","","43.654","","36.539","36.021","","","9f42945ff6b958fa9db886b8774c679afbff84db-0-704ac3b4cee841e8cb46526e68d2fff9f0eb2509","9f42945ff6b958fa9db886b8774c679afbff84db","root","9f42945ff6b958fa9db886b8774c679afbff84db-739465f9be822d230e704468cdfff278c8f6ec0b"
"Army Active","","9.595","","","","9.595","","11.501","","12.805","","8.191","","8.601","","8.666","8.543","","","a079d7e43e5f9fdba24ccac0074d35f077522593-0-3120ae9468411c2abcec236301ea3a9935581503","a079d7e43e5f9fdba24ccac0074d35f077522593","root","a079d7e43e5f9fdba24ccac0074d35f077522593-28287d704c441989b6d71082032f61d22ac54aee"
"Army Active","","0.506","","","","0.506","","","","","1058","51.543","1379","53.616","1584","53.63","59.067","1697","","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-0-de166fa5b578856b959f69c8be7f444073643cab","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8","root","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-f7ecd4746daf545e90587473031afcf51697d1b3"
"Army National Guard","","","","","","","","","","","366","17.604","484","17.592","556","17.566","12.533","596","","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-1-4d6a6ed9649956abbed51e64cc7349ea146fc768","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8","root","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-f7ecd4746daf545e90587473031afcf51697d1b3"
"Army Reserve","","","","","","","","","","","","","","","","","0.787","","","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-2-8ba62ed139edf147d9483349998018461f4253f3","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8","root","a1bf070d0459f031406359d5d3b4e96f7e2b5fd8-f7ecd4746daf545e90587473031afcf51697d1b3"
"Army Active","","","","","","","","2.779","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-0-922b109a6cefe34115426971e0a9a74c394c0959","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-a2a92be9698e264ec39cefcf0a65aafd9ec948f0"
"Army National Guard","","","","","","","","1.7","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-1-3b4d1896541fe9dca60deae87f2f9a85e9b743a4","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-a2a92be9698e264ec39cefcf0a65aafd9ec948f0"
"Army Reserve","","","","","","","","1.452","","","","","","","","","","","","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-2-fe259c348cc4bf740295d69837713fd7351251d3","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1","root","a23691aa4ad41553c62b59d7aa0f1436ddfff6e1-a2a92be9698e264ec39cefcf0a65aafd9ec948f0"
"Army Active","986","35.455","581","17.9","1567","53.355","701","32.907","904","44.879","638","26.102","540","21.239","542","21.277","21.733","556","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-dbaa2e0d53f06a8fd9f96f9aba0cb9c99f1a6805","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-8081444f2b808e87df9326ba2507ce75c819e443"
"Army National Guard","656","23.448","150","4.53","806","27.978","355","29.46","443","24.09","426","17.126","361","14.063","362","14.182","14.488","371","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-3665603b07c81bb50dcab12387a5521d1197351c","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-8081444f2b808e87df9326ba2507ce75c819e443"
"Army Reserve","","","","","","","","","6","0.335","","","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-2-b5b8b560efd8aaf201e7d196495109b781bd5274","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-8081444f2b808e87df9326ba2507ce75c819e443"
"Army Active","","3.864","","","","3.864","","3.592","","3.674","","3.974","","4.088","","4.211","4.337","","","a6b81675c348f172d42696f2f39ecbd35f005723-0-13dec3770d4ac093b21e86caa120313b3c92e73f","a6b81675c348f172d42696f2f39ecbd35f005723","root","a6b81675c348f172d42696f2f39ecbd35f005723-dad291bc84748651094bdae8315c0a251c27779e"
