"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","1788","237.216","383","39.045","2171","276.261","","","","","","","","","","","","","","18a7bd201efe5e627c5fe9ca31452c7559105bcd-0-1053629ab708813bb6a0ccd9848307fac4c999d3","18a7bd201efe5e627c5fe9ca31452c7559105bcd","root","18a7bd201efe5e627c5fe9ca31452c7559105bcd-9cc627487001ac61115e2244331e79fdee72b787"
"Army Active","10","163.526","4","85.83","14","249.356","14","227.66","9","193.935","5","77.563","9","124.156","15","217.831","22.5","","","1aec33e09429109b0c081525995730d17c579d78-0-7bcda8f5cebb21c6d43c66598ed4c6575d7a8cbe","1aec33e09429109b0c081525995730d17c579d78","root","1aec33e09429109b0c081525995730d17c579d78-b452f228322096d9b50150868d70bef1489d5a46"
"Army National Guard","9","149.201","","","9","149.201","8","110.517","6","105.059","19","270.61","12","155.195","4","62.237","","","","1aec33e09429109b0c081525995730d17c579d78-1-0de2ece23c66379ed4fe66daa82879db7d3de309","1aec33e09429109b0c081525995730d17c579d78","root","1aec33e09429109b0c081525995730d17c579d78-b452f228322096d9b50150868d70bef1489d5a46"
"Army Active","11","25.9","34","40.46","45","66.36","21","49.255","45","67.868","10","31.4","10","32.905","1","5.074","25.6","9","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-0-d7158477d107a171ae8b9504dc01c7484e4389ef","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1a00d9d64c7de4f81a0de5c01df5df44064e74ba"
"Army National Guard","7","14.835","15","17.34","22","32.175","17","38.655","22","32.372","5","13.829","4","11.595","9","34.807","15.09","5","","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1-d8e29ad38694623a66b71eabb37b8f31ed754564","2230e8caed2c34d8ec27861c8d58f8ac51bcee85","root","2230e8caed2c34d8ec27861c8d58f8ac51bcee85-1a00d9d64c7de4f81a0de5c01df5df44064e74ba"
"Air Force Active","","47.484","","6","","53.484","","112.861","","52.495","","8","","8","","8","8.144","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-a42f9f2448863518c196c1ddc8d97ab167a1431b","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Air National Guard","","1.26","","0.000","","1.26","","14.148","","2.26","","0.000","","0.000","","0.000","0.000","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-fee2930057f1ea87d649e9bd14dca9dc64dbeb27","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Air Force Reserve","","0.397","","0.000","","0.397","","6.11","","1.787","","0.000","","0.000","","0.000","0.000","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-eb85b50a1eb55272e0e4e1bf0ecf4e79137cbf64","47095650b1c28567be35fb43aaf8b0d60d3068ea","root","47095650b1c28567be35fb43aaf8b0d60d3068ea-bae5eeb657969ff7aa4c61af6a6f22acec0c876c"
"Army Active","","","38","35.6","38","35.6","","","","","","","","","","","","","","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-0-d4b13f5a4987c0b020f9ddde345f29a12d40dcea","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051","root","4a69c6ff109ff5d6cec9686a4ce86e6343ccb051-e965fd51a5beb996e5597b03a3a1dd0b9233359e"
"Air Force Active","","31.383","","0.322","","31.705","","185.498","","59.005","","25.264","","23.195","","35.145","49.782","","1169.889","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-563f1834d72186900c65799957d88f6fb9434efb","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8dfee838831f1e1afdbd801239042fb629e41a60"
"Air National Guard","","8.26","","0.936","","9.196","","21.225","","9.398","","7.143","","4.99","","11.368","24.58","","237.712","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-d05a5049ff3453c6306aea43ac0832e42757224f","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8dfee838831f1e1afdbd801239042fb629e41a60"
"Air Force Reserve","","18.934","","0.36","","19.294","","13.492","","10.85","","3.821","","7.278","","15.557","21.758","","147.722","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-d1b8a163646b991f8c39b3d4c2c7e812e4ebb41a","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8dfee838831f1e1afdbd801239042fb629e41a60"
"Navy Active","","5.142","","17.968","","23.11","","7.334","","16.883","","9.89","","13.828","","12.674","13.09","","","4de8e4850b014517075ced1cdcb6aabf25cf8b96-0-4a2c6829f15695ef63cac1a07d5e3263285b1234","4de8e4850b014517075ced1cdcb6aabf25cf8b96","root","4de8e4850b014517075ced1cdcb6aabf25cf8b96-3cdcc23bda4eb19f4d3a1e37973709348b177390"
"Navy Reserve","","0.398","","","","0.398","","9.453","","11.841","","12.986","","10.286","","7.314","27.342","","","4de8e4850b014517075ced1cdcb6aabf25cf8b96-1-7e09c5b553ccca409e287bc5b216b254b0c510ab","4de8e4850b014517075ced1cdcb6aabf25cf8b96","root","4de8e4850b014517075ced1cdcb6aabf25cf8b96-3cdcc23bda4eb19f4d3a1e37973709348b177390"
"Air Force Active","","27.197","","78.85","","106.047","","0.000","","164.725","","25.791","","25.688","","26.115","26.588","","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-882313f0a0ae1ccc4ee83975ee49c8bbf536f698","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-6451d5338d719d29321cd6b52a7d9ddfd10540c7"
"Air National Guard","","","","15.2","","15.2","","","","","","","","","","","","","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-014c0f4d50740ee02e74fbe653adb95ae7a8c455","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-6451d5338d719d29321cd6b52a7d9ddfd10540c7"
"Air Force Reserve","","","","","","","","","","3.875","","","","","","","","","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-3083f0fdd8f70ac7949a0825eebbe8d016e36428","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-6451d5338d719d29321cd6b52a7d9ddfd10540c7"
"Army Active","","248.477","","25","","273.477","","445.594","","95.213","","185.56","","176.811","","221.252","227.02","","","54b860697a1b5fe331605492c5e59999b80b828a-0-7080477bb52235290a1e872d82d7855653c49e8e","54b860697a1b5fe331605492c5e59999b80b828a","root","54b860697a1b5fe331605492c5e59999b80b828a-349d31e68edbb9059b79482a4bb0b50e2a257c8f"
"Air Force Active","","105.935","","5.695","","111.63","","36.481","","47.592","","108.272","","260.219","","239.734","244.157","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-0-62a3bcad88e1ee69ac075a922b8ae3c98c02dd3b","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-499ede8537e33ff60b34bf9a9100aad0406332c0"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","0.000","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-1-80be787a5f2cd837ce4ad47bbeca0ed79b558849","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-499ede8537e33ff60b34bf9a9100aad0406332c0"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","0.000","","","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-2-289144638eb9e2fa372dea087e121dcf527e8ba3","5c50a61d9e9f46482f5b042dbfe18687ac28d60e","root","5c50a61d9e9f46482f5b042dbfe18687ac28d60e-499ede8537e33ff60b34bf9a9100aad0406332c0"
"Army Active","","","","","","","","84.264","10","371.114","","","","","","","","","","609dd5643637bf369bcf1a0c04f7a4f15d08390d-0-1873ce21fd9be856432f8462673609db0dcc8ff2","609dd5643637bf369bcf1a0c04f7a4f15d08390d","root","609dd5643637bf369bcf1a0c04f7a4f15d08390d-965918afe9ff2267713419f55f79b8fe8e959c3f"
"Air Force Active","","45.591","","11.3","","56.891","","0.000","","91.277","","61.12","","20.233","","43.9","52.835","","","623b26c75395e99c34d94c512302e43728d68e67-0-5b01f6b308d54d2dcbe16125b0096bab8ce9d098","623b26c75395e99c34d94c512302e43728d68e67","root","623b26c75395e99c34d94c512302e43728d68e67-01b31a52c1a21ca1088a422573eb7a9144fa0f4a"
"Army Active","","","14","163.8","14","163.8","9","112.8","16","183.9","","","","","","","","","","697d6defc6213dfe91fff487a8de80b1dde3e5f7-0-4fc5757b8d803275c59addc9028d94d04186e8a8","697d6defc6213dfe91fff487a8de80b1dde3e5f7","root","697d6defc6213dfe91fff487a8de80b1dde3e5f7-5a25eef2e5801651e860a78935a7338700471764"
"Army Active","","1.237","","4.221","","5.458","","10.712","","206.679","","1.285","","1.315","","1.356","1.442","","","8dd0b4ea92c47236a21e98c243ae7ff968a53c6e-0-3780e123395e89fe50cf6fe9175827d57898a503","8dd0b4ea92c47236a21e98c243ae7ff968a53c6e","root","8dd0b4ea92c47236a21e98c243ae7ff968a53c6e-87070076f703345d3fac38802bf7d07b32ddb237"
"Army Active","","4.464","430","54","430","58.464","907","108.966","161","30.501","","21.445","","19.237","","14.998","15.045","","","945128009b88cd0d02b315bf95a84596dfdd15bd-0-ab36c383583670b1132a258944c4a3ac962dc9d4","945128009b88cd0d02b315bf95a84596dfdd15bd","root","945128009b88cd0d02b315bf95a84596dfdd15bd-eb21f5c3c2a2caaf70b3b6f9bb756621b0c7a077"
"Army Active","","0.6","","1.834","","2.434","","2.597","","","","1.4","","0.9","","","","","","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90-0-f689e584f17d54f3d22d3e6d02f9cba928b6bfbe","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90","root","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90-02c30741bab68d4b9456dbb724e989e8ec12146a"
"Army National Guard","","0.2","","","","0.2","","1.298","","","","1.05","","0.65","","","","","","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90-1-1395b58d6229befe47a8f6dd4ed29d024b65da96","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90","root","9f05dd9d1c33a18c6cc034725ffa721fad8f1d90-02c30741bab68d4b9456dbb724e989e8ec12146a"
"Army Active","","","","15.3","","15.3","","53","","52","","","","","","","","","","a70db715409cb4733810cc77c66cedb237b06f35-0-6725d9474b9db1e927f007410cc1ffd451d089e5","a70db715409cb4733810cc77c66cedb237b06f35","root","a70db715409cb4733810cc77c66cedb237b06f35-9e090361cb8c471f1463173ef150a7fd72f44e82"
"Army Active","","5.53","","5.98","","11.51","","3.493","","12.956","","6.727","","6.92","","7.082","7.202","","","bf2077019fc5e01cf1b75fb45b09715d9a322c7b-0-9b5e4e490f64c67635b9da5d784303af7890bea0","bf2077019fc5e01cf1b75fb45b09715d9a322c7b","root","bf2077019fc5e01cf1b75fb45b09715d9a322c7b-dc85bdb5f730df4601c2c19b3c12b77bf16f820b"
"Army National Guard","","0.639","","","","0.639","","","","0.637","","0.665","","0.684","","0.7","0.712","","","bf2077019fc5e01cf1b75fb45b09715d9a322c7b-1-994689c7b6647f76ad02582a7dc5f3d4bd7877be","bf2077019fc5e01cf1b75fb45b09715d9a322c7b","root","bf2077019fc5e01cf1b75fb45b09715d9a322c7b-dc85bdb5f730df4601c2c19b3c12b77bf16f820b"
"Air Force Active","","12.139","","60.6","","72.739","","25.354","","59.614","","0.000","","0.000","","0.000","0.000","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-148e74f5a189ed6d2ec819646879488265c98c56","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-2013263b3ffb4bf4457576177ccfc775deacd799"
"Air National Guard","","10.229","","0.000","","10.229","","","","","","0.000","","0.000","","0.000","0.000","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-1-a95d3787b2015620a6b74afb4482c4e058d72326","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-2013263b3ffb4bf4457576177ccfc775deacd799"
"Army Active","","2.2","8585","321.04","8585","323.24","224","127.862","2000","927.4","","2.2","","","","","","","","c2bc573681c4a8439179f370fd84200a6f9e529d-0-ad15da1468bf2af00ed5002b8e467f2eb67110d3","c2bc573681c4a8439179f370fd84200a6f9e529d","root","c2bc573681c4a8439179f370fd84200a6f9e529d-38cc431a3769cefabd408a841c4c13e757407aaf"
"Air Force Active","","171.813","","2.7","","174.513","","162.211","","173.237","","174.256","","177.641","","180.887","184.143","","","ca16302675076d2663282e9f2cfbe844250f4edc-0-282834c0505e012ac70bcea5a23a477e2ae92a39","ca16302675076d2663282e9f2cfbe844250f4edc","root","ca16302675076d2663282e9f2cfbe844250f4edc-923aa74253231929d64fa9154a5132de31f94d46"
"Army Active","2274","232.614","","7.2","2274","239.814","997","187.585","2463","273.265","2276","262.567","2281","299.799","2277","274.6","279.268","2274","","dce9c0db85cb806cb22a73b3a0250eb58f84bded-0-0e9b2e8ce102e80e5f63bccfce6df3b80d1df5aa","dce9c0db85cb806cb22a73b3a0250eb58f84bded","root","dce9c0db85cb806cb22a73b3a0250eb58f84bded-2dd6a9cb9c3d58e844bab8082a74ba7cb9e7b48f"
"Army National Guard","443","34.6","","","443","34.6","","19.928","240","1.097","446","22.6","449","22.6","446","22.6","22.984","445","","dce9c0db85cb806cb22a73b3a0250eb58f84bded-1-15516e31ab6069d621dc0945b54efa146faeb2f2","dce9c0db85cb806cb22a73b3a0250eb58f84bded","root","dce9c0db85cb806cb22a73b3a0250eb58f84bded-2dd6a9cb9c3d58e844bab8082a74ba7cb9e7b48f"
"Army Reserve","","","","","","","","0.035","","","","","","","","","","","","dce9c0db85cb806cb22a73b3a0250eb58f84bded-2-5292dc904031935061cb8575a792db9ec8e95392","dce9c0db85cb806cb22a73b3a0250eb58f84bded","root","dce9c0db85cb806cb22a73b3a0250eb58f84bded-2dd6a9cb9c3d58e844bab8082a74ba7cb9e7b48f"
"Army Active","","","3","51.654","3","51.654","3","68","1","39.7","","","","","","","","","","e8433affa3d5d86be1cf637ec2cfffc02474a6cb-0-af48f6ddfc6d86a046633b58151eb1dbc2eb445e","e8433affa3d5d86be1cf637ec2cfffc02474a6cb","root","e8433affa3d5d86be1cf637ec2cfffc02474a6cb-dbd6261fc6fd931b8974208fe46d2eac9a1bb9c2"
"Army Active","","","18","6.264","18","6.264","168","16.727","","","","","","","","","","","","e8902b2910f3432ae2ca75a875f8250bccab88a0-0-cab73b13a221d72cc68766a8c4fedc0c4c2059af","e8902b2910f3432ae2ca75a875f8250bccab88a0","root","e8902b2910f3432ae2ca75a875f8250bccab88a0-1cd1074fe6c6f95fa6c2c83accb5f0a2a1670131"
"Army National Guard","","","","","","","68","9.066","","","","","","","","","","","","e8902b2910f3432ae2ca75a875f8250bccab88a0-1-8aa0d80019f51a487e3f2ee92f89670d3b350085","e8902b2910f3432ae2ca75a875f8250bccab88a0","root","e8902b2910f3432ae2ca75a875f8250bccab88a0-1cd1074fe6c6f95fa6c2c83accb5f0a2a1670131"
"Army Reserve","","","","","","","8","1.067","","","","","","","","","","","","e8902b2910f3432ae2ca75a875f8250bccab88a0-2-15fa50c584a12ddc1ed9fe9f09b95897318e4c87","e8902b2910f3432ae2ca75a875f8250bccab88a0","root","e8902b2910f3432ae2ca75a875f8250bccab88a0-1cd1074fe6c6f95fa6c2c83accb5f0a2a1670131"
"Army Active","","","4","48","4","48","","","","","","","","","","","","","","eb27c5790a9a8d0a815f7353704082853d26e4a2-0-7708d7453358aa29a05a15cc04e9857945f642aa","eb27c5790a9a8d0a815f7353704082853d26e4a2","root","eb27c5790a9a8d0a815f7353704082853d26e4a2-958376a2940bb2771854b92f3fc5d0c1a4f18ad6"
"Army Active","118","18.384","92","21","210","39.384","","","77","15.402","197","31.32","181","29.4","185","30.6","15.523","","","f1afff474d3cbc620962c2130c34e50fe0e7b012-0-82bc5d2d86486845391a8e3b7a369aef6397e592","f1afff474d3cbc620962c2130c34e50fe0e7b012","root","f1afff474d3cbc620962c2130c34e50fe0e7b012-11751b675ab754e3458a29d89873da4c97b83c5f"
"Army National Guard","49","7.653","","","49","7.653","","","35","7.001","106","16.843","121","19.6","145","24","","","","f1afff474d3cbc620962c2130c34e50fe0e7b012-1-51b04fd1ad238a323ad988c3ad844cfde9bd6425","f1afff474d3cbc620962c2130c34e50fe0e7b012","root","f1afff474d3cbc620962c2130c34e50fe0e7b012-11751b675ab754e3458a29d89873da4c97b83c5f"
"Army Active","","","","","","","882","11.472","","","","","","","","","","","","0004fbf8a96f1e03d47bdc35344eefa4f5b7b79a-0-fd5e864439c0ad7b63b1e07f8d64c31f05327a19","0004fbf8a96f1e03d47bdc35344eefa4f5b7b79a","root","0004fbf8a96f1e03d47bdc35344eefa4f5b7b79a-b6bf990fb0232dec94fc2bf8035d64a0d6f07483"
"Army Active","1","5.623","","","1","5.623","8","49.859","7","43.163","1","7.845","1","6.271","2","11.12","10","","","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-0-f2ffa97a7ce8330665c75a96a3f32725870cae2c","005f99de5ceef4db7e3b07e7c02f8382b978a5eb","root","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-d899d7803ed04e48a2eae87b4b83330c727883c9"
"Army National Guard","6","23.543","","","6","23.543","10","40.851","5","20.981","4","19.981","4","18.025","3","29.38","3","","","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-1-fc6ca6a8dfcedcc94eb2598a40ac55862eec222d","005f99de5ceef4db7e3b07e7c02f8382b978a5eb","root","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-d899d7803ed04e48a2eae87b4b83330c727883c9"
"Army Reserve","1","3.924","","","1","3.924","","","","","2","9.99","1","4.506","","","","","","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-2-4f32bf98711182d3afc5ed5bae0935e9065fa102","005f99de5ceef4db7e3b07e7c02f8382b978a5eb","root","005f99de5ceef4db7e3b07e7c02f8382b978a5eb-d899d7803ed04e48a2eae87b4b83330c727883c9"
"Air Force Active","","20.019","","","","20.019","","77.003","","82.296","","24.195","","48.018","","45.819","36.767","","721.733","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-ad2677aabe8605a845e855ecb0e2bfb4e500ddce","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-9ae52b75d53326007aaa7449140a22c816ff4fbe"
"Army Active","7","6.157","","","7","6.157","","","1","4.003","8","7.89","11","12.028","8","62.264","7.563","7","","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-0-5c88becfc8dcd8bacdea7dd72a11dd653898d2fd","00d97b67c2ea0f81252d9b064edbe2936e8c1b30","root","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-79a408a1c15397ccc582a1c6f8cf28119cc04569"
"Army National Guard","8","8.74","","","8","8.74","","","","","11","11.199","17","17.072","13","13.189","10.736","10","","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-1-cad5a76296e777f4445cfd46a7988575032af14d","00d97b67c2ea0f81252d9b064edbe2936e8c1b30","root","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-79a408a1c15397ccc582a1c6f8cf28119cc04569"
"Army Reserve","4","4.966","","","4","4.966","","","","","6","6.363","9","9.7","7","7.494","6.1","5","","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-2-5848e60629fe02bdc5e7317784f4398aff06f97b","00d97b67c2ea0f81252d9b064edbe2936e8c1b30","root","00d97b67c2ea0f81252d9b064edbe2936e8c1b30-79a408a1c15397ccc582a1c6f8cf28119cc04569"
"Army Active","","11.865","","","","11.865","","11.192","","8.866","","9.36","","9.36","","8.128","8.92","","","02ee4c9f6abdb12142aaadd2c873971fa1afcc9f-0-e42319b1eee429d352a7e90494ce1e6b63f0ce58","02ee4c9f6abdb12142aaadd2c873971fa1afcc9f","root","02ee4c9f6abdb12142aaadd2c873971fa1afcc9f-373a6fe1902855be57abbdf517d8b6ac594dbd6f"
"Air Force Active","","23.31","","","","23.31","","17.657","","23.881","","101.355","","70.959","","73.241","74.522","","84.866","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-d77f51d188beb702edf43ce62188a0d1ce170a22","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0d5aa87d59aad28290304fbf82c44ae74fe258be"
"Navy Active","","40.011","","","","40.011","","220.22","","436.357","","66.827","","47.471","","102.639","117.783","","","048b24c7be2cd261e56b6d9c84f32a81f10d9355-0-3aefaf1c4592d68e8d9e490c078dc6b098c1c511","048b24c7be2cd261e56b6d9c84f32a81f10d9355","root","048b24c7be2cd261e56b6d9c84f32a81f10d9355-67e5fd7a6e269313cec2aa9d75f901ccc8fd882a"
"Navy Reserve","","","","","","","","","","","","","","","","2.904","17.807","","","048b24c7be2cd261e56b6d9c84f32a81f10d9355-1-34156844057614217ac8ffeeec50c328e2d00bbb","048b24c7be2cd261e56b6d9c84f32a81f10d9355","root","048b24c7be2cd261e56b6d9c84f32a81f10d9355-67e5fd7a6e269313cec2aa9d75f901ccc8fd882a"
"Navy Active","","5.049","","","","5.049","","168.06","","195.275","","222.738","","91.246","","164.812","221.725","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-0-22ad86a1ab9db0fb993172e171be7778dbf2434c","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root","0502a95cbc880020dfd0dc07037d52e7c330bcfa-01f1c8bbeda430048b57ac5678c635cf983f8dc9"
"Navy Reserve","","0.954","","","","0.954","","2.953","","0.941","","24.84","","47.583","","1.091","1.112","","","0502a95cbc880020dfd0dc07037d52e7c330bcfa-1-4e2ba4429a218bcdfef900a1f0dbaedfbe9c1e98","0502a95cbc880020dfd0dc07037d52e7c330bcfa","root","0502a95cbc880020dfd0dc07037d52e7c330bcfa-01f1c8bbeda430048b57ac5678c635cf983f8dc9"
"Air Force Active","","5","","","","5","","","","5","","7","","","","","","","","0593702e97cb22fb5dac4af4cc107adb19630efe-0-84f8a4eb120d17c51d56a31fffa5d1263bd50751","0593702e97cb22fb5dac4af4cc107adb19630efe","root","0593702e97cb22fb5dac4af4cc107adb19630efe-018f17a4e50dee04e4cebf98561c9a4986e7dcdf"
"Navy Active","","13.978","","","","13.978","","16.848","","1.42","","13.315","","13.494","","13.159","13.384","","","0646856035e11c5e887b778c154bb55dfab44b02-0-b8387dfc3997c0366897bd5f66a7e8df8f10e6bb","0646856035e11c5e887b778c154bb55dfab44b02","root","0646856035e11c5e887b778c154bb55dfab44b02-3b246a933ad15b65f7cb0c1c1f71938e81e335ce"
"Navy Reserve","","2.295","","","","2.295","","","","","","2.185","","2.215","","2.16","2.197","","","0646856035e11c5e887b778c154bb55dfab44b02-1-cbb704649ca47b629edad9863ac38463e64d4f6c","0646856035e11c5e887b778c154bb55dfab44b02","root","0646856035e11c5e887b778c154bb55dfab44b02-3b246a933ad15b65f7cb0c1c1f71938e81e335ce"
"Army Active","2068","11.339","","","2068","11.339","5502","22.662","","","","","204","1.097","","","","","","06a1913721ef305b7a06c55912fa828a9c860eee-0-17fb6c26a110fb38e4bda649cfd717ba71ed48a0","06a1913721ef305b7a06c55912fa828a9c860eee","root","06a1913721ef305b7a06c55912fa828a9c860eee-668f8edb6e4ef6856bcb80ff766dc970edfcd3d7"
"Army National Guard","1316","7.231","","","1316","7.231","3020","14.422","","","","","130","0.71","","","","","","06a1913721ef305b7a06c55912fa828a9c860eee-1-709a691850c2c3719ca168c9079cb42853afb394","06a1913721ef305b7a06c55912fa828a9c860eee","root","06a1913721ef305b7a06c55912fa828a9c860eee-668f8edb6e4ef6856bcb80ff766dc970edfcd3d7"
"Army Reserve","375","2.06","","","375","2.06","886","4.12","","","","","37","0.203","","","","","","06a1913721ef305b7a06c55912fa828a9c860eee-2-b2ee8babe553fb2dae6360dcf73ce0498e9f8e84","06a1913721ef305b7a06c55912fa828a9c860eee","root","06a1913721ef305b7a06c55912fa828a9c860eee-668f8edb6e4ef6856bcb80ff766dc970edfcd3d7"
"Army Active","","1.438","","","","1.438","7","3.136","23","7.798","22","9.4","24","9.5","18","9.5","9.5","12","","074a1da090409b0524598b6a58fb6ab2037087f9-0-4d4a70279f0530eedbcad3cd8972feafa08484d5","074a1da090409b0524598b6a58fb6ab2037087f9","root","074a1da090409b0524598b6a58fb6ab2037087f9-94ca9747b73c4941fa3797b14c3c689de953ed0c"
"Army Active","35","9.915","","","35","9.915","314","38.941","479","136.038","","","","","","","","","","08443bfdf24c26560ec77199787477f6dd369450-0-8a9677405a2e4b3023c23bef7d26452dd747952f","08443bfdf24c26560ec77199787477f6dd369450","root","08443bfdf24c26560ec77199787477f6dd369450-ac07b3c6f0c03941d2ae1baa13f77dbcca2a1ada"
"Army National Guard","567","150.367","","","567","150.367","2205","366.986","554","150.276","","","","","","","","","","08443bfdf24c26560ec77199787477f6dd369450-1-60ff4c63e8954da261778cad591ba5f861def8ed","08443bfdf24c26560ec77199787477f6dd369450","root","08443bfdf24c26560ec77199787477f6dd369450-ac07b3c6f0c03941d2ae1baa13f77dbcca2a1ada"
"Army Reserve","235","63.628","","","235","63.628","391","28.103","364","88.048","","","","","","","","","","08443bfdf24c26560ec77199787477f6dd369450-2-aa45dd477821bf90a8c8be6dca10ded4b329c3de","08443bfdf24c26560ec77199787477f6dd369450","root","08443bfdf24c26560ec77199787477f6dd369450-ac07b3c6f0c03941d2ae1baa13f77dbcca2a1ada"
"Navy Active","","31.05","","","","31.05","","14.248","","13.96","","48.986","","43.176","","46.149","22.55","","","0905638a3f2001e762fb5f63358e10c4f55e8ff0-0-7727fc92f15937c0864e48fbba76f97430a1955b","0905638a3f2001e762fb5f63358e10c4f55e8ff0","root","0905638a3f2001e762fb5f63358e10c4f55e8ff0-d1f01131203a7ed6be5f1befb69040b65f5fec0b"
"Navy Reserve","","","","","","","","","","","","","","","","","9","","","0905638a3f2001e762fb5f63358e10c4f55e8ff0-1-a62258b1154a675eff09f32c177bb2e85cd71e75","0905638a3f2001e762fb5f63358e10c4f55e8ff0","root","0905638a3f2001e762fb5f63358e10c4f55e8ff0-d1f01131203a7ed6be5f1befb69040b65f5fec0b"
