"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Joint Threat Emitter (JTE) Depot Standup","","","","","","1","","","","","","","","","","","1.1","","","","","","","","1.1","","","","","","","","","","A","1f9a2bdf1bc584f0cf9bea6cfdf1792553ea62b6-0-4d23076b8e505c445ae96044339296d90d8c3fea","1f9a2bdf1bc584f0cf9bea6cfdf1792553ea62b6","root.record.ItemExhibitList.P5Item","1f9a2bdf1bc584f0cf9bea6cfdf1792553ea62b6-2-5f4b48799071ee3451a64f8f58b28167b292dd5c"
"Initial Spares","","","","","","","","","","0.02","0.02","","","","0.06","1.1","0.259","","","","","","","","","","","","","","","","","","","67c874bacf7b9dca0b9d2602f0e7391636811051-0-c46f49b3cfa14eb4292ef538e48a10129ee9a682","67c874bacf7b9dca0b9d2602f0e7391636811051","root.record.ItemExhibitList.P5Item","67c874bacf7b9dca0b9d2602f0e7391636811051-0-177f03453126bb93c77caff71d7705107d9f6cad"
"Initial Spares","","","","","","","","","","0.05","0.05","","","","0.11","0.105","0.023","","","","","","","","","","","","","","","","","","","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-0-bce35e77c90c4b9f41ad2c080f0860d35e5d47a5","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d","root.record.ItemExhibitList.P5Item","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-0-fdca992b31dd34b99c6bc532684f0968982b7900"
"Initial Spares","","","","","","","","","","2","2","","","","2.48","9.127","2.657","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-0-71408a15861b0e8850a1660ceb328d8e29fa0751","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item","d0091030ff83504e3be8dd77ea4500daacc243a1-1-f85060a26b7636c64d4c07dcdc3c890ba70293cb"
"Initial Spares","","","","","","","","","","","","","","","2","9.127","2.48","","","","","","","","","","","","","","","","","","","629aa8769c5f957116cf817f62f49fe0e3c2fd51-0-d0dce7ceec4709a17eefbb9a606fabb6fbfe89c1","629aa8769c5f957116cf817f62f49fe0e3c2fd51","root.record.ItemExhibitList.P5Item","629aa8769c5f957116cf817f62f49fe0e3c2fd51-1-a4d46a1be663150077172a7806381ec83b27e1d7"
"DISCREET OCULUS","1","1","1","1","","","1","1","","6.8","6.8","7.454","true","8.331","","","","7.028","6.518","6.8","6.8","7.454","8.331","","","7.028","6.518","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-0-07c6b413468d4991d7ead788a9959b6a60ed3d79","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Modular Whole Air Collection System","1","1","","","","","","","","1.5","1.5","","true","","","","","","","1.5","1.5","","","","","","","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-1-6282ce6a2927895b374b414369354e3fe33bdf50","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Particulate Airborne Collection System","1","1","","1","","","","","","0.55","0.55","","true","1.1","","","","","","0.55","0.55","","1.1","","","","","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-2-3705942cfc15f05783abe2e185dcbd7a91653dd2","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Radiological Detection System","","","","20","","","300","543","","","","","true","0.3","","","","4.347","4.776","","","","0.015","","","0.014","0.009","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-3-a080d333646f5bb22235b3aa29ff50c393e2e7c6","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Joint Personal Dosimeter","","","1","1","","","1","","","","","3.126","true","3.067","","","","3.185","","","","3.126","3.067","","","3.185","","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-4-dcd8877b8d063197f2c3088f552d9e232deef798","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Man-portable Radiological Detection System","","","1","","","","","3","","","","2.655","true","","","","","","3.363","","","2.655","","","","","1.121","","","","","","","","","63bacc2206ec9809941729788c09da59fdb58f89-5-5d725ffa27ecf2ebaee697a28bdd1d18fe2e8d47","63bacc2206ec9809941729788c09da59fdb58f89","root.record.ItemExhibitList.P5Item","63bacc2206ec9809941729788c09da59fdb58f89-4-ea88e8e8dc20243cdbb7e3b95af8e51e9ffba68d"
"Joint Threat Emitter (JTE) Depot Standup","","","","","","","","","1","","","","","","","0","","","","","","","","","","","","0","","","","","","","","a5da9f672ab515531807b44ff4f470c8aafa2712-0-0d24e67d5955b2d79cbc895653b82c96f38d7f45","a5da9f672ab515531807b44ff4f470c8aafa2712","root.record.ItemExhibitList.P5Item","a5da9f672ab515531807b44ff4f470c8aafa2712-0-c6bb4c0ed90bc2663c76cd8d2fd32ab1a39984e9"
"Initial Spares","","","","","","","","","","0.1","0.1","","","","0.05","0.663","0.11","","","","","","","","","","","","","","","","","","","b820afdaf6c73025a052fe3805bfec4aec4d304f-0-3147a014fe4bec30c5beac332c3e73ff31dd8637","b820afdaf6c73025a052fe3805bfec4aec4d304f","root.record.ItemExhibitList.P5Item","b820afdaf6c73025a052fe3805bfec4aec4d304f-0-df659320f58eca5773ca3deb891717c857ec0ee5"
"Initial Spares","","","","","","","","","","0.02","0.02","","","","0.02","1.201","0.02","","","","","","","","","","","","","","","","","","","ed8ed275a6fce510464c14d223576fe0e52107cf-0-e83539e4bad3688d19c8968fb2d7d69f6266aca8","ed8ed275a6fce510464c14d223576fe0e52107cf","root.record.ItemExhibitList.P5Item","ed8ed275a6fce510464c14d223576fe0e52107cf-0-e43f054d3fa2854021f7e70ddf3d67f0c4d456e7"
"Initial Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.101","0.259","0.259","0.000","","38de6458aec95045b90843d2833c437c0ee84d77-0-04a84a5b8d1b2bcd4d9cfe57dbacf18755d9aee2","38de6458aec95045b90843d2833c437c0ee84d77","root.record.ItemExhibitList.P5Item","38de6458aec95045b90843d2833c437c0ee84d77-0-c2ef1b0d00c7df1db369faf44c9b194f58b82119"
"Initial Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0.000","2.657","2.657","0.000","","d7285634d3096679a275948275993b8192b642b3-0-f10c996e6ca3091d63ade3f483760275cccada83","d7285634d3096679a275948275993b8192b642b3","root.record.ItemExhibitList.P5Item","d7285634d3096679a275948275993b8192b642b3-1-d92f2e772c92627d44ce051c59d741d454926bef"
"Initial Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.546","0.023","0.023","0.000","","fc0f84f89e87d72867ead598164f3c7eb5c99070-0-830b7051c6caa518a0292e6f05ee3f4c32d96ad5","fc0f84f89e87d72867ead598164f3c7eb5c99070","root.record.ItemExhibitList.P5Item","fc0f84f89e87d72867ead598164f3c7eb5c99070-0-16250e7197ed042e41f7c8e290d905606e254a83"
