"Name_@footnote","Name_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_Continuing_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","SubCostElementList_SubCostElement","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","M42A2 (AR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.395","172","0.068","","","","","","0.000","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c-4-528351f1b20bf8a5c8036aebc32b46b6ccedc27e","","","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c-4-e6741450b25cc25f988128f869833ac2207ddd11","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c-0-e0d561b428618e5c35e4c288240306aacccae2c2"
"","Engineering Support 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.017","","","","","","0.000","","","","","0.012","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c-5-550791fca225ff056d47fca610ce17e1eca07b1c","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","1a5d4ad366f4d94e8c36ec3ca2b2d9eed605bc9c-0-e0d561b428618e5c35e4c288240306aacccae2c2"
"","STEP (OCO) DISN-TE (Component Hardware)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.768","3","2.304","0.765","1","0.765","0.765","1","0.765","true","","","","0.768","0.768","1","0.000","0.000","0","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-2818b05efa63a58bd4192239e2840184ddd37fdc-0-36b805a66acada041d4f1359e0c64c6158e34cc8","","","2818b05efa63a58bd4192239e2840184ddd37fdc-0-420259247fa6ebc0913dc9bf0355bb7062710760","2818b05efa63a58bd4192239e2840184ddd37fdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2818b05efa63a58bd4192239e2840184ddd37fdc-0-eec5b93dfe028fb5f59d2484062d07e3fc02f42d"
"","STEP (OCO) DISN OSS Integration (Hardware, Engineering & Install","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1","1.3","1.3","1","1.3","true","","","","","","","0.000","0.000","0","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-2818b05efa63a58bd4192239e2840184ddd37fdc-1-6f46f01cc7c6671bd82c24cb8402a698a1489d93","","","2818b05efa63a58bd4192239e2840184ddd37fdc-1-ae6b821265a71170a2f28f9a3c7af5c13dff7091","2818b05efa63a58bd4192239e2840184ddd37fdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2818b05efa63a58bd4192239e2840184ddd37fdc-0-eec5b93dfe028fb5f59d2484062d07e3fc02f42d"
"","STEP (OCO) JIPM NCC (Engineering & Install)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.756","2","1.512","0.764","2","1.528","0.764","2","1.528","true","","","","0.764","0.764","1","0.000","0.000","0","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-2818b05efa63a58bd4192239e2840184ddd37fdc-2-ae39383c18a634ed16149321cb40573237b78486","","","2818b05efa63a58bd4192239e2840184ddd37fdc-2-73c3c421f89bbbe683232e757d1883e9160e2bb4","2818b05efa63a58bd4192239e2840184ddd37fdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2818b05efa63a58bd4192239e2840184ddd37fdc-0-eec5b93dfe028fb5f59d2484062d07e3fc02f42d"
"","STEP (OCO) COMSEC Racks, Misc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025","95","2.375","0.025","25","0.625","0.025","25","0.625","true","","","","1.775","0.025","71","0.000","0.000","0","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-2818b05efa63a58bd4192239e2840184ddd37fdc-3-f57bf93543ed8fb6f178ac04ccbb4879b08eadfa","","","2818b05efa63a58bd4192239e2840184ddd37fdc-3-20a1383bfdc399979d8055c5d4283c1a470082ec","2818b05efa63a58bd4192239e2840184ddd37fdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2818b05efa63a58bd4192239e2840184ddd37fdc-0-eec5b93dfe028fb5f59d2484062d07e3fc02f42d"
"","STEP (OCO) Hardware (Multiplexers, Encryption)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.521","2","1.042","0.521","2","1.042","true","","","","","","","0.000","0.000","0","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList-2818b05efa63a58bd4192239e2840184ddd37fdc-4-e4193e22c3e2b828842d90196752c1a18c0fbd02","","","2818b05efa63a58bd4192239e2840184ddd37fdc-4-2610891617ced941c3250d366a4d9a92022d2f34","2818b05efa63a58bd4192239e2840184ddd37fdc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2818b05efa63a58bd4192239e2840184ddd37fdc-0-eec5b93dfe028fb5f59d2484062d07e3fc02f42d"
"","AFNET INC 1 (PE 0303112F)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.553","18","9.947","","","0.000","","","0.000","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","18","9.947","0.553","","","0.000","","","0.000","","","0.000","","","0.000","","","A","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.SubCostElementList-2aaa9303717d43429a178d297a6fb6e08423593b-0-5c80973b092fa957f2ccabceca08eb101cee2d59","2aaa9303717d43429a178d297a6fb6e08423593b-0-d99afbf2255e4e30af859a1b7276e06893a9d3a3","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2aaa9303717d43429a178d297a6fb6e08423593b-0-963537d7d6f4ac2cf72d9784e334789211a5f5c4"
"","AFNET INC 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.116","45","50.207","","","0.000","0.463","109","50.447","","0.000","","","34.424","0.615","56","50.447","0.463","109","0.000","0","0.000","329","196.214","0.596","0.738","28","20.673","0.358","51","18.282","0.375","28","10.499","0.974","12","11.682","","","A","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.SubCostElementList-2aaa9303717d43429a178d297a6fb6e08423593b-1-0f63900aedad336da863eb9681b39c0508de4a68","2aaa9303717d43429a178d297a6fb6e08423593b-1-ff9fb7ebc556da2d69e0fd001db15578d916c751","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2aaa9303717d43429a178d297a6fb6e08423593b-0-963537d7d6f4ac2cf72d9784e334789211a5f5c4"
"","AFNET INC 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.763","","","0.000","0.31","74","22.961","","0.000","","","14.637","0.115","127","22.961","0.31","74","0.000","0","0.000","201","42.361","0.211","","","0.000","","","0.000","","","0.000","","","0.000","","","A","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.SubCostElementList-2aaa9303717d43429a178d297a6fb6e08423593b-2-0284b95513eebb81f9a63d4f89fd6c22ada2401f","2aaa9303717d43429a178d297a6fb6e08423593b-2-e8dfefe33e621f66d3dbc3dc1fd8bade24d8c666","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2aaa9303717d43429a178d297a6fb6e08423593b-0-963537d7d6f4ac2cf72d9784e334789211a5f5c4"
"","HBSS Subtotal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","0.089","106","9.483","","0.000","","","2.735","","","9.483","0.089","106","0.000","0","0.000","530","71.864","0.136","0.111","106","11.774","0.148","106","15.689","0.151","106","15.958","0.153","106","16.225","","","A","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.SubCostElementList-2aaa9303717d43429a178d297a6fb6e08423593b-3-f702411693adba46693ed81600f4b5d7a1bb5a58","2aaa9303717d43429a178d297a6fb6e08423593b-3-cbdbb91ca0e13f1f76851a9f821170ec3d0a4bc3","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2aaa9303717d43429a178d297a6fb6e08423593b-0-963537d7d6f4ac2cf72d9784e334789211a5f5c4"
"","AFNET MODS Subtotal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","0.061","151","9.2","","0.000","","","2.886","","","9.2","0.061","151","0.000","0","0.000","575","16.937","0.029","0.046","106","4.851","0.000","106","0.000","0.000","106","0.000","0.000","106","0.000","","","A","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.SubCostElementList-2aaa9303717d43429a178d297a6fb6e08423593b-4-d6625115518e469cb0af7af4826a8da92409cc9a","2aaa9303717d43429a178d297a6fb6e08423593b-4-3f34747625fc9662cae02e5170fd693479cbae02","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware","2aaa9303717d43429a178d297a6fb6e08423593b-0-963537d7d6f4ac2cf72d9784e334789211a5f5c4"
