"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","2.942","130","46.523","","","","","","","","","","","","","","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-0-9ec15e73cd78501eb92b81ac33106fba30075ad6","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f","root.record.ItemExhibitList.P5Item","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-0-6f00b14537c7f3aec1752809b52406354743e9f7"
"Army National Guard","","0.821","51","18.251","123","44.593","","","123","44.593","","","","","","","","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-1-26756213302aea07c63c6f4abe163b63e8fd9b57","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f","root.record.ItemExhibitList.P5Item","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-0-6f00b14537c7f3aec1752809b52406354743e9f7"
"Army Reserve","","0.798","","","7","2.538","","","7","2.538","","","","","","","","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-2-e111ac0426dde4349db1125803d52d02cf9a85dc","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f","root.record.ItemExhibitList.P5Item","93a5e19cf1dd9c21762a58ebff7aa15b22b27e5f-0-6f00b14537c7f3aec1752809b52406354743e9f7"
"Army Active","78","628.422","88","662.231","84","646.59","","","84","646.59","","","","","","","","94c03f8071e061dc2ed0c2309b8aabd3766ac393-0-882cd22557c89b9f374efdf4c3e347c52a7cb04d","94c03f8071e061dc2ed0c2309b8aabd3766ac393","root.record.ItemExhibitList.P5Item","94c03f8071e061dc2ed0c2309b8aabd3766ac393-0-2472eaab9ed99a91c3d1af843435bd8c9f4d7687"
"Army Active","","","","15","3","6.95","","","3","6.95","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-0-c4fe6a3d906aafea845d3eb4d983ceaff3bce0fb","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-0-789a594695d6b0e8dea91cf52c15e27193ed005c"
"Army National Guard","","16.77","4","26.805","4","19.961","","","4","19.961","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-1-5d1b9081708203769c0360c90a9610de644a4cda","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-0-789a594695d6b0e8dea91cf52c15e27193ed005c"
"Army Reserve","5","12.382","4","27.484","","8.05","","","","8.05","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-2-0152ee5a4ce17dfe1c44f6065f349506f1781d79","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-0-789a594695d6b0e8dea91cf52c15e27193ed005c"
"Army Active","","33.312","10","11.265","","0.538","","","","0.538","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-0-c48c22138856734585f67468e23218d07dd4bd73","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-1-cb80d1a8c7584e117f54a12604b466f7deec7366"
"Army National Guard","","","5","6.89","","","","","","","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-1-daec6db0149fb7a09d2b6f61ee96c0e539fe6034","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-1-cb80d1a8c7584e117f54a12604b466f7deec7366"
"Army Reserve","","","4","4.984","","","","","","","","","","","","","","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-2-9e4a9972fe61b21f40fd9b41aeb70de6c6882bd2","94fc0ec4f7ba6b1d2825691b31f5c43988a94958","root.record.ItemExhibitList.P5Item","94fc0ec4f7ba6b1d2825691b31f5c43988a94958-1-cb80d1a8c7584e117f54a12604b466f7deec7366"
"Army Active","16","491.034","19","561.269","40","684.822","","","40","684.822","","","","","","","","95fa528cf91057e87c3f6e951e9a7b894c07368f-0-6aa7b16def948969e712c57665f129882b6bf8bd","95fa528cf91057e87c3f6e951e9a7b894c07368f","root.record.ItemExhibitList.P5Item","95fa528cf91057e87c3f6e951e9a7b894c07368f-0-ad0374337dee9b6622795a84b177303b7ee1ccb5"
"Army Active","209","59.448","66","23.709","13","1.577","","","13","1.577","","","","","","","","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-0-bbd8dd3ca4a256478460f7cd9ec345da3ffb5855","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe","root.record.ItemExhibitList.P5Item","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-0-f090059b7246da910bbbfd433f7fba396eb4841d"
"Army National Guard","","","49","16.524","44","16.081","","","44","16.081","","","","","","","","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-1-acbd96914033bfddbe6b1efe1a692155cb1cc38b","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe","root.record.ItemExhibitList.P5Item","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-0-f090059b7246da910bbbfd433f7fba396eb4841d"
"Army Reserve","10","4.224","32","10.201","4","3.209","","","4","3.209","","","","","","","","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-2-e529d9905331a2db3afc4e7725443111ce04d0ae","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe","root.record.ItemExhibitList.P5Item","9642d1b18a5ce34d7dee76c4067f3db2f78b7fbe-0-f090059b7246da910bbbfd433f7fba396eb4841d"
"Army Active","13480","37.965","1743","7.11","1345","8.383","","","1345","8.383","","","","","","","","97e88f22fa76731fd37525b3e2b30b6681063c60-0-c04f737ca8ee08a2ec34c99a2d1e0a72b3b920c5","97e88f22fa76731fd37525b3e2b30b6681063c60","root.record.ItemExhibitList.P5Item","97e88f22fa76731fd37525b3e2b30b6681063c60-0-fbc6935d204502cd24230d0a4e4ebe5ba4dd1dcf"
"Army National Guard","103","0.427","975","3.98","752","4.599","","","752","4.599","","","","","","","","97e88f22fa76731fd37525b3e2b30b6681063c60-1-7050732e15366d185228f97d0556b3d199a0a099","97e88f22fa76731fd37525b3e2b30b6681063c60","root.record.ItemExhibitList.P5Item","97e88f22fa76731fd37525b3e2b30b6681063c60-0-fbc6935d204502cd24230d0a4e4ebe5ba4dd1dcf"
"Army Reserve","72","0.298","236","0.965","183","1.114","","","183","1.114","","","","","","","","97e88f22fa76731fd37525b3e2b30b6681063c60-2-5763d04c0fe762055cdc061780bfe9cdeb468f16","97e88f22fa76731fd37525b3e2b30b6681063c60","root.record.ItemExhibitList.P5Item","97e88f22fa76731fd37525b3e2b30b6681063c60-0-fbc6935d204502cd24230d0a4e4ebe5ba4dd1dcf"
"Army Active","8759","989.067","","4.313","","","2128","271","2128","271","","","","","","","","99fd083d3f30c378b73e69932f47c1e957f40195-0-ea64456ebb910c839f83adc0d294aea0aa8c76bf","99fd083d3f30c378b73e69932f47c1e957f40195","root.record.ItemExhibitList.P5Item","99fd083d3f30c378b73e69932f47c1e957f40195-0-59fccada3a3aa01d7b70208cf8e305f57dbec246"
