"Name_val","Name_@footnote","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_Continuing_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Non-Recurring Engineering","","0.55","0.55","0","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","012921c780cec387dcf5463ca3a8e4374fce23f5-0-798f24fe648b203ced7f9964eaa15790ae992153","012921c780cec387dcf5463ca3a8e4374fce23f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","012921c780cec387dcf5463ca3a8e4374fce23f5-0-bcfcf99e8a5cce8544df0d8b9ab65c855a5a518f"
"1.2.1) CANES - Afloat First Articles - MIP - Organic","First articles are defined as necessary production design drawings, environmental (shock and vibration) qualifications, logistics and training artifacts as well as a certified tested baseline provided to the government for each platform first of its kind. First articles are separate from production units and must be bought prior to the procurement of the corresponding production units. Procurement Lead Time (PLT) is 8 months for First Articles (DDG,CVN, submarines, etc). All following production articles of the same variant require a PLT of 6 months. CANES First Articles are not installed. Average unit cost fluctuations are attributable to variances in system configuration requirements among platforms. A DDG/CG/LSD (unit level platforms) has fewer users and runs fewer applications than a LHD/CVN/LPD (force level platforms). Force level platforms are larger in scale compared to the unit level ships and represent a super set of users, applications and connected systems. The FY15 and FY17 units are Unit Level procurements. The FY16 procurement is a force level system.","","2.6","1.812","40.187","30.783","1.914","1.812","2.6","0.641","0.625","","","","8","1","1","1","1","1","1","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-0-40ab189e42a486cac1184879da56384763ed8f91","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-c6e2e871702ee512af23f038a7ddad43484cd03d"
"1.2.2) CANES-Non-Recurring Engineering (MIP) - Organic","","","","","4.732","4.732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-1-5052b954f19c34c860fd95b47b811ac3218bb914","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-c6e2e871702ee512af23f038a7ddad43484cd03d"
"1.2.1) CANES - Ashore First Articles - MIP - Organic","Production Lead Time is 8 months for First Articles. First Articles are defined as necessary production design drawings, environmental (shock and vibration) qualifications, logistics and training artifacts as well as a certified tested baseline provided to the government for each platform first of its kind. All following articles of the same variant require a Production Lead Time of 5 months for Ashore units and 6 months for afloat units. Total Ashore lead time, including 1 month Admin lead time, is 6 months. Ashore production lead times require one month less than Afloat production lead times due to the long lead time afloat production quality racks and minimized shock and vibration requirements for shore facilities. CANES First Articles are not installed.","","","","3.264","3.264","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-0-7955301b02d689d86012021b3c68aa1531ff33ff","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0856e8d1049ce4094573476f378103b2d0c7c16f-0-9a8e4ba463962b94ce7147bfdea7bef308218a60"
"1.2.1) Non-Recurring Engineering - NonOrganic","1.2.1 - Non-Recurring Engineering - Address engineering changes, obsolescence of hardware, correct deficiencies found during integration test and development test evaluation, and maintain cyber security compliance and field critical software updates.    CVN78 will deliver with several known AAG deficiencies that could not be corrected prior to delivery.  As a result additional funds allocated to the Non-Recurring Engineering cost element in FY18-21 are there to support these known deficiencies that will need to be corrected after delivery.  As the schedule to design, produce and install retrofit kits is fully defined, the exhibit will be updated to move funds to the installation kit and installation cost elements in a future budget cycle.","","1.596","","","","0.734","1.843","1.596","3.776","3.776","4.473","2.929","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-10a63adac40a5548c3483e4cc2bd80d6869ef994","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-2cc1ef735f4f6b64276f9fac314914b105b401f3"
"1.2.2) Data - Organic - Organic","FY15 and FY16 data funds required to update drawings and specifications to address deficiencies discovered during the SDD program.","","","","2.982","","0.966","2.016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-c21bffe547b8771602dbdf8e42d074b1a3ebce79","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-2cc1ef735f4f6b64276f9fac314914b105b401f3"
"1.2.1) Completion Kits - NonOrganic","FY 2017 completion kit is in support of a trainer with considerably reduced installation cost occurring in FY 2018. Installation cost for trainers is less because the install occurs in a lab based facility.","","1.81","","1.81","","","","1.81","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-a08c74fa1077cd2a8e21b59af8b730bf3213ff2d","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-07021733f69a3ed5275ff30f00d4ca93fd4e3727"
"2.2.1) Block II Upgrade Kits - NonOrganic","The 3 Block II upgrade kits procured in FY14 are shown under BLI 4216 Budget. They are part of the Oct 2013 Milestone Decision Authority approved re-baseline, which are Block II upgrade kits for currently fielded Block II systems. The kits procured in FY14 are planned to be installed as follows:  2 in FY16 (Blk II upgrade to CVN 71 and 75) and 1 in FY17 (Blk II upgrade to CVN69).  Kit Installation schedule is based on ship availability.","","","","","0","","","","","2.566","1.287","1.287","true","3","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-4a868275a8519bd20e250ec1c571204cd01bdfd4","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-6d6fbd73913c7c18e63bab97e5cc899aa80c2d49"
"1.2.1) Non-Recurring Engineering - Organic","CE 1.2.1 - Non-Recurring Engineering addresses engineering changes, obsolescence of hardware, correction of deficiencies found during integration test and development test evaluation, and to maintain cyber security compliance and field critical software updates.","","0.349","","","","","","0.349","2.596","2.477","2.45","1.9","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-c45c3b1888fba96d0cacfa44c73b8b6cd4a88e06","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-0e9083e26182a7ee10a3b82b7f6b0b1a406d4760"
"1.2.1) NRE - Organic","Cost Element 1.2.1, NRE funding supports individual Engineering Change Proposals to correct expected obsolescence issues.","","","5.72","10.889","","","","","","1.774","1.575","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-5249aec010d51b6406ee8eee14a8688e0ef4e8aa","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-3d732a67757ccb1cc7f5f0740eaeca828ac4729d"
"1.1.1) EQUIPMENT - NonOrganic","The ASR Range Extension is in response to the HQMC APX-25 Requirement Clarification letter dated 05 Jan 2010.  Inventory objective is 15.  11 procurements and 11 installs are funded under BLI 2815.","","2.4","","4.8","","","","2.4","1.2","1.2","","","","","","","2","2","1","1","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-27249f4187fe6c12e7e11e504f26913e5c3b9156","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-d3d157268c17096ee498fdb8b2cdca2d25b3ef29"
"1.2.1) AN/SQQ-34C MH-60R Mission Integration - Lab/Shore Site Systems - Organic","","","","","3.395","3.395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1a45617c2910cee50ad09558a6def0c067bde0ac-0-a43b6be29c2164e7f935cb17ba2eee69c09dec86","1a45617c2910cee50ad09558a6def0c067bde0ac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1a45617c2910cee50ad09558a6def0c067bde0ac-0-ecdd72ff389ff5c44b80cc98f744f48c09723480"
"2.2.1) Installation Equipment N/R - Organic","","","","2.075","6.069","3.994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1ce1b5f43226c20a587333371e1785c24dd29276-0-beb4aa87f6a77d39d5dc225384c508f936abfbae","1ce1b5f43226c20a587333371e1785c24dd29276","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1ce1b5f43226c20a587333371e1785c24dd29276-0-cbf2cb12944f77295223af5ddf84eaf027ff4e4d"
"1.2.1) SWAN-CANES Integration - Organic","FY16 Availabilities: LPD 21 - SWAN Server(Dell)/COMPOSE 4.0; SWAN COMPOSE 4.0; Network Router Upgrade; Network Storage Device Upgrade; SWAN Adaptation Updates; SWAN Transport Upgrades; SIPRNET CLO COMPOSE 4.0.  LPD 23 - SWAN Mesh CORE Switch; SWAN COMPOSE 4.0; Network Router Upgrade; Network Storage Device Upgrade; SWAN Adaptation Updates; SWAN Transport Upgrades; SIPRNET CLO COMPOSE 4.0. LPD 24 - SWAN Mesh CORE Switch; Network Router Upgrade; SWAN Adaptation Updates; SWAN Transport Upgrades; Acatel O/S Upgrade; SIPRNET CLO COMPOSE 4.0.   FY17 Availabilities: LPD 17 - HM&E Conversion Mesh. LPD 18 - HM&E Conversion Mesh. LPD 20 - SWAN COMPOSE 4.0; Network Router Upgrade; Network Storage Device Upgrade; SWAN Adaptation Updates; SWAN Transport Upgrades.  LPD 25 - SWAN Mesh CORE Switch; SWAN COMPOSE 4.0; Network Router Upgrade; Network Storage Device Upgrade; SWAN Adaptation Updates; SWAN Transport Upgrades.  LPD 26 - SWAN Adaptation Updates; SWAN Transport Upgrades; SIPRNET CLO COMPOSE 4.0.","","1.25","","6.885","4.235","0.2","1.2","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1e95f35c7a123839d22e117f1ae8851bef8756c6-0-49577fcf68a1b2b7936c9c10e646850c5c875391","1e95f35c7a123839d22e117f1ae8851bef8756c6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1e95f35c7a123839d22e117f1ae8851bef8756c6-0-d2fe0918dfeb76e2a514fc70a5632fd727bdb36b"
"2.2.1) Installation Equipment N/R - Organic","","","","","60.446","60.446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1f1e45e2385c12428de5d665e2613200b5b8beaa-0-15e0fcb2ee3d46b34c699bfea267acf073739adc","1f1e45e2385c12428de5d665e2613200b5b8beaa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1f1e45e2385c12428de5d665e2613200b5b8beaa-0-52942e8b498bb6bec0faab05c2a8606b8b9db8b7"
"2.2.1) Installation Equipment N/R - Organic","","","","","4.428","4.428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1f1e45e2385c12428de5d665e2613200b5b8beaa-0-f9cd444ee8989c57841cae9b6fbcf899c458c35d","1f1e45e2385c12428de5d665e2613200b5b8beaa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1f1e45e2385c12428de5d665e2613200b5b8beaa-0-c53b904e34402134c376e05523e575d319635301"
"B Kit","","","","","23.4","23.4","","","","","","","","","0","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-f78befb2831eef0711a25ed60a6662da759be177","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-d9a52e51a6e255f3541a807ae9d278d826c547cc"
"B-Kits Nonrecurring","","","","","1.2","1.2","","","","","","","","","0","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-37de691fb25ef11e3986c6bd40db2f07251d080e","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-04fd319efd7516124f1f0ad770e9d813527443fc"
"Non-Recurring Engineering","","","2.096","","22.734","5.165","8.493","6.98","2.096","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-1ddb60d59e4b5287da1265c73e59a489606efc26","241074839f06b5ebbca5efcfd409fa4167dec7b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","241074839f06b5ebbca5efcfd409fa4167dec7b9-3-5d7b6e71f1d591efc8c74c95af13134d803f3d75"
"2.2.1) Installation Equipment N/R - Organic","B-Kit Non-Recurring increase from FY15 and FY16 to address Mode 5 transponder performance issues with the F/A-18 AN/APX-111 Receiver-Transmitter (R/T) Shop Replacement Assembly (SRA). B-kit NRE for this effort is required for full Mode 5 transponder functionality and intra-service interoperability. Some platform ECPs are more complex than others so the B-Kit Non-Recurring is based on the specific platform implementation.  Out year increases are due to the delays in the Non-Recurring efforts for C-20, C-37 and C-40 platforms due to reprioritization of AV-8B.","","17.328","8.461","163.408","60.315","13.627","16.771","17.328","5.349","9.022","17.901","14.634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2447d26e12b8afdc494cce73e3997234dbe9afe7-0-999a5762492de8fe644b3544295008afc45ea221","2447d26e12b8afdc494cce73e3997234dbe9afe7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2447d26e12b8afdc494cce73e3997234dbe9afe7-0-307a4f92c5c789a1538f8e61c119dc79a839b4e3"
"2.2.1) Installation Equipment N/R - Organic","","","","","10.952","10.952","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27451e468758ff2ace54fb2db9a3d35ad73849e5-0-3e6f5b6aca7758d9274d40b4729ee50ec513a6cd","27451e468758ff2ace54fb2db9a3d35ad73849e5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","27451e468758ff2ace54fb2db9a3d35ad73849e5-0-5149a2220180aee0840dc0fe59f3d695913bb682"
"2.2.1) Training Equipment - Organic","","","","","1.726","1.726","","","","","","","","","3","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820c9fc8d39ab5f030b434280731e669dc58a7f-0-5261babb8236f3e339aca3e398fd49b9b47605a8","2820c9fc8d39ab5f030b434280731e669dc58a7f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2820c9fc8d39ab5f030b434280731e669dc58a7f-0-f2efaf12fca1de3a85fbeb3e547551444f4cda7a"
"1.1.1) JBAIDS - NonOrganic","The procurement costs are specifically referring to Installation and Design Service Allocation (DSA) costs as there are no equipment procurement costs with any detector system installed.  DSA costs are for government engineering oversight/support in preparation for ship installation and ship class planning yards for engineering services which include ship check, development and approval of ship installation drawings (SIDs), Ship Selected Record changes, Bill of Material (BOM), onsite planning yard engineering support during installation to answer liaison action record (LARs), and other engineering services depending on the planning yard.  DSA costs are generally funded up to one year prior to planned installation due to drawing development lead time and installation preparation efforts.  These costs are ship specific since drawings are developed for each ship, not class of ship, excluding IPDS-LR for DDG Class ships which are class-wide drawings.","","","","0","0","","0","","0","","","","","20","","2","","","1","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2c5811776fa48e4e0a45e438413b920421703af8-0-ffee829e7815d5bdfe8fea12334791bb7d2a7de6","2c5811776fa48e4e0a45e438413b920421703af8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2c5811776fa48e4e0a45e438413b920421703af8-0-92550f141039d24e6df8e2f4c0d466f62daeab33"
"2.2.2) NRE Obsolesence - Organic","","","0.368","0.354","1.492","","","","0.368","0.07","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e577599645a942ed95e1e39b97b0d2018c4c16e-0-5234ea70f0c77b43d7fc0e17f3204ee22d3f9de3","2e577599645a942ed95e1e39b97b0d2018c4c16e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2e577599645a942ed95e1e39b97b0d2018c4c16e-0-4b14ee42c24eb099612458604f0dcfdbb0f3d188"
"2.2.1) Inactive OSIPs - Organic","","","","","46.1","46.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e577599645a942ed95e1e39b97b0d2018c4c16e-0-52c9630b4ddfc1818ac51cc724ef4dd3982f9136","2e577599645a942ed95e1e39b97b0d2018c4c16e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2e577599645a942ed95e1e39b97b0d2018c4c16e-0-6dce9c4cb3c4e65eb8da51e66e673c771cc81d96"
"1.1.1) Inactive OSIP/DAWDF Realignment - Organic","","","","","9.636","9.636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36afcfb9365963e125f19bb9b2d0857a84518c06-0-d16a9a3fada897514cd8401b1abf2e73bdee8bdf","36afcfb9365963e125f19bb9b2d0857a84518c06","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","36afcfb9365963e125f19bb9b2d0857a84518c06-0-e9364cd5292a028cab1985cadee9d79704ee1c1e"
"2.2.1) Installation Equipment N/R - Organic","","","","","0.12","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-69ca2334a34c26861f380a0ddd781a14df0f4590","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-855edf6a3c5c2b629e081ef2bdd19f1ec9346c36"
"2.2.1) Install Equipment N/R - Organic","","","0.036","","10.642","6.843","3.481","0.282","0.036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-c3f54f633fd56e5a64a478071dd527217a4cdbe1","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-18cbdbe63afe2e1fd44c644c5258e1006af3e478"
"2.2.1) Install Equipment N/R - Organic","Install Equipment N/R represents production line shutdown costs of three separate events during the FYDP.  Costs in FY14 - FY16 represent CBR line shutdown at the vendor.  Costs in FY18-19 represent CBR production line shutdown at two depots.","","","","29.09","12.527","2.121","5.92","","5.24","3.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-a70b070680351d0777b63f67d6e659152c0bd162","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-96ba43cf2094dd336fb8f7dd08564f27c175f537"
"2.2.1) Install Equipment N/R - Organic","","","1.232","","49.755","37.301","6.456","1.007","1.232","1.257","0.777","0.92","0.805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-4a605c9f3cc78acc3844beec2103872e12aabf52","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-41539e5ecec22752452bda72c656f3f539c59181"
"2.2.1) Installation Equipment N/R - Organic","","","","","0.944","0.944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-317fbf8b2f02178e072de55375c8fde774add626","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-29bbfed09abd3a63458ac390eeb61b089cc3cb0c"
"2.2.1) Installation Equipment N/R - Organic","","","","","1.281","1.281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-6ba0bfe914e816ede4c78173ff73d17ac3d28528","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-a208b87815b4ced274156d2180fb3c4a7b3409dd"
"2.2.1) Installation Equipment N/R - Organic","","","","","81.647","80.404","1.243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-faeced7144489f2e14ddf509225450bc0673da9e","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-476f4cb035d440aa42b04fdffb026813c92815cb"
"2.2.1) Installation Equipment N/R - Organic","Installation Equipment N/R increases in FY15 due to Congressional Add for USMC Improvements (displays, mission computers).","","46.953","2","185.346","1.576","31.89","22.703","46.953","24.642","7.818","32.995","14.769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-16206bfba9f789c5fa4cc10d17ee30643921701f","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-597663015ec6fe4f318a65549a35774634364463"
"2.2.1) Installation Equipment N/R - Organic","","","","","6.216","6.216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-7e8addd2b6c842c0ece38326636392f1901a719b","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-c92a2d87532c349337f80a7bb627353968c4851b"
"2.2.1) Installation Equipment N/R - Organic","","","25.307","","396.926","169.205","30.641","25.008","25.307","26.047","33.395","62.2","25.123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-4e77dae90b518e81d8adf3aecd0ad3cd251dac91","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-2d2a2d97cafa48749613a1ea6fe5eea186e8528e"
"2.2.1) Installation Equipment N/R - Organic","","","","","12.19","12.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-e9a9bddeea0d69368291969bfe378418fab98835","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-dbe4eeaebc80a6bb362deba1266cb885231b54c1"
"2.2.1) Installation Equipment N/R - Organic","Increase in FY18 is due to NRE efforts for Distributed Targeting Processor-Network (DTP-N). Increase in FY19 is due to NRE efforts for Distributed Targeting System (DTS).","","","2.548","15.017","3.313","0.258","","","1.935","4.303","1.337","1.323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-d41bf537db7f55e8c4de44329130f06147008e1f","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-5dc4323e2d8829aad6bd6d775d9d53721631a811"
"2.2.1) Installation Equipment N/R - Organic","","","","","6.688","4.12","2.237","0.331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3adf8724b4fb26edcc374065e063d70add45049b-0-ae981a50c481996d765e61eca3b3fe08c239907c","3adf8724b4fb26edcc374065e063d70add45049b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3adf8724b4fb26edcc374065e063d70add45049b-0-5a55e0b63543d1eb25e32e1708c4e538d23f31d9"
