"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Cockpit for FY15 EOQ/Long Lead","","0","1","3.25","5.3","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-5-0b96410a868a722b6f95f03d3cb68cb5cb2ad788","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"A/C Misc Avionics","","0","0","145.645","8.093","","","","","","","","","","","","","","b65411babcc2b39f15924aadc6fecc3770ef6b82-6-49e318ac942dca69aec3ce09860fc46f9ea341a6","b65411babcc2b39f15924aadc6fecc3770ef6b82","root.record.ItemExhibitList.P5Item","b65411babcc2b39f15924aadc6fecc3770ef6b82-0-cfac9d894d14cb90d55462f510bf5cf7541d9ff8"
"Other GFE","","0","1","32.177","","","","","","","","","","","","","","","b992838ada5beb43b58553649f864ac799211642-0-040f116275ace29388bebfe440d19f38fbe09da7","b992838ada5beb43b58553649f864ac799211642","root.record.ItemExhibitList.P5Item","b992838ada5beb43b58553649f864ac799211642-0-33eb77518570777a07eafbe70f981cf70ad2cb51"
"JTIDS","","0","1","16.955","","","","","","","","","","","","","","","b992838ada5beb43b58553649f864ac799211642-1-954cdf383483f7def43ca8b6906336ddf3ddb275","b992838ada5beb43b58553649f864ac799211642","root.record.ItemExhibitList.P5Item","b992838ada5beb43b58553649f864ac799211642-0-33eb77518570777a07eafbe70f981cf70ad2cb51"
"Engines","","0","1","14.9","","","","","","","","","","","","","","","b992838ada5beb43b58553649f864ac799211642-2-d99e721ce7c89089a5353b56a944e4e1654b57e1","b992838ada5beb43b58553649f864ac799211642","root.record.ItemExhibitList.P5Item","b992838ada5beb43b58553649f864ac799211642-0-33eb77518570777a07eafbe70f981cf70ad2cb51"
"G.F.E Engines Termination Liability","","0","1","129.672","9.477","2.36","4.609","","","","","","","","","","","","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-0-407e4c786bf3eb6eef311521c0dfaa680dd6324a","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e","root.record.ItemExhibitList.P5Item","bcb4bf5ede0ca5aa53fecdb48fd27d12bb9b9e9e-0-8c6000ecaa11417442a10ab3054a699f05aeefe3"
"GFE Other","","0","0","86.028","","","","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-0-a9e5beaebc782856f545514a966407d098692b5c","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item","ea44340975568d173a5c23182d67ccbb3d155c9e-0-2cdefea6990c8a3f7cc832deeb321422ee8ee009"
"GFE Com/Nav","","0","0","18.15","1.77","3","2.579","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-1-e38e285ee0847eb1903eea02dc80b50b47a7d2a6","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item","ea44340975568d173a5c23182d67ccbb3d155c9e-0-2cdefea6990c8a3f7cc832deeb321422ee8ee009"
"GFE EW","","0","0","19.92","1.882","2.51","2.684","","","","","","","","","","","","ea44340975568d173a5c23182d67ccbb3d155c9e-2-a6d092f7e1d0a8e03b67c00f17c008cc795630ef","ea44340975568d173a5c23182d67ccbb3d155c9e","root.record.ItemExhibitList.P5Item","ea44340975568d173a5c23182d67ccbb3d155c9e-0-2cdefea6990c8a3f7cc832deeb321422ee8ee009"
"GFE Other","","0","0","22.958","5.025","","","","","","","","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-c88d67176d9c92d95177de2da78b902c368fc297","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-a0776f917f94eb6a512f7379720c00ac554ed43e"
