"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GFE Other","","0","0","27.983","3.16","","","","","","","","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-0-936538f77635127e89cfdc17939f66a4da826a48","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"G.F.E Engines Termination Liability","","0","1","139.149","2.36","5.121","8.9","","","","","","","","","","","","cc98329984138360a3338947d846c280bd314fd6-0-ca782eccb4fb63b8cfa9d46a18ceee449ad2a649","cc98329984138360a3338947d846c280bd314fd6","root.record.ItemExhibitList.P5Item","cc98329984138360a3338947d846c280bd314fd6-0-348aab94b92fb5b5f64e5dc86c63a3955e0846e1"
"Engines T.L.","","0","2","51.038","8.049","","","","","","","","","","","","","","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-0-d793aa34a7de5822f71dc0704ad494b22eb75b9a","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0","root.record.ItemExhibitList.P5Item","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-0-358c031d46a637379eb9858f15b94ef2c6e35cbf"
"GFE Other","","0","0","10.533","5.501","","","","","","","","","","","","","","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-1-8a65f688b825bf9d05452fc76f17688e3f88422c","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0","root.record.ItemExhibitList.P5Item","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-0-358c031d46a637379eb9858f15b94ef2c6e35cbf"
"G.F.E Engines Termination Liability","","0","1","126.443","3.229","9.477","2.36","","","","","","","","","","","","2dec8160a408f6353e326ca9e075724853540cae-0-0fe45365dcda945c90ba8066032e69286c1f455a","2dec8160a408f6353e326ca9e075724853540cae","root.record.ItemExhibitList.P5Item","2dec8160a408f6353e326ca9e075724853540cae-0-674f30945d6b156935389727df229e1af8997c59"
"GFE - Engines T.L.","","0","2","253.561","11.778","","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-12189dd2c98191976c3892e0a849f0cb4d9ece7c","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"GFE - Engines (Refurb)","","0","2","","","6.24","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-1-9c8123d83a800db59d89ea045fbcd4b23f5a5e9c","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"GFE - Cockpit","","0","1","288.113","","","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-2-a584d6434c43484cf9cfb2ef25993375e2e2835a","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Cockpit for FY13 EOQ/Long Lead","","0","1","13.2","","","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-3-3212fe201883cbcf94bc53f65e48226e81a8975d","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Cockpit for FY14 EOQ/Long Lead","","0","1","3.5","11.925","","","","","","","","","","","","","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-4-07d086cca309c8896686499178de7e01818a4f9d","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
