"Name_val","Name_@footnote","Location_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"DLT Solutions","","Herndon, VA","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-2c32610a8f777d79a450d6cb894d8bd90f0165d5","0.00","0.00","0.00","d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-7782e583a87007ebe9e2394e43e0c76f2bd5ebec","d568c6ab62b961dc0e87e8e827b15f2dbe100754","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","d568c6ab62b961dc0e87e8e827b15f2dbe100754-0-1251c87cb2478a95687cb53f106faf9c084147dc"
"TBD","","TBD","0","6","3","9","0","6","3","9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-76a451168c8b7adab75e7202b5f1301eaf896d17","1","5","3","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-0d147002265969b5d9dd90d0468c54de1b3b06d6","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-ec4b66d8d82d055b9b1cb5d270ea2e61b2172d16"
"Various","","Various","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-71b479e9d38421453be24984b4468bf79919df2b-0-24e5a2ef068a7b9f1e2424dae80292c0e4003f4a","","","","71b479e9d38421453be24984b4468bf79919df2b-0-406613449058e1af50f6c048ecc9e6ebc0e78ac6","71b479e9d38421453be24984b4468bf79919df2b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","71b479e9d38421453be24984b4468bf79919df2b-0-ce966e509ae0f10ba1020d400ac7599354fcfcd9"
"HP","","USA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-24db7556a12306abac46ad9496675023d20beaee-0-a69b723824a3678c370ff8a37bc6aec93932d808","","","","24db7556a12306abac46ad9496675023d20beaee-0-ddae9e15d9c860d1d6f405d686c3acb12a29ad76","24db7556a12306abac46ad9496675023d20beaee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","24db7556a12306abac46ad9496675023d20beaee-0-dd7887d6173d21d06cc3047675e12e506e3511a3"
"Northrop Grumman Corp.","","Winter Park, FL","0","12","6","18","0","3","2","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-40d365317c2695995273930668a57d384a824c91-0-573fa78185861de2fd0bb7a47693e97c0ff8836e","1","1000","100","40d365317c2695995273930668a57d384a824c91-0-e0cd51e71af12dd80a2a2b78dadf928ac675628b","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","40d365317c2695995273930668a57d384a824c91-1-4ebc1cc7a7954be98ddf67ba02f82be9464f6ffc"
"Northrop Grumman Corp","","Reston, VA","0","4","3","7","0","5","2","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-40d365317c2695995273930668a57d384a824c91-0-ebf2db59700ceee182266a8020af3df050b3771f","260","3000","400","40d365317c2695995273930668a57d384a824c91-0-fdf22d400fb7f1d367983f3e699d0fe2ddb254b8","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","40d365317c2695995273930668a57d384a824c91-1-a62888e5cb6a4085264fe446588651c8b367caa8"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-571239ea242e1e673bae4fee7eb23020af5fa084-0-e3be9a93403fb0ca1fb110e3cbd555091120d75c","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-1a3f35f66270bbf3437a88c5f825d05eb7197a59","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","571239ea242e1e673bae4fee7eb23020af5fa084-0-a1977deaf335931d86a3e7ea7ec5e17f9a70e2ba"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-571239ea242e1e673bae4fee7eb23020af5fa084-0-e635398dc74840f2eba028c5067d3a4ef3a88935","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-4889c02ff90264516d5799973cfeb5670528dea0","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","571239ea242e1e673bae4fee7eb23020af5fa084-1-db0363ea7da49927f4437194a9b89da90f4f4e8b"
"TBS","","TBS","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-571239ea242e1e673bae4fee7eb23020af5fa084-0-484bbefdbfa87989d6cda4fbc7f484ab8fae1be8","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-73f71835deaac28918c08b64806ac81d1cb73c15","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","571239ea242e1e673bae4fee7eb23020af5fa084-0-642f2248e06eebaa9cf516cfd09911c04baf7d2f"
"Pepperweed Consulting","","PA","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-97040ec9f3e7e639865c89203ed529dda390ccaa","","","","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-0-737ed89b94ac07089248df6cfbb0ffa76f4fffc2","af5b2dca6598b8a12c85691dd6bc9f041af28eb9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement","af5b2dca6598b8a12c85691dd6bc9f041af28eb9-1-4a1584f4f6493a34ff55baff210949d17779a9dd"
