"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0401119F","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-23a23def10a80661dd74c74ce4cab43ade8709bf","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-653878749b9e75f292c7814c6a2c0061b0fb546a"
"0604777N","fd8a6d3e90fb1140312cb96f36d91ed15cb03e82-0-4c11bdabea8500a763e8d8413a36ba8674616cb7","fd8a6d3e90fb1140312cb96f36d91ed15cb03e82","root.record.ItemExhibitList.P3AModificationItemGroup","fd8a6d3e90fb1140312cb96f36d91ed15cb03e82-0-21a800ac62f7e62e2d749851b5a65ea2f6e6e77b"
"0401115F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-ecc4569e5966f9055fc47baa1a1af98e2149601a","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-cf65005fa7996c712b507fecd032d4404116c525"
"0401115F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-3971b16445ded02b57f2fa3ba159bfd665e32be7","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-1-7177beacb1c4e77c63d7dd2c86fa5ed517cb87bd"
"0401115F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-a42cd744609161fba858044eb66bd8f25b8d8552","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-2-5a7e3634f0778bdee4106d072ffa713c41956c34"
"0401115F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-7df854668cc0c9bdc0f21892cb2ca24c3e3d08fc","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-3-a7ede7f3478d68aec34e7925116329681e77c1d0"
"0401115F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-7c1ffe2308f3e2a2353ea1f9598fe2cd770cff48","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-4-58bfd1bb9b17cdc52d7ab4ed3aedf04c61016cb6"
"0207224F","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-24312492dd082b928d9d8d31fa2ac06e12cdd78c","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-5-81e2cd340ef1b67b15dfee29949f80b94506175c"
"0207253F","1942e49e381fa27eddd4b389f794a706edf1ac78-0-56bdcb7833cc156faa7cf9ea7cb72477f7e3d179","1942e49e381fa27eddd4b389f794a706edf1ac78","root.record.ItemExhibitList.P3AModificationItemGroup","1942e49e381fa27eddd4b389f794a706edf1ac78-0-f17fcab10b7800ded22cb7ea9cc5ad2978de53a2"
"0207224F","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-c2c75337214532f79ddf09f0c0a8ec4cd8eebe40","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-261f7ead0630879138f3564455a485bc611d3ad5"
