"Name_val","LineItemNumber_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOneBase_val","Cost_BudgetYearOne_val","Cost_BudgetYearOneOCO_val","Cost_AllPriorYears_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","MDAPCode_val","P1LineNumber_val","P1LineItemNumber_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"LAMPS MK III Shipboard Equipment","4255","0.006","0.006","0.004","0.004","","","","","","","","","","108","","4054cdcab7cca90480832bc630bc46717c8bc370-1-743311a5ae3832cc7544bd228e2f226437a5fd1a","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-2-718e0c514bf5776a4a5d2134612317c3fd5f2ab3"
"MK-92 Fire Control System","5208","1.06","0.564","0.406","0.406","","","","","","","","","","","","4054cdcab7cca90480832bc630bc46717c8bc370-0-6a1a9fbf59fafef0b12fa79a78c0cce02910a658","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-3-738b37eac7af2db51e98dc3aa09243b324d7543d"
"Gun Fire Control Equipment","5209","","","1.608","1.608","","","","","","","","","","113","","4054cdcab7cca90480832bc630bc46717c8bc370-1-9e223fac73643302b69988c6d80677211b98354c","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-3-738b37eac7af2db51e98dc3aa09243b324d7543d"
"Strategic Missile Systems Equip","5358","6.39","3.348","3.102","3.102","","","","","","","","","","121","","4054cdcab7cca90480832bc630bc46717c8bc370-2-33bd72dd623e40b0d09c3fcd62ef2d1b8d94dbe6","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-3-738b37eac7af2db51e98dc3aa09243b324d7543d"
"SSN Combat Control Systems","5420","1.019","0.555","0.466","0.466","","","","","","","","","","122","","4054cdcab7cca90480832bc630bc46717c8bc370-3-ce4188fa8477b92a356d52b9c070a2b6fca680d2","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-3-738b37eac7af2db51e98dc3aa09243b324d7543d"
"ASW Range Support Equipment","5455","0.944","1.368","1.291","1.291","","","","","","","","","","125","","4054cdcab7cca90480832bc630bc46717c8bc370-4-a79188de12fd9ddb94bd028f137258fa8e7f6232","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-3-738b37eac7af2db51e98dc3aa09243b324d7543d"
"Physical Security Equipment","8128","","0.381","0.567","0.567","","","","","","","","","","154","","4054cdcab7cca90480832bc630bc46717c8bc370-0-95d912dc5a6c50fbc098f5d9eeea3fa72d8fce3b","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-4-e6a3856e76eff333480a01d6fbab7759e90f8fa4"
"All Other OPN","9999","0.281","0.216","0.228","0.228","","","","","","","","","","","","4054cdcab7cca90480832bc630bc46717c8bc370-0-63f399c10bb502bdf01aa3c62bd2266b3d95ac96","4054cdcab7cca90480832bc630bc46717c8bc370","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","4054cdcab7cca90480832bc630bc46717c8bc370-5-1537d39cee9ec731c79928dc4dd5bc9c5460bd66"
"Spares for 6K Cog","9710","19.542","5.137","4.651","4.651","","","","","","","","","","","","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-2dd84618917d7d48b73a91d253be7b284dfad2a3","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-7603fa8bb9dcde1713e4208672090daf0dbc9ba0"
"Spares for Adversary","9711","1.57","1.039","1.156","1.156","","","","","","","","","","","","47c4397623c6acdbd34f3607efc1bcc78e2212cf-1-c4d8d22c6aebc1ff5144144fc0ee0e8addec8ee5","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-7603fa8bb9dcde1713e4208672090daf0dbc9ba0"
"Spares for HQ Replenishment","9712","59.332","44.94","41.263","41.263","","","","","","","","","","","","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2-1c6ab8727c34597c096cf177d7d94acf7077b4fe","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-7603fa8bb9dcde1713e4208672090daf0dbc9ba0"
"Spares for AOA Repairables","9713","578.001","529.513","645.448","645.448","","","","","","","","","","","","47c4397623c6acdbd34f3607efc1bcc78e2212cf-3-4f1629dc90c615b9021584949420d0f6a96cf344","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-7603fa8bb9dcde1713e4208672090daf0dbc9ba0"
"Spares for AOA Consumables","9714","79.5","27.727","60.42","60.42","","","","","","","","","","","","47c4397623c6acdbd34f3607efc1bcc78e2212cf-4-559d612704222bb2f7bda6a0bb13f9d03c43ada0","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-7603fa8bb9dcde1713e4208672090daf0dbc9ba0"
"AGM-65D Maverick","M65DAG","1.398","1.401","1.497","1.497","0.000","0.000","1.497","1.517","1.544","1.572","0.000","10.426","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-26b911aa9939d1c369dea13425311b9ba3b301ed","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","1.296","5.206","4.561","4.561","0.000","0.000","4.819","2.236","2.276","2.317","0.000","22.711","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-1-102a96d3b86ec4c184ca3ca78d0b5374322ccbd3","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","3.401","3.338","3.488","3.488","0.000","0.000","3.478","3.541","3.605","3.67","0.000","24.521","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-2-7684afd9c31c68807be9ebfbccf4ae67d460c6ad","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0.804","0.805","0.809","0.809","0.000","0.000","0.808","0.823","0.838","0.853","0.000","5.74","185","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-3-c79be7bd80d835c527da82d0aab57e261dedd1c6","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"AIM-9 Tactical AIM Missile","M09HA1","7.866","8.854","10.728","10.728","0.000","0.000","10.838","11.033","11.232","11.434","0.000","71.985","581","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-4-c710bfa58837313942f55b4f30a18c83c99324ff","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"Arms Control Implementation","0305145F","0.000","0.000","0.703","0.703","0.000","0.000","0.703","0.703","0.703","0.000","0.000","2.812","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-5-5860dec3194d297f3b461b7e6148c946027b74c1","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","13.922","36.908","40.261","40.261","0.000","0.000","27.042","16.784","8.646","8.802","0.000","152.365","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-6-5d056cf187677f8891e889dd6181843fd3b95db6","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"Predator Hellfire Missile","PRDTA2","0.299","0.3","0.299","0.299","0.000","0.000","0.299","0.299","0.299","0.304","0.000","2.099","","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-7-f09aa44e6183db1ad786c1297b877d31fd0c5ab7","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"Small Diameter Bomb","SDB000","0.000","14.755","8","8","0.000","0.000","8","8","8","8.144","0.000","54.899","439","","","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-8-ff7d5540a4ee4a3a576f2075d0fb7adec85ce75e","94ea3ec3aa1fdc739179b775d579b9aefab5edf3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","94ea3ec3aa1fdc739179b775d579b9aefab5edf3-0-bc1a5d3ecb9bd00f0a22ca6c572595af625ef688"
"Standard Missile","2234","6.599","19.873","18.94","18.94","","","","","","","","","","7","","98fad5c76a83a169106d8c40403971b83687e78f-0-66cae7138e55f3ec8abfc5281f3e82042d726021","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-0-bb2f6f207558e6c3be4b62165d0caa59157f2f04"
"Evolved Sea Sparrow Missile (ESSM)","2307","1.482","2.051","0.214","0.214","","","","","","","","","","13","","98fad5c76a83a169106d8c40403971b83687e78f-1-7760e6d3356486054960096c953c3fe694f7d3cd","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-0-bb2f6f207558e6c3be4b62165d0caa59157f2f04"
"Spares for NAVAIR","9203","10.226","11.412","13.543","13.543","","","","","","","","","","","","98fad5c76a83a169106d8c40403971b83687e78f-2-7b507068db267ea0a771f40c26ad6ae7c0bd1d80","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-0-bb2f6f207558e6c3be4b62165d0caa59157f2f04"
"ASW Targets","3141","2.029","1.927","3.049","3.049","","","","","","","","","","19","","98fad5c76a83a169106d8c40403971b83687e78f-0-eca83c995ad1c1e61aa95140a45ea366c4d714fa","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-1-203e7db19cb38898196316b21bb815e8dbd4d76b"
"MK-54 Torpedo Mods","3215","1.235","0.284","0.179","0.179","","","","","","","","","","20","","98fad5c76a83a169106d8c40403971b83687e78f-1-97accea938ec649498feff153cdb7cf4e22dcf0d","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-1-203e7db19cb38898196316b21bb815e8dbd4d76b"
"MK-48 Torpedo ADCAP Mods","3225","2.435","2.588","0.08","0.08","","","","","","","","","","21","","98fad5c76a83a169106d8c40403971b83687e78f-2-f8a80c7267c5fa17db7999659f5337c008cd26a0","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-1-203e7db19cb38898196316b21bb815e8dbd4d76b"
"ASW Range Support","3302","0.465","0.304","0.635","0.635","","","","","","","","","","24","","98fad5c76a83a169106d8c40403971b83687e78f-3-1b8c80e971a046ffe242c3a426a406f744617825","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-1-203e7db19cb38898196316b21bb815e8dbd4d76b"
"Spares for 6T COG","9303","3.813","3.493","2.596","2.596","","","","","","","","","","","","98fad5c76a83a169106d8c40403971b83687e78f-4-4d38d2725fff332eecb46a932e6fe99aeeb16017","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-1-203e7db19cb38898196316b21bb815e8dbd4d76b"
"Close-In Wpns Sys (CIWS) Mods","4205","4.194","5.492","0.397","0.397","","","","","","","","","","27","","98fad5c76a83a169106d8c40403971b83687e78f-0-98189e9058a03dac3615decdd7aefa298109be28","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-2-d389eabeaaf73e6d67efe8bb7965f700da159ef8"
"Coast Guard Weapons","4206","","0.156","0.152","0.152","","","","","","","","","","28","","98fad5c76a83a169106d8c40403971b83687e78f-1-078ff532004f40f9c3f93d5b7b27880ea7e1a8ca","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-2-d389eabeaaf73e6d67efe8bb7965f700da159ef8"
"Gun Mount Mods","4217","0.038","2.895","3.415","3.415","","","","","","","","","","29","","98fad5c76a83a169106d8c40403971b83687e78f-2-3aafe9642d090fd9c6e45804c9f076f7e0f1acaf","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-2-d389eabeaaf73e6d67efe8bb7965f700da159ef8"
"Airborne Mine Neutralization Systems","4225","0.562","0.196","0.705","0.705","","","","","","","","","","31","","98fad5c76a83a169106d8c40403971b83687e78f-3-34ab074423e4d986584f7e7f04cc4a6bcf9da11e","98fad5c76a83a169106d8c40403971b83687e78f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","98fad5c76a83a169106d8c40403971b83687e78f-2-d389eabeaaf73e6d67efe8bb7965f700da159ef8"
"AGM-65D Maverick","M65DAG","1.401","1.497","1.481","1.481","0.000","0.000","1.503","1.532","1.56","1.588","0.000","10.562","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-c03b0f5bc86b81629ee53bb1b44ba405a33686a9","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","5.206","4.561","4.767","4.767","0.000","0.000","2.216","2.258","2.299","2.342","0.000","23.649","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-1-fb5c0ab4f7ae628c6637c443182ffce9bf28ea3c","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","3.245","3.488","3.44","3.44","0.000","0.000","3.509","3.576","3.642","3.709","0.000","24.609","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-2-a78899e78bb195476afc1f1aaa0eb824b7a708e6","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0.805","0.809","0.799","0.799","0.000","0.000","0.816","0.831","0.846","0.862","0.000","5.768","185","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-3-5318bf2bae0f348ebb6bf687a1cff59411b1c978","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"AIM-9 Tactical Air Intercept Missile","M09HA1","8.854","10.728","10.72","10.72","0.000","0.000","10.933","11.143","11.347","11.556","0.000","75.281","581","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-4-2d0606ad58a8ca86759588beb0ac50c3685749c4","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"Arms Control Implementation","0305145F","0.000","0.703","0.695","0.695","0.000","0.000","0.697","0.697","0.000","0.000","0.000","2.792","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-5-8c95bc667104fcc1ab45d0ca882042cbb57b9c6e","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","36.908","40.261","40.538","40.538","0.000","0.000","34.771","43.446","44.961","51.404","0.000","292.289","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-6-c028c4b2c36df9e0bd73649405f2de6c9933447b","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"Predator Hellfire Missile","PRDTA2","0.3","0.299","0.296","0.296","0.000","0.000","0.296","0.297","0.302","0.307","0.000","2.097","","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-7-cabaa33fd81eef321cf020c942c441eed22777f8","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"Small Diameter Bomb","SDB000","14.755","8","7.913","7.913","0.000","0.000","7.927","7.936","8.082","8.231","0.000","62.844","439","","","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-8-7cee6b932fa61252d0da8ce592627a10bbfaaf8b","ce4e12933a1c1d1bcf3f718d20f695a11e13002f","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","ce4e12933a1c1d1bcf3f718d20f695a11e13002f-0-f75f1b69a9e23369048ec0d58ed8a05d6ff0b5ad"
"Tomahawk","2101","0.405","7.427","70.347","70.347","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-ed143bab8d9ada4da9a22ef04b99678cd8906704","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-1d4f4df53d479d5f027b0c8e877b30fe2b87fc48"
"Standard Missile","2234","18.678","16.241","17.094","17.094","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-01f27b7a27c6384d6b925c0a5453969e34e2e178","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-1d4f4df53d479d5f027b0c8e877b30fe2b87fc48"
"Evolved Sea Sparrow Missile (ESSM)","2307","0.313","4.969","10.102","10.102","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-08bd75ada3e2ce85cd1cee06b91bfe15adc9344e","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-1d4f4df53d479d5f027b0c8e877b30fe2b87fc48"
"Spares for NAVAIR","9203","11.884","18.655","9.845","9.845","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-3-0258af9d04d7fbadec63f9f117766104f9605a5e","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-1d4f4df53d479d5f027b0c8e877b30fe2b87fc48"
"ASW Targets","3141","1.525","1.629","1.831","1.831","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-0577de38f70256eb47dbecccda614da2775b7236","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-234b1881114652bbc090842be2df68ed363fcfe4"
"MK-54 Torpedo Mods","3215","0.179","0.819","0.535","0.535","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-c5cd934f19cab3f8405a55bccad6d43ffc70806b","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-234b1881114652bbc090842be2df68ed363fcfe4"
"MK-48 Torpedo ADCAP Mods","3225","0.08","0.408","0.211","0.211","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-4b7d79ab5ebf6fb804763e6e1eb8f3679dd88bec","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-234b1881114652bbc090842be2df68ed363fcfe4"
"ASW Range Support","3302","0.635","0.605","0.34","0.34","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-3-565768bed19da115d0e33e46f282d6b7fd3ad041","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-234b1881114652bbc090842be2df68ed363fcfe4"
"Spares for 6T COG","9303","2.596","2.826","2.724","2.724","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-4-49d8c840a77d2f7b8101264179ef050daa55c88a","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-234b1881114652bbc090842be2df68ed363fcfe4"
"Close-In Wpns Sys (CIWS) Mods","4205","2.695","","2.459","2.459","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-0-18ba655da49b8bd631024775ba2222cf3297ef8c","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-7c730f717b852f4bd2fb10fa013073fdd05f8efb"
"Coast Guard Weapons","4206","0.152","0.137","0.126","0.126","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-1-9a0ad61a80b43d9f9516d59d2f7c8496bac3e4f1","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-7c730f717b852f4bd2fb10fa013073fdd05f8efb"
"Gun Mount Mods","4217","2.524","5.651","7.967","7.967","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-90f70b53bec12def39f9111e0c9618fb954a4012","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-7c730f717b852f4bd2fb10fa013073fdd05f8efb"
"Cruiser Modernization Weapons","4223","0.109","0.231","0","0","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-3-5dad287abf97235282fbd7de9de5a09ecf9accbe","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-7c730f717b852f4bd2fb10fa013073fdd05f8efb"
"Airborne Mine Neutralization Systems","4225","0.705","1.361","1.181","1.181","","","","","","","","","","","","157f97fad2aa57ff4049fbf8b7a6fb098af71678-4-7928a0915b71a78ffce47dd5aae4af8c5b788ae5","157f97fad2aa57ff4049fbf8b7a6fb098af71678","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","157f97fad2aa57ff4049fbf8b7a6fb098af71678-2-7c730f717b852f4bd2fb10fa013073fdd05f8efb"
"Sub Periscopes & Imaging Equip","0831","3.559","2.921","1.941","1.941","","","","","","","","","","","","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-62d5293f559d333531deb8a11a7f7d5d2a706ac5","1a86694444a7c2cd11b1d4bfb2c2924536b810a6","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity","1a86694444a7c2cd11b1d4bfb2c2924536b810a6-0-ef15c3c6c225f0b72f825d3ffbd59e2842c03c61"
