"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","1","0.199","9","1.376","15","2.244","5","0.721","5","0.721","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-f4f757c18cbbd01e4ef0e5b3e6b38437f19f1462","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Active","","","34","1.954","68","4.76","50","3.778","50","3.778","30","2.366","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-95dc55566d20a935c28f366f3104fbc5ff31ab12","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air National Guard","","","","","","","18","1.36","18","1.36","4","0.315","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-2adbc48a9716051d4cfc5127462277c22205833f","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air Force Reserve","","","","","","","","","","","18","1.419","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-a5c9f5358d3229eed2429561dcbc6595852ff27c","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air Force Active","297","164.673","144","7.254","144","101.143","5","1.822","5","1.822","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-1c8d8f80b28c23c4532741012dcc76c0ccf8d601","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air National Guard","82","44.799","24","1.209","14","9.833","55","20.044","55","20.044","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-8045766d61c3532feb0df9ebd18d9381a62923bf","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air Force Reserve","53","30.434","","","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-c91b2335114c2821f47952b9537f46d032333804","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air Force Active","8","21.695","2","4.886","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-fd529fadd31b43cc885f4030a22fb9e0f0bff34c","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-2c27806dfe06160c83a04eec2f31e690892d424b"
"Air Force Active","6","45.464","2","12.688","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-a4e328bf5dae0ae8edca3f6236f9b63a1ee601b7","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ba7e7521acebd42c941bb75881443bf9bb6877e8"
"Air Force Active","","","1","8.3","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-f425c287eda3e70104b7c9b6c8f39176b5e4bf64","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-83fc230a6b5989fbc48e0c9f71d03a3fade1bb33"
