"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","6","16.071","2","5.134","2","4.656","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-9206207cc9ca278ddffbe02bb797743cefe71f7b","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-ae161b717324266a5e922e230bf8a530b36f50c8"
"Air Force Active","4","30.39","2","14.533","2","11.941","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e505ddd255079cedab45fb8434e399baa78ce153","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-59f33e7be084d5eb9f837d7f8b7efc57fa8f11bf"
"Air Force Active","0","6.339","2","44.107","1","23.652","","","","","","","","","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-d5d4b1ee3468664efec9c09a6e4c9bedc5c8daaf","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-e040a7f5e7f81d2e699a0dc75cca1a460f9c4002"
"Air Force Active","","","","","0","0.098","20","7.469","20","7.469","","","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-310e4df01544e3526242c7447cd12fa95ff2e45d","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-b993e931a33d166440712ecfdcaacdc9bc234c8a"
"Air Force Active","","","","","","","35","5.412","35","5.412","25","3.358","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-8f89e0cc2ce07aaa7291929c2f952a9cf630daf6","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","80c314a08d629cf8ab4d43a0a1a5135314197657-0-5159712a36953d7f389cebcafe5637e33a95bd84"
"Air Force Active","55","129.871","12","26.481","6","14.539","13","33.839","13","33.839","4","10.292","1","2.701","8c8ae26141464ecd714278ca073e0e9447d4198a-0-4fa35e3fb9ccc08b8141ea50a9d184da7c4cfc85","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-794bc233f75f5704132fc6245f185c412ca22411"
"Air Force Reserve","","","1","2.207","","","","","","","","","","","8c8ae26141464ecd714278ca073e0e9447d4198a-1-901fab4766093b95a07b9f4728734513372a9800","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-794bc233f75f5704132fc6245f185c412ca22411"
"Air Force Active","9","0.000","1","0.000","9","0.000","12","1.977","12","1.977","5","2.011","","","97092ba11b429a6f7046ccc267083d82ef7c2035-0-073ac9dce89259068ea4b973e628775ccb4f7d49","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","97092ba11b429a6f7046ccc267083d82ef7c2035-0-654573c4111789054f5b42d4e03383d13bb17528"
"Air National Guard","6","0.000","9","0.000","3","0.000","6","0.000","6","0.000","","","","","97092ba11b429a6f7046ccc267083d82ef7c2035-1-3b627164d57f9146f1d5dda2956aac0a4af5e25b","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","97092ba11b429a6f7046ccc267083d82ef7c2035-0-654573c4111789054f5b42d4e03383d13bb17528"
"Air Force Active","5","0.052","","","","","","","","","","","","","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-e6b84a310accc2f4652c20cea1c40d0e75b15f9c","9dd5c833a9006fb3270153c2362e25e05dd0bbaf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-e094dff16044f908fc27a4766922e7dfd095f485"
"Air Force Active","1","2.51","","","","","","","","","","","","","db18bd00825789823c33bc7ec22afd3752dfccb6-0-d6074d52f56faf669a55e6e6cee37e2b34d07a18","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","db18bd00825789823c33bc7ec22afd3752dfccb6-0-b35e0e2cb35ddccefd1abae5c702f8026c76ba1c"
"Air Force Active","","","","","","","2","5.063","2","5.063","16","15.8","","","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c-0-343d3da954647c57999ae515ed63c934f471c37f","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c-0-359287c582515387c5a0876c3d4d38bce18632de"
"Air Force Active","","","5","118.144","","","","","","","","","","","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-fca0ed1dbe7baa258f1f3d3396c5bd6861386655","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-6a17684104d0f1fd06e1bff7f55e4fb089bc3016"
