"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","0","0.7","4","11.6","8","1.409","0","1.781","1","1.239","1","1.072","","","","","0","10.7","4","10.9","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-192ae61d56701e6111017e95a2da830f24aebade","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-3a38f95a7a62352e92419f80c6cad0c4c76e9c8f"
"Air Force Active","0","1.826","0","1.826","1","0.913","1","0.913","1","0.913","1","0.913","","","","","","","","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-233cc8e8e45197d20e260e4551ce82cf74877bac","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-df624c079710a0e6497ec0b39d0ea036b4112f2a"
"Air Force Active","0","0.000","0","2","0","0.000","","","","","","","","","","","0","3.24","0","2","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-0d329f6b087aba5f16a2ac223261a34c644e7235","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-2418bca6ad9094d8174cf6710d16b0bf6bd1ff30"
"Air Force Active","2","25.4","2","25.4","1","19.82","1","2.7","1","12.6","2","28.9","","","","","0","0.000","","","623b26c75395e99c34d94c512302e43728d68e67-0-4f6ab97176f8944fdfe5953b2ff9adb1132df89b","623b26c75395e99c34d94c512302e43728d68e67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","623b26c75395e99c34d94c512302e43728d68e67-0-e360c54f9c9c1f4d3cd19748baa34d253312acf5"
"Air Force Active","1","4.772","1","4.772","1","4.997","1","4.923","1","5.016","1","5.008","","","","","1","4.762","","","ca16302675076d2663282e9f2cfbe844250f4edc-0-dea4d251743e91f4c41a481a50deb103fbad65fb","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ca16302675076d2663282e9f2cfbe844250f4edc-0-4d466508f1636d436d398271b1b0cde9542618d7"
"Air Force Active","4","44.553","4","44.553","4","45.03","4","46.201","4","47.496","4","47.782","","","","","4","42.593","","","ca16302675076d2663282e9f2cfbe844250f4edc-0-10a7f8597db8340b05f9fde8bd6407f5047ed31f","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ca16302675076d2663282e9f2cfbe844250f4edc-0-6cfd75dfc586f82fa2afb28f87650a69cff377f1"
"Air Force Active","1","5.076","1","5.076","1","5.203","1","5.181","1","5.152","1","5.085","","","","","1","5.119","","","ca16302675076d2663282e9f2cfbe844250f4edc-0-ab8e2748a5c7da0b7f5f2ac46686c8367661f178","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ca16302675076d2663282e9f2cfbe844250f4edc-0-ae73caa75ef494a1461c6995f34a93050e4074e1"
"Air Force Active","6","5.403","6","5.403","10","7.49","","","","","","","","","","","1","1.132","","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-047c699dd53e8cd5de45ed3efb796f9d6c5494e9","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-3954f49b3a7b3f6030aafbfe987e4afc2714a579"
"Air Force Active","65","3.646","65","3.646","95","3.264","144","4.894","98","2.561","87","2.906","","","","","12","3.16","","","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-be189376289623335cd3a30e376b35e8dd25fce6","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-2ea359caf32ffad4fbf677b1bce57fb0cfdfd717"
"Air Force Active","4","2.4","4","2.4","","","","","","","","","","","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-0ecd6ed18d500d30e02a551672d884119aa55837","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
