"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","1","0.052","1","0.052","4","0.149","4","0.149","3","0.109","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-4d177af0846a145bc8aeea6fc9b8641b62eeaa38","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
"Air Force Active","2","8.8","2","8.8","9","12.5","17","17.5","","","","","","","1","8.3","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-61dbe7d7ff6f7fd1869e5750a34cd2b28cdd8add","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-83fc230a6b5989fbc48e0c9f71d03a3fade1bb33"
"Air Force Active","","","","","6","0.38","","","","","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-e714499d660c59ad20cebd716d346e6b4f6ce6cd","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-079940b0b512fc5a2bd3da0f3b4964a47a37a9cb"
"Air Force Active","","","","","12","2.351","23","1.759","21","0.000","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-2a3cb01aaa927d9b5e326a55f407ef1ad0f17b08","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5076a96995657add30700f23d453832627c5e780"
"Air Force Reserve","","","","","","","15","0.72","3","0.000","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-25c374fef8a953322d91045359156a9435dc3d29","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5076a96995657add30700f23d453832627c5e780"
"Air Force Active","2","0.046","2","0.046","20","0.46","19","0.513","17","0.459","9","0.243","","","","","","","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-1aaa3950d428608c5f3ff476b5b0233a675b06ba","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air National Guard","","","","","6","0.138","2","0.054","5","0.135","4","0.108","","","","","","","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-1-fe410edd81a92cf49e8928bde644d648bbe58c8b","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Reserve","","","","","5","0.115","3","0.081","2","0.054","5","0.135","","","","","","","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-2-954209d86b7065215a980ab818d2c0105f366e48","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Active","1","4.772","1","4.772","1","4.997","1","4.923","1","5.016","1","5.008","","","","","1","4.762","","","399d00516df75cfb2d765289abba47af25f6f783-0-d0e6bf570e922d1514a1173902f9ac471ff217eb","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-f1ea530fe1b2f038beb30360bc752c479ab9cea0"
"Air Force Active","4","44.553","4","44.553","4","45.03","4","46.201","4","47.496","4","47.782","","","","","4","42.593","","","399d00516df75cfb2d765289abba47af25f6f783-0-df68f4bbc8dfa9672943d668c1d4bc0aab8a70c5","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-0eb373530916f456bdd36f55ad6ad68c43b96387"
"Air Force Active","1","5.076","1","5.076","1","5.203","1","5.181","1","5.152","1","5.085","","","","","1","5.119","","","399d00516df75cfb2d765289abba47af25f6f783-0-8b430c08f5791488ec386a0deefd0289c49725d0","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-6bc10decd9d6f5e2cf9509819c5e0d4cf3a2cc24"
"Air Force Active","15","3.38","15","3.38","29","5.44","32","4.98","34","3.39","","","","","","","","","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-511fc92cb7158752736860453139905558967336","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-848d5db9115d11013c94a3e366401a7598a311f7"
"Air Force Active","44","7.02","44","7.02","6","1.24","","","","","","","","","","","27","3.58","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-b3e5e29bff8ff62550c971b7084f0f32a8373ecf","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-91ce80c78f219458cedfa4192d5090907a6656f0"
"Air Force Active","","","","","","","5","2.2","","","","","","","","","","","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-40a627735669923f92cc7b352e1cbcc6473d6af9","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-0ed2189bee6482eb861a165019963c165c835c63"
"Air Force Active","2","25.4","2","25.4","1","19.82","1","2.7","1","12.6","2","28.9","","","","","0","0.000","","","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-8cc12e37b9befb43b9f9a57b8e8e1e77a60cfa86","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-e3d6167feb0008e1d9c3de9fa1915358298d00df"
"Air Force Active","2","0.3","2","0.3","2","0.2","2","0.2","1","0.2","","","","","","","","","","","54a96df817b9d5263953371373536571cc395220-0-454814eae756512841f4c02a35b087f27f467473","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-e795fcec1ae6967ff750dbc99e852dfbd892b9ac"
"Air Force Active","1","1.804","1","1.804","1","2.053","","","","","","","","","1","0.606","1","0.6","","","54a96df817b9d5263953371373536571cc395220-0-38ebab121918d541873f3f5dc263fa27d13ec940","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-6588ba5c41bc572fadef5cd29f284fe073dade20"
"Air Force Active","1","4.37","1","4.37","2","9.361","3","14.049","2","9.093","2","8.896","","","2","10.485","2","10.321","","","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-f4183a4257534e622c8aa4ba911b85a7b1009109","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-1f12610c2024ebdb5e02764e87f9dc71054221e6"
"Air Force Active","7","3.5","7","3.5","10","5","5","2.5","0","0.000","0","0.000","","","2","1","9","4.5","","","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-1946a2d38ce5b9bf5dd650190fe8c08d95ed7a64","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-383c85c4e5bd5b5b61cfb0a18ef40eeeda801b3b"
"Air Force Active","4","47.085","4","47.085","5","41.837","6","51.825","3","39.484","3","39.319","2","50.711","2","41.522","2","49.942","","","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-6a9c4671734d4ad1d373dac7a2160a20eda3e59c","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f81f7edc721f36ff59ffbe16e3e321f3fe816d90"
"Air Force Active","20","5.465","20","5.465","14","5.021","18","6.572","17","6.319","17","6.433","","","","","3","0.806","","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-56224027205b4c77a2d0a2345d3085f647f954b3","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air National Guard","8","2.186","8","2.186","14","5.021","19","6.938","17","6.319","17","6.433","","","","","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-75601daf7ee70f62e7ca26ff9b5f22637bc353ee","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Reserve","3","0.821","3","0.821","6","2.153","8","2.921","7","2.602","6","2.27","","","","","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-c1ad2dfc24fb0e0cc021efb9890cc0b0fe9d70ec","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Active","","","","","1","0.381","4","1.551","5","1.972","","","","","","","","","","","8ac92803876f93a305965d578c716110cdc62437-0-e9b8e4ee29b787ab136abb3a7640556f5637d391","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-d5ac65ba7d2b8cb2f2393b6c56ce1433a5d3f0dc"
"Air Force Active","","","","","7","2.619","4","1.33","2","0.989","1","1.009","","","","","","","","","8ac92803876f93a305965d578c716110cdc62437-0-85d5fc645a3fe528f1cf5e0a6295503d87b3387d","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-a1cf91f160db634744306202cd3f1a5a774e1493"
"Air Force Active","6","148.645","6","148.645","","","","","","","","","5","110.923","7","128.358","11","221.878","","","9282c1681681500f80124b54352c8721ab25cc67-0-59c591ad017ab93c0edbadbb730bae8fb0e02b26","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9282c1681681500f80124b54352c8721ab25cc67-0-85127af9bdfd8998da53f35c07f92da3d8106ccb"
"Air Force Reserve","5","123.87","5","123.87","11","230.737","","","","","","","","","","","","","","","9282c1681681500f80124b54352c8721ab25cc67-1-85746418cae80cdea62e6976dcc7c3b8a02a8be1","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9282c1681681500f80124b54352c8721ab25cc67-0-85127af9bdfd8998da53f35c07f92da3d8106ccb"
"Air Force Active","25","13.464","25","13.464","32","14.5","","","","","","","","","","","","","","","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-d4a2b1fb3000963ac370f3d8072c0952212aaa2d","9de970bd63155a8bb67dc6d2bcb69d63844fb920","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-05dc145824abedc965b8e2465912a1b3eb590db6"
"Air Force Active","22","18.1","22","18.1","22","19.146","22","19.155","22","19.13","22","22.013","","","","","2","4.341","","","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-46a989785e582c76025f22147a3c4f09825b520e","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0fedad4be96199188f97c3c9f3205d6c9792a237"
"Air Force Active","4","9.697","4","9.697","4","9.644","2","5.113","","","","","76","176.883","2","4.989","8","18.648","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-9c21043ef7eaed3619172839aa4362e7200f47ac","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-ffccc20070b0af4545f67464f3cf8756c9396382"
"Air Force Reserve","","","","","","","","","3","7.717","","","1","2.207","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-7198c8ba0934bbb6683f56fd128702fc7dd88bb7","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-ffccc20070b0af4545f67464f3cf8756c9396382"
"Air Force Active","67","1.04","67","1.04","64","0.308","","","","","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-881986b0f21f1d68d9b55160b028b95353ce6ff4","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-54215d47ce5a0d4016c7581435dec5e02e653111"
"Air National Guard","53","1.04","53","1.04","0","0.551","","","","","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-b1cdf9306aba4747d71ef93b17f0e039882a0156","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-54215d47ce5a0d4016c7581435dec5e02e653111"
"Air Force Reserve","36","0.729","36","0.729","0","0.202","","","","","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-2-dc11f2abe99935bf7ad53162ce6837b7eb054163","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-54215d47ce5a0d4016c7581435dec5e02e653111"
"Air Force Active","0","0.222","0","0.222","","","","","","","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-b68cff95210c0dc2b24df1f03117fb986e97ade1","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-0b59fb3842a64633dda3975f1568ef10616a3445"
"Air Force Active","","","","","","","14","0.358","14","0.358","","","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-53dcd25eef525846b118f16581c12f5db0b17602","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air National Guard","","","","","","","16","0.41","12","0.307","80","2.048","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-fe5acb9436d800d752f2b9014c282d0d4f676ecd","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air Force Reserve","","","","","","","","","10","0.256","38","0.973","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-2-62fccff01c8d479c588d71a53eed0e9cb135ffd2","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air Force Active","39","5.441","39","5.441","6","0.85","","","","","","","","","","","5","0.684","","","a2dd7a746c8265451a4f23539e93186e32b71dde-0-b15ff0d67991ed3d77cd235e54ea44fc4a31d585","a2dd7a746c8265451a4f23539e93186e32b71dde","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a2dd7a746c8265451a4f23539e93186e32b71dde-0-1e5b41cdbaeccc9477e298f9cf2096884dc6fbb4"
"Air Force Active","9","5.7","9","5.7","15","9.672","24","15.753","29","19.378","28","20.316","","","","","3","1.833","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-6c2f4e3585a45b056f60e5c9edeb12d7fcae64cc","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-19572ed89b0b00e34d7b994196c7abab6774adbc"
"Air Force Active","4","4.305","4","4.305","","","10","4.959","5","1.928","14","5.49","10","0.000","5","0.000","15","2.08","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7516583754813ff44b5fcaeac415ed787a024b5b","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air National Guard","2","0.000","2","0.000","13","0.000","17","5.295","12","4.62","10","3.92","14","0.000","","","8","0.000","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-97137bf91e47a0c828b5ce092da230ee50e0b6be","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air Force Active","","","","","45","3.072","","","","","","","0","1.325","","","","","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-2a022804ab0c2f97e726c137cfcc532e239f8023","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-fd6b7b79219f3f037f3f29e3b3294511ced9f281"
"Air Force Active","50","2.202","50","2.202","44","2.279","","","","","","","","","","","25","1.905","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-31297660c7846bee7a4573ca1ddedad0c977ee54","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-b97b8a722ded8211d0a6d85bf1844861319cb35a"
"Air National Guard","","","","","","","","","","","","","","","","","25","1.325","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-1bd7d3275a88b53d03df78151e4219a823fcfc00","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-b97b8a722ded8211d0a6d85bf1844861319cb35a"
"Air Force Active","36","0.4","36","0.4","71","0.8","12","0.15","","","","","","","","","","","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-a79fc47d602c21d8198d890d4300ca7dd4e99cba","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-f8009fe4b38523cbb890824176726ff09b36229a"
"Air National Guard","","","","","","","25","0.275","","","","","","","","","","","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-2b1f93084ed55b908ce0f7f15c8fcb55aa1d9ffb","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-f8009fe4b38523cbb890824176726ff09b36229a"
"Air Force Active","14","1.943","14","1.943","14","2.171","14","2.044","14","0.34","","","","","8","0.747","14","1.25","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-dc3a5cbcedb2608651bbc4429f880438e1bf71cc","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-792f76ddf9a97ac325b187f39b6aecb5125da7ad"
"Air Force Active","1","0.075","1","0.075","1","0.075","1","0.075","1","0.5","1","0.5","","","","","","","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-56d7700151d3f4cacd848e433d45fbb242a0c8ce","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-edbe7fd50149b1739639276bbee5453bb98caae4"
"Air Force Active","","","","","","","11","2.129","13","2.969","16","3.764","","","","","","","","","b8a3170d05dde8629ded4b7b78f578982e21c224-0-460a8a42be282383bcb9346de39eb71381541d8e","b8a3170d05dde8629ded4b7b78f578982e21c224","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b8a3170d05dde8629ded4b7b78f578982e21c224-0-6ed8e9e4d17a02de62a498945b4517b3d27189e4"
"Air National Guard","5","9.73","5","9.73","9","18.342","","","","","","","","","","","","","","","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-9f8253099528eda8bae37dce2be64802158cf184","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-db9c1586854d90cb7dd1e5c47087bd6a2fad093e"
"Air Force Active","7","11.221","7","11.221","10","15.365","10","16.252","9","16.325","5","7.002","","","1","2.404","3","6.167","","","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-0d6bc24a816354c55362a039fe9fc41ecce89d91","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-1e36537770f861139b52b6653c29fd5f1935e269"
"Air Force Active","7","5.429","7","5.429","10","9.424","10","9.389","9","8.441","5","5.36","","","1","0.97","3","3.254","","","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-5013fd5f28226adf062d6b29b108194900d7c0f7","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-e8c2f3d5a77ad11841468113e4359b006f197020"
"Air Force Active","26","8.875","26","8.875","23","6.908","","","","","","","","","1","2.607","10","6.492","","","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-68cf0085417ed02d97fe8bab98ef33bcac0a3bb7","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-02217d2db937731160512c4140696b4612681903"
