"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","13.26","0.883","0.501","0.501","0.908","0.924","0.94","0.957","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-5d50955bc9ddbf629ff7d5fbf9d9ea260b59919a","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2b7f5ef36c0f12bda5724f820200486f9d32771c"
"Air Force Reserve","3.744","0","0.388","0.388","0","0","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-02001aff35015601a02cc8677a974b4d44abeca8","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2b7f5ef36c0f12bda5724f820200486f9d32771c"
"Air Force Active","7.486","14.472","3.691","3.691","27.888","19.015","","0.669","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-a18c0768783b0bea4e85e881c6e19527836e072a","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-7b2ebe9b76366730e38cc0f2887ff4271b30de26"
"Air Force Reserve","","","","","1.698","2.66","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-3ba0577aea0badc5e7b54ad6e7794349caf8a655","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-7b2ebe9b76366730e38cc0f2887ff4271b30de26"
"Air Force Active","1.635","2.39","2.406","2.406","2.456","2.5","2.544","2.59","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-643b778bb325455a745a6b3c4b9746bde67b43cd","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-7882590159be7aa2d90e789019bb194d5aa617fa"
"Air Force Active","0.933","0.099","0.196","0.196","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-2ecac8fd374880499295ebf027a943137ca1076f","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-3-4adc579215dcb911371b89838152a3ae615b6f83"
"Air Force Active","","","","","","7.398","14.629","14.394","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-6900806ed1dc3ca8e75e7c6bc9bfe43ab9774991","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-4-3c94a60cba7354f4d4270281c0921d7724d0b777"
"Air Force Reserve","","","","","","1.232","2.639","3.378","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-5e5454ba291616e9f4b35237dbc5aac45b169736","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-4-3c94a60cba7354f4d4270281c0921d7724d0b777"
"Air Force Active","","","","","","","5.855","13.105","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-70946223274f280f6028ebeb86a1bc05732fba33","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-5-17a3391efe9020d1179bc3d3e3019853c9dc5b55"
"Air Force Active","","","","","1.806","","11.085","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-4ef1e059d77bb5bd6ef263abdf0dcf298a6f9b0c","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-6-efb286ac21d2521aca0f6c30cc4142feb2642252"
"Air Force Active","","","0.845","0.845","2.374","2.381","2.431","2.482","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-8003a8bb9db615b399310405618398f14a228f2e","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-7-d1629e1691f71fcfb6c57f0e2d23174e68ada8fa"
"Air Force Active","","0","0","0","0","0","5.182","9.096","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-be1137f4d26435be7465068aabe220f061aa4d73","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air National Guard","","0","0","0","0","0","0","0","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-6fa350a6765dd21f716da20f55bce1fc5fb2e462","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air Force Reserve","","0","0","0","0","0","3.75","0","0","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-2-2140550895dcb52fd983d740f5b9c8a5b69246f5","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-8-006137f2a61ce74d0e8ffaad6d7995846f04518e"
"Air Force Active","","","","","","14.88","17.863","21.842","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-73e209666f461460ac746aac7d7973ea063f653b","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-9-c67787bbf3f35baec068d39fadb385edc819c254"
"Air Force Active","11.158","2.488","0","0","0","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-292581c5410925ce66ebdb916fe3d8ffa193c8aa","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-10-c26c90626d6dcdc7790651d885bd38575e0fd255"
"Air Force Reserve","1.321","","","","","","","","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-1-cc2c2205ac2e689a4bd08a5e81e240d517efaa67","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-10-c26c90626d6dcdc7790651d885bd38575e0fd255"
"Air Force Active","0.59","0.436","1.925","1.925","0.449","0.456","0.464","0.474","","","","","","","","","","","00a7ac30601f89dbd482dd9b3d95bc21c4349755-0-3fd0a404731e94ac419a9fafc7abaca7ce22cee5","00a7ac30601f89dbd482dd9b3d95bc21c4349755","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","00a7ac30601f89dbd482dd9b3d95bc21c4349755-11-43591fa959eafd2888a1a3dd34e39d81eb5e9698"
"Air Force Active","0","6.06","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-38fb73708611e41e1fc3e91dfd65489d7b6bcc6e","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-29736499fbd7c6cb85787c4f86b89d2062847f38"
"Air Force Active","0","2.499","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-8a7bda79f9051748a8b530cae7c15c3fa4e51ca5","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-d77922c56898ad470e8491061464d9cf27a251a9"
"Air Force Active","0","3.439","41.817","41.817","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-8704dc5a2d13b9cb65e7f6caa802fa255112d394","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-003a42af2f607a3de528fe80f77babede83e6925"
"Air Force Active","0","0","5.812","5.812","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-aaac0c43bcdb085832d130ddd30b8d92ee0f778e","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-a8f1a3d64eed564a4ce4294e9ac72aa6f8e06c7b"
"Air Force Active","1.072","0.814","0.971","0.971","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-1c5da7e30ae43f2dd874a8ff820415b7e58f0618","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-f609b56b17f5511a25385a6360671c875af3be11"
"Air Force Active","0.846","0","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-ea62b5242185780d64fa7a6bbbca13f8c31e3289","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-c8a562098bfa6ec10da0218f7277b0c6a4829f6f"
"Air Force Active","36.884","15.574","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-a4ea85c750a38ce996fb48d31b4ebe1a59d7ae84","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-2676cd9dbb9a8b40518c395d3053ea4f3c089372"
"Air Force Active","0.65","0.573","0.665","0.665","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-161089ed0d42a4850c1ca2be89d67c6a92eb53f7","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-0a13023f1febaa8721949c05e6c8b4bdc453612a"
"Air Force Active","2.994","0.69","0.634","0.634","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-ada81d5b25d92858b3c648c58f71ce83c512178b","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-1-ef266e17e5cec8f0bc540566ad93b595e835714d"
"Air Force Active","0.788","0.585","0.479","0.479","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-fe087882893cebfcb5d6387eaf2b1053e2024b15","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-2-f99670b0e029583e6b9f0bb2c938132dfcf144ce"
"Air Force Active","8.27","16.526","34.8","34.8","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-1ed12bc555982d4dd827cc6c61caea1678339480","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-3-bb9d967b7df1a2ba8af10fb2018802db3dc43146"
"Air Force Active","0.648","0.077","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-e178e88dd56ea03176df22a7743acb3c2242f763","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-b6df188c5cdef9da118dc1ad207062af0fe45dc4"
"Air Force Active","","7.163","6.159","6.159","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-038f30b3582dd7cdc150a0a3bc4b24218f69080c","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-1e3573c54feefc9de4098b6169718cda7a9fe22e"
"Air Force Active","6.031","3.033","3.082","3.082","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-5967f8a4a7ed4fe12da6da070afeb55f39ecab2f","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-c1f4d9e3c37a53f5a3540f8f9078e6ec6dc233f5"
"Air Force Active","8.559","20.264","0","0","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-5d4d64d1828dbd5bbec7a2d71c2c4318adc42e62","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-1-98f12d42858c5e302a98a9845101ed76fd1355ab"
"Air Force Active","0.853","0.638","0.738","0.738","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-1ab2cd3c31fe3559a36d0ee30e9abd8d0cd82c9e","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-59b6699c20dac80e17d7d9a0e04e09f7c0389173"
"Air Force Reserve","0.319","0.282","0.327","0.327","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-70d3397e43c4347e398c2eb2b145804453db2200","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-45c2f46bf65107d59d3ab1f8b359b0867f0c59ef"
"Air National Guard","23.129","1.993","10.781","10.781","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-ec0d4528c03a23ca916cf6ab157aafef5f037b01","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-f71ea701add6a80644eefbf4452ebd2e4bd145f5"
"Air Force Active","2.263","1.54","1.785","1.785","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-03c52120dfda87d39b898aa9d503f18b1ddfc6c3","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-c74e8b17d3a59db126392bff918f41d03a485e12"
"Air Force Active","2.453","0.66","1.165","1.165","","","","","0","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-0-f6e928693ac5eeeaa37e6a8648bcf915b362c439","03b29a7857f1e54db06f9825b28d4eed204735b6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","03b29a7857f1e54db06f9825b28d4eed204735b6-0-84742c68e66f879938cda4170330de4b7526bb6d"
"Air Force Active","0.131","1.444","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-734c4bcd3897263bd334ce579306feaca3a38295","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-1b7824df8d157715b7292e707a5f43982c5188fc"
"Air National Guard","0.492","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-b7256666d175448b8a9d7a0f511c61be4184869b","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-1b7824df8d157715b7292e707a5f43982c5188fc"
"Air Force Reserve","0.323","0.058","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-3e21f5eb3681c63bddceb25202d6bdc04a5d90fc","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-1b7824df8d157715b7292e707a5f43982c5188fc"
"Air Force Active","","","","","8.585","24.009","38.694","44.634","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-ae2213f9b8ef7ea10ac20a174a59aa54d807e587","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-3c02c015b011e3030d807dae245d987a1fa1d8d9"
"Air Force Active","8.479","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-cce7d1edc6a20ee410a133526d8467c3856ca2c0","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-4-ee8e042790c583deb950d27cef1654a4f7da2773"
"Air National Guard","8.715","0","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-8cc5d1c2311715ee853f16b16771f7127d3a1fec","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-4-ee8e042790c583deb950d27cef1654a4f7da2773"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-d59816e4ee81440ec9c701fffdc0c338d5f2e2c0","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-4-ee8e042790c583deb950d27cef1654a4f7da2773"
"Air Force Active","25.355","10.761","2.487","2.487","5.304","6.5","7.244","2.403","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-3d3a6b70aebda625746b9ba7a77a617b818faf93","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-6-fa87ad1d3a9c16c11df49a50a80e799947a1d36e"
"Air Force Active","0.855","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-925f4252cd905eed644ab8f310cc6e2829c65bcf","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-7-d8ab8ed79c90e05b35d742af6f894555fca144c4"
"Air Force Active","","","0.615","0.615","3.995","2.807","2.62","3.295","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-6b4acc59f008798c1c308b734695d4c9d212c3f5","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-8-fce139f821def19aa8f1ff675fd887b857dc1f1f"
"Air Force Active","0","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-6ce0a91c6f7355591ac6e0ef0d95948eea8bdfaf","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-10-8c8641956d37f2b456e52ffb44122b966fe7ac76"
"Air National Guard","0","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-1-d2c1f63610e8224090cce02455afa49f138f6bfc","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-10-8c8641956d37f2b456e52ffb44122b966fe7ac76"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-2-98fb6a23d311e1d40cc9a7e732c2f5b344e43cc8","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-10-8c8641956d37f2b456e52ffb44122b966fe7ac76"
"Air Force Active","","","","","8.717","19.032","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-efb06c0369763b7166db422f879ae84b65df7085","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-13-8ae7a30249e37974738d279f48df9082df4ec693"
"Air Force Active","","","0.543","0.543","0.1","0.01","","","","","","","","","","","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-f3ae8da40d3a3d5c1f76554afa5960f4c04ff65c","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0989a56b20ac2bbaec61f72a12dd4289276b0790-14-e3e2121c18f0f4f0e788f0d4f00690f3618b97bf"
"Air National Guard","30","10","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-06314c93d7d6fb30fb19f2ab4df17deb1d46f675","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-3-62eded6ec867da45cd52f288488701f22ea4564b"
"Air Force Active","35.8","","0","0","0","0","0","0","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-0d1d8cfac123ccf24135e79a04848c5dd18bb67a","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-9-f3a0b186c0b30f3362dab352d9344de6182c6610"
"Air Force Active","","","0","0","0","0","33.972","45.174","0","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-2fb52e8680b3af8e4a72fd76fcd0b14d19c290e0","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-10-93e7422516ce07f89c284d5a2ec4233a25a8eb6a"
"Air National Guard","","","","","","","51.528","98.656","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-ef89cae92a134cdee75d3d351bbf170a4f919eba","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-10-93e7422516ce07f89c284d5a2ec4233a25a8eb6a"
"Air Force Reserve","","","","","","","17.176","29.94","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-b282acb52c7c0f15b4c9f523f2675e70c0eb5eb7","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-10-93e7422516ce07f89c284d5a2ec4233a25a8eb6a"
"Air Force Active","0","0","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-0aa9f40c6a99997517f1fc794b2b34a55666af12","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-17-615610e31b4547a256657e15a1a43b3f9f334c27"
"Air Force Active","0.24","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-09186d47fbdfe23b7620da34995c9ed6a42c05bf","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-18-0b76c4012caa0e112bf13d9f631ec75ec5690d7a"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-91f995e13cd248b72b9c1a6d8c9cad6a428a80d5","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-19-69be4e4a1983e8ab99bec62bb833c63b5c9de845"
"Air Force Active","1.63","0","0","0","0.3","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-94a99721f885bbf67e8869511f032afd6fed3089","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-24-302f21655de896fcef1080420d37884b696c56ac"
