"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","955","376.49","619","33.995","441","71.94","1202","70.604","","","1202","70.604","1226","61.84","1009","50.652","964","47.065","806","39.076","2ddb26aef7cdb76cf8890008685d942b11569883-0-08597277dd72b22a3a9b01e94448e1884fb56497","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-9f3baf63b9e709d8a230e72d8023456f9cc94f73"
"Air National Guard","119","14.802","77","4.496","60","8.812","211","8.885","","","211","8.885","212","8.071","25","2.219","174","7.392","154","7.974","2ddb26aef7cdb76cf8890008685d942b11569883-1-8b5c5696a4cff20a9ea6b799b6a02e8b6929db92","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-9f3baf63b9e709d8a230e72d8023456f9cc94f73"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-2-3f51a914e826725be6acf6d8fc31d896317307c1","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-9f3baf63b9e709d8a230e72d8023456f9cc94f73"
"Air Force Active","1085","14.441","880","2.031","1076","14.16","994","44.651","","","994","44.651","1022","53.318","848","46.339","671","45.14","568","18.579","2ddb26aef7cdb76cf8890008685d942b11569883-0-10bdd4448d72583573fbb569a872d8f3289c6f96","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-dd5761134f8ca3b025aa906e1ee8f139eac57aa1"
"Air National Guard","68","0.642","98","0.226","119","2.425","110","4.628","","","110","4.628","113","4.985","94","5.203","74","4.792","63","4.763","2ddb26aef7cdb76cf8890008685d942b11569883-1-d4991d6cec0e5900e661aad99879c1e3e48ba179","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-dd5761134f8ca3b025aa906e1ee8f139eac57aa1"
"Air Force Active","0","0.000","0","0.000","0","0.000","58","2.691","","","58","2.691","100","4.644","0","0.000","0","0.000","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-0-9b85c4394654ce031347b9c4e79757dd6b8d9d7f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-d4f650ea48aceb9b9e1233da29e119480b7f611c"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","20","0.863","0","0.000","0","0.000","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-1-9ebab724a84508cfc336e4016db63af6aea5e36a","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-d4f650ea48aceb9b9e1233da29e119480b7f611c"
"Air Force Active","51","27.657","31","6.248","25","7.729","16","7.52","","","16","7.52","11","4.469","4","1.967","4","1.375","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-0-2aed9afacdcb3283e333dbb7736277a4ee5e13fc","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-deed1287f4f5da51e85533913de9e66432cbdc3e"
"Air National Guard","2","0.5","2","0.5","5","1.25","7","1.75","","","7","1.75","4","1","0","0.000","0","0.000","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-1-fcb02206cd2e50894757b3206ba2857c61d86769","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-deed1287f4f5da51e85533913de9e66432cbdc3e"
"Air Force Active","32","10.11","10","4.056","10","26.533","14","26.276","","","14","26.276","13","7.74","10","2.758","10","2.353","10","2.357","2ddb26aef7cdb76cf8890008685d942b11569883-0-efb22263d3aef148a64221bb8cb82fc1a2377d84","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-0ff737a71f8ade526bf834e92aad27b59188045e"
"Air Force Active","30","16.218","30","11.131","24","17.093","14","9.769","","","14","9.769","0","0.869","0","0.904","0","0.94","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-161e33c4c56e78ce9b21849f8983f596968b654e","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ee511265fb3fcbfaebb2c5051a56945b77e78ff3"
"Air National Guard","0","0.000","0","0.000","0","0.000","15","10.503","","","15","10.503","7","5.548","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-74bbf8639de8d71474775489c1e965462d881dcf","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ee511265fb3fcbfaebb2c5051a56945b77e78ff3"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","10","7.925","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-314dad2cba05aed7bfee97069c1d676343b214ec","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ee511265fb3fcbfaebb2c5051a56945b77e78ff3"
"Air Force Active","183","0.782","0","0.000","0","0.012","0","0.012","","","0","0.012","0","0.013","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-125f09462cf2473dc808f596c168cbed24dbac69","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-e28301a65e288faea4935f113e447d278a186f3a"
"Air National Guard","22","0.127","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-e6e6f32969a9db66f4999dfeab033efc62e37754","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-e28301a65e288faea4935f113e447d278a186f3a"
"Air Force Reserve","18","0.222","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-a47d37049eda223e083129b5a09b377ad8fd13db","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-e28301a65e288faea4935f113e447d278a186f3a"
"Air Force Active","590","288.894","68","22.355","36","20.837","0","0.857","","","0","0.857","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-d20da4f624a64d5eac601ec95a5330aef5a19727","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-7b76d500cf2ca49e94e7c2b0beedfdd1b6ddc5a0"
"Air National Guard","175","59.484","45","4.565","6","2.539","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-f67a82a6e17c6129355db85e57e3848aa9adae1f","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-7b76d500cf2ca49e94e7c2b0beedfdd1b6ddc5a0"
"Air Force Reserve","53","16.594","61","6.189","30","12.694","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-f2e4d80d39c89a7c90ecb2ed032e7c374d4a5ff5","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-7b76d500cf2ca49e94e7c2b0beedfdd1b6ddc5a0"
"Air Force Active","0","0.000","2","5.703","38","5.539","33","12.003","","","33","12.003","33","17.625","33","18.491","33","20.54","10","6.289","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-f1e85f9da12f0869cea92e1e7b12314b8c49e96f","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ad73c8c545205683dae6930d94d56da43c730468"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","22","13.464","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-4e49a18feaa7c8bdd834c4980dbc9f0f0760e0ce","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ad73c8c545205683dae6930d94d56da43c730468"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","1","0.612","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-b4872f1fa1dc6b5ef1c4d8f36a5c4e9153724d37","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ad73c8c545205683dae6930d94d56da43c730468"
"Air Force Active","10","40.152","4","10.357","0","0.000","2","5.619","","","2","5.619","3","6.853","4","12.271","4","9.567","8","20.726","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-80ac5fd28cbde416daf01740a53c6b69f58366ba","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-5545ba20b39060fdd20dab9080da58cabd35ed2e"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-9a0b4d8c0ac7ab92d06764a99e9d5430edf01dc6","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-5545ba20b39060fdd20dab9080da58cabd35ed2e"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-94e2f3429e4aaec2b0a8a7ef3f7ac3785a6ac0e4","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-5545ba20b39060fdd20dab9080da58cabd35ed2e"
"Air Force Active","8","93.846","4","67.742","0","0.168","2","11.585","","","2","11.585","4","26.749","6","36.559","6","35.506","8","37.556","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-fde1ffedb2c870dddf42c5030705918db8719e37","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-b0723879cc461b39468c18bd0b4b1edac67a2f1c"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-ab9814b121d850a3b37bdd0cab6ec2f9233592d9","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-b0723879cc461b39468c18bd0b4b1edac67a2f1c"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-61d4c89605eee9d01f5bc2772388ab8ba162b42e","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-b0723879cc461b39468c18bd0b4b1edac67a2f1c"
"Air Force Active","0","0.000","0","0.000","0","4.626","21","5.189","","","21","5.189","17","3.989","0","0.237","0","0.316","0","0.93","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0d10c92293ecd6209c1f17252952a5809de3843f","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-478d9f01ebf4d61e90bde7778913b4c3fe41cd53"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","6","1.341","","","6","1.341","6","1.351","0","0.062","0","0.09","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-87e8410dcc3a951555e8c71944170fb90be04a93","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-478d9f01ebf4d61e90bde7778913b4c3fe41cd53"
"Air Force Active","0","3.036","8","71.453","0","0.000","10","78.4","","","10","78.4","10","71.1","0","9.8","0","6.9","0","2.5","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-b02f9d62e9226e79e32f441169c7ff72d2dda9e1","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5d43ed84983b3685b3e5a1acae81cb423eae71de"
"Air Force Reserve","0","0.000","0","4.653","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-15cb31f0113646ac523e3beed36b643838a72565","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5d43ed84983b3685b3e5a1acae81cb423eae71de"
"Air Force Active","0","0.000","0","0.000","0","3.238","6","5.12","","","6","5.12","0","0.000","0","0.000","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-9915892ba3726280b5e34ae5bc4f8ee291a6631e","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-925ab5765aa27595549041f808beeb19c70c6c1a"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-de48f6c0439b7e9ee75ca773e645dcd0df7d3651","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-925ab5765aa27595549041f808beeb19c70c6c1a"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-2-7a332ab79ff7855af3d88da1c99002f0f79ae837","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-925ab5765aa27595549041f808beeb19c70c6c1a"
"Air Force Active","0","0.000","0","0.000","0","0.000","35","9.59","","","35","9.59","21","6.063","0","0.03","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-c76f5ef669d73a9bb949aa75f21ebf5a28dc0319","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-d9edd9f41b2eb917ed5d50e5b0f501b9be158c8d"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","18","3.789","0","0.000","0","0.000","0","0.000","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-05a733adfefc421da25b211f55416c8fcd38ec0c","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-d9edd9f41b2eb917ed5d50e5b0f501b9be158c8d"
"Air Force Active","0","0.000","2","8.431","20","4.166","24","4.686","","","24","4.686","12","2.163","3","1.591","6","1.822","0","2.184","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-35d3aa967b2a06e86a24e9f721410e87d46fbcb1","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-c376500cb2b1609eaebece7f3c38b37562aeafd7"
"Air National Guard","0","0.000","0","0.000","6","1.104","7","1.288","","","7","1.288","2","0.28","2","0.274","0","0.000","0","0.000","381cd9596be7077445ddb8dc36f57e679b43cd6b-1-30cc47921a4eac2e9c5d8867c1bde48cda5d30dd","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-c376500cb2b1609eaebece7f3c38b37562aeafd7"
"Air Force Reserve","0","0.000","0","0.000","5","0.92","5","0.92","","","5","0.92","4","0.574","1","0.137","0","0.000","0","0.000","381cd9596be7077445ddb8dc36f57e679b43cd6b-2-46befda51d97d29daa6e062d3bc67b0e50819400","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-c376500cb2b1609eaebece7f3c38b37562aeafd7"
"Air Force Active","0","0.000","1","10.331","1","5.424","1","5.347","","","1","5.347","1","5.185","1","5.188","1","5.139","1","5.194","399d00516df75cfb2d765289abba47af25f6f783-0-15abb00e1fbc474bd1842c70755b1606234bc9cd","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","399d00516df75cfb2d765289abba47af25f6f783-0-2ec7a1a3f3327ab25a3762e748b5396e9f1809ee"
"Air Force Active","0","0.000","4","141.784","4","110.19","4","106.697","","","4","106.697","4","108.403","4","110.996","4","112.908","4","115.833","399d00516df75cfb2d765289abba47af25f6f783-0-28ed6f3c204416f4c4134290b570ba19d108d549","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","399d00516df75cfb2d765289abba47af25f6f783-0-2c471a1abdba292dcdc5e427e5740b95c2e8dc19"
"Air Force Active","0","0.000","1","10.096","1","5.149","1","5.368","","","1","5.368","1","5.438","1","5.152","1","5.176","1","5.241","399d00516df75cfb2d765289abba47af25f6f783-0-447600152be4bc53de52f9e1b3a73e0086680281","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","399d00516df75cfb2d765289abba47af25f6f783-0-e58609b48fd37cc994874eaed77acb1c960bfc52"
"Air Force Active","20","28.122","32","83.974","32","177.69","26","34.24","","","26","34.24","0","12.11","0","4.042","0","2.517","0","0.43","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-5306750e4d60ffd0d876846bfcc1c278ad013dfa","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-ce911baa2cd16a7b3128bbb4ca2e58a96fd5f15f"
"Air Force Active","0","0.000","0","0.000","0","0.000","24","34.48","","","24","34.48","24","23.36","24","25.38","24","27.08","14","16.06","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-9a7785e2357caecbf37f713b3d781b93ec6d0fdc","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-21fdcc31968b434a4bd41eb5a74dac3901d03c76"
"Air Force Active","77","64.18","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-03e9d59dfe4005a1f63e848d6cf9988685794d33","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-ac094c3f2437aedf156ce07e64ea1796d5e94cb0"
"Air Force Active","0","0.000","0","9.88","0","15.81","0","6.03","","","0","6.03","0","5.702","0","6.08","0","7.27","0","6.848","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-bb424fccbfccc77e90190bd68b7e92e0fc4a477f","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-ee6d588a6a5c387a6903acb80f338317db979c85"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","5.37","","","0","5.37","0","5.83","0","1.83","0","16.88","0","3.29","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-48de24b77aa929c1d4e255ea5945a8165e5df0dc","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-39783f9fafaaf9f16d031003549e7841507c36b1"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","5.52","","","0","5.52","5","10.69","0","0.000","0","0.000","0","0.000","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-1f16baa2aafda9902569001b301becdd8fab0733","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-e637d5c80d7c5092dbd09c8eb798c455482d4e5d"
"Air Force Active","0","0.000","0","0.000","2","91.277","1","20.191","","","1","20.191","1","41.3","1","17.533","2","31.3","1","23.935","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-b6a894d4b44cf2dff3b2efb4d1ad391be2a58d2e","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-78a25516dba90225f2815a7d53d20eebd836ceb5"
"Air Force Active","0","0.000","0","0.000","0","0.15","2","12.55","","","2","12.55","2","12.556","2","16.094","1","12.556","1","22.953","54a96df817b9d5263953371373536571cc395220-0-843e058ba02f58081bc3182da7af1f4f50d1ad24","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54a96df817b9d5263953371373536571cc395220-0-597f386c6acd5953584e221d69038479f0a355ed"
"Air Force Active","0","0.000","1","9.891","1","4.792","1","7.664","","","1","7.664","1","8.58","0","0.000","0","0.000","0","0.000","54a96df817b9d5263953371373536571cc395220-0-45d2420701b6d445f2b429db0abe6412dec5a133","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54a96df817b9d5263953371373536571cc395220-0-4a5fd4da5ad16200e944d5af2c086145175e04c7"
"Air Force Active","0","0.000","2","142.369","2","53.703","1","30.125","","","1","30.125","2","56.902","3","49.918","2","47.469","2","48.684","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-9a429d9854706ba26db323a92a07c4943ec7eeef","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-3f9c3bb78cb294beecbbeaaf2c5bea2894a8ac93"
"Air Force Active","0","0.337","0","0.000","0","8.145","0","7.545","","","0","7.545","0","0.000","0","0.000","0","0.000","0","0.000","7296f4110e57c917251c18f357d28b8c4ec7050c-0-7f4da0074c8a7ce8d4f3a3c886feaca3f4508116","7296f4110e57c917251c18f357d28b8c4ec7050c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7296f4110e57c917251c18f357d28b8c4ec7050c-0-420d470897955f61d27609c78517fc274e3d83a2"
"Air Force Active","0","0.000","2","32.843","9","12.554","7","1.5","","","7","1.5","10","18.223","5","9.965","0","12.689","0","12.917","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-5d00d05700de2700f6b1b1dc1acfc08bb2f5e5c3","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-c0d309c20c1fe557b05fe442c91e3c6da4c1b514"
