"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","11","2.375","0","0.000","11","2.375","17","2.125","12","1.5","8","1","0","0.000","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-ffcb9ccdbc06aa111a80398305dd9e7b162cdde6","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ba8c0849a61b3e16c50266ed23eec590644d7686"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","3.278","0","0.000","0","3.278","14","5.377","14","4.159","0","3.007","0","4.955","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-1cd6bd0aa6abc6a2bc29e02a7035ca811d4b0285","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.5","0","0.000","0","0.5","16","1.607","12","1.08","32","2.88","48","4.32","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-09c2468a7e005f5106299703c478b33e8b4ed03a","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.5","0","0.000","0","0.5","0","0.167","10","0.9","18","1.62","20","1.8","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-ca6fa328d757ad3fafdcee632a59f11d327a6317","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"Air Force Active","6","0.000","7","0.000","9","35.685","2","7.747","8","36.95","10","44.697","0","7.194","1","6.926","1","7.625","1","7.952","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-05c9bebea8ccf010c7fec006f246c8fe316dd3bc","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-7e93db0aed9ff2c732abcb1ff0204c736edd6dd3"
"Air National Guard","2","0.000","0","0.000","0","0.000","0","0.000","5","15.2","5","15.2","0","0.000","0","0.000","0","0.000","0","0.000","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-f3190f49a6cf8adc499f4ef036fd7789253473d8","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-7e93db0aed9ff2c732abcb1ff0204c736edd6dd3"
"Air Force Active","0","0.000","0","0.000","2","13.493","1","13.465","0","0.000","1","13.465","1","15.172","1","15.003","1","15.344","1","15.637","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-171c07b7c94b40e89b3f6f6211948a337f544136","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-48be65e366f6f52b3f922072c9a2e0414a623aea"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-1aae1c54bdd4ba81dceee016eb77f14639d02de4","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-48be65e366f6f52b3f922072c9a2e0414a623aea"
"Air Force Reserve","0","0.000","0","0.000","0","3.875","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-d0863aa8e2d117ef2a291e70b10ba659504514fd","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-48be65e366f6f52b3f922072c9a2e0414a623aea"
"Air Force Active","0","0.000","0","0.000","12","42.86","0","0.000","10","29","10","29","0","0.000","0","0.000","0","0.000","0","0.000","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-212b2b47e6a3dac8a39a14a28866dd244dc4c70c","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-74c809763435486d20092276cd6da5825c0fffc3"
