"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1","Ships Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-0-d3cf722df26f5f713960ea1ea133ae2328560ec0","ca77ebc5041c8e451a988d4c7dae3de7425b13df-0-a0f0ec68dcb4122fa6e997aba1c5b2fe5e3bfeec","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"2","Communications & Electronics Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-1-085499a02aab878748afc3915b0716fe560cf927","ca77ebc5041c8e451a988d4c7dae3de7425b13df-1-1b1bf8845ee49ef4b2ada2fe5a0a992ea776c4e6","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"3","Aviation Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-2-4b1839cba9728081420c23355f24ad01e6c694eb","ca77ebc5041c8e451a988d4c7dae3de7425b13df-2-544a2313ca0d1bec5297682cf7a0ae5a67a43b01","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"4","Ordnance Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-3-499e72f6aaeeccca933732ef2c14bfee0efd3b48","ca77ebc5041c8e451a988d4c7dae3de7425b13df-3-428379f3160d917f0bd38dd36c6a108c8236631e","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"5","Civil Engineering Support Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-4-fe3317a017a2c03674abd01f03f2fa88cfa81ac0","ca77ebc5041c8e451a988d4c7dae3de7425b13df-4-ae4d79ea40cc75a0e20cd9275b9bd372f328801e","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"7","Personnel & Command Support Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-5-d717d27c56ae633bb468718dc71b2b243f83ff18","ca77ebc5041c8e451a988d4c7dae3de7425b13df-5-c1d4c2c8b28b04b8ceff1fee2fad8f6a056fb057","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"8","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-ca77ebc5041c8e451a988d4c7dae3de7425b13df-6-2a99fcd3411179ee9ce634aea01488eb77c9b032","ca77ebc5041c8e451a988d4c7dae3de7425b13df-6-d0709d2fad1cfec7d94d7d3604da1ce8744988f1","ca77ebc5041c8e451a988d4c7dae3de7425b13df","root","ca77ebc5041c8e451a988d4c7dae3de7425b13df-096a2a6824d507f9d0be449b2754e32cefa85e2f"
"2","Spares","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-d33b6beeccb733dc89a14df80dd647ccabc6af07-0-7325f1618ef2702700167838dc9c87ab30aec8d0","d33b6beeccb733dc89a14df80dd647ccabc6af07-0-2a5492f1237d94724921f9b3be967b6c507cf2d4","d33b6beeccb733dc89a14df80dd647ccabc6af07","root","d33b6beeccb733dc89a14df80dd647ccabc6af07-a04c8d4d56d40976a9922735147353b5df96bc95"
"2","Weapons and combat vehicles","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e4b59098af93805c9821c557825d8234470b8b24-0-ed95d1341cde906965da2c4c053b8314498e3361","e4b59098af93805c9821c557825d8234470b8b24-0-90c81981c9476706865795b24c972203e896623f","e4b59098af93805c9821c557825d8234470b8b24","root","e4b59098af93805c9821c557825d8234470b8b24-956a38334a928604068055be450e6fa0448d236e"
"4","Communications and Electronics Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-e4b59098af93805c9821c557825d8234470b8b24-1-4e06876de0f79e930bb64e91ed5ebd70eab59c49","e4b59098af93805c9821c557825d8234470b8b24-1-99bebc2e890021d39d73e241df9b3573627a80ff","e4b59098af93805c9821c557825d8234470b8b24","root","e4b59098af93805c9821c557825d8234470b8b24-956a38334a928604068055be450e6fa0448d236e"
