"Name_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","SCNProductionLeadtime_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_Continuing_val","Cost_Total_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"eTalin 4000","12","1","13","","","","0.651","","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-0-5bf8c4b7416f4b9ec2611ab00bdeec0df0e01c54","","438afcb4f94cbef1578c0271b57782980d07ca73-0-bdda040282fc6247d7e73a881bb8c52109524e31","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"Weapon Interface Unit (WIU)","12","1","12","","","","0.783","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-1-91372b496e6b98a51f84255761b3d73a625da77b","","438afcb4f94cbef1578c0271b57782980d07ca73-1-807b6b3cc159530a2a63d4594d20e6fa56236622","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"Rails","12","15","12","","","","10.665","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-2-8111b46824781e5d964ea41198c4d5452ea50fbf","","438afcb4f94cbef1578c0271b57782980d07ca73-2-e3bc34059fab1d000a38fb97e8bbd5ba6a5fa954","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"Weapon Control Unit(WCU)","12","15","12","","","","2.7","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-3-741f645f5d328108dd8433debb2898c1c0267efa","","438afcb4f94cbef1578c0271b57782980d07ca73-3-bfae612c1abc5902fa25d886a86474e6bf941269","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"Common Power Supply (CPS)","12","1","12","","","","0.45","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-4-b671d312116fa293b412a1c21e5ee93fa12daac5","","438afcb4f94cbef1578c0271b57782980d07ca73-4-73a987a22cb8596df1e08d8a7f220bf3cf8538a4","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"Launch Control Unit (LCU)","12","1","12","","","","0.45","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-5-63e40e72ea2ec122b29de183e272f004a0a26d7b","","438afcb4f94cbef1578c0271b57782980d07ca73-5-68f13fe248dab98aae906a24ea4c73391e6db081","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"SEPM","12","1","12","","","","3.62","","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-438afcb4f94cbef1578c0271b57782980d07ca73-6-7490bb9607a263cbd694db2b3f656396065303c5","","438afcb4f94cbef1578c0271b57782980d07ca73-6-ef3b8dcd2d057c31668e4290e98fc3155de1a7ba","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item","438afcb4f94cbef1578c0271b57782980d07ca73-0-6929b20e8b3c0fe4388f63f903dfd17405cbd3cd"
"CFE Airframe","6","1","18","555.772","31.94","76.875","112.975","","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-dba6fbf6f13842d3daea34052f9e9fb2c8bdf4d6","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-8b78b83ab22e8dc91f95b0f641582baf5db1ffad","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Auxiliary Power Unit","3","1","6","27.851","4.347","2.56","3.133","","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-36b19c2956d129734c791d821416269a6eacc868","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-9c7aa81ebf74dc96b6658636fb3f6747faad81b5","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
"Engines","3","2","14","432.92","66.798","39.368","47.953","","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-dccdabdcb817c7298f14205551fac5573719d3d7","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-783ec95aa36117b6f16b7474af27369283123418","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-9461729257c2cebcaa9a4c38c6f9b7d908abd663"
