"Name_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","SCNProductionLeadtime_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_Continuing_val","Cost_Total_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Circuit Card Assemblies","26","1","","","","","16.38","16.691","16.603","21.045","21.445","true","","","TBD","TBD","26","26","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-963298f377d229afa6fb9d64de038041088be7fb-3-b31040f3ee19b6e6b580ad06a84b6643473f5f44","2016","963298f377d229afa6fb9d64de038041088be7fb-3-bf57b650cacc3831d1009d3dfe11af23ccad5ee7","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item","963298f377d229afa6fb9d64de038041088be7fb-0-744db44c55cb558e5f40d7d255fdbb04666a4b61"
"CFE Airframe","6","1","","470.074","36.578","43.449","42.737","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-b408effe92fcb863db0677118b4d72577c93fbb5","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-4deaa50ea3b361f99518b0e38c85755843257398","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root.record.ItemExhibitList.P5Item","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-c829921185a139229af776afa55d7f8ef7c83e15"
"Auxiliary Power Unit","3","1","","19.582","3.82","3.723","4.588","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b1fad3450e4a924ae71482c6d0701d91a64bfa53-1-d4e2eacef73972f82f5c071184d2a3ab94d9bf34","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-1-e259c81a12e8c290960dd76f882d5fec27de4479","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root.record.ItemExhibitList.P5Item","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-c829921185a139229af776afa55d7f8ef7c83e15"
"Engines","3","2","","320.806","62.213","56.79","69.978","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b1fad3450e4a924ae71482c6d0701d91a64bfa53-2-817756275f39b396a0172d1c44ea892b39eeef88","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-2-01095ab0263513c72013123fbb89ee61a985f8ce","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root.record.ItemExhibitList.P5Item","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-c829921185a139229af776afa55d7f8ef7c83e15"
"EGI","3","2","","51.189","9.482","9.243","11.39","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b1fad3450e4a924ae71482c6d0701d91a64bfa53-3-54c184d1d4bc27da707a9faa43bcce8e5fade457","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-3-c158a9da5e5afc70600dd4e3f69393e169066ef5","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root.record.ItemExhibitList.P5Item","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-c829921185a139229af776afa55d7f8ef7c83e15"
"Heads Up Display AVS-7","3","1","","15.79","2.868","2.796","3.445","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b1fad3450e4a924ae71482c6d0701d91a64bfa53-4-be7a4d2f2379dbd854ae5c8a04934a3f5b70ed45","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-4-2c8739a3394fc6f0cd52b6f1807e9ad7cb0d662f","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root.record.ItemExhibitList.P5Item","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-c829921185a139229af776afa55d7f8ef7c83e15"
"GPS III SV 03-08 Long Lead Parts","0","","","177.463","82.507","","","","","","","","259.97","","Lockheed Martin","Newtown, PA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e10cbbe1bc630ec2174ee43452aa43a4f321399b-0-1808523a1c2358452cb2c47d09ad929768b11c42","","e10cbbe1bc630ec2174ee43452aa43a4f321399b-0-3b4d650e1c5c23fdab0d5c4a460646b9b58e5bc4","e10cbbe1bc630ec2174ee43452aa43a4f321399b","root.record.ItemExhibitList.P5Item","e10cbbe1bc630ec2174ee43452aa43a4f321399b-0-83c0d198e30f45c5bdd40d40ee04c678efe5dfe0"
"GPS III SV 09+ Long Lead Parts","0","","","","","52.167","57","121.828","121.828","124.021","126.253","","1121.297","518.2","Lockheed Martin","Newtown, PA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e10cbbe1bc630ec2174ee43452aa43a4f321399b-0-62a086b4fab869965acb41fa13756c266809bbff","","e10cbbe1bc630ec2174ee43452aa43a4f321399b-0-ea019a153e8a306292023628d033b413897ac79a","e10cbbe1bc630ec2174ee43452aa43a4f321399b","root.record.ItemExhibitList.P5Item","e10cbbe1bc630ec2174ee43452aa43a4f321399b-1-52a6945d5a490fe87a58e0b6d13c40c169998b73"
"Apache Block III - Reman","12","","","926.684","107.707","150.931","157.338","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-cb1dff9329ebfe393a77d7062ff981346b746c28","","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-a9c4aacb9f94e1ff936b7eb9b9342e50d01f0b5f","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62","root.record.ItemExhibitList.P5Item","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-7a0285be7d5cda97e1533686b0d3403ce935f2cf"
"Warhead","19","","","50.373","6.935","6.999","7.018","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-6ca0fcd61c884955d13c18f324a3f645abbf193b","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-248df5a2e59ba81244363aaabcaf24a6877da1a5","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Launch Motor","14","","","6.588","0.905","0.905","0.905","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-1-1902de3a9bd187bc3c51e911012fd56dd07fa5f0","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-1-748550b31e9d496a633288a75baccbf60562ffa7","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Flight Motor","12","","","2.308","0.17","0.17","0.17","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-2-37697528d024daff83348afb6e7b2ee249ecd067","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-2-6a253fa2d5a8915b9aedb49f7be1692d2674d7eb","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"2B Sensor","18","","","62.115","8.533","8.533","8.533","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-3-51c02ad519500382e52a5ab4a0f01900dbadaec6","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-3-7ed1c96edc3587539bd55f99722191016a70d670","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Gyro","13","","","11.268","1.548","1.548","1.548","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-4-ac6181a3c8e56758693f84b24b39e503635b5caa","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-4-1c38f659036e998546f5b5bc2fcd2ff203b94e8d","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Flight Motor Case Kit","10","","","2.555","0.351","0.351","0.351","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-5-b98433b53ba38d79f9edbcfb7f2ca2ba85d93272","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-5-b553bf732bf8d7e02ec29d4a42d044681949f4db","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Control Surface Actuators","13","","","6.668","0.916","0.916","0.916","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-6-944626791e85a45229c69bdb98ed05bcd579c07b","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-6-801ec9e1ff245aed2a6789b44fa62bee3c247e91","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Beacon Shutter Actuator","11","","","3.951","0.543","0.543","0.543","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-7-26784d85d76ec57598aab2bae07374e4e4d2e98b","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-7-1f5628a3848d8a430b04f2a5ab067816b2b7fd1f","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"Apache Block III - Reman","12","","","563.392","150.9","157.338","209.93","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-70e36c9e7bfb0bef1dbc440eb6d4aef5583e5c5a-0-5aafbb74174fb5eea624c5f85c7cc548157039cc","","70e36c9e7bfb0bef1dbc440eb6d4aef5583e5c5a-0-e778717dd2eaa6fce8e7620f331b2206bcde772c","70e36c9e7bfb0bef1dbc440eb6d4aef5583e5c5a","root.record.ItemExhibitList.P5Item","70e36c9e7bfb0bef1dbc440eb6d4aef5583e5c5a-0-ebfbd6f3c43b810d4a0519f4ead43a272ea536a3"
"Warhead","19","","","57.293","6.999","7.018","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-0-1b14ec271ad5c30eca0f090f6e35e463c7f678fc","","89581807cca3bab89e4477f9117aeba78bad7332-0-cf2d6e403c7e95a997816ed3efc3c04db1f48e9e","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Launch Motor","14","","","7.493","0.905","0.905","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-1-a3b35b4b0dfb083f81ddeffc673ceebf3e269415","","89581807cca3bab89e4477f9117aeba78bad7332-1-cb75270ab86d970c5dcc28a20bbfaad8ef346229","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Flight Motor","12","","","2.478","0.17","0.17","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-2-e03e5f53dc41594c98e36fd4972f389430276d5c","","89581807cca3bab89e4477f9117aeba78bad7332-2-3fa63d0408e19807b52d63a60e05b55be77d647d","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"2B Sensor","18","","","42.194","8.533","8.533","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-3-d223379f16c941bfd9c98fe6807644987c7f703f","","89581807cca3bab89e4477f9117aeba78bad7332-3-9ef4c864522fb0ba3b19967e352474f4680832a7","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Gyro","13","","","12.816","1.548","1.548","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-4-3b50f133bcb24bfbf6f5070bcc0ca5759175dd1a","","89581807cca3bab89e4477f9117aeba78bad7332-4-8d4dfbb4e67d69442279d7736fac8d39207beb3c","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Flight Motor Case Kit","10","","","2.906","0.351","0.351","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-5-ebb0c805744e33989a22763d5159aaf3a0a5a94c","","89581807cca3bab89e4477f9117aeba78bad7332-5-c5755ade96bf3c4bec393b9534cf7a4f53e2278b","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Control Surface Actuators","13","","","7.584","0.916","0.916","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-6-292beff13c61b5354938afbd29b36d4571fbd6e7","","89581807cca3bab89e4477f9117aeba78bad7332-6-d3e6d3eeed03af75cc8e6a2494094a90eb507060","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"Beacon Shutter Actuator","11","","","4.494","0.543","0.543","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-89581807cca3bab89e4477f9117aeba78bad7332-7-e6c346190d096c5d9ca381d0e8d6448afa29d74d","","89581807cca3bab89e4477f9117aeba78bad7332-7-d632015cdae07bb102b8a61486b1bbfb01f47395","89581807cca3bab89e4477f9117aeba78bad7332","root.record.ItemExhibitList.P5Item","89581807cca3bab89e4477f9117aeba78bad7332-0-c42d1cb37e81968def5c0d8484fc39b83f0dbc78"
"CFE Airframe","6","1","","506.652","33.389","31.94","58.115","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-0-efbb6b760d61de14d02845b4b1363e315854824f","","b230e503cab545e740ad67c0aed66aa7190f6f12-0-84c5b76d8dc7f523c6905f7a7a93bc56d845d939","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Auxiliary Power Unit","3","1","","23.402","4.214","4.347","3.518","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-1-2d64f5f064ca166cae6b61d9dc9df187b1dd6dea","","b230e503cab545e740ad67c0aed66aa7190f6f12-1-fb4cca56455915ded3969073df73037f226fc321","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Engines","3","2","","383.019","64.772","66.798","54.07","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-2-3528481421a2a8dc11751c2585a7cbf4c9a21689","","b230e503cab545e740ad67c0aed66aa7190f6f12-2-5317931ee6834c6e565289f6cc59fc91ae28238c","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"EGI","3","2","","60.671","10.462","10.79","8.734","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-3-07058b2de011eed8f80bdd88767211bf4af177bd","","b230e503cab545e740ad67c0aed66aa7190f6f12-3-3c41a4997c3e5faf51191de3b1fb27d81e7e6194","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Heads Up Display AVS-7","3","1","","18.658","3.164","3.263","2.642","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-4-519eaa4e1051852031ef0b7d87e83650b81d7cec","","b230e503cab545e740ad67c0aed66aa7190f6f12-4-e816f2d528491456c6b0779ce6751c70681d99d3","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Hover Infrared Suppressor","3","","","25.361","","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-5-082a11f358d848b3183ca71bd4ab5b057daade0d","","b230e503cab545e740ad67c0aed66aa7190f6f12-5-e3bd56f1506171c3a86a2295be606ebe92317ba0","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Miscellaneous","3","","","15.651","","","","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-b230e503cab545e740ad67c0aed66aa7190f6f12-6-b833e6e8386946577bcf8a5c029c2302d445b024","","b230e503cab545e740ad67c0aed66aa7190f6f12-6-148748b18c52f73a10f626e283143c1c93c4bdcc","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
