"Name_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Host Based Security System - A & AS","0.000","","","0.000","0.513","","","0.554","","","0.000","0.554","","","0.407","","","0.416","","","0.426","","","0.439","","","","","0.000","","","2.755","2aaa9303717d43429a178d297a6fb6e08423593b-1-4f43259d4b6875cbbc5961acb22eb228d76ea45b","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-3-cbdbb91ca0e13f1f76851a9f821170ec3d0a4bc3"
"Host Based Security System - Other","0.000","","","0.000","2.222","","","2.554","","","0.000","2.554","","","4.235","","","2.365","","","0.366","","","3.818","","","","","0.000","","","15.56","2aaa9303717d43429a178d297a6fb6e08423593b-2-8a39d92da52971add41aa0b12b15814501f25e0a","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-3-cbdbb91ca0e13f1f76851a9f821170ec3d0a4bc3"
"HBSS Support","0.000","","","0.000","0.000","","","0.000","","","0.000","0.000","","","0.529","","","0.604","","","0.689","","","0.718","","","","","0.000","","","2.54","2aaa9303717d43429a178d297a6fb6e08423593b-3-c3dcb69d344924e2bb34c0321cd789581a2f367e","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-3-cbdbb91ca0e13f1f76851a9f821170ec3d0a4bc3"
"VLMS - Prime Contract","0.000","","","0.000","0.000","","","2.191","0.049","45","0.000","2.191","0.049","45","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.049","45","2.191","2aaa9303717d43429a178d297a6fb6e08423593b-0-de0f1cab2fa715fb27cd07113835e8b5663f1180","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-4-3f34747625fc9662cae02e5170fd693479cbae02"
"VLMS - A & AS","0.000","","","0.000","1.318","","","1.34","","","0.000","1.34","","","1.363","","","0.000","","","0.000","","","0.000","","","","","0.000","","","4.021","2aaa9303717d43429a178d297a6fb6e08423593b-1-7ef6d552eb1ea12572853303d9a7d222b3cfc818","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-4-3f34747625fc9662cae02e5170fd693479cbae02"
"VLMS - Other","0.000","","","0.000","1.568","","","5.669","","","0.000","5.669","","","3.488","","","0.000","","","0.000","","","0.000","","","","","0.000","","","10.725","2aaa9303717d43429a178d297a6fb6e08423593b-2-d0c6803176ad0e9340ec594046c924dc20dadd8a","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-4-3f34747625fc9662cae02e5170fd693479cbae02"
"AFNET Support - Prime Contract","0.000","","","0.000","33.208","1.845","18","18.589","1.033","18","0.000","18.589","1.033","18","57.395","3.189","18","87.12","4.84","18","77.131","4.285","18","77.167","4.287","18","0.000","0","0.000","3.246","108","350.61","2aaa9303717d43429a178d297a6fb6e08423593b-0-d1785792b591effa356d8366c7a8c2221f6124b5","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-5-63e4e3631d7c25646cfdfb896f1d7b3d629337e2"
"AFNET SUPPORT - Hardware/Software Support","0.000","","","0.000","29.413","0.275","107","1.037","0.01","107","0.000","1.037","0.01","107","50.257","0.47","107","53.62","0.501","107","53.907","0.504","107","54.22","0.507","107","0.000","0","0.000","0.378","642","242.454","2aaa9303717d43429a178d297a6fb6e08423593b-1-fe3fa470b19a896acc438a4bbe8aea65ea073f1a","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-5-63e4e3631d7c25646cfdfb896f1d7b3d629337e2"
"AFNet Support - A & AS","0.000","","","0.000","1.993","","","2.025","","","0.000","2.025","","","2.058","","","2.091","","","2.125","","","2.159","","","","","0.000","","","12.451","2aaa9303717d43429a178d297a6fb6e08423593b-2-7cc58cb843c2d0d75653673f71cc7dbc7ec23c5e","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-5-63e4e3631d7c25646cfdfb896f1d7b3d629337e2"
"AFNET Support - Other","0.000","","","0.000","9.169","","","12.046","","","0.000","12.046","","","10.518","","","11.279","","","11.758","","","13.326","","","","","0.000","","","68.096","2aaa9303717d43429a178d297a6fb6e08423593b-3-c367b13a5d0151037bec1c22794ba67c1c84dcef","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-5-63e4e3631d7c25646cfdfb896f1d7b3d629337e2"
"DaR - Prime Contract","0.000","","","7.196","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","7.196","2aaa9303717d43429a178d297a6fb6e08423593b-0-ef1a2284f155d1e14eca1d7bd7d73cae31f93460","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-6-9dd49722b4869ece1f9fd432570bd0c5e98c8b41"
"DaR- A & AS","0.000","","","1.134","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","1.134","2aaa9303717d43429a178d297a6fb6e08423593b-1-13f4f0255590004c05ec6b442b6770e9232408c9","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-6-9dd49722b4869ece1f9fd432570bd0c5e98c8b41"
"DaR - Other","0.000","","","0.88","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","0.88","2aaa9303717d43429a178d297a6fb6e08423593b-2-1e5bde4f089725ee112426a51f1680bfd8baf757","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-6-9dd49722b4869ece1f9fd432570bd0c5e98c8b41"
"VULNERABILITY LIFECYCLE MANAGEMENT SYSTEMS (VLMS) - Prime Contract","0.000","0.205","47","9.62","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0","0.000","0.205","47","9.62","2aaa9303717d43429a178d297a6fb6e08423593b-0-367f466e9ab88020e9be0fed0feaa0c3afdd75dc","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-7-2725676155492743a461200352109c9296e87951"
"VLMS - A & AS","0.000","","","1.306","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","1.306","2aaa9303717d43429a178d297a6fb6e08423593b-1-bfc14364b8e622b59b1c3d37c2b5c787134c3891","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-7-2725676155492743a461200352109c9296e87951"
"VLMS - Other","0.000","","","6.084","0.000","","","0.000","","","0.000","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","0.000","","","6.084","2aaa9303717d43429a178d297a6fb6e08423593b-2-eb6699a55404d21b248e01d8c9b1920bf81d1219","2aaa9303717d43429a178d297a6fb6e08423593b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement","2aaa9303717d43429a178d297a6fb6e08423593b-7-2725676155492743a461200352109c9296e87951"
