"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0207224F","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf-0-90651ab2c9f15c2e0a10eec75e51ce44ed831077","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf","root","1f74a43f0d0b6e827da7cc03b4983ca0f6cba4bf-ab2248582a7a223bc07fc1180155913225c7dfbd"
"0102326F","21b4f88672a4050b1ffd05cee1644230dbe80de8-0-5339b96fa2c4764c47b5e7fae3f29a21b66c9d5f","21b4f88672a4050b1ffd05cee1644230dbe80de8","root","21b4f88672a4050b1ffd05cee1644230dbe80de8-d117293f2cf0ea17cf9ae695c22d23a8de50eaa4"
"0401119F","230542bd9da9a930c944f91de0a720a98bcfc5e4-0-24e66f96e850c68bacb93bf45fe19bd0e0ab1b1a","230542bd9da9a930c944f91de0a720a98bcfc5e4","root","230542bd9da9a930c944f91de0a720a98bcfc5e4-7e704c0515168d17a4d8041f336a59b37759e42e"
"0303122K","2370ba6ce510a6945e0c6792437cd1979e437058-0-b8315fbdba34c63b3b5683fcfb2d4bdb60acb37b","2370ba6ce510a6945e0c6792437cd1979e437058","root","2370ba6ce510a6945e0c6792437cd1979e437058-67e977bbf46b6e24e5ca8798846cdabc66a63d6e"
"0305165F","24b82fd52542f468799e4648ad2b9e79fd8205d5-0-b74757f0af0797bbf0840fa0bc9d1dd2e0ae901c","24b82fd52542f468799e4648ad2b9e79fd8205d5","root","24b82fd52542f468799e4648ad2b9e79fd8205d5-0f306c905d186bbdfc10689f42751ad9a1691160"
"0204460M","24febab206f12e49a266ce58bec118a0b5f41773-0-b92fa7beb1702d1654b663da5c1f5c45394a2867","24febab206f12e49a266ce58bec118a0b5f41773","root","24febab206f12e49a266ce58bec118a0b5f41773-1195c7937653144889fe538fd31368b067da9e3b"
"0506313M","24febab206f12e49a266ce58bec118a0b5f41773-1-591e03a98388f26b73269b8a7467b5927f000a6c","24febab206f12e49a266ce58bec118a0b5f41773","root","24febab206f12e49a266ce58bec118a0b5f41773-1195c7937653144889fe538fd31368b067da9e3b"
"0303126K","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-8dfcd3260a28f797764f781915cc3cf99e15efbd","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-be8ef86c312c1a3c2ff89f745257e1447441ffab"
"0205604N","2be743b5724176127d4f52d81c1071cbf5924f8b-0-c0f1dbe184ee67d3257a90ef8f827ce878a29bd0","2be743b5724176127d4f52d81c1071cbf5924f8b","root","2be743b5724176127d4f52d81c1071cbf5924f8b-1c932cfdf73b3eb5049b8bb17e306a488eac9e1f"
"0207325F","2d933631ee14289b442fec2827a5e38259c90482-0-eb4d130d823e71cdca865356a81da1d0d1cb7cde","2d933631ee14289b442fec2827a5e38259c90482","root","2d933631ee14289b442fec2827a5e38259c90482-0d1757a4a413408447675d2abebdccc54701e3bf"
"0804748F","2e8089cfc162ef1b5074d8ed5fd114dcaaa5a2b5-0-d1221d2e637bf879c6d7ee52af210f3677d4b59b","2e8089cfc162ef1b5074d8ed5fd114dcaaa5a2b5","root","2e8089cfc162ef1b5074d8ed5fd114dcaaa5a2b5-c8baee742279efb4bee8f1732114073e49ddb3f5"
"0204228N","2eebc05791c5c928bb1eb7a6f919af39e495ef14-0-26b4375567c1d51267b8a62b5e917502fb1ec49d","2eebc05791c5c928bb1eb7a6f919af39e495ef14","root","2eebc05791c5c928bb1eb7a6f919af39e495ef14-7626588474adedc40be4cfded5c8d878e6e812bf"
"0401132F","2fe8f17cfcc08a710f1d7a66780241bcc70db238-0-df0b4bc7e3e603720ef348c0498a271466f0351a","2fe8f17cfcc08a710f1d7a66780241bcc70db238","root","2fe8f17cfcc08a710f1d7a66780241bcc70db238-30c37e7e73911f4a21101339fb62c084d76dd4b6"
