"ServiceAgencyName_val","ServiceAgencyName_@footnote","ServiceAgencySuffix_val","ProcQuantity_val","ProcQuantity_@footnote","MonthlyDeliveryList_MonthlyDelivery","AcceptedBeforeOct1_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Navy","","","59","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-866d1a79e138101552ba95ffbefbbdd64c97d494","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-89c84108e7c3d4ad71fd5a83161c986091a6abc0","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-1cc2392c310b9766a53f48d1a83855d9ae4c5386"
"Air Force","","","63","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-13d5d58edd86c40d214fa9b65ff5ba0f10b04fc0","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-3876afbe3615ad03c06203f47e6063accf3190d9","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-1cc2392c310b9766a53f48d1a83855d9ae4c5386"
"Foreign Military Sales","","","55","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-042c55f946a9b011839d14ece922e2de8381d92e","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-c7d3a5a9b72e2df243a798cb64c56426d976def9","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-1cc2392c310b9766a53f48d1a83855d9ae4c5386"
"Navy","","","46","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-4714d83c875f89a775ccdd1f81bcba43ecff8656","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-620cf36b758fd859f5efe23da18cd5126e211c09","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-bf18d34244fd77381389436101d6530887cf6c2b"
"Air Force","","","84","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-5f9682a555827ad34d7bdfcb0a29b37cf50b9a97","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-ceb2eb3900f634f6838fc7a669d644f91c795aa0","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-bf18d34244fd77381389436101d6530887cf6c2b"
"Foreign Military Sales","","","20","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-c3c3de1296d8b5aede5c424296869c1214bc5208","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-056442ffc427acbfcbd73843518708a4adc0d441","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-bf18d34244fd77381389436101d6530887cf6c2b"
"Navy","","","63","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-e2f2da785148bd038394b1dd2c1b4c46392d5d8e","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-483dbd2a20e34c7326075f7136322ec9588ec763","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-3-65e146a4383b2edcb7790b311cd6a78a36450162"
"Air Force","","","140","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-a04ef0d855cefca1c620b7f488fa4f1a3dc4fc7b","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-3cc9f39a8bbe5827c1567642bf7a0b48e9de5b60","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-3-65e146a4383b2edcb7790b311cd6a78a36450162"
"Foreign Military Sales","","","22","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-26d9c7730425f0b2eef9c3654d38e097ce3ee497","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-e541ea70f29c1b8711bf31715c5f74aef59adb2d","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-3-65e146a4383b2edcb7790b311cd6a78a36450162"
"Navy","","","1.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-ac762520f7cfdd9ef5f1484cbe370da2245b8a35","","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-637da53289643827d3113f107d1a58bfa2c0f911","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-fe21fb9c8bdd738c61f87a711448b3fecaa3d93f"
"Navy","","","2.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-5265b880d5348917fe4069763a2206391c64b3a4","","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-28bba128c236d07f9992b1c306ea754e6bec1b9a","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","4e56c12b3fd34fef2a3aee1edccb6403baf03c9b-0-6cd60f8df6e572c759df6af6890253da2ea19ecd"
"Army","","","240","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-d6b97cef34bb2b69201b5d5576399b414c3f0f6c","","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-3b2d0adaffa33f160682e9d92cf68e19baab5b81","9b4371a87fb2afe822ed8a764e5589d513dffdb6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","9b4371a87fb2afe822ed8a764e5589d513dffdb6-0-6fa69ba095058f5f2184fbf6b2ca981684df2918"
"Army","","","14","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-c4c4502b5d6bfd3680862a8bbdabaadc80cd5f5b","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-e02693fa2fd5cbd3b685d28d97d1dc0a441830d3","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-c707ccd34e509a8daf62c0c74c0a67aadec94eb8"
"Navy","","","100","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-fa4ec5b12c597375239a1c40180004debce5ed40-0-e00f65e368668a09420e6704ee0ec438ac218ec6","","fa4ec5b12c597375239a1c40180004debce5ed40-0-ec472fd4709fed4b7d6c292d19daa3bbf01d2f1e","fa4ec5b12c597375239a1c40180004debce5ed40","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","fa4ec5b12c597375239a1c40180004debce5ed40-0-3ab79e7de80618fd81482aec55644dc43773e669"
"Army","","","4589","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-06c993bed2cc6507cde8301ef937581e0973c880-0-5cc444f22e1244275dafe2d7155db1e203bd35a9","0","06c993bed2cc6507cde8301ef937581e0973c880-0-a90dfa7a19d37c28f50e7a9435e48e1c3e50b04b","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","06c993bed2cc6507cde8301ef937581e0973c880-0-aa7e2fe8d89bf38f33653464b2d10a567d3db8b4"
"Air Force","","","550","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-06c993bed2cc6507cde8301ef937581e0973c880-1-decb8f63220efa9977c92c5c871cb0f5ce2a686c","0","06c993bed2cc6507cde8301ef937581e0973c880-1-58f6ea5ae1ab01c895723408a3e03415c42f188b","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","06c993bed2cc6507cde8301ef937581e0973c880-0-aa7e2fe8d89bf38f33653464b2d10a567d3db8b4"
"Army","","","475","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-06c993bed2cc6507cde8301ef937581e0973c880-0-d20dfb337ebe867889f7fdd0cb4976a612538fd7","0","06c993bed2cc6507cde8301ef937581e0973c880-0-e1df2be7d1714d61a1afccc49c4715bf83386b71","06c993bed2cc6507cde8301ef937581e0973c880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","06c993bed2cc6507cde8301ef937581e0973c880-0-4482405186efa5d417b64fa6184c629cd3b61345"
"Navy","","","19","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-15862559356584d1584bc933805dd0dca8065d25-0-807f3090e7593e98198a8b6f045f669fa15e61ca","0","15862559356584d1584bc933805dd0dca8065d25-0-db1d6951dbae5942e4227b66588406de31a37c9b","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","15862559356584d1584bc933805dd0dca8065d25-0-d96f26b288439a91d6ab11a671a7193eae26f686"
"Navy","","","19","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-15862559356584d1584bc933805dd0dca8065d25-0-7bb14b84784b3add8e6c9e8e07e500f4e3355020","0","15862559356584d1584bc933805dd0dca8065d25-0-5c17bfe8beeebab4271459561429b1c02c6f5f0c","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","15862559356584d1584bc933805dd0dca8065d25-1-92b0726f16ce9f21cf0066dd4885aba0f23fa050"
"Navy","","","42","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-15862559356584d1584bc933805dd0dca8065d25-0-73fdac078326fc3682137ffce359a60866454bcc","0","15862559356584d1584bc933805dd0dca8065d25-0-e6a6f43ae7702c2192ceb78424bf1f3f1d54712c","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","15862559356584d1584bc933805dd0dca8065d25-2-e78af52893f13969b494bfac8eba636924265bd5"
"Navy","","","37","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-15862559356584d1584bc933805dd0dca8065d25-0-1e320b7219f5108c7fc2a5da8d8cf8e2f240e8a0","1","15862559356584d1584bc933805dd0dca8065d25-0-3790865faa4ca609af7a93aaea9444b67972358a","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","15862559356584d1584bc933805dd0dca8065d25-0-3d12be168d84141042f222880c111748751c5cb4"
"Navy","","","13","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-15862559356584d1584bc933805dd0dca8065d25-0-ed8dbffaa8f876080750ad19bd066224bee4e096","0","15862559356584d1584bc933805dd0dca8065d25-0-a4d6f34055de89400b329b7e37db2125260b9d79","15862559356584d1584bc933805dd0dca8065d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning","15862559356584d1584bc933805dd0dca8065d25-1-b2f7e9d40f3c4971fa40dd5d3ccc01abd6157454"
