"Name_@footnote","Name_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","PRIME MISSION EQUIPMENT (NEXION) -- PETERSON AFB, CO","0.274","2","0.548","0.274","3","0.822","0.274","2","0.548","0.274","2","0.548","","","","","","","","","","","","","1.08","0.27","4","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-7-bbfe1b97da77b16924dca13b3d8d36a6498ca01c","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","INSTALLATION (NEXION)","","","0.127","","","0.427","","","0.961","","","0.961","","","","","","","","","","","","","1.068","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-8-99eaa99d25510c3dc0b5a157ee001ee099c1e35f","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","INTERIM CONTRACTOR SUPPORT (NEXION)","","","0.1","","","0.266","","","0.393","","","0.393","","","","","","","","","","","","","0.068","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-9-03af5f09fb7cb2956037f2edecc8baa684e75b65","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","PROGRAM MANAGEMENT ADMINISTRATION (NEXION)","","","0.325","","","0.33","","","0.098","","","0.098","","","","","","","","","","","","","0.384","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-10-befa8a932521a336ae9e0c1507555f3d484ab1ef","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","b. NEXT GENERATION IONOSONDE (NEXION) REPLACEMENT","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-11-952dd23d61bda2c788fc235a26847fc7f16b4ca9","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","PRIME MISSION EQUIPMENT (RADAR) -- HANSCOM AFB, MA","","","0.000","0.6","3","1.8","","","0.000","","","0.000","","","","","","","","","","","","","3.516","0.586","6","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-12-b794e5cdc7437211cd1810b24378a968fa9683dc","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","INTERIM CONTRACTOR SUPPORT (RADAR)","","","0.000","","","0.8","","","0.000","","","0.000","","","","","","","","","","","","","0.4","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-13-1b1823303096dee24665033f2bb45fc1a8e8f133","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","PROGRAM MANAGEMENT ADMINISTRATION (RADAR)","","","0.349","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","1.723","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-14-c39177bb353b3597ed4a98ec66c7c7a8c8fed25a","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","c. PORTABLE DOPPLER RADAR","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d5504cfe5ee64291b24e908ef5dff988574ed270-15-8102c9e23c28eb3cf08f51dc577da3b83fedf71a","d5504cfe5ee64291b24e908ef5dff988574ed270","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d5504cfe5ee64291b24e908ef5dff988574ed270-6-545a10b46130962fdfbcdc0ed428ec7e7073dcc8"
"","(1) ACC PC SYSTEMS - LEGACY","0.006","620","3.418","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","1.81","0.006","318","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-0-08b401041d90f42ee85aa40aa363414e7a645a47","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-54-0e364d4f311b4f4e61d5239ff0fd41df70e7aaae"
"","(2) AMC PC SYSTEMS - LEGACY","0.006","385","2.123","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-1-38ff9ba3db98695681c9245577dae01b0e1e502a","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-54-0e364d4f311b4f4e61d5239ff0fd41df70e7aaae"
"","(1) ACC PC SYSTEMS - INCREMENT III","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","1.324","0.006","232","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-0-8d708c04d45bd83ecb4a855f7c3fdcd91a264210","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-55-085cc2c53c97f14bf97b063da6eee5ccc9863fa8"
"","(1) ACC PC SYSTEMS - INCREMENT IV","0.005","651","3.447","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","3.496","0.006","613","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-0-027725bd6233ff400d19eff61ea14e37861e7e7b","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-56-ad215169a5fce6777d3767efc892717f1ab9e015"
"","(2) AMC PC SYSTEMS - INCREMENT IV","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","4.206","0.005","791","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-1-d43c5d23190849e8ad0e5bc8e315228ab92a2d5c","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-56-ad215169a5fce6777d3767efc892717f1ab9e015"
"","GPS RETRANSMISSION SUBSYSTEM","0.011","35","0.395","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.586","0.011","52","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-0-2119aa0edef09b002b67b4659d916ccabd32f47e","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","UHF RECEIVE SUBSYSTEM","0.035","35","1.229","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-1-36cef2b791307757065958155da3302d26a3a72a","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","DROPSONDES","0.001","2175","1.566","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-2-cff9fd6bd6b484df07c555cbd8f064822d75a797","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","SUBSYSTEM & DROPSONDE SHIPPING","0.016","1","0.016","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-3-7e28f2df41210bf9c475013b652361fd8e6d3e18","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","SUPPORT SERVICES & SPARES","2.402","1","2.402","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","2.173","2.173","1","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-4-4eea5dbb618b01eacbedddf0a22f314dc5d5d20a","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","PROGRAM MANAGEMENT ADMINISTRATION (PMA)","2.287","1","2.287","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","2.42","2.42","1","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-5-8fbfac0016f524e752501cf57f49d1077844289d","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","SYSTEM ENGINEERING & LOGISTICAL SUPPORT","1.304","1","1.304","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-6-9710d09a2573334b9abf0ac79e98f3309662da8b","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","TESTING","0.775","1","0.775","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-7-a8f22ce06aaf86b8e9dfcda53b952e65d321c540","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","ULTRALIGHT DELIVERY SYSTEM","0.035","2","0.069","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.137","0.034","4","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-8-dc8c3b04c42e9ae71605b6f23d51bf75b13204b6","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","2K DELIVERY SYSTEM","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","1.822","0.059","31","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-9-7aceb931f141943f074f83795af2bb141e9381f5","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","10K DELIVERY SYSTEM","0.132","5","0.66","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-10-523e975615f67d831d15a0ea769ba244378cc022","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","NAVAID DELIVERY SYSTEM","0.01","80","0.836","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-11-5a1ed27f916c88ab8d53a191203bd5612713a4a6","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","DELIVERY SYSTEM RIGGING & SERVICES","0.024","1","0.024","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d67582333b4704812dd148cb8b2d61ee059e25c4-12-72e3b3f259d7cb9afe4f798226521cec8cb6ec5b","d67582333b4704812dd148cb8b2d61ee059e25c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d67582333b4704812dd148cb8b2d61ee059e25c4-57-3bd7daa242b5db80edea690bad551ef396d4a000"
"","LOAD, ASSEMBLE, PACK","19","577939","10.981","55","97575","5.367","24.01","489963","11.764","24.01","540567","12.979","","","","","","","","","","","","","0.000","","","1.215","24.01","50604","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-4e72cd56d1bfa5de29e1269ac79e1713fcce037d","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-1c40a94434d594a0412bc3049697080410af7d62"
"","PALLET MK3-0","193","116","0.022","209","19","0.004","212.12","99","0.021","212.96","108","0.023","","","","","","","","","","","","","0.000","","","0.002","222.22","9","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-1-228eb565064a4abb51e772d24125c759db979e68","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-1c40a94434d594a0412bc3049697080410af7d62"
"","BOX, METAL M548","33","2370","0.078","38.13","396","0.015","39.17","2017","0.079","39.17","2221","0.087","","","","","","","","","","","","","0.000","","","0.008","39.22","204","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-2-3b17370d03b24f2354b58211d488f518ba4329b9","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-1c40a94434d594a0412bc3049697080410af7d62"
"","LOAD, ASSEMBLE, PACK","9.73","503186","4.896","14.14","327157","4.626","10.96","904197","9.91","10.96","904197","9.91","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-69881eb803c2e4a926ab9421f4d90130dc15c4b4","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-8c89c65067985108834be5603cc4480eaf594bf6"
"","BOX METAL M548","33.14","2052","0.068","38.69","1344","0.052","39.17","3702","0.145","39.17","3702","0.145","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-1-8478de48a49041978bfa109f4a651871d46f93b3","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-8c89c65067985108834be5603cc4480eaf594bf6"
"","PALLET MK3-0","196.08","102","0.02","212.12","66","0.014","213.11","183","0.039","213.11","183","0.039","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-2-73e023efee8c39b362483f4dcfaa61386d76d772","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-8c89c65067985108834be5603cc4480eaf594bf6"
"","LOAD, ASSEMBLE, PACK (LAP)","51","931044","47.483","50.34","209479","10.545","51.39","72232","3.712","51.45","162657","8.368","","","","","","","","","","","","","0.000","","","4.656","51.49","90425","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-6c3030056f45ef026c17dff40f7ea79a2915ce3b","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-fd68dd13db2ee84ec2e0c9b88ffa99b3e00e685c"
"","TUBE AND STRAP ASSEMBLY F/30MM","401.91","1677","0.674","405.84","377","0.153","453.85","130","0.059","428.08","292","0.125","","","","","","","","","","","","","0.000","","","0.066","407.41","162","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-1-4ce7221fc9166567b057940306e46d23242fd725","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-fd68dd13db2ee84ec2e0c9b88ffa99b3e00e685c"
"","CONTAINER CNU-332","1898.03","1677","3.183","2761.27","377","1.041","2761.54","130","0.359","2696.25","293","0.79","","","","","","","","","","","","","0.000","","","0.431","2644.17","163","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-2-7b06247b5e087ff37494defe8824e4c9c0a19a40","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-fd68dd13db2ee84ec2e0c9b88ffa99b3e00e685c"
"","LOAD,ASSEMBLE,PACK","16","1988675","31.819","17.16","331355","5.686","31.5","162063","5.105","31.5","162063","5.105","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-756a9d72683aa5198970452a76f94965fdc81bec","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-93d2cc303b56d24bfc1f3bf83ce0b5939c5b135e"
"","TUBE AND STRAP ASSEMBLY","386","3580","1.382","406.04","596","0.242","451.72","290","0.131","451.72","290","0.131","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-1-f4157f5d5ced1c3bdd9b335ea802eef93339d40f","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-93d2cc303b56d24bfc1f3bf83ce0b5939c5b135e"
"","CONTAINER CNU-332E","218","3580","0.78","182.89","596","0.109","242.32","293","0.071","242.32","293","0.071","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-2-f1de7f84b2eee1ae39b148a8aaa9e26ee987e0ca","d842d1e76cb9d69c740debc15fd8c98a039ab8b3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","d842d1e76cb9d69c740debc15fd8c98a039ab8b3-0-93d2cc303b56d24bfc1f3bf83ce0b5939c5b135e"
"","ADP FIELD","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","2.726","1.363","2","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-a2479a7afdbe188bb65c6cf00c4c2ae03ae91b97","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-9c851844e0631333bb3315af277838c6307aa1e6"
"","ANTENNA","1.648","1","1.648","0.954","2","1.908","1.03","1","1.03","1.03","1","1.03","","","","","","","","","","","","","1.233","1.233","1","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-1-37d3898116ea8bd3a9e50f601f42a67a078c4e5c","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-9c851844e0631333bb3315af277838c6307aa1e6"
"","AUTOMATED DATA PROCESSOR TESTBED (ADP)","1.363","1","1.363","1.245","1","1.245","","","0.000","","","0.000","","","","","","","","","","","","","1.347","1.347","1","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-2-416b6326dc05da4a818d4108b05b93537d4c7125","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-9c851844e0631333bb3315af277838c6307aa1e6"
"","RECEIVER","","","0.000","","","0.000","0.311","1","0.311","0.311","1","0.311","","","","","","","","","","","","","1.929","1.929","1","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-3-8280896414d14d50e77a10218fee4e15c75876ff","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-9c851844e0631333bb3315af277838c6307aa1e6"
"","TEST SOURCE","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-4-41271fdfc6336811cb0854e47abd96dadc8c58fd","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-9c851844e0631333bb3315af277838c6307aa1e6"
"","ADP TESTBED","1.482","1","1.482","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","1.518","1.518","1","0.000","","","","","","","","","","","","","","","","","","","","","e4298bc452a05fed041662fb4c7624a7f042c8b0-0-b0b7827bc83c21454c7c1dcad265584f96482d05","e4298bc452a05fed041662fb4c7624a7f042c8b0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","e4298bc452a05fed041662fb4c7624a7f042c8b0-1-701f893c9c5cfe21f9a3303a0c2908198683e3fb"
