"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2.1 S2E2 Software Non-Recurring","","2","4","1","1","","","","20.65","0.000","27.35","5.5","1.2","","","","10.325","6.838","5.5","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","19b2906e6a3b9bbc1b28c4632864bf387c585b02-0-a371802074830a71532421c2453aa6c4bfee1621","19b2906e6a3b9bbc1b28c4632864bf387c585b02","root.record.ItemExhibitList.P5Item","19b2906e6a3b9bbc1b28c4632864bf387c585b02-1-0f28de54cf7a47908d999b09456713f45e46eaa9"
"3.1.1) Software","","","","","","","","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229f4796f1e91030a9083c1d92269874b81d1626-0-66d204e0344699e24a1d915dd31875ef3dcb1fc8","229f4796f1e91030a9083c1d92269874b81d1626","root.record.ItemExhibitList.P5Item","229f4796f1e91030a9083c1d92269874b81d1626-0-22bf769bc8dbcbad09f2d91a2b150aa5f82fa019"
"HFGCS Email Architecture Upgrades/Redundancy","Effort consists of a single project with multiple low-quantity subsets that have an individual cost of less than $5 million","","","1","","","","","","","","1.883","","","","","","","1.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","6971613bea829a3c0e42304e66ee4faac38ba79c-0-c5fcb1740d2edfeaf5bcf64a313d64c4346266ce","6971613bea829a3c0e42304e66ee4faac38ba79c","root.record.ItemExhibitList.P5Item","6971613bea829a3c0e42304e66ee4faac38ba79c-0-cacee6841919e09da000d7d3625b1866e071ec0f"
"Emerging Logistics Technologies (ELT) SW","","1","","","1","1","1","","80.068","","","","1.175","1.065","1.065","","80068","","","1175","1065","1065","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-0-5c3d1d6682beec5917dad7ef7808e4a6a30e762b","","a4b82838d22cfbf1da667ad790027d833a60a900-0-b64c29771a004e5ca9520559c0a2bcef8c80a5e1","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-2-eb13bdaa0bd14b86c57c325f4cce7793a7f6ea3d"
"(HQDA ADPE) Software","","1","","","1","1","1","","0.99","","","","0.496","1.7","1.7","","990","","","496","1700","1700","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-0-bf5504b35215572a387652720e1d374a30c9898d","","a4b82838d22cfbf1da667ad790027d833a60a900-0-46ebb5699597ee15f7b533c9b87590db5b6bfe7a","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-4-396c44502421c83536fbd503ea7b01489dec5234"
"(PITI) Software","","1","","1","1","1","1","","1.584","","","2.299","5.04","6.041","6.041","","1584","","2299","5040","6041","6041","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-1-10d9f474c59cafcb719529ac605585a1ff56dfbd","","a4b82838d22cfbf1da667ad790027d833a60a900-1-8d1c5f27424d48f54cea6e38e53dd9f1fae8e6c2","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-4-396c44502421c83536fbd503ea7b01489dec5234"
"(LAAWS) Software","","","","","","1","1","","","","","","","0.761","0.761","","","","","","761","761","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-2-ac3230973ff2430162d78969f10d94e97faa7ad9","","a4b82838d22cfbf1da667ad790027d833a60a900-2-b61001e97a9429a32534edb93d8123f9c38924bb","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-4-396c44502421c83536fbd503ea7b01489dec5234"
"(ACI) Army-wide Software","","1","","","","","","","24.318","","","","","","","","24318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-0-4dfaa9a4669389558fbbe9d60afb22287a0475ed","","a4b82838d22cfbf1da667ad790027d833a60a900-0-d19e2dc2ed7a0123263c030f00294da507839646","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(BLSCE) Software","","1","","","","","","","0.309","","","","","","","","309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-1-e2e31f84b2e0f0dbb81d4f4d27478c4658cbc6cc","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(ATIS) Software","","1","","","","1","1","","0.09","","","","","0.155","0.155","","90","","","","155","155","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-2-964f8e68eb5c634421e7bf2eb8bd6c52d2143ed9","","a4b82838d22cfbf1da667ad790027d833a60a900-2-57e26280d655314b1b739e9efdacc2db9e249164","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(SPS) Software","","1","","","","","","","0.804","","","","","","","","804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-3-ae3bebf762211b408cdc21b6a7f858236e812f76","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(AcqBiz) Software","","1","","","","","","","0.58","","","","","","","","580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-4-e57241626cee7b7b464701371c2fc939799fd425","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(TIABCSTB) Software","","","","","","1","1","","","","","","","0.451","0.451","","","","","","451","451","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-5-99a7be17366b31cde9a5b6b388060a1b46e47183","","a4b82838d22cfbf1da667ad790027d833a60a900-5-c19b762796173639f9f08b3fa4d2bacf6504d908","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(ACWS) Software","","","","","","1","1","","","","","","","1.411","1.411","","","","","","1411","1411","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-6-53dad355eae16077e1b45e425fd6d41215a985af","","a4b82838d22cfbf1da667ad790027d833a60a900-6-c7b236b4acf3ce1aeb6bd97d101f23fd7b218bf1","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(ISM) Software","","1","","","","","","","0.554","","","","","","","","554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-7-4fcfe19172569eeca5dec1f93d14518319c8e9cc","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(KT) Software","","1","","","","","","","14.701","","","","","","","","14701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a4b82838d22cfbf1da667ad790027d833a60a900-8-c404ac00c487faddb3fc55e05e06d1ee7fedfba3","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-5-368d31b168d937a29f87b2f55fa7c1269f4d7b84"
"(ACCHR) Software","","1","","","1","1","1","","2.111","","","","1.672","1.138","1.138","","2111","","","1672","1138","1138","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-0-6864539a3ce1314d842de694be278aea681951ab","","a4b82838d22cfbf1da667ad790027d833a60a900-0-0acc2bc3fe3a40b1051a098d34828c35ab8fbf7c","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-6-bce493683fa41d3af928f9baee9d11eb6d032bca"
"(IPPS-A) Software","","","","1","","","","","","","","0.46","","","","","","","460","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-a4b82838d22cfbf1da667ad790027d833a60a900-1-4884b817746333dd940f581d9c1ca02c8a338df7","","a4b82838d22cfbf1da667ad790027d833a60a900-1-ba44e30e85a992aef4f182a60ac0256945ca5ce9","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item","a4b82838d22cfbf1da667ad790027d833a60a900-6-bce493683fa41d3af928f9baee9d11eb6d032bca"
"COMSEC Racks and Shelves, Misc.","","87","112","25","","","","","6.625","","7.25","0.625","","","","","0.076","0.065","0.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-32b5db15db622ad4c5ac79f29e508fc93894e133-0-a23ac4bf2b4c364cf53f45d1c6ff1f59d79d7626","","32b5db15db622ad4c5ac79f29e508fc93894e133-0-64d614f555e520fd16b6e30fc221edf566f55497","32b5db15db622ad4c5ac79f29e508fc93894e133","root.record.ItemExhibitList.P5Item","32b5db15db622ad4c5ac79f29e508fc93894e133-0-3b6cb41b1cc7b20c543d030ae2420456700a3cda"
"Hardware (Multiplexers, Encryption)","","2","9","2","2","","3","3","1.307","","4.644","1.042","0.918","","1.377","1.377","0.654","0.516","0.521","0.459","","0.459","0.459","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-32b5db15db622ad4c5ac79f29e508fc93894e133-1-eed3bab4eb3634ac769717bfdffd3c1b235b21e8","","32b5db15db622ad4c5ac79f29e508fc93894e133-1-6172612204d165a0092f237607f21f4c70ad4a06","32b5db15db622ad4c5ac79f29e508fc93894e133","root.record.ItemExhibitList.P5Item","32b5db15db622ad4c5ac79f29e508fc93894e133-0-3b6cb41b1cc7b20c543d030ae2420456700a3cda"
"COMSEC Racks and Shelves, Misc.","","87","112","25","","","","","6.625","","7.25","0.625","","","","","0.076","0.065","0.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-0-8e9df50c1e7c706939fe0bc90fc26439ec197e36","","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-0-e1575c5ca2af635a4035e240a10f8bfec0d4cb08","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8","root.record.ItemExhibitList.P5Item","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-0-875a88728279b158334a60bf9d934fb9cbad61f8"
"Hardware (Multiplexers, Encryption)","","2","9","2","2","","3","3","1.307","","4.644","1.042","0.918","","1.377","1.377","0.654","0.516","0.521","0.459","","0.459","0.459","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-1-fc0bcc25cd70c9160121e7d249fa51725e5716c1","","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-1-45ce95e3a58412b8382276c7461ec31d7529e133","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8","root.record.ItemExhibitList.P5Item","6cb75a64ac78e9fa9e4ea55cd1e4d0dbed13a9b8-0-875a88728279b158334a60bf9d934fb9cbad61f8"
"Logistics Technology Assessment (LTA) SW","","1","","1","1","1","1","","82.249","","","1.163","1.065","0.728","0.728","","82249","","1163","1065","728","728","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-0-8543d17246e3290641b2b739f67fc7c7fd50fe4a","","0204da979f3fe83eede49dd470a5931a074cade4-0-a568a783a7c98b65491293743d0844a3cce9ce36","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-2-a31f9844b8e8d0932f83b62ab23a7339a4cd5646"
"(HQDA ADPE) Software","","1","","1","1","","","","1.838","","","0.496","1.7","","","","1838","","496","1700","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-0-4775b0cb2f29578b27eb50efffef6453dc2b8307","","0204da979f3fe83eede49dd470a5931a074cade4-0-4f1cb2196c2fedada80440ad43f68019aa62201b","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"(PITI) Software","","1","","1","1","","","","2.941","","","5.36","6.041","","","","2941","","5360","6041","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-1-f85d3d0d7b04fc6c3b40ef42a7242c8138187da5","","0204da979f3fe83eede49dd470a5931a074cade4-1-accbb74c572b46bcc73eabe5c292cb5162e78143","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"(LAAWS) Software","","","","","1","","","","","","","","0.761","","","","","","","761","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-2-edc1661612e2b940a08a5a6faad0dd364f3891bc","","0204da979f3fe83eede49dd470a5931a074cade4-2-7ec92349e17e815dd474464b8bfc3219a8f2d860","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"(ACI) Army-wide Software","","1","","","","","","","42.374","","","","","","","","42374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-17854990f84c156667a1c15eb8a147f38743058d","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(BLSCE) Software","","1","","","","","","","0.523","","","","","","","","523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-1-dd908f167524ae077ec6e09b0924d477d267e168","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(TIABCSTB) Software","","","","","1","","","","","","","","0.451","","","","","","","451","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-2-949006db02332fb5df52597d751fac9c5dae5db1","","0204da979f3fe83eede49dd470a5931a074cade4-2-93083ff6addd16140999d3e2a8f0e0eefa924ed8","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ATIA) Software","","1","","1","1","1","1","","0.119","","","0.048","0.155","0.151","0.151","","119","","48","155","151","151","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-3-c6a4ef72648a3d65987c8a0db5b56147bb8a5509","","0204da979f3fe83eede49dd470a5931a074cade4-3-bdd415e4dd9797bfe62712ca170538625c10d0d8","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(SPS) Software","","1","","","","","","","0.804","","","","","","","","804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-4-d72416c2393038b7700a1cc1164133675f020ff7","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(AcqBiz) Software","","1","","","","","","","0.71","","","","","","","","710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-5-c07d876008fe8b1c90124308a7f5d0e07a590089","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ISM) Software","","1","","","","","","","0.835","","","","","","","","835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-6-98bf38e3edff28b7aec1f79d3b75d270ca9e7497","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(KT) Software","","1","","","","","","","17.049","","","","","","","","17049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-7-926b9ba563b0c63d2c54becbb854d8671c350bc0","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(TJAGLCS Infrastructure) Software","","","","","","1","1","","","","","","","0.35","0.35","","","","","","350","350","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-8-ae19dd98488abf0b5d20d17d30a5771e9d75dcb9","","0204da979f3fe83eede49dd470a5931a074cade4-8-57bfb57b244af62df7adc9505584700004bff9dd","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"(ACCHR) Software","","1","","1","1","","","","2.011","","","0.43","1.138","","","","2011","","430","1138","","","","","","","","","","","","","","","","","","","","","","","","","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-0204da979f3fe83eede49dd470a5931a074cade4-0-17e01caf5893b406326f0600709b9eb4dd186f69","","0204da979f3fe83eede49dd470a5931a074cade4-0-8ab02df76e2d382d690ead24260b9091c9410c0e","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-5-c0bd70c367ce700674a24c3d07ee50f91b848be3"
"1.1.1) Training Aids, Devices, Simulators and Simulations","","","","","","","","","","","","","0.77","0.829","0.829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","caeed17ea20f78445665507de632d7a5e5b0e3f8-0-3b116cd93bdddc2af5f3470b707d56fe8ed11fe9","caeed17ea20f78445665507de632d7a5e5b0e3f8","root.record.ItemExhibitList.P5Item","caeed17ea20f78445665507de632d7a5e5b0e3f8-0-e18e11315bc5b5c7d1ac97f861d8b76218a4b774"
"2.1 S2E2 Software","","3","4","1","","","","","26.151","0","27.351","1.2","","","","","8.717","6.838","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e3d53d97cec66addc4f897ee3511a15a96f890f4-0-c7ede33e184d3b8225d30b3212ca00a26a9a3787","e3d53d97cec66addc4f897ee3511a15a96f890f4","root.record.ItemExhibitList.P5Item","e3d53d97cec66addc4f897ee3511a15a96f890f4-1-a135021c9abf144be5f137b82a7f54d71261ad93"
"Computing Environment Instantiations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","10319","1","10.319","10319","1","10.319","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-21d9c00878fe881a322c47592558fc205c418acf","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-c00f60e0ddd1316bd1e10aa31e96807feb03a1c2","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-dad82008fd60aea491ba2755a9f47abeb6a12a73"
"Emerging Logistics Technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","2003","1","2.003","2041","1","2.041","1125","1","1.125","1125","1","1.125","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-56b8004bed6eed3cb5bf14280234c837e25a6dab","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-aac06bc8e6e5e785c090c22cf0bc1b2a85986216","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-2-2ddcd95d6ae6806ba1d7ee76432161ac7d38eb2d"
"(HQDA ADPE) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","435","1","0.435","990","1","0.99","616","1","0.616","616","1","0.616","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-e7d9db672e1d363969c4038e3377528d2fdc7b55","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-0-8a00218e5e86ebc534d367457cd09643f3346fad","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-7ae4dc16f770f87252108fae4928c45ad168ab1f"
"(PITI) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","2661","1","2.661","1584","1","1.584","3066","1","3.066","3066","1","3.066","","","","","","","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-e339ac9db821726b09d2a760ff4bbc38e1c34c25","","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-1-2920fec85f2de1aee8518c1ff5f8e84234d78480","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc","root.record.ItemExhibitList.P5Item","3db90f5a9d74a859d0737c60f14fdb161ea5f5cc-5-7ae4dc16f770f87252108fae4928c45ad168ab1f"
