"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"(HQDA ADPE) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1","0.99","616","1","0.616","1523","1","1.523","1523","1","1.523","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-0-24885a285e8c4a5ed1dc36b487628ab0cb30a8d9","","571239ea242e1e673bae4fee7eb23020af5fa084-0-1fd0cb8f5be1b729438761f0d0a3dc26839e5a2b","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-4-c1297cdc2ecf28b21fb4d365404d9601db0060f2"
"(PITI) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","1584","1","1.584","3066","1","3.066","5040","1","5.04","5040","1","5.04","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-1-ca7d050b1ba86465c0a5e375373a82f88d1de932","","571239ea242e1e673bae4fee7eb23020af5fa084-1-9f89bc6787671942c2eb7ddb45c09f32f6d4797b","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-4-c1297cdc2ecf28b21fb4d365404d9601db0060f2"
"(LAAWS) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","609","1","0.609","1620","1","1.62","1620","1","1.62","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-2-2f198ce1590a336314ecd2f0c0d41b6c077fe210","","571239ea242e1e673bae4fee7eb23020af5fa084-2-24b627582a922b5768969617c04dd610d0c8b015","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-4-c1297cdc2ecf28b21fb4d365404d9601db0060f2"
"(ACI) Army-wide Software","","","","","","","","","","","","","","","","","","","","","","","","","","","18056","1","18.056","300","1","0.3","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-0-995f36ea446661c8f03e7a40f4e2c650cc64c583","","571239ea242e1e673bae4fee7eb23020af5fa084-0-03831724a8bde875cbcae4b844b93c78bb53a593","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(ISM) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","281","1","0.281","","","0.000","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-1-a3e2677160a907907af93b6dcff1a84c34b9954f","","571239ea242e1e673bae4fee7eb23020af5fa084-1-f19fa32a2ee2fe1c666757f0690e5a6da847f30d","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(BLSCE) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","214","1","0.214","","","0.000","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-2-9914ece6936eba51805223086ad12736ae2de974","","571239ea242e1e673bae4fee7eb23020af5fa084-2-7f1574208c560edf8b41ad9b3737d29464501be2","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(ATIS) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","29","1","0.029","81","1","0.081","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-3-1931a6da13599fb4648b3969599715de3939d075","","571239ea242e1e673bae4fee7eb23020af5fa084-3-72888f9a66bb0f32c18bc97c46944e247d4b671f","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(SPS) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","259","1","0.259","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-4-d51488583cfd7e40e4282eaac119dc7b46147564","","571239ea242e1e673bae4fee7eb23020af5fa084-4-3a41d320c21a11499f60e1e5a088c5897a622da5","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(AcqBiz) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","130","1","0.13","95","1","0.095","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-5-17e77c08872db75bc521c627f78eae5b3130d246","","571239ea242e1e673bae4fee7eb23020af5fa084-5-2f62e062f44d6862e83f2ad2b2bed65c32377ace","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
"(KT) Software","","","","","","","","","","","","","","","","","","","","","","","","","","","2348","1","2.348","","","0.000","","","0.000","","","0.000","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList-571239ea242e1e673bae4fee7eb23020af5fa084-6-edd5f77e0838fe2c925d1d7958954b347c175a97","","571239ea242e1e673bae4fee7eb23020af5fa084-6-4ae826aea7e092ad2802f6b698b30999d39c78b6","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item","571239ea242e1e673bae4fee7eb23020af5fa084-5-0e4f28b2aa3206e8a27bf20a33d1b96bf26f7d20"
