"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Program Adjustments","0.000","0.000","29.834","29.834","","f20219796340e44f622407f93be66e675c4398cc-0-e2d6924d28c72f0090d1bd5db9beb50a8ee629fa","f20219796340e44f622407f93be66e675c4398cc","root","f20219796340e44f622407f93be66e675c4398cc-71b4b42a10e513335a1101ef25ad6e4d8c4db995"
"Rate/Misc Adjustments","0.000","0.000","63.842","63.842","","f20219796340e44f622407f93be66e675c4398cc-1-2f0e9659e6d1fb92ec402a7e3a4b4b7d64f2f86a","f20219796340e44f622407f93be66e675c4398cc","root","f20219796340e44f622407f93be66e675c4398cc-71b4b42a10e513335a1101ef25ad6e4d8c4db995"
"Other Adjustments","0.000","0.000","91.133","91.133","0.000","f21de73bd1ef510131056094aafd5627b07e6c17-0-918b45a02bd9901499c3d55d92883c634a294532","f21de73bd1ef510131056094aafd5627b07e6c17","root","f21de73bd1ef510131056094aafd5627b07e6c17-69a96b0ad8faccb7b1ab92b24104ddcde3c9afb4"
"Other Adjustments","0.000","0.000","-0.047","-0.047","0.000","f2d0796f017d545d59556c18e1f50492a45bd5e4-0-6d168d560ba7a6ea07a843d0fefebd5e2f26ca89","f2d0796f017d545d59556c18e1f50492a45bd5e4","root","f2d0796f017d545d59556c18e1f50492a45bd5e4-43264c8ae618709e05668dd8520ec99300a15656"
"Other Adjustments","0.000","0.000","26.419","26.419","0.000","f2fb7a136c6f6776ff789be72711fcf4c627538c-0-69dc889868157298a49f7527eccad7ec549e9b05","f2fb7a136c6f6776ff789be72711fcf4c627538c","root","f2fb7a136c6f6776ff789be72711fcf4c627538c-1c52e41a2ac65abfebdf07375c1d86add109c60b"
"Adjustments to Budget Years","2.366","0.800","8.210","8.210","","f3468f0ad9dfd85ac2905cd9f400a83aa212ffb4-0-59b4b12bb3dacfda8307d8fa50622e5b001f7913","f3468f0ad9dfd85ac2905cd9f400a83aa212ffb4","root","f3468f0ad9dfd85ac2905cd9f400a83aa212ffb4-be434fd0320d84570aeebddfdeaa2e1e640e1b80"
"Adjustments to Budget Years","","","-4.015","-4.015","","f3bb5abc64553554364a4fcf9679b02f6bb1456e-0-8b86a54abe7b8f0c063a7fad266591327b398d2b","f3bb5abc64553554364a4fcf9679b02f6bb1456e","root","f3bb5abc64553554364a4fcf9679b02f6bb1456e-a90170af7c26945234b0fc36734ba43f5ea95b4f"
"Program Adjustments","0.000","0.000","12.700","12.700","","f41676a57dc9d9cd95ef15be4c03d93557d999d2-0-8bcaf23ed9cc1c0824f5a88a239de3082ba937ab","f41676a57dc9d9cd95ef15be4c03d93557d999d2","root","f41676a57dc9d9cd95ef15be4c03d93557d999d2-f78266e3ad45d4ed8045ea8791a2d6fdd4c69d18"
"Rate/Misc Adjustments","0.000","0.000","-6.145","-6.145","","f41676a57dc9d9cd95ef15be4c03d93557d999d2-1-da903db201494ed1cb83b5260d6bda3fa29df688","f41676a57dc9d9cd95ef15be4c03d93557d999d2","root","f41676a57dc9d9cd95ef15be4c03d93557d999d2-f78266e3ad45d4ed8045ea8791a2d6fdd4c69d18"
"Other Adjustments 1","","","0.494","0.494","","f4263e3562a94f26508048981b3edc35d7c91438-0-f6cf71260f3a71031fd769c965a03971ffe9e1dc","f4263e3562a94f26508048981b3edc35d7c91438","root","f4263e3562a94f26508048981b3edc35d7c91438-941752678c886d505855c66c7c67b9682ba580c9"
"TotalOtherAdjustments","","","-41.688","-41.688","","f52b21a290701abc01000e9a3459af2eb1b2b517-0-c4aa93d24f90f70c676c68324d380242f6c4b8e7","f52b21a290701abc01000e9a3459af2eb1b2b517","root","f52b21a290701abc01000e9a3459af2eb1b2b517-98073cab053d93306e250dbfc2a419134a77fc15"
"FY2015 Carryover","-0.054","","","","","f5cc8826465caa46c552a9af13cd9f661e233e32-0-4f69d340764740af745ae27cb9c17d970ed0bdb5","f5cc8826465caa46c552a9af13cd9f661e233e32","root","f5cc8826465caa46c552a9af13cd9f661e233e32-a4d97a077efb0db72f7f32c845b7306d835ad848"
"Revised Economic Adjustment","","","-0.023","-0.023","","f5cc8826465caa46c552a9af13cd9f661e233e32-1-78e50558be737abdbf969faa956cf0e05bb0e9de","f5cc8826465caa46c552a9af13cd9f661e233e32","root","f5cc8826465caa46c552a9af13cd9f661e233e32-a4d97a077efb0db72f7f32c845b7306d835ad848"
"Program Adjustments","0.000","0.000","110.700","110.700","","f70151b311b2fb4c897f2482fbcb31e622716187-0-b0e498ac389df218f6f2973d7d68ecdcd706b095","f70151b311b2fb4c897f2482fbcb31e622716187","root","f70151b311b2fb4c897f2482fbcb31e622716187-7f06359fceec0de9e124e168f0b1bf071adf632c"
"Rate/Misc Adjustments","0.000","0.000","-4.179","-4.179","","f70151b311b2fb4c897f2482fbcb31e622716187-1-d92aff183e7cca2d822de1f046e4e87dd56b8b3e","f70151b311b2fb4c897f2482fbcb31e622716187","root","f70151b311b2fb4c897f2482fbcb31e622716187-7f06359fceec0de9e124e168f0b1bf071adf632c"
"Program Adjustments","0.000","0.000","1.710","1.710","","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0-0-5cd301ca87c708689b1de07d3b20837a37be2ebe","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0","root","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0-2cbbf58e1bd9aa12b4334b96342f976c62f30a10"
"Rate/Misc Adjustments","0.000","0.000","-6.048","-6.048","","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0-1-26dda2cd707a191582fc66c61a7eeae5ab87c0f9","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0","root","f7337b6fc9c99efa3dd651bc682ecf5e834a1ca0-2cbbf58e1bd9aa12b4334b96342f976c62f30a10"
"Adjustments to Budget Years","","","-5.566","-5.566","","f78d4bb89783ad918dc385189ef48dd7641a7d2b-0-6b774c6598408d28518f6623f1dbcdb65cb52324","f78d4bb89783ad918dc385189ef48dd7641a7d2b","root","f78d4bb89783ad918dc385189ef48dd7641a7d2b-fa0ad0e6f264f686ee4401c7205fac037abfa9c9"
"Program Adjustments","0.000","0.000","-10.612","-10.612","","f7afad945c9eed6d0d79264b2386d5f67d965595-0-67e485469987883ddb731ba0966f3fdffe17f42e","f7afad945c9eed6d0d79264b2386d5f67d965595","root","f7afad945c9eed6d0d79264b2386d5f67d965595-2a91b784449a5269094fcf918bad21e2b88862bd"
"Rate/Misc Adjustments","0.001","0.000","0.172","0.172","","f7afad945c9eed6d0d79264b2386d5f67d965595-1-0ae8bf98622cb29155ea28121c1bc4fbe9da1c32","f7afad945c9eed6d0d79264b2386d5f67d965595","root","f7afad945c9eed6d0d79264b2386d5f67d965595-2a91b784449a5269094fcf918bad21e2b88862bd"
"Adjustments to Budget Years","","","4.518","4.518","","f8b4d8060e7f3f3fadaebc93cb7a7fbd56cdfd1e-0-5c60f0ab3b5b2e4ae333cb88bb5359da5c6b13b0","f8b4d8060e7f3f3fadaebc93cb7a7fbd56cdfd1e","root","f8b4d8060e7f3f3fadaebc93cb7a7fbd56cdfd1e-ab828c087382d9709a108bdbe769fb4b72e4ddcf"
"Program Adjustments","0.000","0.000","-0.904","-0.904","","f8c3b0b650b2893c8140f56a20339f7711bcfea5-0-0134b62cb848a1c28dddfd1d7a1c058b46ed994a","f8c3b0b650b2893c8140f56a20339f7711bcfea5","root","f8c3b0b650b2893c8140f56a20339f7711bcfea5-80382fa61215c29afbfe00b485f4a4dbaa8d4829"
"Rate/Misc Adjustments","0.000","0.000","-0.557","-0.557","","f8c3b0b650b2893c8140f56a20339f7711bcfea5-1-d6a0f5fd2c34c55b119f455cc8bfd2f45f9a3516","f8c3b0b650b2893c8140f56a20339f7711bcfea5","root","f8c3b0b650b2893c8140f56a20339f7711bcfea5-80382fa61215c29afbfe00b485f4a4dbaa8d4829"
"Adjustments to Budget Years","","","5.257","5.257","","f8f836f38b4e7cc416c72a56fbbeeee3302b7334-0-9d717985d3774e63ce075d5b092476473ca2f27d","f8f836f38b4e7cc416c72a56fbbeeee3302b7334","root","f8f836f38b4e7cc416c72a56fbbeeee3302b7334-585bee993ac89448c818ed307a5b7d4e3d96135d"
"Other Adjustments","0.000","0.000","-0.148","-0.148","0.000","f9806a3ee8876dee8a7df68cb066ed4357b0f6bc-0-4452bf69c3a27ef389e865a43912b392492edec5","f9806a3ee8876dee8a7df68cb066ed4357b0f6bc","root","f9806a3ee8876dee8a7df68cb066ed4357b0f6bc-a99affad27366abe62c717804003d83651a4f6d3"
"Rate/Misc Adjustments","-0.001","0.000","0.000","0.000","","fa8c6bc2817c9a13ff6e85c8a1eb515074e36112-0-44fde0282fe041ac564f507186eaff6ab4bf5bf9","fa8c6bc2817c9a13ff6e85c8a1eb515074e36112","root","fa8c6bc2817c9a13ff6e85c8a1eb515074e36112-14d71f875777fedbe5df6a4e0367a398311c6385"
"Other Adjustments","0.000","0.000","-0.009","-0.009","0.000","fad256db7ead01b72b1d439e536c9f99f475552a-0-970b4464240466aea468e36949d5187786e56776","fad256db7ead01b72b1d439e536c9f99f475552a","root","fad256db7ead01b72b1d439e536c9f99f475552a-cb07be98d91acb83a27d4717087ae2eb662302a3"
"Adjustments to Budget Years","","","10.328","10.328","","fad97d00c60915fa4fb9aea9d3e02d7f0ccf0a13-0-da36080fdfec2b8050f66c10cbee3222bfed1873","fad97d00c60915fa4fb9aea9d3e02d7f0ccf0a13","root","fad97d00c60915fa4fb9aea9d3e02d7f0ccf0a13-2a9a3de4009469fc69320d2f0ac21242310d04c3"
"Program Adjustments","0.000","0.000","3.013","3.013","","fb1ffceef642d961cd6d217f68610102ea7f5f49-0-8a5483a43cdff1f0f844dc8b4ffce1ce4d9ff8ef","fb1ffceef642d961cd6d217f68610102ea7f5f49","root","fb1ffceef642d961cd6d217f68610102ea7f5f49-c411031fa572d7a7e5dc0212cae3ca5b5360f641"
"Rate/Misc Adjustments","0.000","0.000","-2.422","-2.422","","fb1ffceef642d961cd6d217f68610102ea7f5f49-1-13447d19effc29096e7dc99fc825755ad9cbec07","fb1ffceef642d961cd6d217f68610102ea7f5f49","root","fb1ffceef642d961cd6d217f68610102ea7f5f49-c411031fa572d7a7e5dc0212cae3ca5b5360f641"
"Other Adjustment","3.068","-0.066","8.321","8.321","","fb250579ab8b924014579e86f8cfe4885a0ec0f6-0-748de1b1d41e8dabea3f45d169ea05ad6c728da1","fb250579ab8b924014579e86f8cfe4885a0ec0f6","root","fb250579ab8b924014579e86f8cfe4885a0ec0f6-5538bef79bab995a99d36e451a71270473311ddf"
"Other Adjustments","","","-0.134","-0.134","","fc87c9f96555ef21912cb505282960e6166d3075-0-c5123fa04f4012f0f0e02471180343b82ae20524","fc87c9f96555ef21912cb505282960e6166d3075","root","fc87c9f96555ef21912cb505282960e6166d3075-a207e58df61a8b70d14cc7eee8d87a8144efa0b6"
"Program Adjustments","0.000","0.000","18.300","18.300","","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61-0-4e7ac8886c2a32d85a6b9ceb4e2dc665024819b8","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61","root","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61-1f4f6fe2cc137f980544d844d401dcd87c406ed0"
"Rate/Misc Adjustments","-0.001","0.000","-2.154","-2.154","","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61-1-f2fd4b3781525506c9d0cf1f2452f761987787fa","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61","root","fcc46516cbdc8a22c6f1bd97007ee5b8b6d24b61-1f4f6fe2cc137f980544d844d401dcd87c406ed0"
"Other Adjustments","0.000","0.000","42.378","42.378","0.000","fcdf41a634c5e236bcebde763d665e96a2be7cc4-0-b9ff257496c37d9f3bf877cd0fdeebd94e966c04","fcdf41a634c5e236bcebde763d665e96a2be7cc4","root","fcdf41a634c5e236bcebde763d665e96a2be7cc4-85c395b57f7409853105bb2aa1b155058829af39"
"Other Adjustments","0.000","0.000","2.025","2.025","0.000","fd15047c5f3a6a56453c6f0c0cf5041da1a540ac-0-d5e4ab44a840405505204655f3ef4998509f7e26","fd15047c5f3a6a56453c6f0c0cf5041da1a540ac","root","fd15047c5f3a6a56453c6f0c0cf5041da1a540ac-98f92714f8d00ddbcbcd7ac9f7ac7f1a784282bc"
"Rate/Misc Adjustments","0.000","0.000","-0.187","-0.187","","fd32c771926256608c129af67c07d4e6b26e4ffb-0-fffc5d2e84c4ba122ac5e1c66a2c32686abe8334","fd32c771926256608c129af67c07d4e6b26e4ffb","root","fd32c771926256608c129af67c07d4e6b26e4ffb-81057c473d8216738b3319353fbc953a8107bae7"
"Other Adjustments","0.000","0.000","-6.146","-6.146","0.000","fd60ddc4ab704239aad1e09e387ba7c313881556-0-b2d9771e2e55b2dbb049d945b2c2beddd2b0d199","fd60ddc4ab704239aad1e09e387ba7c313881556","root","fd60ddc4ab704239aad1e09e387ba7c313881556-307ac3939d4de0aab343490cb186e88003e2f8a5"
"Program Adjustments","0.000","0.000","6.336","6.336","","fd76fcbc3ffed328f8d2df152908e4704b189403-0-a028ea85df57fa7b0cf862980a4a7ff5e5d8d97c","fd76fcbc3ffed328f8d2df152908e4704b189403","root","fd76fcbc3ffed328f8d2df152908e4704b189403-870ebc8a7f39da8988d42e69bf03ff110019ff35"
"Rate/Misc Adjustments","0.000","0.000","-0.053","-0.053","","fd76fcbc3ffed328f8d2df152908e4704b189403-1-8cfce67905357154ae61be6fd90d1a8b66741ecc","fd76fcbc3ffed328f8d2df152908e4704b189403","root","fd76fcbc3ffed328f8d2df152908e4704b189403-870ebc8a7f39da8988d42e69bf03ff110019ff35"
"Other Adjustments","0.000","0.000","4.937","4.937","0.000","fd7e2c6daf7f7b6582ca600763ec392dc028c147-0-ddd27c2a3e165698484460ab6e0f910a5dfd6145","fd7e2c6daf7f7b6582ca600763ec392dc028c147","root","fd7e2c6daf7f7b6582ca600763ec392dc028c147-175d444095c371e7a5cb3123faaf0d0cce253528"
"Other Adjustments","0.000","0.000","9.875","9.875","0.000","fdd33ceaf8d731b4941a0677f901548108238df0-0-1770363a65b47bce5d152e00bc79ecf3ddba79a6","fdd33ceaf8d731b4941a0677f901548108238df0","root","fdd33ceaf8d731b4941a0677f901548108238df0-ed24cc0a98a22be94bf0a366c05acc89d8fc9b81"
"Adjustments to Budget Years","","-0.043","1.639","1.639","","fe0509028403f7c7014b6cb6b8dc1d9915c751be-0-b2d73f7025c42c2d6fb558b3227d01990dd92787","fe0509028403f7c7014b6cb6b8dc1d9915c751be","root","fe0509028403f7c7014b6cb6b8dc1d9915c751be-f19973d1155441f975968c3f731107ffa882c740"
"TotalOtherAdjustments","","","6.144","6.144","","fe26d6fad05c1d0159c04e3ad7a9a7a7eb43f565-0-64c53f5ec52d16c0c4a386fecb7f9ecb6d3559ba","fe26d6fad05c1d0159c04e3ad7a9a7a7eb43f565","root","fe26d6fad05c1d0159c04e3ad7a9a7a7eb43f565-e99c3357bd8f6b7f65397af84ffa239a9b47f304"
"Other Adjustment","","","75.000","75.000","","fe3fb1a52d77846125e8262fa41d993dfdeb2232-0-eae5f7b1840c5d4e87a26e040f6a026042a75f7f","fe3fb1a52d77846125e8262fa41d993dfdeb2232","root","fe3fb1a52d77846125e8262fa41d993dfdeb2232-4e126ae6d8e2ab4688e27c8acdff567a524d2800"
"Program Adjustments","0.000","0.000","0.195","0.195","","fe93016678e3b2c4a543dc0f206ed45f5aef9345-0-e274c084bcdb54941e3cfbfc49951b919c410c32","fe93016678e3b2c4a543dc0f206ed45f5aef9345","root","fe93016678e3b2c4a543dc0f206ed45f5aef9345-19727f14ed4c84089104637ef3b487ee4e8303f6"
"Rate/Misc Adjustments","0.000","0.000","-0.129","-0.129","","fe93016678e3b2c4a543dc0f206ed45f5aef9345-1-0e7365497809f3d0b72fca32104cede47d4c6775","fe93016678e3b2c4a543dc0f206ed45f5aef9345","root","fe93016678e3b2c4a543dc0f206ed45f5aef9345-19727f14ed4c84089104637ef3b487ee4e8303f6"
"Rephasing","0.000","0.000","-4.467","-4.467","","fee868cb430986fefbdbaa24f125d8a364f2d016-0-2ed1b18a76915e98e844d94dc6af6f7478849ff1","fee868cb430986fefbdbaa24f125d8a364f2d016","root","fee868cb430986fefbdbaa24f125d8a364f2d016-cafa50a9dd6960bb923b60672f0ae3c2b2fcaf98"
"Other Adjustments","0.000","0.000","20.595","20.595","0.000","fefc6e19c6892ff0e7b4836c366163ab76c26adb-0-474398795cf073d886b7082fb8d348c6fe7d2241","fefc6e19c6892ff0e7b4836c366163ab76c26adb","root","fefc6e19c6892ff0e7b4836c366163ab76c26adb-8a5ba16acac34f4dcc1698630782f4504b03086f"
"Other Adjustments","-0.001","0.000","-2.338","-2.338","0.000","ff03a15c902a5e00335b68629c3c05156c5fc549-0-b4eb38a5bf598736eacb5f8756f3022ecc15614e","ff03a15c902a5e00335b68629c3c05156c5fc549","root","ff03a15c902a5e00335b68629c3c05156c5fc549-37606f722defdcc36cbe2d57665fede0251361fd"
"Rate/Misc Adjustments","0.000","0.000","-1.952","-1.952","","ff2967e8a2003c8870f4ac9cc804394cbe93d5b4-0-bed4ef4623b1670637b269017dba345148dba9da","ff2967e8a2003c8870f4ac9cc804394cbe93d5b4","root","ff2967e8a2003c8870f4ac9cc804394cbe93d5b4-609d356e182dc58c64da6debb65d0f8974b9e7e3"
"TotalOtherAdjustments","","","51.128","51.128","","ff6b2d03a5db06f2ebc83a13b9a9770d1645e626-0-d6eb2b9848a695b180e8e52087195115d11eff62","ff6b2d03a5db06f2ebc83a13b9a9770d1645e626","root","ff6b2d03a5db06f2ebc83a13b9a9770d1645e626-d933f38c4f9ce3c9e86547b33311d8de698f33cc"
"Other Adjustment","0.000","0.000","39.210","39.210","","ff8d207fb135a1cfa91357f7483dfef2beb0d22a-0-fdb9170b2f1a728660763c4166b4b69def25acf9","ff8d207fb135a1cfa91357f7483dfef2beb0d22a","root","ff8d207fb135a1cfa91357f7483dfef2beb0d22a-dcbe272de2dc77e65f6f92685be9b83173301fe2"
"Other Adjustment","0.000","0.000","-1.088","-1.088","","ffba0d7b038888380121adf292b1a08085a83b5c-0-b68244bbd9618dc8603b9c3f31cc7d6a6fa27f08","ffba0d7b038888380121adf292b1a08085a83b5c","root","ffba0d7b038888380121adf292b1a08085a83b5c-4335383613e876b0453e26d1b2fcaf2479308517"
"Program Adjustments","0.000","0.000","-2.145","-2.145","","ffc627c4de4f8889c2a431386f43a064540248e0-0-f7216baa51ab7f61919297dfbf74125af6e083ae","ffc627c4de4f8889c2a431386f43a064540248e0","root","ffc627c4de4f8889c2a431386f43a064540248e0-c6dc6e2afff1afc13cbb6b565ac004c3387a3d3b"
"Rate/Misc Adjustments","0.000","0.000","-14.905","-14.905","","ffc627c4de4f8889c2a431386f43a064540248e0-1-015e677ac70d634500bdfaa138885a50d0d69510","ffc627c4de4f8889c2a431386f43a064540248e0","root","ffc627c4de4f8889c2a431386f43a064540248e0-c6dc6e2afff1afc13cbb6b565ac004c3387a3d3b"
"Program Adjustments","0.000","0.000","68.076","68.076","","00125c679e9e73c7597a5a734971f35da5b4ede6-0-2cf9605cdfcf53543d1d295036e0b0a002927255","00125c679e9e73c7597a5a734971f35da5b4ede6","root","00125c679e9e73c7597a5a734971f35da5b4ede6-883f08449a628f077dede9b4a195b087cb589783"
"Rate/Misc Adjustments","0.000","0.000","-1.154","-1.154","","00125c679e9e73c7597a5a734971f35da5b4ede6-1-eff7ee942a8bb10b7a07e6e28d3cfb941bcc34fa","00125c679e9e73c7597a5a734971f35da5b4ede6","root","00125c679e9e73c7597a5a734971f35da5b4ede6-883f08449a628f077dede9b4a195b087cb589783"
"Other Adjustments","0.000","0.000","-0.029","-0.029","0.000","00370cbae717f1a3c9f9321b7046549da3212274-0-a7b7d9216d3a1b5e43885bfd81d64a2dc36a231b","00370cbae717f1a3c9f9321b7046549da3212274","root","00370cbae717f1a3c9f9321b7046549da3212274-8fa48f802ab5a5ba76112a355a6450fd7165fcea"
"Adjustments to Budget Years","","","-1.166","-1.166","","0111c8c686581ba224ef6388534b4955c701d856-0-905ed493e5321d85896c68afaf8da6469aa15692","0111c8c686581ba224ef6388534b4955c701d856","root","0111c8c686581ba224ef6388534b4955c701d856-caaf51265dce36b833fd628882b869c7eeb6e490"
"Realignment for Higher Priority Programs","","","-4.957","-4.957","","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-0-56ebded34a8a2806ff4349fbfe8ef08edcdde13c","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715","root","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-7d1c2c8b764e81471bc5970d923f3a5a3e10f4ae"
"FFRDC Adjustments","","-0.170","","","","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-1-73ce9b26ada5f39460fa8c70e8147c281110282d","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715","root","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-7d1c2c8b764e81471bc5970d923f3a5a3e10f4ae"
"Economic Assumptions","","","-0.381","-0.381","","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-2-388ef3334512cf7736a71d795f03f316e82ad08b","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715","root","015cd0c4ddca35f5f27c9b77424f4b0bfcfa0715-7d1c2c8b764e81471bc5970d923f3a5a3e10f4ae"
"Other Adjustment","0.000","0.000","153.831","153.831","","01957cf41858013b064b574c45f8c15fe98a0c7d-0-81e7528dc35c3a595e71cb13774608007ed388f1","01957cf41858013b064b574c45f8c15fe98a0c7d","root","01957cf41858013b064b574c45f8c15fe98a0c7d-a5b7601da12dadc2b1f54bcdd96e7093aa6abc2b"
"Other Adjustments 1","7.010","-0.002","6.800","6.800","","021439755303b9014808619cf506cf7f0b442dc8-0-2715c94cae1ba65d727df6a0a31d24b20470e0ce","021439755303b9014808619cf506cf7f0b442dc8","root","021439755303b9014808619cf506cf7f0b442dc8-ccffd80013e4342f4fa7d6184ea8eb0f60cd57f4"
"Other Adjustments","0.000","0.000","-0.111","-0.111","0.000","023f75191e056a1570d74b270e67c0078c74e3d4-0-45bf01e9df16f87514ab6bfa0512e777887cf596","023f75191e056a1570d74b270e67c0078c74e3d4","root","023f75191e056a1570d74b270e67c0078c74e3d4-5f644d0950043ece3d1f51d34ef64cbb2baf3399"
"Other Adjustments","-0.082","0.000","-2.310","-2.310","0.000","039093ba5033a38f7808221587ac477096e283fb-0-8f5955c801e8ca1627a235fd0894d485464bbd88","039093ba5033a38f7808221587ac477096e283fb","root","039093ba5033a38f7808221587ac477096e283fb-b2bc7ae8e33638b3a8ed8bc8919c3d1b7e4bd072"
"Other Adjustments","0.000","0.000","0.000","0.000","0.000","03a76fc516c4cbc603dee66eb56458bac0f7a05f-0-ee6606739abc49e0cd53d49156175a07bd055313","03a76fc516c4cbc603dee66eb56458bac0f7a05f","root","03a76fc516c4cbc603dee66eb56458bac0f7a05f-32fd250b5f9d690bf2cbc3680c8539e1edd5b579"
"Adjustments to Budget Years","","","-8.156","-8.156","","03b2ff167cb2b1403e9c3b6c36fdfc094f861b81-0-f0b254715ab6c8b86e8d84f2b4f17e7f60cd9ddc","03b2ff167cb2b1403e9c3b6c36fdfc094f861b81","root","03b2ff167cb2b1403e9c3b6c36fdfc094f861b81-2938746c94abf552a0410d00b66981ea39f47a48"
"Adjustments to Budget Years","","","-2.776","-2.776","","03cab3a98391e97c41e6c1be478d8954350bc805-0-4ccb3b2c689f631beba6f0942e7f49097d98f41d","03cab3a98391e97c41e6c1be478d8954350bc805","root","03cab3a98391e97c41e6c1be478d8954350bc805-6ca82421bafab21aff91b044c0b10929ac270a75"
"Program Adjustments","0.000","0.000","37.828","37.828","","03db290f184080552377fa8b8fcb1746e0c1602c-0-c8f05d048cecdb3eea10a68c1f010c85404f2678","03db290f184080552377fa8b8fcb1746e0c1602c","root","03db290f184080552377fa8b8fcb1746e0c1602c-80990d675c268486cfb8319dd927f1fa9b27bc78"
"Rate/Misc Adjustments","0.000","0.000","-0.829","-0.829","","03db290f184080552377fa8b8fcb1746e0c1602c-1-f1707e19e22c746aee9abb73633eed43dc40ed81","03db290f184080552377fa8b8fcb1746e0c1602c","root","03db290f184080552377fa8b8fcb1746e0c1602c-80990d675c268486cfb8319dd927f1fa9b27bc78"
"Program Adjustments","0.000","0.000","-5.408","-5.408","","04520ffcb4dfff02fc97956dd17e728c851ea928-0-df1265832569470b3b9670e5ad08540359689162","04520ffcb4dfff02fc97956dd17e728c851ea928","root","04520ffcb4dfff02fc97956dd17e728c851ea928-69b265dc59b2bc1007b5b035be37b2dae9f975b2"
"Rate/Misc Adjustments","0.000","0.000","-49.579","-49.579","","04520ffcb4dfff02fc97956dd17e728c851ea928-1-47bde937c67e58ec2d72a80a9c0aabee8618ec6e","04520ffcb4dfff02fc97956dd17e728c851ea928","root","04520ffcb4dfff02fc97956dd17e728c851ea928-69b265dc59b2bc1007b5b035be37b2dae9f975b2"
"Other Adjustments","0.000","0.000","-0.003","-0.003","0.000","046b1e78cd2fa0791f336a61fd38fdea56eb8d13-0-caac26346c21095f01ec58bd58fb4254f5830b25","046b1e78cd2fa0791f336a61fd38fdea56eb8d13","root","046b1e78cd2fa0791f336a61fd38fdea56eb8d13-f90c543456f3ebb361227a3de8ab534255ddf1fc"
"Other Adjustments","0.000","0.000","-1.918","-1.918","0.000","0480010877a41a667a485b0790e205ece8a8e3f8-0-533b5f9b3492f9d6b6a481300c4c37bc04c4bdbb","0480010877a41a667a485b0790e205ece8a8e3f8","root","0480010877a41a667a485b0790e205ece8a8e3f8-fcd220e62478316e097b3f33af5fef6890a9cec7"
"Program Adjustments","0.000","0.000","-3.900","-3.900","","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9-0-9ca6a7a30ac56709a47765d556e0efe9d727cc01","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9","root","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9-c9c502d8632b65a0b056d9db0d3347e282acc9d9"
"Rate/Misc Adjustments","0.000","0.000","-1.685","-1.685","","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9-1-f812b1d5a860d9e14d9c3bc01610ab98822fd7a0","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9","root","04a71f4d40af3d6eb55fa6d88a09d1261cad41c9-c9c502d8632b65a0b056d9db0d3347e282acc9d9"
"Other Adjustments","0.000","0.000","-24.179","-24.179","0.000","0542666b37e30c45114663338d90b9e3afccd788-0-8400978a8938a774eb9647ee0a4ca3ed8eb8d824","0542666b37e30c45114663338d90b9e3afccd788","root","0542666b37e30c45114663338d90b9e3afccd788-7f0f3e932fdbe6b3b8f91b285dae0153a651fbd3"
"Other Adjustments","0.000","0.000","0.993","0.993","0.000","05cec8e1f6cd7522f4060da5271c104e5604e11a-0-f3d659d31d26e565dd483d515f8df048c54ed57f","05cec8e1f6cd7522f4060da5271c104e5604e11a","root","05cec8e1f6cd7522f4060da5271c104e5604e11a-88d5ca682d8c87f0dc0abee00f8bd37129afe06b"
"Other Adjustments","0.000","0.000","-0.451","-0.451","0.000","05fb17e83ebbb1469046ddb9b25fece96ccdb335-0-6b9c128e9f07509355e3a62303d5413a4025e1b2","05fb17e83ebbb1469046ddb9b25fece96ccdb335","root","05fb17e83ebbb1469046ddb9b25fece96ccdb335-965105dc5e6bf29618b2318e72dac266afdc2c9d"
