"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Baseline Adjustments","","","-0.257","-0.257","","04abb991fffc478a3a9249be232474b0a9c0b6ca-0-efa3c51dd0afbf05c19a489af02667a97d9a892d","04abb991fffc478a3a9249be232474b0a9c0b6ca","root","04abb991fffc478a3a9249be232474b0a9c0b6ca-38e58a49ba97e1753073c55dc3549bdba2febd77"
"Other Adjustments","-0.006","","","","","04abb991fffc478a3a9249be232474b0a9c0b6ca-1-b5445afbb483dd04551954587dce3831c0bc890b","04abb991fffc478a3a9249be232474b0a9c0b6ca","root","04abb991fffc478a3a9249be232474b0a9c0b6ca-38e58a49ba97e1753073c55dc3549bdba2febd77"
"TotalOtherAdjustments","","","12.759","12.759","","04ca97679dfb2904463f386cab9150d96e2407d0-0-3dfecca829b5d5577bf45cc2e0ea2c9f7499634a","04ca97679dfb2904463f386cab9150d96e2407d0","root","04ca97679dfb2904463f386cab9150d96e2407d0-b6372d3bc932967cddc23021ce38dd2b26a7517f"
"Other Adjustments","0.000","0.000","-1.659","-1.659","","0511da72583c87807ecc6112c63019628957c806-0-66a834e31cae34a56e364fc2a6f402366883f3b4","0511da72583c87807ecc6112c63019628957c806","root","0511da72583c87807ecc6112c63019628957c806-8836fd3f6f31991f7a5973c830dadcf62554c871"
"Other Adjustments","0.000","0.000","0.000","0.000","","0581e9dd8f903e2f3015fdbcc3a98a4610dcaf41-0-4c4485080a34cba7d0bc377b30d8fd440d0a4a6c","0581e9dd8f903e2f3015fdbcc3a98a4610dcaf41","root","0581e9dd8f903e2f3015fdbcc3a98a4610dcaf41-aeb489b5a4e7e07390de009a94370ad89ec1a1fe"
"Program Adjustments","0.000","0.000","0.000","0.000","","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4-0-d3e01b7f4d3a00b0783ce3cb539aad6cff37cf5e","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4","root","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4-10ecb1a7f8d85ea657ca25ae040abdb2d1396b66"
"Rate/Misc Adjustments","-0.001","0.000","0.000","0.000","","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4-1-75f486886fa9efea57136f315b45c183cbcfff1d","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4","root","058f1d0d1cf2eb7046828dcf14b86e9d9ffd77d4-10ecb1a7f8d85ea657ca25ae040abdb2d1396b66"
"Adjustments to Budget Years","","","5.031","5.031","","064e7fd21344dca5cfcc1dc7d2bdaae89d40257a-0-900055a8fe7403adbe1d32266b8ce276e53c6d3c","064e7fd21344dca5cfcc1dc7d2bdaae89d40257a","root","064e7fd21344dca5cfcc1dc7d2bdaae89d40257a-ec33ba4f383276ade10545beb89b8be07e2f66ff"
"Other Adjustments","0.000","0.000","0.000","0.000","","066ec6e99d18e5c1732a342d52476d6bfb431946-0-9143c5769f28f035ecda3d76b1c7b8a8775f320a","066ec6e99d18e5c1732a342d52476d6bfb431946","root","066ec6e99d18e5c1732a342d52476d6bfb431946-872ddfa81718863e7ab376a6de0e4d8f8d9e60cc"
"Program Adjustments","0.000","0.000","3.112","3.112","","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-0-4ca4185b1d8a46fbf99c2e94b9f54df3b5b7bd81","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa","root","06ba5118c3dd6c9e866d5ea0428491b998d6ddaa-986ee7567d1f687365232736fc382060e7abb57d"
